Description,N,DE,Enrichment_Pct,P.DE,FDR,SigGenesInSet
Type I diabetes mellitus,42,4,9.523809523809524,1.1702968119955382e-4,0.02176752070311701,"HLA-DQA1,HLA-DQB1,HLA-DRB1,PTPRN2"
Autoimmune thyroid disease,51,4,7.8431372549019605,9.578431068966596e-5,0.02176752070311701,"HLA-DQA1,HLA-DQB1,HLA-DRB1,TPO"
Asthma,29,3,10.344827586206897,3.0738532277237575e-4,0.02858683501783094,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
Staphylococcus aureus infection,93,4,4.301075268817205,2.8722154014345643e-4,0.02858683501783094,"HLA-DQA1,HLA-DQB1,HLA-DRB1,C3"
Leishmaniasis,75,4,5.333333333333334,4.6217892477521544e-4,0.03438611200327603,"HLA-DQA1,HLA-DQB1,HLA-DRB1,C3"
Allograft rejection,36,3,8.333333333333332,9.66123599590633e-4,0.04179188270463576,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
Graft-versus-host disease,39,3,7.6923076923076925,0.00106739479947977,0.04179188270463576,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
Intestinal immune network for IgA production,46,3,6.521739130434782,0.00112343770711386,0.04179188270463576,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
Rheumatoid arthritis,91,4,4.395604395604396,7.320990593214595e-4,0.04179188270463576,"HLA-DQA1,HLA-DQB1,HLA-DRB1,TEK"
Systemic lupus erythematosus,122,4,3.278688524590164,9.815638421899473e-4,0.04179188270463576,"HLA-DQA1,HLA-DQB1,HLA-DRB1,C3"
Inflammatory bowel disease,64,3,4.6875,0.00445703773186632,0.15072891238675212,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
Antigen processing and presentation,71,3,4.225352112676056,0.00617274889239569,0.19135521566426655,"HLA-DQA1,HLA-DQB1,HLA-DRB1"
Influenza A,168,4,2.380952380952381,0.00750295659564378,0.21469998873688367,"HLA-DQA1,HLA-DQB1,HLA-DRB1,TMPRSS4"
Galactose metabolism,31,2,6.451612903225806,0.01181114176587668,0.2414261386036218,"GAA,HK2"
Starch and sucrose metabolism,35,2,5.714285714285714,0.01085515354225629,0.2414261386036218,"GAA,HK2"
