ONTOLOGY,TERM,N,DE,Enrichment_Pct,P.DE,FDR,SigGenesInSet
BP,toll-like receptor 6 signaling pathway,1,1,100,0.00108590752089187,1,TREM2
BP,regulation of toll-like receptor 6 signaling pathway,1,1,100,0.00108590752089187,1,TREM2
BP,C-C chemokine receptor CCR7 signaling pathway,1,1,100,0.00108590752089187,1,TREM2
BP,"positive regulation of complement activation, classical pathway",1,1,100,0.00108590752089187,1,TREM2
BP,detection of lipoteichoic acid,1,1,100,0.00108590752089187,1,TREM2
CC,COPI-coated Golgi to ER transport vesicle,1,1,100,0.01097401345897196,1,CCDC88A
CC,mucin granule,2,1,50,0.00827187499107234,1,SLC17A9
CC,CERF complex,2,1,50,0.01023837098248336,1,CECR2
CC,CA3 pyramidal cell dendrite,2,1,50,0.01672477964144314,1,TNN
CC,hippocampal mossy fiber expansion,2,1,50,0.02118794787329721,1,TNN
MF,nicotinamide N-methyltransferase activity,1,1,100,0.00208704582759436,1,NNMT
MF,pyridine N-methyltransferase activity,1,1,100,0.00208704582759436,1,NNMT
MF,creatine:sodium symporter activity,1,1,100,0.00548273446503466,1,SLC6A8
MF,purine nucleotide uniporter activity,1,1,100,0.00660213478675432,1,SLC17A9
MF,linoleic acid binding,1,1,100,0.01274125415384829,1,PPARD
