Description,N,DE,Enrichment_Pct,P.DE,FDR,SigGenesInSet
Ubiquinone and other terpenoid-quinone biosynthesis,12,1,8.333333333333332,0.04430737352023828,1,COQ3
Fatty acid biosynthesis,17,1,5.88235294117647,0.12651073132670143,1,ACSBG1
Virion - Lassa virus and SFTS virus,17,1,5.88235294117647,0.1308576564968317,1,MYH9
Other glycan degradation,18,1,5.555555555555555,0.098472366603257,1,HEXD
Lipoic acid metabolism,19,1,5.263157894736842,0.08033991000049329,1,BCKDHA
Type I diabetes mellitus,42,2,4.761904761904762,0.02919995676376274,1,"HLA-DQA1,PTPRN2"
Various types of N-glycan biosynthesis,44,2,4.545454545454546,0.02843143452897176,1,"HEXD,MAN2A1"
Autoimmune thyroid disease,51,2,3.9215686274509802,0.02633744149425201,1,"HLA-DQA1,TPO"
Collecting duct acid secretion,27,1,3.7037037037037033,0.12750860667066538,1,ATP4B
Biosynthesis of unsaturated fatty acids,27,1,3.7037037037037033,0.15676591252432712,1,ACOT1
Fatty acid elongation,28,1,3.571428571428571,0.14156838756071538,1,ACOT1
Asthma,29,1,3.4482758620689653,0.13033509689886055,1,HLA-DQA1
Propanoate metabolism,32,1,3.125,0.17184063552703113,1,BCKDHA
2-Oxocarboxylic acid metabolism,33,1,3.0303030303030303,0.13745237971071708,1,BCKDHA
Tyrosine metabolism,36,1,2.7777777777777777,0.14598133018319495,1,TPO
