ONTOLOGY,TERM,N,DE,Enrichment_Pct,P.DE,FDR,SigGenesInSet
BP,multiple spine synapse organization,1,1,100,0.00350907844002747,1,CX3CR1
BP,"multiple spine synapse organization, single dendrite",1,1,100,0.00350907844002747,1,CX3CR1
BP,negative regulation of microglial cell mediated cytotoxicity,1,1,100,0.00350907844002747,1,CX3CR1
BP,meiotic spindle elongation,1,1,100,0.00457622337201333,1,PPP2R1A
BP,negative regulation of hepatocyte growth factor receptor signaling pathway,1,1,100,0.01291521647495321,1,ADAMTS12
CC,dense core granule lumen,2,1,50,0.00874600357114308,1,VPS13A
CC,neuronal dense core vesicle lumen,2,1,50,0.00874600357114308,1,VPS13A
CC,CGRP receptor complex,2,1,50,0.01350669909499881,1,RAMP1
CC,amylin receptor complex 1,2,1,50,0.02044018584025128,1,RAMP1
CC,collagen type VI trimer,2,1,50,0.02228889824843097,1,COL6A1
MF,hexaprenyldihydroxybenzoate methyltransferase activity,1,1,100,0.00275124754801007,1,COQ3
MF,3-demethylubiquinone-9 3-O-methyltransferase activity,1,1,100,0.00275124754801007,1,COQ3
MF,"3,4-dihydroxy-5-polyprenylbenzoic acid O-methyltransferase activity",1,1,100,0.00275124754801007,1,COQ3
MF,decaprenyldihydroxybenzoate methyltransferase activity,1,1,100,0.00275124754801007,1,COQ3
MF,3-demethylubiquinol-10 3-O-methyltransferase activity,1,1,100,0.00275124754801007,1,COQ3
