sol,n_seeds,llik,bic,entropy,min_avepp,severe_C1C2,C1,C2,C3,C4,C5,C6
-3556.6,83,-3556.55,7538.5,0.888,0.77,209,155,54,625,228,164,128
-3583,1,-3582.96,7591.4,0.836,0.776,301,99,202,381,266,316,90
-3583.1,4,-3583.07,7591.6,0.895,0.711,373,171,202,30,224,595,132
-3585.1,15,-3585.14,7595.7,0.885,0.877,373,171,202,625,238,NA,112
-3602,15,-3601.96,7629.4,0.841,0.707,119,91,28,389,356,182,308
-3602.5,6,-3602.5,7630.4,0.871,0.824,209,154,55,193,356,130,466
-3602.6,16,-3602.56,7630.6,0.876,0.712,209,153,56,105,356,181,502
-3603.8,2,-3603.82,7633.1,0.905,0.797,109,85,24,625,356,182,82
-3603.9,6,-3603.86,7633.2,0.864,0.813,170,130,NA,559,224,309,92
-3605.2,1,-3605.2,7635.8,0.883,0.513,209,156,53,294,356,291,204
-3773.4,1,-3773.4,7972.2,0.818,0.678,191,191,NA,807,266,NA,90
