Class_Raw,LCA_class,Category,Probability,Variable,LCA_label
1,C1,Current asthma,0,group,"Asthmatic, highly atopic, severe/uncontrolled"
1,C1,Never asthma,1,group,"Asthmatic, highly atopic, severe/uncontrolled"
2,C2,Current asthma,0,group,"Asthmatic, non-atopic, severe/uncontrolled"
2,C2,Never asthma,1,group,"Asthmatic, non-atopic, severe/uncontrolled"
3,C3,Current asthma,1,group,"Asthmatic, atopic, mild/moderate, well controlled"
3,C3,Never asthma,0,group,"Asthmatic, atopic, mild/moderate, well controlled"
4,C4,Current asthma,1,group,"Control, non-atopic"
4,C4,Never asthma,0,group,"Control, non-atopic"
5,C5,Current asthma,1,group,"Asthmatic, non-atopic, mild/moderate, well controlled"
5,C5,Never asthma,0,group,"Asthmatic, non-atopic, mild/moderate, well controlled"
6,C6,Current asthma,1,group,"Control, atopic"
6,C6,Never asthma,0,group,"Control, atopic"
1,C1,Atopic,0.10151806645872959,sptpos,"Asthmatic, highly atopic, severe/uncontrolled"
1,C1,Non-atopic,0.8984819335412721,sptpos,"Asthmatic, highly atopic, severe/uncontrolled"
2,C2,Atopic,0.9999648164171027,sptpos,"Asthmatic, non-atopic, severe/uncontrolled"
2,C2,Non-atopic,3.5183582894031706e-5,sptpos,"Asthmatic, non-atopic, severe/uncontrolled"
3,C3,Atopic,0.10659838720296011,sptpos,"Asthmatic, atopic, mild/moderate, well controlled"
3,C3,Non-atopic,0.8934016127970527,sptpos,"Asthmatic, atopic, mild/moderate, well controlled"
4,C4,Atopic,0.9286840121339178,sptpos,"Control, non-atopic"
4,C4,Non-atopic,0.07131598786608095,sptpos,"Control, non-atopic"
5,C5,Atopic,1,sptpos,"Asthmatic, non-atopic, mild/moderate, well controlled"
5,C5,Non-atopic,1.1989641698536392e-27,sptpos,"Asthmatic, non-atopic, mild/moderate, well controlled"
6,C6,Atopic,0.05295481693158517,sptpos,"Control, atopic"
6,C6,Non-atopic,0.9470451830684015,sptpos,"Control, atopic"
1,C1,Negative,0.7405955860132807,phadpos,"Asthmatic, highly atopic, severe/uncontrolled"
1,C1,Positive,0.2594044139867203,phadpos,"Asthmatic, highly atopic, severe/uncontrolled"
2,C2,Negative,1.1636317748577617e-5,phadpos,"Asthmatic, non-atopic, severe/uncontrolled"
2,C2,Positive,0.999988363682248,phadpos,"Asthmatic, non-atopic, severe/uncontrolled"
3,C3,Negative,0.7499600435868169,phadpos,"Asthmatic, atopic, mild/moderate, well controlled"
3,C3,Positive,0.25003995641319876,phadpos,"Asthmatic, atopic, mild/moderate, well controlled"
4,C4,Negative,0.03224251232029921,phadpos,"Control, non-atopic"
4,C4,Positive,0.9677574876797005,phadpos,"Control, non-atopic"
5,C5,Negative,0.0017478308934145328,phadpos,"Asthmatic, non-atopic, mild/moderate, well controlled"
5,C5,Positive,0.9982521691065857,phadpos,"Asthmatic, non-atopic, mild/moderate, well controlled"
6,C6,Negative,0.664614290049606,phadpos,"Control, atopic"
6,C6,Positive,0.33538570995037686,phadpos,"Control, atopic"
1,C1,N/A (Control),1,acqscorecat,"Asthmatic, highly atopic, severe/uncontrolled"
1,C1,Uncontrolled,0,acqscorecat,"Asthmatic, highly atopic, severe/uncontrolled"
1,C1,Well controlled,0,acqscorecat,"Asthmatic, highly atopic, severe/uncontrolled"
2,C2,N/A (Control),1,acqscorecat,"Asthmatic, non-atopic, severe/uncontrolled"
2,C2,Uncontrolled,0,acqscorecat,"Asthmatic, non-atopic, severe/uncontrolled"
2,C2,Well controlled,0,acqscorecat,"Asthmatic, non-atopic, severe/uncontrolled"
