comparison,n_tested,n_p_lt_0_05,n_FDR_lt_0_20,n_FDR_lt_0_10,n_FDR_lt_0_05,n_Hits_05_Beta01,n_Bonf_lt_0_05,lambda_GC,results_csv,fdr_csv,hits_csv,top20_csv,top20_genes_csv,qq_png,volcano_png,manhattan_png
A1 — asthma_GLOBAL_vs_CONTROLS,864152,167554,128882,63381,26673,23378,3,2.3591863719677533,results/04_ewas/EWAS_A1_asthma_GLOBAL_vs_CONTROLS.csv,results/04_ewas/EWAS_A1_asthma_GLOBAL_vs_CONTROLS_FDR.csv,results/04_ewas/EWAS_A1_asthma_GLOBAL_vs_CONTROLS_HITS.csv,results/04_ewas/EWAS_A1_asthma_GLOBAL_vs_CONTROLS_Top20.csv,results/04_ewas/EWAS_A1_asthma_GLOBAL_vs_CONTROLS_Top20_genes.csv,figures/04_ewas/QQ_A1_asthma_GLOBAL_vs_CONTROLS.png,figures/04_ewas/VOLCANO_A1_asthma_GLOBAL_vs_CONTROLS.png,figures/04_ewas/MANHATTAN_A1_asthma_GLOBAL_vs_CONTROLS.png
A10 — phenotype_signature_C2_vs_rest,864152,34299,2,2,1,1,1,0.9364952292941746,results/04_ewas/EWAS_A10_phenotype_signature_C2_vs_rest.csv,results/04_ewas/EWAS_A10_phenotype_signature_C2_vs_rest_FDR.csv,results/04_ewas/EWAS_A10_phenotype_signature_C2_vs_rest_HITS.csv,results/04_ewas/EWAS_A10_phenotype_signature_C2_vs_rest_Top20.csv,results/04_ewas/EWAS_A10_phenotype_signature_C2_vs_rest_Top20_genes.csv,figures/04_ewas/QQ_A10_phenotype_signature_C2_vs_rest.png,figures/04_ewas/VOLCANO_A10_phenotype_signature_C2_vs_rest.png,figures/04_ewas/MANHATTAN_A10_phenotype_signature_C2_vs_rest.png
A11 — phenotype_signature_C3_vs_rest,864152,52761,0,0,0,0,0,1.260946077967137,results/04_ewas/EWAS_A11_phenotype_signature_C3_vs_rest.csv,results/04_ewas/EWAS_A11_phenotype_signature_C3_vs_rest_FDR.csv,results/04_ewas/EWAS_A11_phenotype_signature_C3_vs_rest_HITS.csv,results/04_ewas/EWAS_A11_phenotype_signature_C3_vs_rest_Top20.csv,results/04_ewas/EWAS_A11_phenotype_signature_C3_vs_rest_Top20_genes.csv,figures/04_ewas/QQ_A11_phenotype_signature_C3_vs_rest.png,figures/04_ewas/VOLCANO_A11_phenotype_signature_C3_vs_rest.png,figures/04_ewas/MANHATTAN_A11_phenotype_signature_C3_vs_rest.png
A12 — phenotype_signature_C4_vs_rest,864152,31652,0,0,0,0,0,0.9916691730766716,results/04_ewas/EWAS_A12_phenotype_signature_C4_vs_rest.csv,results/04_ewas/EWAS_A12_phenotype_signature_C4_vs_rest_FDR.csv,results/04_ewas/EWAS_A12_phenotype_signature_C4_vs_rest_HITS.csv,results/04_ewas/EWAS_A12_phenotype_signature_C4_vs_rest_Top20.csv,results/04_ewas/EWAS_A12_phenotype_signature_C4_vs_rest_Top20_genes.csv,figures/04_ewas/QQ_A12_phenotype_signature_C4_vs_rest.png,figures/04_ewas/VOLCANO_A12_phenotype_signature_C4_vs_rest.png,figures/04_ewas/MANHATTAN_A12_phenotype_signature_C4_vs_rest.png
A13 — phenotype_signature_C5_vs_rest,864152,122657,48452,18779,9057,8061,63,1.8635474706755455,results/04_ewas/EWAS_A13_phenotype_signature_C5_vs_rest.csv,results/04_ewas/EWAS_A13_phenotype_signature_C5_vs_rest_FDR.csv,results/04_ewas/EWAS_A13_phenotype_signature_C5_vs_rest_HITS.csv,results/04_ewas/EWAS_A13_phenotype_signature_C5_vs_rest_Top20.csv,results/04_ewas/EWAS_A13_phenotype_signature_C5_vs_rest_Top20_genes.csv,figures/04_ewas/QQ_A13_phenotype_signature_C5_vs_rest.png,figures/04_ewas/VOLCANO_A13_phenotype_signature_C5_vs_rest.png,figures/04_ewas/MANHATTAN_A13_phenotype_signature_C5_vs_rest.png
A14 — phenotype_signature_C6_vs_rest,864152,125943,29517,0,0,0,0,1.9936724525254392,results/04_ewas/EWAS_A14_phenotype_signature_C6_vs_rest.csv,results/04_ewas/EWAS_A14_phenotype_signature_C6_vs_rest_FDR.csv,results/04_ewas/EWAS_A14_phenotype_signature_C6_vs_rest_HITS.csv,results/04_ewas/EWAS_A14_phenotype_signature_C6_vs_rest_Top20.csv,results/04_ewas/EWAS_A14_phenotype_signature_C6_vs_rest_Top20_genes.csv,figures/04_ewas/QQ_A14_phenotype_signature_C6_vs_rest.png,figures/04_ewas/VOLCANO_A14_phenotype_signature_C6_vs_rest.png,figures/04_ewas/MANHATTAN_A14_phenotype_signature_C6_vs_rest.png
A2 — asthma_ATOPIC_vs_Control_Atopic,864152,101264,5208,1,1,1,1,1.5943962260068938,results/04_ewas/EWAS_A2_asthma_ATOPIC_vs_Control_Atopic.csv,results/04_ewas/EWAS_A2_asthma_ATOPIC_vs_Control_Atopic_FDR.csv,results/04_ewas/EWAS_A2_asthma_ATOPIC_vs_Control_Atopic_HITS.csv,results/04_ewas/EWAS_A2_asthma_ATOPIC_vs_Control_Atopic_Top20.csv,results/04_ewas/EWAS_A2_asthma_ATOPIC_vs_Control_Atopic_Top20_genes.csv,figures/04_ewas/QQ_A2_asthma_ATOPIC_vs_Control_Atopic.png,figures/04_ewas/VOLCANO_A2_asthma_ATOPIC_vs_Control_Atopic.png,figures/04_ewas/MANHATTAN_A2_asthma_ATOPIC_vs_Control_Atopic.png
A3 — asthma_NONATOPIC_vs_Control_NonAtopic,864152,26550,0,0,0,0,0,0.7405691164499495,results/04_ewas/EWAS_A3_asthma_NONATOPIC_vs_Control_NonAtopic.csv,results/04_ewas/EWAS_A3_asthma_NONATOPIC_vs_Control_NonAtopic_FDR.csv,results/04_ewas/EWAS_A3_asthma_NONATOPIC_vs_Control_NonAtopic_HITS.csv,results/04_ewas/EWAS_A3_asthma_NONATOPIC_vs_Control_NonAtopic_Top20.csv,results/04_ewas/EWAS_A3_asthma_NONATOPIC_vs_Control_NonAtopic_Top20_genes.csv,figures/04_ewas/QQ_A3_asthma_NONATOPIC_vs_Control_NonAtopic.png,figures/04_ewas/VOLCANO_A3_asthma_NONATOPIC_vs_Control_NonAtopic.png,figures/04_ewas/MANHATTAN_A3_asthma_NONATOPIC_vs_Control_NonAtopic.png
A4 — atopy_CONTROLS_C6_vs_C4,864152,36258,0,0,0,0,0,0.927569018501802,results/04_ewas/EWAS_A4_atopy_CONTROLS_C6_vs_C4.csv,results/04_ewas/EWAS_A4_atopy_CONTROLS_C6_vs_C4_FDR.csv,results/04_ewas/EWAS_A4_atopy_CONTROLS_C6_vs_C4_HITS.csv,results/04_ewas/EWAS_A4_atopy_CONTROLS_C6_vs_C4_Top20.csv,results/04_ewas/EWAS_A4_atopy_CONTROLS_C6_vs_C4_Top20_genes.csv,figures/04_ewas/QQ_A4_atopy_CONTROLS_C6_vs_C4.png,figures/04_ewas/VOLCANO_A4_atopy_CONTROLS_C6_vs_C4.png,figures/04_ewas/MANHATTAN_A4_atopy_CONTROLS_C6_vs_C4.png
A5 — atopy_IN_ASTHMA,864152,129633,56318,15279,2614,2542,3,1.935783968355285,results/04_ewas/EWAS_A5_atopy_IN_ASTHMA.csv,results/04_ewas/EWAS_A5_atopy_IN_ASTHMA_FDR.csv,results/04_ewas/EWAS_A5_atopy_IN_ASTHMA_HITS.csv,results/04_ewas/EWAS_A5_atopy_IN_ASTHMA_Top20.csv,results/04_ewas/EWAS_A5_atopy_IN_ASTHMA_Top20_genes.csv,figures/04_ewas/QQ_A5_atopy_IN_ASTHMA.png,figures/04_ewas/VOLCANO_A5_atopy_IN_ASTHMA.png,figures/04_ewas/MANHATTAN_A5_atopy_IN_ASTHMA.png
