ONTOLOGY,TERM,N,DE,P.DE,FDR,SigGenesInSet
BP,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,247,8,4.5417533739239817e-4,1,"ADCY9,GPR161,PDE4B,PRKCA,CACNA1D,LGR5,LPAR2,GABBR2"
BP,adenylate cyclase-activating G protein-coupled receptor signaling pathway,157,6,7.55741343747364e-4,1,"ADCY9,GPR161,PDE4B,PRKCA,LGR5,LPAR2"
BP,double-strand break repair via nonhomologous end joining,64,4,8.729179244858491e-4,1,"KDM2A,MLH1,MRNIP,UVRAG"
BP,negative regulation of osteoclast development,5,2,9.125573802863481e-4,1,"LILRB1,FBXW7"
BP,positive regulation of lipopolysaccharide-mediated signaling pathway,10,2,0.0023759738586357254,1,"CD180,PRKCA"
MF,anti-Mullerian hormone receptor activity,1,1,0.0025553925935581233,1,AMHR2
MF,motilin receptor binding,1,1,0.0027218254261934228,1,MLN
BP,myoblast migration,13,2,0.0028232043438529636,1,"BIN3,MEGF10"
BP,recruitment of mRNA capping enzyme to RNA polymerase II holoenzyme complex,1,1,0.0028697193632213312,1,RAMAC
CC,cytoskeleton,2379,30,0.002999934598189621,1,"APC2,TACC2,PDLIM5,CORIN,CKAP2L,TTLL11,DMD,CFAP61,IL1RN,JAK1,CD180,MYO10,ROR2,PDE4B,CCDC40,FRMD4A,PRKCA,BIN3,AFAP1,RPS6KA2,EFCAB6,TBCD,UVRAG,CLIP2,CCDC68,MAD1L1,NEURL4,KCNAB2,CHMP7,LRRFIP1"
MF,interleukin-1 type I receptor antagonist activity,1,1,0.0030693200190575393,1,IL1RN
MF,interleukin-1 type II receptor antagonist activity,1,1,0.0030693200190575393,1,IL1RN
BP,regulation of osteoclast development,11,2,0.0030709464783765456,1,"LILRB1,FBXW7"
CC,translation initiation ternary complex,1,1,0.0032451456116064006,1,EIF2S1
BP,cellular response to lipid hydroperoxide,1,1,0.004770864654751239,1,MGST1
BP,gamma-delta T cell activation involved in immune response,1,1,0.004997513778995296,1,LILRB1
MF,HLA-A specific inhibitory MHC class I receptor activity,1,1,0.004997513778995296,1,LILRB1
BP,regulation of gamma-delta T cell activation involved in immune response,1,1,0.004997513778995296,1,LILRB1
BP,positive regulation of gamma-delta T cell activation involved in immune response,1,1,0.004997513778995296,1,LILRB1
BP,regulation of adenylate cyclase activity,44,3,0.005612975604761356,1,"CACNA1D,LGR5,GABBR2"
CC,mRNA cap methyltransferase complex,2,1,0.005847580121516629,1,RAMAC
BP,RNA 5'-cap (guanine-N7)-methylation,2,1,0.005847580121516629,1,RAMAC
BP,cell envelope organization,2,1,0.005931083391822319,1,HRNR
MF,selenocysteine lyase activity,1,1,0.006301642710360317,1,SCLY
BP,selenocysteine catabolic process,1,1,0.006301642710360317,1,SCLY
BP,regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway,14,2,0.0069072799809231705,1,"PDE4B,PRKCA"
BP,positive regulation of macrophage differentiation,16,2,0.006994752119048514,1,"ROR2,PRKCA"
BP,male sex differentiation,173,5,0.007149854563831842,1,"BCL2L11,ADAM32,AMHR2,ROR2,CSMD1"
MF,HLA-B specific inhibitory MHC class I receptor activity,2,1,0.007351742597018509,1,LILRB1
CC,late recombination nodule,1,1,0.007704008524077025,1,MLH1
BP,regulation of cyclase activity,53,3,0.009068023031249803,1,"CACNA1D,LGR5,GABBR2"
CC,ESCRT complex,27,2,0.00914166338842945,1,"UEVLD,CHMP7"
BP,regulation of lyase activity,57,3,0.009473054745671821,1,"CACNA1D,LGR5,GABBR2"
CC,electron transfer flavoprotein complex,2,1,0.009973556016548691,1,ETFB
BP,basement membrane disassembly,3,1,0.009973962808377288,1,CTSS
BP,meiotic metaphase I homologous chromosome alignment,2,1,0.010437839092475448,1,MLH1
CC,recombination nodule,2,1,0.010440524258972747,1,MLH1
BP,response to kainic acid,3,1,0.010648843378289254,1,EIF2S1
CC,keratohyalin granule,4,1,0.01090107931735946,1,HRNR
BP,regulation of lipopolysaccharide-mediated signaling pathway,28,2,0.011270813721190764,1,"CD180,PRKCA"
MF,"catalytic activity, acting on a protein",2227,26,0.011418728515194636,1,"CORIN,CTSS,TTLL11,ADAM32,TRIML2,KDM2A,AMHR2,JAK1,USP17L1,MGAT5,ROR2,PDK1,PPM1A,PRKCA,GALNT16,RNF213,PTPRN2,RPS6KA2,NXN,SMYD3,CAPN15,SRMS,STK10,ADAM12,ADAMTS12,NEURL4,MTMR3"
MF,"interleukin-1, type II receptor binding",2,1,0.01154117883785009,1,IL1RN
BP,response to lipid hydroperoxide,3,1,0.011581496274593763,1,MGST1
CC,microtubule cytoskeleton,1372,18,0.011611033329714736,1,"APC2,TACC2,CKAP2L,TTLL11,IL1RN,CD180,ROR2,PDE4B,PRKCA,RPS6KA2,TBCD,UVRAG,CLIP2,CCDC68,MAD1L1,NEURL4,KCNAB2,CHMP7"
CC,eukaryotic translation initiation factor 2 complex,4,1,0.01186443629712099,1,EIF2S1
BP,regulation of cardiac endothelial to mesenchymal transition,2,1,0.012213497549846282,1,GATA5
BP,positive regulation of cardiac endothelial to mesenchymal transition,2,1,0.012213497549846282,1,GATA5
BP,basal protein localization,1,1,0.01228054698097355,1,ERBIN
BP,negative regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell,3,1,0.012470298671559342,1,LILRB1
MF,protein-hormone receptor activity,21,2,0.012752948730057471,1,"AMHR2,LGR5"
BP,division septum assembly,1,1,0.012978660155866639,1,BIN3
BP,actin cortical patch localization,1,1,0.012978660155866639,1,BIN3
BP,cell septum assembly,1,1,0.012978660155866639,1,BIN3
BP,regulation of sphingomyelin catabolic process,2,1,0.01303657961926466,1,ENPP7
BP,positive regulation of sphingomyelin catabolic process,2,1,0.01303657961926466,1,ENPP7
BP,regulation of myeloid leukocyte differentiation,124,4,0.013280444569254472,1,"LILRB1,ROR2,FBXW7,PRKCA"
BP,meiotic metaphase chromosome alignment,3,1,0.013354123135573673,1,MLH1
BP,plasma membrane tubulation,19,2,0.013453364357004095,1,"BIN3,ATP10A"
BP,regulation of macrophage differentiation,25,2,0.013655184591604681,1,"ROR2,PRKCA"
BP,osteoclast development,18,2,0.013852818841723161,1,"LILRB1,FBXW7"
BP,bone cell development,18,2,0.013852818841723161,1,"LILRB1,FBXW7"
MF,double-stranded RNA binding,73,3,0.013989696885739911,1,"ADARB2,ILF2,LRRFIP1"
CC,chiasma,2,1,0.014135580011746487,1,MLH1
BP,response to manganese-induced endoplasmic reticulum stress,3,1,0.014178125519781084,1,EIF2S1
CC,filopodium membrane,18,2,0.014770315804500011,1,"DMD,MYO10"
BP,positive regulation of type B pancreatic cell apoptotic process,3,1,0.014935140739855458,1,EIF2S1
MF,"transforming growth factor beta receptor activity, type II",2,1,0.01566342616068713,1,AMHR2
CC,tertiary granule,164,4,0.01569224902065152,1,"CTSS,ILF2,PTPRN2,KCNAB2"
BP,positive regulation of phospholipid catabolic process,3,1,0.015975178913000508,1,ENPP7
BP,phosphatidylinositol 5-phosphate metabolic process,2,1,0.01599421080472384,1,MTMR3
BP,metaphase chromosome alignment,95,3,0.016013315746801062,1,"MLH1,MAD1L1,CHMP7"
CC,MutLalpha complex,3,1,0.01606443354682725,1,MLH1
MF,guanine/thymine mispair binding,3,1,0.01607830727815351,1,MLH1
BP,negative regulation of hepatocyte growth factor receptor signaling pathway,1,1,0.016365069818494848,1,ADAMTS12
BP,regulation of cellular response to hepatocyte growth factor stimulus,1,1,0.016365069818494848,1,ADAMTS12
BP,negative regulation of cellular response to hepatocyte growth factor stimulus,1,1,0.016365069818494848,1,ADAMTS12
BP,regulation of synaptic signaling by nitric oxide,1,1,0.017516708309234644,1,ROR2
BP,meiotic spindle midzone assembly,2,1,0.01755114055386608,1,MLH1
BP,adenylate cyclase-activating adrenergic receptor signaling pathway,27,2,0.01755354012183849,1,"ADCY9,PDE4B"
BP,selenocysteine metabolic process,3,1,0.01760474086360535,1,SCLY
BP,negative regulation of osteoclast differentiation,33,2,0.018109600314069167,1,"LILRB1,FBXW7"
BP,lipid modification by small protein conjugation,1,1,0.018536842895835615,1,RNF213
BP,lipid ubiquitination,1,1,0.018536842895835615,1,RNF213
CC,pinceau fiber,1,1,0.018635631401578978,1,KCNAB2
BP,positive regulation of intestinal cholesterol absorption,3,1,0.018669720987690652,1,ENPP7
BP,microtubule cytoskeleton organization,649,10,0.019193332707740336,1,"APC2,TACC2,TTLL11,MLH1,CCDC40,TBCD,UVRAG,CLIP2,CCDC68,CHMP7"
BP,positive regulation of angiotensin-activated signaling pathway,1,1,0.019293880834643094,1,PRKCA
BP,anti-Mullerian hormone signaling pathway,3,1,0.019391620561927163,1,AMHR2
BP,male gonad development,149,4,0.019477067461431873,1,"BCL2L11,ADAM32,AMHR2,CSMD1"
CC,MAD1 complex,1,1,0.019590388146362252,1,MAD1L1
BP,negative regulation of protein tyrosine phosphatase activity,2,1,0.019612973681114462,1,MGAT5
BP,regulation of systemic arterial blood pressure by hormone,38,2,0.019908880063129544,1,"CORIN,RPS6KA2"
BP,regulation of systemic arterial blood pressure by atrial natriuretic peptide,2,1,0.020008738591830742,1,CORIN
BP,development of primary male sexual characteristics,150,4,0.02061077084275391,1,"BCL2L11,ADAM32,AMHR2,CSMD1"
BP,myoblast migration involved in skeletal muscle regeneration,4,1,0.021202622016018698,1,BIN3
BP,positive regulation of Rho protein signal transduction,32,2,0.02128300644520712,1,"GPR20,LPAR2"
BP,positive regulation of intestinal absorption,4,1,0.02130434973832703,1,ENPP7
BP,positive regulation of intestinal lipid absorption,4,1,0.02130434973832703,1,ENPP7
BP,negative regulation of SREBP signaling pathway,3,1,0.021328194702234356,1,FBXW7
BP,Mullerian duct regression,4,1,0.021414163853954143,1,AMHR2
BP,negative regulation of serotonin secretion,5,1,0.021419813496560334,1,LILRB1
MF,"interleukin-1, type I receptor binding",2,1,0.02145235867488679,1,IL1RN
BP,positive regulation of adenylate cyclase activity,31,2,0.021632602501175425,1,"CACNA1D,LGR5"
BP,negative regulation of mitotic recombination,4,1,0.021926558220540616,1,MLH1
CC,mitotic spindle assembly checkpoint MAD1-MAD2 complex,2,1,0.022259886547529993,1,MAD1L1
BP,establishment of chromosome localization,107,3,0.02291734428746752,1,"MLH1,MAD1L1,CHMP7"
BP,positive regulation of dense core granule biogenesis,2,1,0.023249467531166634,1,PRKCA
MF,lysophosphatidic acid receptor activity,5,1,0.02326004794528387,1,LPAR2
MF,MHC class Ib receptor activity,8,1,0.023318048354723713,1,LILRB1
BP,adrenergic receptor signaling pathway,33,2,0.02334891527242486,1,"ADCY9,PDE4B"
BP,Golgi to secretory granule transport,3,1,0.023439761176510202,1,BICDL2
CC,glial limiting end-foot,3,1,0.024356114210627968,1,EIF2S1
MF,interleukin-1 receptor antagonist activity,3,1,0.024490755232226234,1,IL1RN
BP,N-terminal protein myristoylation,4,1,0.02450088031653525,1,PPM1A
BP,protein myristoylation,4,1,0.02450088031653525,1,PPM1A
BP,T cell proliferation involved in immune response,5,1,0.025117782106019636,1,LILRB1
BP,cardiac endothelial to mesenchymal transition,3,1,0.02528117879768963,1,GATA5
BP,negative regulation of triglyceride biosynthetic process,5,1,0.02545599296914046,1,FBXW7
MF,inhibitory MHC class I receptor activity,9,1,0.02615807951104617,1,LILRB1
CC,extrinsic component of cytoplasmic side of plasma membrane,69,3,0.02625981145373463,1,"JAK1,SRMS,KCNAB2"
BP,female meiosis chromosome segregation,6,1,0.026348267552782075,1,MLH1
BP,RNA (guanine-N7)-methylation,6,1,0.026352489498682113,1,RAMAC
MF,MHC class Ib protein complex binding,4,1,0.026415982380399963,1,LILRB1
BP,negative regulation of translational initiation in response to stress,4,1,0.026654155936447693,1,EIF2S1
BP,dense core granule biogenesis,3,1,0.026761088036333702,1,PRKCA
BP,regulation of dense core granule biogenesis,3,1,0.026761088036333702,1,PRKCA
BP,positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway,3,1,0.026955459966118964,1,FBXW7
MF,plus-end directed microfilament motor activity,3,1,0.027117630737384046,1,MYO10
BP,regulation of voltage-gated calcium channel activity,35,2,0.027135787639882922,1,"DMD,PDE4B"
CC,tertiary granule lumen,55,2,0.027246092010609076,1,"CTSS,ILF2"
BP,regulation of phospholipid metabolic process,35,2,0.0276633076933508,1,"ENPP7,MTMR3"
BP,male meiosis chromosome segregation,4,1,0.027823738470965424,1,MLH1
BP,regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion,4,1,0.027878675110870374,1,DMD
MF,endopeptidase activity,381,6,0.028011546675076646,1,"CORIN,CTSS,ADAM32,CAPN15,ADAM12,ADAMTS12"
BP,regulation of cell-cell adhesion,490,8,0.028027351025163467,1,"LILRB1,GLI2,IL1RN,JAK1,MYO10,PRKCA,MAD1L1,MEGF10"
BP,muscle cell development,194,5,0.028073703649169446,1,"PDLIM5,DMD,BIN3,SMYD3,MEGF10"
MF,protein-disulfide reductase (NAD(P)) activity,4,1,0.028203473640841477,1,NXN
BP,unidimensional cell growth,3,1,0.02820984473811559,1,BIN3
BP,oogenesis,110,3,0.02831934356758179,1,"MLH1,RPS6KA2,LGR5"
BP,myoblast development,4,1,0.02836344515871124,1,MEGF10
MF,phosphothreonine residue binding,3,1,0.028421107016910366,1,FBXW7
MF,MutSalpha complex binding,7,1,0.0284914230418043,1,MLH1
BP,apoptotic process involved in embryonic digit morphogenesis,3,1,0.028538662299224284,1,BCL2L11
BP,negative regulation of nucleotide-binding oligomerization domain containing signaling pathway,4,1,0.028719790733079984,1,ERBIN
BP,negative regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway,4,1,0.028719790733079984,1,ERBIN
BP,determination of pancreatic left/right asymmetry,5,1,0.028930322811449215,1,CCDC40
BP,positive regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway,4,1,0.02896922854701637,1,PRKCA
CC,endolysosome lumen,5,1,0.02933985671472712,1,CTSS
BP,regulation of acetyl-CoA biosynthetic process from pyruvate,4,1,0.029392294946201297,1,PDK1
BP,negative regulation of interleukin-1-mediated signaling pathway,7,1,0.02973950791586607,1,IL1RN
BP,nuclear membrane organization,43,2,0.029875354520360095,1,"PRKCA,CHMP7"
BP,positive regulation of epidermal growth factor-activated receptor activity,5,1,0.029885467636519284,1,FBXW7
MF,N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity,4,1,0.029905874972206425,1,CHSY3
BP,Fc receptor mediated inhibitory signaling pathway,5,1,0.030161211568078168,1,LILRB1
CC,alpha-beta T cell receptor complex,5,1,0.030216486163164174,1,"CD3D,CD3G"
BP,multivesicular body sorting pathway,46,2,0.030274992717905395,1,"UVRAG,CHMP7"
BP,cytokinetic process,42,2,0.030888380736368855,1,"BIN3,CHMP7"
BP,negative regulation of monocyte chemotactic protein-1 production,6,1,0.03100100011856833,1,ERBIN
BP,regulation of serotonin secretion,7,1,0.031086054541145536,1,LILRB1
BP,chromosome localization,115,3,0.031502364388376,1,"MLH1,MAD1L1,CHMP7"
MF,splicing factor binding,5,1,0.03191518430944826,1,RBM20
BP,positive regulation of lyase activity,39,2,0.03213667995231966,1,"CACNA1D,LGR5"
