Description,N,DE,P.DE,FDR,SigGenesInSet
"Alanine, aspartate and glutamate metabolism",37,2,0.024314712202983042,1,"GLS,ASNS"
D-Amino acid metabolism,6,1,0.035101189102695746,1,GLS
GABAergic synapse,89,3,0.0431747154303556,1,"GPHN,GLS,GNAI1"
Fatty acid metabolism,56,2,0.06244924302805939,1,"ACADSB,ELOVL7"
Hedgehog signaling pathway,56,2,0.10099536117576004,1,"EVC,GLI2"
Renin-angiotensin system,23,1,0.11171793145567538,1,MME
Folate biosynthesis,28,1,0.11934625201111182,1,GPHN
Other glycan degradation,18,1,0.12390936090989799,1,MAN2B1
Cytoskeleton in muscle cells,233,4,0.13056982457759803,1,"DTNA,FBN2,SUN2,ANK2"
Proximal tubule bicarbonate reclamation,23,1,0.13095322392410325,1,GLS
Polycomb repressive complex,83,2,0.13189969228070955,1,"YAF2,E2F6"
Arginine biosynthesis,23,1,0.1339550733300089,1,GLS
Asthma,29,1,0.14939929594401236,1,IL13
Fatty acid elongation,28,1,0.16046918039358105,1,ELOVL7
Glycerophospholipid metabolism,102,2,0.16688385375164666,1,"ETNK1,PLPP3"
Gap junction,89,2,0.1714448165077159,1,"GNAI1,PDGFC"
Biosynthesis of unsaturated fatty acids,27,1,0.17846951326605787,1,ELOVL7
Fat digestion and absorption,43,1,0.18591532300365324,1,PLPP3
Autophagy - other,32,1,0.19474215307037074,1,PIK3C3
Fatty acid degradation,43,1,0.20760275721800867,1,ACADSB
Morphine addiction,91,2,0.21027114699291832,1,"GNAI1,PDE4B"
Choline metabolism in cancer,98,2,0.21096683881620149,1,"PDGFC,PLPP3"
Homologous recombination,41,1,0.21867499632567855,1,RAD54B
Ether lipid metabolism,51,1,0.2446153217820582,1,PLPP3
Hippo signaling pathway - multiple species,29,1,0.25017334023256455,1,TEAD1
"Valine, leucine and isoleucine degradation",48,1,0.26128180452703426,1,ACADSB
"Parathyroid hormone synthesis, secretion and action",115,2,0.27719107902177986,1,"GNAI1,PDE4B"
Carbohydrate digestion and absorption,46,1,0.27822532494356533,1,GNAT3
Cornified envelope formation,213,2,0.28161903700816215,1,"EVPL,KRT37"
Estrogen signaling pathway,137,2,0.28329841481956186,1,"GNAI1,KRT37"
Pyrimidine metabolism,57,1,0.29630424894298046,1,UPP2
Glutamatergic synapse,116,2,0.2997695880021521,1,"GLS,GNAI1"
Apelin signaling pathway,139,2,0.30023645836788126,1,"GNAI1,PIK3C3"
Drug metabolism - other enzymes,82,1,0.30123012335182436,1,UPP2
Sphingolipid metabolism,55,1,0.31249737292917834,1,PLPP3
Staphylococcus aureus infection,93,1,0.31842874379833963,1,KRT37
Pertussis,77,1,0.32462592003433643,1,GNAI1
Cell adhesion molecule (CAM) interaction,155,2,0.327620718023088,1,"NRXN3,NRXN2"
Cocaine addiction,49,1,0.3309737322537617,1,GNAI1
Biosynthesis of amino acids,74,1,0.3334169189838101,1,ASNS
Complement and coagulation cascades,88,1,0.33708312255006767,1,F13B
Viral life cycle - HIV-1,68,1,0.3374222848131705,1,MAP1B
Inflammatory bowel disease,64,1,0.34337002941556144,1,IL13
Glycerolipid metabolism,64,1,0.36811925266341733,1,PLPP3
Thermogenesis,219,2,0.3700472256122044,1,"KDM3A,ARID1B"
Regulation of lipolysis in adipocytes,58,1,0.37053152025774805,1,GNAI1
RNA degradation,78,1,0.38110077177105284,1,LSM6
Basal cell carcinoma,63,1,0.3811498067999215,1,GLI2
Taste transduction,85,1,0.3856690222613801,1,GNAT3
Hippo signaling pathway,157,2,0.3862963979170744,1,"GLI2,TEAD1"
IL-17 signaling pathway,93,1,0.3887693184866854,1,IL13
Phospholipase D signaling pathway,147,2,0.39067416478643857,1,"PDGFC,PLPP3"
Renin secretion,69,1,0.40345120238323146,1,GNAI1
Nucleotide metabolism,83,1,0.40660026094980134,1,UPP2
Long-term depression,60,1,0.41451345268151113,1,GNAI1
Fc epsilon RI signaling pathway,67,1,0.4220904162423491,1,IL13
Hematopoietic cell lineage,93,1,0.43083886415973294,1,MME
Melanoma,72,1,0.43229798520601065,1,PDGFC
Viral myocarditis,67,1,0.4373257597301636,1,DTNA
Central carbon metabolism in cancer,70,1,0.44751879933613947,1,GLS
Metabolic pathways,1558,10,0.45280712671223605,1,"GPHN,UPP2,GLS,ACADSB,ASNS,PDE4B,PIK3C3,ETNK1,ELOVL7,PLPP3"
Inositol phosphate metabolism,78,1,0.467156225797162,1,PIK3C3
Gastric acid secretion,76,1,0.49276239201382843,1,GNAI1
Chagas disease,102,1,0.5022879073145771,1,GNAI1
Spliceosome,150,1,0.5096564683554629,1,LSM6
Progesterone-mediated oocyte maturation,98,1,0.5109041051957761,1,GNAI1
ATP-dependent chromatin remodeling,115,1,0.5147004155472287,1,ARID1B
Th1 and Th2 cell differentiation,91,1,0.5165426761347004,1,IL13
cAMP signaling pathway,225,2,0.5206360710532275,1,"GNAI1,PDE4B"
