"Description","N","DE","P.DE","FDR","SigGenesInSet","comp_id"
"Lysosome biogenesis",248,119,4.08633140804283e-05,0.0135306020733006,"AP3S2,RRAGB,AP3M2,AP4S1,SLC2A6,VPS26B,OSBPL1A,OSBPL5,OSBPL6,AP2M1,AP3S1,BORCS5,CLCN7,TPP1,SLC15A4,CLTC,AP1S3,NCOA7,HGSNAT,CTNS,CTSB,CTSD,CTSE,CTSG,CTSH,CTSK,CTSS,CTSZ,SLC38A9,AP2A2,AP1B1,AP2B1,AP1G1,DMXL1,SLC29A1,CLN8,SLC36A1,TPCN2,ARSG,GGA2,VPS13A,DMXL2,WDR7,VPS39,ABCB9,ATP6V0A2,HYAL4,PLA2G15,ATP6V0D2,ATP6V1C2,FUCA1,GAA,GALC,GALNS,OSBPL3,LYSET,GBA1,VPS41,GLB1,GM2A,GNS,SLC36A3,GUSB,HEXA,IGF2R,LAMP1,LIPA,M6PR,ARSB,MANBA,MITF,NPC1,SLC11A2,ATP6V0A4,TLR7,TLR8,ATP6V1H,VPS29,ATP6V1B2,ATP6V1C1,TPCN1,ATP6V1G2,ATP6V0A1,ATP6AP1,ACP5,TLR9,VPS13C,STX17,SLC29A3,LAPTM4B,PPT1,LGMN,PSAP,RPTOR,VPS18,SORT1,VPS33A,SLC11A1,BORCS8,LAPTM5,RAB7A,GNPTAB,TFEB,ROGDI,CLTCL1,DTNBP1,LAMTOR3,HYAL2,AP1S2,AP1G2,AP1M1,ATP6V1E2,ATP6V0D1,PPT2,SCARB2,LITAF,CD63,TTI1,LAPTM4A,PLEKHM1,FIG4","Sputum_Eosinophilic"
"Hematopoietic cell lineage",93,49,8.31662164115582e-05,0.0135306020733006,"CR1L,CSF1R,CSF3,CSF3R,CD55,DNTT,FCER2,FLT3,GP5,GYPA,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRB1,HLA-DRB5,IL1A,IL1B,IL1R1,IL2RA,IL4,IL5RA,IL6R,IL7R,ITGA1,ITGA4,ITGA5,ITGAM,KITLG,TNF,IL1R2,CD1B,CD1C,CD1D,CD3E,CD4,CD5,CD7,CD9,CD22,CD34,CD36,CD38,CD44,CD59","Sputum_Eosinophilic"
"Asthma",29,19,0.000111674332915637,0.0135306020733006,"FCER1A,MS4A2,FCER1G,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRB1,HLA-DRB5,IL4,IL10,IL13,PRG2,TNF,EPX","Sputum_Eosinophilic"
"T cell receptor signaling pathway",118,68,0.0001454903448742,0.0135306020733006,"AKT3,RASGRP1,PAK4,VAV3,MAP3K8,MAPK14,CTLA4,DLG1,AKT1,FYN,GRB2,GSK3B,IKBKB,IL2,IL4,IL10,ITK,RHOA,LCK,LCP2,NCK1,NFATC1,NFATC2,NFKB1,NFKBIB,PAK2,PDCD1,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PPP2CB,PPP2R1A,PPP2R2A,PPP2R2B,PPP2R2C,PPP2R3A,PPP2R5A,PPP2R5C,PPP2R5E,PPP3CA,PPP3CB,PPP3R1,PPP3R2,MAPK1,MAPK10,MAPK13,MAP2K1,PAK6,PTPN11,PTPRC,RAF1,TEC,TNF,VAV2,NCK2,CARD11,PIK3R3,IKBKG,CBLB,BCL10,MAP3K14,CD3E,CD247,CD4,CD28,GRAP2,CDC42","Sputum_Eosinophilic"
"Phagocytosis",251,112,0.000507288463545606,0.0330378152936655,"TLR6,TUBB3,ATG7,DCTN2,DCTN6,CFTR,OSBPL1A,CR1L,CTSB,CTSD,CTSG,CTSK,CTSS,DEFA1,DEFA3,DEFA4,DEFA5,DYNC1H1,DYNC1I1,DYNC1LI2,DNM2,ELANE,FCAR,FCGR2A,FCN1,FCN2,VPS39,ATP6V0A2,STX12,GABARAPL1,ATP6V0D2,ATP6V1C2,ALPL,DNM3,GAPVD1,VPS41,RABGEF1,SEC61A1,CD209,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRB1,HLA-DRB5,ITGA5,ITGAM,ITGB1,ITGB2,LAMP1,LCN2,LTF,M6PR,MPO,MSR1,NCF4,OLR1,ATP6V0A4,DCTN4,ATP6V1H,ATP6V1B2,ATP6V1C1,PIK3C3,PIK3CA,PIK3CB,PIK3CD,PIK3R1,ATP6V1G2,ATP6V0A1,ATP6AP1,ATG16L1,PRTN3,AZU1,VPS18,RAB27A,RAB27B,RAB5C,RAC1,RAC2,MAP1LC3B2,CLEC7A,VPS33A,SYK,TAP1,TAP2,THBS4,TLR4,DEFA1B,UVRAG,TUBA1A,RAB7A,DYNC2H1,COLEC12,CANX,DYNLRB2,EEA1,STX7,HVCN1,DCTN5,ATG4C,PIK3R3,BECN1,MARCO,ATP6V1E2,ATP6V0D1,ATG5,CD36,SEC22B,CD63,RUBCN,MRC2","Sputum_Eosinophilic"
"Sphingolipid signaling pathway",123,68,0.000532867988607509,0.0330378152936655,"AKT3,GNA13,DEGS2,SGPP2,ADORA3,MAPK14,CTSD,SGMS2,AKT1,FCER1A,MS4A2,FCER1G,PLCB1,FYN,CERS6,SGMS1,GNA12,GNAI1,GNAI2,GNAI3,GNAQ,RHOA,MAP3K5,ABCC1,NFKB1,NOS3,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PLD1,PPP2CB,PPP2R1A,PPP2R2A,PPP2R2B,PPP2R2C,PPP2R3A,PPP2R5A,PPP2R5C,PPP2R5E,SPTLC3,PRKCA,PRKCB,PRKCE,PRKCZ,MAPK1,MAPK10,MAPK13,MAP2K1,SPHK2,PTEN,RAC1,RAC2,RAF1,BCL2,BDKRB2,BID,TNF,TRAF2,CERS4,SGPP1,NSMAF,PIK3R3,SGPL1,S1PR2,SPTLC2,GAB2","Sputum_Eosinophilic"
"Fc epsilon RI signaling pathway",67,40,0.000998051094327629,0.0530392867271254,"AKT3,VAV3,PLA2G4E,MAPK14,AKT1,FCER1A,MS4A2,FCER1G,ALOX5,ALOX5AP,FYN,PLA2G4F,GRB2,IL4,IL13,INPP5D,LCP2,LYN,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PLA2G4A,PLCG2,PRKCA,MAPK1,MAPK10,MAPK13,MAP2K1,MAP2K6,RAC1,RAC2,RAF1,MAP2K4,SYK,TNF,VAV2,PIK3R3,GAB2","Sputum_Eosinophilic"
"IgSF CAM signaling",296,152,0.00189495790213607,0.0789730971540816,"CDH2,AKT3,ARPC4,ARPC1B,ACTR3,CD96,PAK4,TUBB3,MYL12B,MYL9,VAV3,BAIAP2,SORBS1,SLAMF6,SH2D1B,SSX2IP,JAML,MAPK14,CSK,CXADR,DCC,EPB41L1,EPB41L2,AKT1,UNC5B,FGFR1,NLGN4Y,SLITRK3,FOXO1,ERC1,NFASC,EPB41L3,GRIP1,CADM1,ABL1,FYN,CNTNAP2,ANK2,ANK3,GRB2,GSK3B,CD209,MYLK4,GLDN,APP,IL1RAP,INPP5D,ITGA4,ITGA5,ITGAL,ITGAM,ITGB1,ITGB2,KCNQ2,RHOA,LCK,LCP2,LMO7,LY9,LYN,MAP2,MBP,MPP3,MYH9,MYH10,MYH11,MYLK,NCAM2,NCK1,NRCAM,NTRK3,PAK2,PDPK1,RAPGEF6,CD244,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PLCG2,PLXNA1,PLXNA2,PMP22,ROBO4,PRKCA,PRKCB,PRKCI,MAPK1,MAPK10,MAPK13,MAP2K1,CRTAM,PARD3,PAK6,PTK2,NLGN4X,SRGAP1,NLGN2,PTPN11,SLAMF7,CADM3,PTPRS,PTPRZ1,NECTIN1,PXN,RAC1,RAP1A,RAP1B,ROBO1,ROBO2,SCN8A,ACTR3C,SLIT1,SLIT3,SPTAN1,SPTBN1,SPTBN2,SRC,CNTN2,TRIO,TRPC6,VAV2,VCL,EZR,TUBA1A,MYH14,CLMP,ACTN4,NECTIN4,NCK2,PARD6G,KIRREL3,PPFIA2,PPFIA1,PIK3R3,MYLK2,CASK,UNC5C,ACTN1,NRP2,NRP1,CD84,DOK2,CABLES1,MYLK3,MAGI1,CD28,CD86,CD48,RAPGEF2,MTSS1,MAGI2,SRGAP3,CDC42,CDH1","Sputum_Eosinophilic"
"Endocytosis",249,123,0.00203390948839136,0.0789730971540816,"RNF103-CHMP3,ARPC4,ARPC1B,ACTR3,ARFGEF2,ARFGEF1,STAMBP,RAB10,EHD1,RAB31,WWP1,VPS26B,VPS45,ARAP2,ARAP1,AGAP2,AGAP1,AGAP3,AP2M1,CLTC,CCR5,CHMP4B,GRK2,GRK3,DAB2,AP2A2,AP2B1,DNM2,EPS15,FGFR2,RAB11FIP2,EPN2,SPART,NEDD4L,PSD3,FOLR3,PSD4,DNM3,LDLRAP1,ARFGAP3,SNX5,BIN1,GRK4,GRK5,SH3KBP1,EHD4,EHD3,HLA-C,IGF1R,IGF2R,IL2RA,CXCR1,CXCR2,KIF5C,ARF5,RHOA,LDLR,ARRB1,SMAD2,SMAD3,ARRB2,MDM2,RAB8A,IQSEC3,NEDD4,ASAP1,WASHC3,VPS28,CHMP3,VPS29,PLD1,PML,EPN3,VPS37C,ARFGAP1,PRKCI,PRKCZ,PARD3,SMURF1,EPS15L1,RAB5C,RBSN,ARAP3,WIPF3,SH3GL1,SMAP2,SMURF2,ACTR3C,SNX1,SRC,TGFBR2,WIPF1,RAB7A,VPS37B,RAB11FIP1,RUFY1,STAM,CLTCL1,CAPZB,ITCH,PIP5K1A,PIP5K1B,EEA1,VPS25,RAB11FIP4,PARD6G,CAV2,CBLB,SNX4,ASAP2,MVB12B,RAB11B,CYTH3,CYTH1,MVB12A,ZFYVE9,RAB11FIP3,ACAP1,ZFYVE16,IST1,GIT2,DNAJC6,WASHC5,IQSEC1,CDC42","Sputum_Eosinophilic"
"Tuberculosis",178,79,0.00212293271919574,0.0789730971540816,"AKT3,TLR6,CEBPB,CR1L,CREB1,CREBBP,MAPK14,CTSD,CTSS,EP300,AKT1,FCER1G,FCGR2A,ATP6V0A2,ATP6V0D2,CD209,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRB1,HLA-DRB5,APAF1,HSPA9,HSPD1,IL1A,IL1B,IL10,IL10RB,IL18,IRAK2,ITGAM,ITGB2,JAK1,RHOA,LAMP1,LSP1,NFKB1,NFYC,ATP6V0A4,ATP6V1H,PIK3C3,ATP6V0A1,ATP6AP1,TLR9,PPP3CA,PPP3CB,PPP3R1,PPP3R2,MAPK1,MAPK10,MAPK13,SPHK2,RAB5C,RAF1,BCL2,BID,NOD2,CLEC7A,SRC,STAT1,SYK,TGFB3,TLR4,TNF,VDR,RAB7A,CALM1,CAMK2G,CAMP,EEA1,FADD,KSR1,BCL10,ATP6V0D1,MRC2","Sputum_Eosinophilic"
