"Description","N","DE","P.DE","FDR","SigGenesInSet","comp_id"
"Efferocytosis",155,78,2.06619294385688e-05,0.00768623775114758,"ADAM10,ATP8A1,MERTK,CPT1A,CPT1B,CREB1,SIRPA,MAPK14,CX3CR1,DNMT3A,DOCK1,DUSP4,ABCA1,ANO6,STAB1,ATP11A,VPS39,VPS8,PLA2G15,ALOX5,VPS41,XKR6,GPR132,HIF1A,IL10,ITGAV,ITGB5,ARG1,XKR9,LRP1,NFATC1,NFATC3,ATP2A2,ATP2A3,P2RY6,ANO7,PBX1,GULP1,PPARD,PPARG,SLC66A1,SIRPG,STAB2,MAPK1,MAPK13,MAP2K1,MAP2K2,SPHK2,PTGER2,PTGS2,PTK2,VPS18,PTPN11,RAB5B,RXRA,RAB17,SGK1,VPS33A,SLC2A1,BSG,ADAM17,TGFB1,THBS1,C1QB,C1QC,UQCRFS1,RAB7A,DUSP16,CALR,CAMK2D,CAMK2G,CASP1,CASP7,HAVCR2,SCARF1,ADAM9,MAPKAPK2,CD36,ELMO1","Sputum_Mixed granulocytic"
"Osteoclast differentiation",134,62,0.000226741443600803,0.0421739085097494,"AKT3,TAB1,LILRB1,LILRB4,LILRB3,CHUK,OSCAR,CREB1,SIRPA,MAPK14,CSF1R,CYLD,TMEM64,AKT1,AKT2,FCGR3B,TAB2,FOS,FYN,BLNK,IFNAR2,IFNG,IFNGR2,IL1A,IL1R1,ITPR1,ITPR2,JAK1,LCK,LCP2,MITF,NCF2,NCF4,NFATC1,NFKB1,ATP2A2,ATP2A3,PIK3CB,PIK3R1,PLCG2,ACP5,PPARG,PPP3CA,PPP3CC,SIRPG,MAPK1,MAPK8,MAPK10,MAPK13,MAP2K1,SPI1,SYK,TEC,TGFB1,TGFBR1,TGFBR2,TNFRSF1A,TRAF2,TRAF6,LILRA6,TNFRSF11A,GAB2","Sputum_Mixed granulocytic"
"Staphylococcus aureus infection",93,32,0.000560954155780899,0.0695583153168315,"DEFA1,DEFA3,DEFA4,DEFA5,DEFB4A,FCAR,FCGR3B,FPR3,HLA-DOB,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,ICAM1,IL10,ITGAL,ITGAM,ITGB2,KRT10,KRT13,KRT17,KRT33B,CFB,C1QB,C1QC,C1S,C2,C3AR1,DEFA1B,KRT38,KRT37,KRT36","Sputum_Mixed granulocytic"
"Th17 cell differentiation",107,51,0.0011534061186951,0.107266769038644,"CHUK,MAPK14,AHR,FOS,MTOR,GATA3,LAT,HIF1A,HLA-DOB,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,IFNG,IFNGR2,IL1R1,IL1RAP,IL6R,IRF4,JAK1,JAK3,LCK,SMAD2,SMAD3,NFATC1,NFATC3,NFKB1,IL21R,PLCG1,PPP3CA,PPP3CC,MAPK1,MAPK8,MAPK10,MAPK13,RARA,RORA,RORC,RXRA,STAT3,STAT5B,TGFB1,TGFBR1,TGFBR2,RUNX1,CD3E,CD247","Sputum_Mixed granulocytic"
"Phosphatidylinositol signaling system",97,49,0.0014693494849711,0.10931960168185,"CDS1,IP6K3,DGKG,DGKH,DGKQ,INPP5F,SACM1L,PLCB1,PIP5K1C,INPP1,INPP4A,INPP5A,INPP5B,INPP5D,ITPK1,ITPKB,ITPR1,ITPR2,PLCE1,PIK3C2B,PIK3C2G,PIK3C3,PIK3CB,PIK3R1,PI4KA,PI4KB,PIP4K2A,PLCB2,PLCB4,PLCD1,PLCG1,PLCG2,PI4K2A,PIP4P2,PRKCA,PRKCB,PTEN,CALM1,PIP5K1B,DGKZ,DGKE,DGKD,CDS2,SYNJ2,MTMR3,MTMR2,PLCZ1,PIP4P1,MTMR7","Sputum_Mixed granulocytic"
"Glycerolipid metabolism",64,31,0.00310144218599522,0.15415017868768,"MGLL,MOGAT1,MBOAT2,TMEM68,GPAT4,MBOAT1,DGKG,DGKH,DGKQ,PLPP4,ALDH9A1,ALDH3A2,AKR1B1,LPIN1,LIPC,LPL,ALDH7A1,PNLIPRP1,AGPAT5,AGPAT3,AGPAT4,PNPLA2,GPAM,MOGAT2,PNPLA3,DGAT2,DGKZ,DGKE,DGKD,PLPP1,PLPP3,LPIN2","Sputum_Mixed granulocytic"
"Virion - Herpesvirus",8,7,0.00374412224845368,0.15415017868768,"PILRB,PILRA,IDE,IGF2R,ITGA5,NECTIN1,NECTIN2","Sputum_Mixed granulocytic"
"Fc epsilon RI signaling pathway",67,34,0.00377891465474003,0.15415017868768,"AKT3,VAV3,PLA2G4E,MAPK14,AKT1,AKT2,ALOX5,ALOX5AP,FYN,LAT,PLA2G4D,INPP5D,LCP2,LYN,PDPK1,PIK3CB,PIK3R1,PLA2G4A,PLCG1,PLCG2,PRKCA,MAPK1,MAPK8,MAPK10,MAPK13,MAP2K1,MAP2K2,RAC2,RAF1,MAP2K4,SOS1,SYK,VAV2,GAB2","Sputum_Mixed granulocytic"
"Phospholipase D signaling pathway",147,71,0.00405708824764836,0.15415017868768,"AKT3,LPAR6,RAPGEF3,ADCY2,RAPGEF4,ADCY9,PLA2G4E,PIK3R6,DGKG,DGKH,DGKQ,DNM1,DNM2,AGTR1,LPAR1,EGF,EGFR,ADCY4,AKT1,AKT2,PTK2B,PLCB1,PIP5K1C,PIK3R5,MTOR,FYN,GAB1,SHC2,DNM3,CYTH4,GNA12,PLA2G4D,GRM4,GRM7,GRM8,PDGFA,PDGFB,PIK3CB,PIK3CG,PIK3R1,PLA2G4A,PLCB2,PLCB4,PLCG1,SHC3,PLCG2,AGPAT5,PRKCA,MAPK1,PDGFC,MAP2K1,MAP2K2,SPHK2,AGPAT3,AGPAT4,LPAR5,PTPN11,RAF1,RALB,RALGDS,RHEB,SOS1,SYK,PDGFD,PIP5K1B,DGKZ,DGKE,DGKD,PLPP1,PLPP3,CYTH1,GAB2","Sputum_Mixed granulocytic"
"Phagocytosis",251,91,0.00469661404326038,0.15415017868768,"ATG7,DCTN2,DCTN6,CORO1A,OSBPL1A,COMP,CTSB,CTSG,DCTN1,DEFA1,DEFA3,DEFA4,DEFA5,DNM1,DYNC1H1,DYNC1I2,DNM2,ELANE,ALB,FCAR,FCGR3B,VPS39,ATP6V0A2,ATP6V1C2,ALPL,DNM3,GAPVD1,VPS41,SEC61A1,PIK3R4,HLA-DOB,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,TUBB2B,ITGA2,ITGA5,ITGAM,ITGAV,ITGB1,ITGB2,ITGB5,LAMP1,LCN2,LTF,MMP8,MPO,MAP1LC3C,MSR1,NCF2,NCF4,OLR1,DCTN4,ATP6V1D,ATP6V1H,ATP6V1B2,ATP6V1C1,PIK3C3,PIK3CB,PIK3R1,ATP6V0B,AZU1,VPS18,RAB5B,RAB27A,RAC2,SFTPD,CLEC7A,VPS33A,SYK,THBS1,DEFA1B,UVRAG,TUBA1A,RAB7A,DYNC2H1,COLEC12,CALR,CANX,DYNLRB1,EEA1,STX7,HVCN1,BECN1,MARCO,ATG16L2,ATP6V0E1,ATG5,CD36,MRC2","Sputum_Mixed granulocytic"
