"phenotype","other","n_shared","n_self","pct_of_self","jaccard"
"Eosinophilic","Mixed granulocytic",34208,92297,37.0629597928427,0.174440721872912
"Eosinophilic","Neutrophilic",11777,92297,12.7598946878013,0.115789991151313
"Eosinophilic","Paucigranulocytic",5877,92297,6.36748756730988,0.062479402102846
"Mixed granulocytic","Eosinophilic",34208,138012,24.7862504709735,0.174440721872912
"Mixed granulocytic","Neutrophilic",6238,138012,4.51989682056633,0.0407808373211998
"Mixed granulocytic","Paucigranulocytic",532,138012,0.385473726922297,0.00366585586020135
"Neutrophilic","Eosinophilic",11777,21190,55.5781028787164,0.115789991151313
"Neutrophilic","Mixed granulocytic",6238,21190,29.4384143463898,0.0407808373211998
"Neutrophilic","Paucigranulocytic",1184,21190,5.58754129306277,0.0428225252269522
"Paucigranulocytic","Eosinophilic",5877,7643,76.8938898338349,0.062479402102846
"Paucigranulocytic","Mixed granulocytic",532,7643,6.96061755855031,0.00366585586020135
"Paucigranulocytic","Neutrophilic",1184,7643,15.4912992280518,0.0428225252269522
