ONTOLOGY,TERM,N,DE,P.DE,FDR,SigGenesInSet
BP,respiratory burst after phagocytosis,4,2,3.2428551126718967e-4,1,"HCK,TREM2"
BP,negative regulation of fat cell proliferation,5,2,0.0010423208581606836,1,"E2F3,TREM2"
BP,regeneration,188,7,0.0011532645471950267,1,"TNC,NINJ2,NNMT,TM4SF4,FKRP,KREMEN1,STK24"
BP,glossopharyngeal nerve morphogenesis,4,2,0.0011799863647212264,1,"HOXA3,HOXB3"
BP,glossopharyngeal nerve development,5,2,0.002196388809832906,1,"HOXA3,HOXB3"
BP,peptidyl-arginine modification,10,2,0.0022062942852732383,1,"PRMT8,NDUFAF5"
BP,negative regulation of transcription from RNA polymerase II promoter in response to stress,8,2,0.00230495503605233,1,"NCK2,BAG3"
BP,toll-like receptor 6 signaling pathway,1,1,0.002909732727959062,1,TREM2
BP,regulation of toll-like receptor 6 signaling pathway,1,1,0.002909732727959062,1,TREM2
BP,C-C chemokine receptor CCR7 signaling pathway,1,1,0.002909732727959062,1,TREM2
BP,"positive regulation of complement activation, classical pathway",1,1,0.002909732727959062,1,TREM2
BP,detection of lipoteichoic acid,1,1,0.002909732727959062,1,TREM2
BP,regulation of C-C chemokine receptor CCR7 signaling pathway,1,1,0.002909732727959062,1,TREM2
BP,positive regulation of C-C chemokine receptor CCR7 signaling pathway,1,1,0.002909732727959062,1,TREM2
BP,positive regulation of CAMKK-AMPK signaling cascade,1,1,0.002909732727959062,1,TREM2
BP,excitatory synapse pruning,1,1,0.002909732727959062,1,TREM2
BP,positive regulation of synapse pruning,1,1,0.002909732727959062,1,TREM2
BP,positive regulation of CD40 signaling pathway,1,1,0.002909732727959062,1,TREM2
BP,regulation of resting membrane potential,10,2,0.002916822203771957,1,"NALCN,TREM2"
BP,thyroid gland development,31,3,0.0034177549487666233,1,"HOXA3,HOXB3,THRA"
BP,regulation of RNA-dependent RNA polymerase activity,1,1,0.00341909676391832,1,EIF4A2
BP,negative regulation of RNA-dependent RNA polymerase activity,1,1,0.00341909676391832,1,EIF4A2
BP,negative regulation of glial cell apoptotic process,9,2,0.003566009359692424,1,"TREM2,PRKCH"
BP,nicotinamide metabolic process,1,1,0.003764852738056983,1,NNMT
MF,nicotinamide N-methyltransferase activity,1,1,0.003764852738056983,1,NNMT
MF,pyridine N-methyltransferase activity,1,1,0.003764852738056983,1,NNMT
MF,ATPase regulator activity,49,3,0.0038365641911386134,1,"FXYD2,BRSK2,BAG3"
MF,methyltransferase activity,210,6,0.00436501408746616,1,"SETD1B,NNMT,PRMT8,TRMT9B,PRDM1,NDUFAF5"
BP,regulation of fat cell proliferation,10,2,0.0044353786240308194,1,"E2F3,TREM2"
BP,respiratory burst involved in defense response,16,2,0.004469508071282919,1,"HCK,TREM2"
BP,peptidyl-arginine hydroxylation,1,1,0.004697540401998759,1,NDUFAF5
BP,regulation of glial cell apoptotic process,10,2,0.005027004968081478,1,"TREM2,PRKCH"
MF,"transferase activity, transferring one-carbon groups",221,6,0.005282426901557297,1,"SETD1B,NNMT,PRMT8,TRMT9B,PRDM1,NDUFAF5"
MF,creatine:sodium symporter activity,1,1,0.006259255887696752,1,SLC6A8
BP,protein localization to plasma membrane,288,8,0.006395337944765548,1,"EHD1,RAB31,GORASP2,TREM2,CCDC88A,PRKCH,VIL1,CACNB2"
BP,response to axon injury,83,4,0.006512415327295605,1,"TNC,TREM2,KREMEN1,STK24"
BP,positive regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,2,1,0.007140896334479824,1,TREM2
BP,positive regulation of antigen processing and presentation of peptide antigen,2,1,0.007140896334479824,1,TREM2
BP,positive regulation of antigen processing and presentation of peptide antigen via MHC class II,2,1,0.007140896334479824,1,TREM2
BP,positive regulation of inward rectifier potassium channel activity,2,1,0.0073697034731422945,1,TREM2
BP,fat cell proliferation,14,2,0.007720301467843067,1,"E2F3,TREM2"
BP,actin filament severing,16,2,0.008275179793186333,1,"VIL1,SCIN"
BP,"positive regulation of phagocytosis, engulfment",13,2,0.00827783339470628,1,"RAB31,TREM2"
BP,positive regulation of membrane invagination,13,2,0.00827783339470628,1,"RAB31,TREM2"
BP,mesenchymal-epithelial cell signaling involved in prostate gland development,1,1,0.008492989285897735,1,TNC
BP,regulation of protein neddylation,19,2,0.00863424071661471,1,"DCUN1D2,COPS3"
MF,secondary active monocarboxylate transmembrane transporter activity,19,2,0.009054860971572275,1,"SLC6A8,SLC16A3"
BP,inactivation of X chromosome by heterochromatin formation,2,1,0.009283909787185476,1,SMCHD1
BP,"regulation of phagocytosis, engulfment",15,2,0.00968711325988401,1,"RAB31,TREM2"
BP,regulation of membrane invagination,15,2,0.00968711325988401,1,"RAB31,TREM2"
BP,regulation of P-type sodium:potassium-exchanging transporter activity,2,1,0.010202969736007048,1,FXYD2
BP,positive regulation of P-type sodium:potassium-exchanging transporter activity,2,1,0.010202969736007048,1,FXYD2
MF,S-adenosylmethionine-dependent methyltransferase activity,182,5,0.010371524709295695,1,"SETD1B,NNMT,PRMT8,TRMT9B,NDUFAF5"
BP,negative regulation of actin filament depolymerization,44,3,0.01037901109253287,1,"PLEKHH2,VIL1,SCIN"
BP,positive regulation of potassium ion transmembrane transporter activity,21,2,0.010586507163168144,1,"FXYD2,TREM2"
BP,glial cell apoptotic process,15,2,0.010699697959032358,1,"TREM2,PRKCH"
BP,mitochondrial translational initiation,2,1,0.010936844414382208,1,MTIF3
BP,detection of external biotic stimulus,26,2,0.011197497577761012,1,"HLA-A,TREM2"
CC,COPI-coated Golgi to ER transport vesicle,1,1,0.011268292111191867,1,CCDC88A
MF,type I interferon receptor activity,2,1,0.011887709298001429,1,IFNAR2
MF,HMG box domain binding,13,2,0.01207141787076018,1,"HOXA3,TCF12"
BP,"phagocytosis, engulfment",48,3,0.01214487036192803,1,"RAB31,TREM2,MARCO"
BP,maintenance of protein location in cell,64,3,0.012921790702383432,1,"VPS13D,CCDC88A,SCIN"
BP,regulation of alpha-beta T cell activation,114,4,0.013591589156999876,1,"HLA-A,HLX,ITPKB,PRDM1"
BP,regulation of cholesterol storage,19,2,0.013804987584333746,1,"EHD1,TREM2"
BP,axon regeneration,51,3,0.013817756984833006,1,"TNC,KREMEN1,STK24"
BP,negative regulation of macrophage colony-stimulating factor signaling pathway,3,1,0.01460368935698395,1,TREM2
MF,interleukin-22 receptor activity,3,1,0.014610668922439477,1,IFNAR2
BP,interleukin-22-mediated signaling pathway,3,1,0.014610668922439477,1,IFNAR2
BP,positive regulation of proteasomal protein catabolic process,117,4,0.014661827132417347,1,"ARIH2,FBXW8,FZR1,TREM2"
BP,apoptotic process,1938,24,0.014854779745350155,1,"RNPS1,DIDO1,RFFL,E2F3,EMP1,DDAH2,GRM4,HCK,ITPKB,TREM2,SHQ1,PRKCH,SNX6,RPS6KA1,THRA,CDK11A,VIL1,BTG2,KREMEN1,STK24,NCK2,SCIN,BRSK2,BAG3,BABAM2,CDK11B"
BP,detection of peptidoglycan,2,1,0.01488670510530598,1,TREM2
BP,creatine metabolic process,3,1,0.014991218615000954,1,SLC6A8
BP,regulation of extrathymic T cell differentiation,2,1,0.015084908917691594,1,PRDM1
MF,tRNA (carboxymethyluridine(34)-5-O)-methyltransferase activity,2,1,0.01533147748965128,1,TRMT9B
BP,protein neddylation,28,2,0.015748329958324096,1,"DCUN1D2,COPS3"
BP,T cell mediated cytotoxicity directed against tumor cell target,3,1,0.01577694635931924,1,HLA-A
BP,regulation of actin polymerization or depolymerization,152,5,0.015789088329170028,1,"PLEKHH2,HCK,VIL1,NCK2,SCIN"
BP,glial cell proliferation,59,3,0.01593607905260481,1,"CHRM1,TREM2,PRKCH"
BP,regulation of actin filament depolymerization,53,3,0.015978886212321117,1,"PLEKHH2,VIL1,SCIN"
BP,positive regulation of engulfment of apoptotic cell,2,1,0.01631958343905818,1,TREM2
BP,methylation,276,6,0.016810612494690586,1,"SETD1B,NNMT,PRMT8,TRMT9B,PRDM1,NDUFAF5"
BP,positive regulation of syncytium formation by plasma membrane fusion,24,2,0.017083004793513448,1,"EHD1,TREM2"
BP,epidermal growth factor receptor signaling pathway,107,4,0.017212364394023363,1,"CCDC88A,SNX6,VIL1,NCK2"
MF,neurotrophin TRKB receptor binding,1,1,0.017305515537799954,1,EFNA5
MF,neurotrophin TRKC receptor binding,1,1,0.017305515537799954,1,EFNA5
BP,regulation of actin filament length,155,5,0.017492417350589543,1,"PLEKHH2,HCK,VIL1,NCK2,SCIN"
BP,positive regulation of chemokine-mediated signaling pathway,3,1,0.01755226148275843,1,TREM2
MF,acetoacetate-CoA ligase activity,1,1,0.017585905215558032,1,AACS
BP,memory T cell extravasation,2,1,0.01768163708771363,1,ITGAL
BP,neuron projection regeneration,57,3,0.01777450495688139,1,"TNC,KREMEN1,STK24"
BP,protein localization to cell periphery,351,8,0.017801260824722845,1,"EHD1,RAB31,GORASP2,TREM2,CCDC88A,PRKCH,VIL1,CACNB2"
CC,protein complex involved in cell adhesion,57,3,0.01797283743008808,1,"TNC,ITGAE,ITGAL"
BP,plasma membrane invagination,57,3,0.018182168717961373,1,"RAB31,TREM2,MARCO"
BP,phosphatidylinositol 5-phosphate metabolic process,2,1,0.01845657255721531,1,MTMR3
BP,negative regulation of RNA polymerase II transcription preinitiation complex assembly,2,1,0.018606537003166293,1,THRA
BP,positive regulation of protein localization to plasma membrane,61,3,0.019141306040376716,1,"TREM2,PRKCH,VIL1"
BP,cholesterol storage,25,2,0.01934869308971421,1,"EHD1,TREM2"
BP,box H/ACA snoRNP assembly,2,1,0.01969592871100049,1,SHQ1
MF,phosphatidylinositol bisphosphate binding,108,4,0.019719089607534115,1,"ADAP1,VIL1,SCIN,SH3PXD2A"
BP,regulation of macrophage colony-stimulating factor signaling pathway,4,1,0.019913153733733476,1,TREM2
BP,negative regulation of autophagic cell death,3,1,0.019923960240093196,1,TREM2
BP,microglial cell activation involved in immune response,5,1,0.020403500762216083,1,TREM2
MF,"N,N-dimethylaniline monooxygenase activity",5,1,0.020695741405068,1,FMO2
MF,hypotaurine dehydrogenase activity,5,1,0.020695741405068,1,FMO2
MF,cytokine receptor binding,271,5,0.020771629283210337,1,"EFNA5,CCDC88A,SNX6,PXDN,BABAM2"
BP,insulin secretion involved in cellular response to glucose stimulus,64,3,0.020982110176533144,1,"EFNA5,STXBP4,PTPRN2,BRSK2"
BP,actin filament depolymerization,58,3,0.02112103175689867,1,"PLEKHH2,VIL1,SCIN"
MF,thromboxane-A synthase activity,2,1,0.02134679695919208,1,TBXAS1
BP,programmed cell death,2016,24,0.021397584882816924,1,"RNPS1,DIDO1,RFFL,E2F3,EMP1,DDAH2,GRM4,HCK,ITPKB,TREM2,SHQ1,PRKCH,SNX6,RPS6KA1,THRA,CDK11A,VIL1,BTG2,KREMEN1,STK24,NCK2,SCIN,BRSK2,BAG3,BABAM2,CDK11B"
BP,syncytium formation by plasma membrane fusion,61,3,0.02147190424330336,1,"EHD1,TREM2,SH3PXD2A"
BP,cell-cell fusion,61,3,0.02147190424330336,1,"EHD1,TREM2,SH3PXD2A"
BP,negative regulation of neutrophil apoptotic process,2,1,0.021537685411957583,1,ITPKB
BP,positive regulation of female receptivity,2,1,0.02166016737440937,1,THRA
BP,cell death,2020,24,0.02198406555974481,1,"RNPS1,DIDO1,RFFL,E2F3,EMP1,DDAH2,GRM4,HCK,ITPKB,TREM2,SHQ1,PRKCH,SNX6,RPS6KA1,THRA,CDK11A,VIL1,BTG2,KREMEN1,STK24,NCK2,SCIN,BRSK2,BAG3,BABAM2,CDK11B"
BP,regulation of macrophage fusion,5,1,0.022060671075253578,1,TREM2
BP,positive regulation of macrophage fusion,5,1,0.022060671075253578,1,TREM2
BP,low-density lipoprotein particle clearance,34,2,0.02208148707654282,1,"EHD1,TREM2"
BP,respiratory burst,38,2,0.022299930579127263,1,"HCK,TREM2"
BP,positive regulation of alpha-beta T cell activation,71,3,0.02231861560451416,1,"HLA-A,HLX,ITPKB"
BP,positive regulation of high-density lipoprotein particle clearance,7,1,0.022696523184167258,1,TREM2
BP,bud outgrowth involved in lung branching,3,1,0.022857647268209443,1,TNC
BP,regulation of engulfment of apoptotic cell,3,1,0.023385966547790384,1,TREM2
BP,tissue regeneration,74,3,0.023475693955688336,1,"NINJ2,TM4SF4,FKRP"
BP,membrane invagination,64,3,0.023479153867235914,1,"RAB31,TREM2,MARCO"
BP,regulation of syncytium formation by plasma membrane fusion,30,2,0.02356076129787178,1,"EHD1,TREM2"
BP,positive regulation of anaphase-promoting complex-dependent catabolic process,3,1,0.023662402039426385,1,FZR1
BP,syncytium formation,65,3,0.024323758426679717,1,"EHD1,TREM2,SH3PXD2A"
MF,histone H3K14 deacetylase activity,2,1,0.024356790377803573,1,HDAC9
MF,lactate:proton symporter activity,2,1,0.02440384699472186,1,SLC16A3
MF,very-low-density lipoprotein particle binding,4,1,0.024754830538197797,1,TREM2
BP,alkaloid metabolic process,7,1,0.024807048947703487,1,NNMT
MF,interferon receptor activity,5,1,0.024813097754635794,1,IFNAR2
MF,12-hydroxyheptadecatrienoic acid synthase activity,3,1,0.0248237131130168,1,TBXAS1
BP,positive regulation of calcium ion transmembrane transport via high voltage-gated calcium channel,3,1,0.024830763487327014,1,CACNB2
MF,cyclin-dependent protein serine/threonine kinase activity,29,2,0.02488752112011222,1,"MOK,CDK11A,CDK11B"
MF,cyclin-dependent protein kinase activity,29,2,0.02488752112011222,1,"MOK,CDK11A,CDK11B"
BP,terminal web assembly,3,1,0.025114556062875652,1,VIL1
BP,regulation of memory T cell activation,2,1,0.025198336927219914,1,HLA-A
BP,positive regulation of memory T cell activation,2,1,0.025198336927219914,1,HLA-A
MF,interleukin-1 receptor antagonist activity,3,1,0.025241478237211658,1,PXDN
CC,ciliary pocket,3,1,0.025308706341413887,1,EHD1
CC,ciliary pocket membrane,3,1,0.025308706341413887,1,EHD1
BP,complement-mediated synapse pruning,4,1,0.025453878019437184,1,TREM2
MF,JAK pathway signal transduction adaptor activity,3,1,0.02547867937273683,1,IFNAR2
BP,regulation of alpha-beta T cell differentiation,74,3,0.025494199906082465,1,"HLX,ITPKB,PRDM1"
BP,response to prostaglandin D,5,1,0.025530854921995617,1,TNC
BP,cellular response to prostaglandin D stimulus,5,1,0.025530854921995617,1,TNC
BP,regulation of CAMKK-AMPK signaling cascade,3,1,0.025605973556858872,1,TREM2
CC,procentriole,3,1,0.025711045364040175,1,CEP152
BP,negative regulation of astrocyte activation,5,1,0.02576264455981076,1,TREM2
BP,negative regulation of rRNA processing,3,1,0.026165253132794965,1,SHQ1
BP,cellular response to glucose stimulus,135,4,0.02642001389806458,1,"EFNA5,STXBP4,TREM2,PTPRN2,BRSK2"
MF,G-protein gamma-subunit binding,2,1,0.02658257290846559,1,CCDC88A
BP,regulation of hippocampal neuron apoptotic process,5,1,0.026734595640020797,1,TREM2
BP,positive regulation of low-density lipoprotein particle clearance,3,1,0.02675524412423021,1,TREM2
BP,negative regulation of inflammatory response to antigenic stimulus,33,2,0.02681558732992885,1,"HCK,TREM2"
BP,regulation of response to macrophage colony-stimulating factor,6,1,0.026899017110103094,1,TREM2
BP,regulation of cellular response to macrophage colony-stimulating factor stimulus,6,1,0.026899017110103094,1,TREM2
BP,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent",2,1,0.026987280500917078,1,HLA-A
BP,de novo centriole assembly involved in multi-ciliated epithelial cell differentiation,5,1,0.027126293184615725,1,CEP152
MF,sulfatide binding,6,1,0.027217892131472167,1,TREM2
CC,"retromer, tubulation complex",4,1,0.027329777600449107,1,SNX6
BP,barbed-end actin filament capping,25,2,0.027384455862153302,1,"VIL1,SCIN"
MF,lipoteichoic acid binding,5,1,0.027405545986031506,1,TREM2
BP,pyruvate catabolic process,3,1,0.027494855779680832,1,SLC16A3
MF,histone H3K9 deacetylase activity,3,1,0.027525553169625194,1,HDAC9
CC,integrin alphaL-beta2 complex,2,1,0.027677963525415038,1,ITGAL
BP,protein secretion,365,7,0.0277284025048781,1,"EFNA5,STXBP4,TREM2,PTPRN2,SAA1,AACS,CAMK2G,BRSK2"
BP,cellular response to hexose stimulus,137,4,0.02774094150634515,1,"EFNA5,STXBP4,TREM2,PTPRN2,BRSK2"
BP,establishment of protein localization to extracellular region,366,7,0.02783673789748207,1,"EFNA5,STXBP4,TREM2,PTPRN2,SAA1,AACS,CAMK2G,BRSK2"
BP,positive regulation of proteolysis involved in protein catabolic process,139,4,0.02788036361319529,1,"ARIH2,FBXW8,FZR1,TREM2"
BP,positive regulation of supramolecular fiber organization,175,5,0.0280024592939314,1,"HCK,CCDC88A,VIL1,NCK2,SCIN"
