Description,N,DE,P.DE,FDR,SigGenesInSet
Mucin type O-glycan biosynthesis,36,3,0.004607346007614759,1,"B3GNT3,GALNT13,GALNTL6"
Sulfur cycle,2,1,0.018864281178105066,1,PAPSS2
Pancreatic cancer,76,3,0.037765161074450215,1,"EGF,SMAD2,SMAD4,RB1"
Colorectal cancer,86,3,0.04793155020913197,1,"EGF,SMAD2,SMAD4"
Sulfur metabolism,10,1,0.059183384699320364,1,PAPSS2
AGE-RAGE signaling pathway in diabetic complications,100,3,0.06404420912471709,1,"PLCB1,SMAD2,SMAD4"
Th17 cell differentiation,107,3,0.07164637009684807,1,"SMAD2,SMAD4,IL22"
Other types of O-glycan biosynthesis,49,2,0.07575714331809907,1,"GALNT13,GALNTL6"
Inflammatory bowel disease,64,2,0.08510918829417113,1,"SMAD2,IL22"
IgSF CAM signaling,296,6,0.09040049264509634,1,"EPB41L2,CNTNAP2,ANK3,RAPGEF6,PMP2,MAGI1,TJP2"
Primary bile acid biosynthesis,17,1,0.09115693946526104,1,HSD17B4
Peroxisome,83,2,0.10055700535540636,1,"HSD17B4,CROT"
Taurine and hypotaurine metabolism,16,1,0.10184390829851563,1,FMO2
Glycosphingolipid biosynthesis - globo and isoglobo series,16,1,0.1078295027967521,1,HEXB
Taste transduction,85,2,0.11533290991445179,1,"PLCB1,GABRA6"
Selenocompound metabolism,17,1,0.12081206636414958,1,PAPSS2
Relaxin signaling pathway,129,3,0.12155401851128708,1,"CREB1,PLCB1,SMAD2"
Renin secretion,69,2,0.12214222259420013,1,"CREB1,PLCB1"
Cell cycle,158,3,0.12228034304575455,1,"SMAD2,SMAD4,RB1,TFDP2"
Steroid biosynthesis,20,1,0.1257617923580169,1,LBR
Renin-angiotensin system,23,1,0.12890033927451114,1,LNPEP
Long-term depression,60,2,0.12986174124002464,1,"PLCB1,GRID2"
Human T-cell leukemia virus 1 infection,220,4,0.13809333105215185,1,"CREB1,SMAD2,SMAD4,RB1,CRTC3"
Apelin signaling pathway,139,3,0.13863723753556834,1,"PLCB1,SMAD2,SMAD4"
Spinocerebellar ataxia,142,3,0.1386702291101175,1,"PLCB1,ATG2B,PSMA1"
Other glycan degradation,18,1,0.14145680100273708,1,HEXB
Cortisol synthesis and secretion,65,2,0.14754810670171248,1,"CREB1,PLCB1"
Glycosphingolipid biosynthesis - ganglio series,15,1,0.14831270255641504,1,HEXB
Folate biosynthesis,28,1,0.1512108302003946,1,GPHN
Thyroid hormone synthesis,75,2,0.1532882470772087,1,"CREB1,PLCB1"
Glycosaminoglycan degradation,19,1,0.15413776486844952,1,HEXB
Rap1 signaling pathway,210,4,0.1622493922608822,1,"EGF,PLCB1,RAPGEF6,MAGI1"
Gastric cancer,149,3,0.1626499763080081,1,"EGF,SMAD2,SMAD4,RB1"
Huntington disease,293,4,0.16451420141729567,1,"CREB1,PLCB1,ATG2B,PSMA1"
Nucleocytoplasmic transport,107,2,0.1708786257605066,1,"IPO11,NUP153"
Olfactory transduction,407,3,0.17161671939175033,1,"OR8U1,OR8J1,OR5AR1,OR8U8"
Glycosphingolipid biosynthesis - lacto and neolacto series,28,1,0.17990535920017145,1,B3GNT3
Protein export,31,1,0.18344954776785943,1,SPCS3
Tight junction,171,3,0.18650900281844082,1,"RAPGEF6,MAGI1,TJP2"
Porphyrin metabolism,46,1,0.18913863383640617,1,HEPHL1
Fatty acid elongation,28,1,0.18971896987285367,1,THEM5
Cushing syndrome,155,3,0.19380896118589963,1,"CREB1,PLCB1,RB1,ASH2L"
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,24,1,0.19621635138196505,1,HS2ST1
Chagas disease,102,2,0.19802216583320942,1,"PLCB1,SMAD2"
Neuroactive ligand-receptor interaction,367,4,0.2002300542091921,1,"LPAR6,GABRA6,GALR1,GRID2,HTR2C"
Biosynthesis of unsaturated fatty acids,27,1,0.20652206835779507,1,HSD17B4
African trypanosomiasis,36,1,0.2119044439348341,1,PLCB1
Gap junction,89,2,0.2184175900907126,1,"EGF,PLCB1,HTR2C"
Insulin secretion,86,2,0.22009339222947572,1,"CREB1,PLCB1"
Apoptosis - multiple species,32,1,0.22334387398379965,1,BIRC6
Hormone signaling,217,3,0.22462917534524934,1,"DIO2,PLCB1,HEPHL1,SMAD4"
Glucagon signaling pathway,105,2,0.22466553552479085,1,"CREB1,PLCB1"
Motor proteins,194,3,0.22885359553788182,1,"MYO16,MYO1E,DNAI4"
Autophagy - other,32,1,0.22970058035144358,1,ATG2B
GABAergic synapse,89,2,0.23151497580232328,1,"GPHN,GABRA6"
TGF-beta signaling pathway,110,2,0.23247418734967218,1,"SMAD2,SMAD4"
Amino sugar and nucleotide sugar metabolism,38,1,0.24136912434989097,1,HEXB
Proteasome,46,1,0.24629439966012176,1,PSMA1
Melanogenesis,101,2,0.2496842116344951,1,"CREB1,PLCB1"
Drug metabolism - cytochrome P450,71,1,0.25227107783887026,1,FMO2
Prion disease,259,3,0.2523126450598809,1,"CREB1,PSMA1,CAV1"
Circadian rhythm,34,1,0.26135083522579267,1,CREB1
Aldosterone synthesis and secretion,98,2,0.27296399691567935,1,"CREB1,PLCB1"
Prostate cancer,105,2,0.2774366900464907,1,"CREB1,EGF,RB1"
Circadian entrainment,97,2,0.2810191519593974,1,"CREB1,PLCB1"
Vasopressin-regulated water reabsorption,44,1,0.3012105815283871,1,CREB1
Various types of N-glycan biosynthesis,44,1,0.3070199509685023,1,HEXB
Proteoglycans in cancer,202,3,0.31000473996552436,1,"ANK3,SMAD2,CAV1"
Nicotine addiction,41,1,0.3103631784397396,1,GABRA6
JAK-STAT signaling pathway,163,2,0.31350757375470517,1,"EGF,IL22"
FoxO signaling pathway,132,2,0.31506846593473314,1,"EGF,SMAD4"
Carbohydrate digestion and absorption,46,1,0.3186891013342921,1,PLCB1
