"ONTOLOGY","TERM","N","DE","P.DE","FDR","SigGenesInSet","comp_id"
"CC","intracellular vesicle",2494,305,9.58936496327771e-10,1.21825318715035e-05,"ABCC4,NDRG1,OLFM4,STAMBP,TGOLN2,EHD1,AP3M2,RCBTB2,RAB31,ADAM30,CHI3L1,CHIT1,NISCH,CHRM2,OSBPL6,OSBPL9,RFFL,AP3S1,BORCS5,ANTXR2,TPP1,SPPL3,HGSNAT,SIRPA,VTI1A,CSF3R,TOM1L2,NFAM1,CTSB,CTSG,CTSS,FGD5,CXADR,DAB2IP,ABCA13,VPS13B,CLVS1,CLEC12A,AP1B1,CNST,AP1G1,DEFA4,CLEC4C,DNASE1L1,DYNC1H1,DOCK2,DSC1,AHCY,ANO6,ELANE,MCEMP1,SPRED2,EPS15,FASN,MARCHF8,FCN1,RAB11FIP2,AAK1,LMTK2,FNDC3A,DENND3,EPN2,TRAK1,KIF1B,TBC1D2B,FSTL4,NFASC,FLT3,RHOBTB2,CLEC16A,MGRN1,BICD2,FKBP15,NEDD4L,COTL1,TMED3,GRIP1,FPR2,HEBP2,CLEC5A,DAPK2,BACE1,PLD3,GABARAPL1,FTL,ACKR1,GAA,ARHGAP30,PRDX5,PARM1,MYRIP,SEC31B,GAPVD1,MYOF,CHIC2,GDI2,RGL4,RPS6KC1,SND1,DISC1,AMPD3,CRCP,GM2A,GNS,ANG,TMEM150B,RUFY4,GRB2,GSN,ZDHHC1,SNX10,GUSB,DSE,ANXA2,HCK,ANXA6,HLA-DMB,HLA-DQA1,AOAH,MR1,RAB37,RD3,APP,INPP4A,IRAK2,ITGA5,ITGAL,ITPR1,ITPR2,JAK1,ARG1,LCN2,LRP2,LTA4H,ARSB,MPO,TARM1,NUDT1,MYH9,MYH11,MYO1C,MYO1E,MYO5A,SEPTIN2,NGF,NOTCH1,NPC1,OPRM1,P4HB,ITSN2,PALM,PLAC8,PDE4B,SNX9,ANKFY1,CHMP3,CAB39,PGM1,ATP6V1B2,PI4KB,PLAU,PML,YIPF1,RIN2,TOLLIP,HEATR5B,NDFIP2,CMTM6,MARCHF1,EPN3,APPL2,UQCC1,VPS53,SLC29A3,GIMAP5,PI4K2A,PPT1,PRG2,STAB2,AMBRA1,SCYL2,PRKAR1B,TMEM30A,PRKCI,PRKCZ,MAPK1,DNAJC3,KLK10,PRTN3,AZU1,PSAP,TMEM9B,RETN,PSMB7,VPS35L,CD177,ERGIC1,SNX14,PTAFR,BIRC6,KIDINS220,TBC1D14,MIB1,ELAPOR1,SORCS2,WDFY1,PTPN1,WDFY4,DENND1A,ZFYVE28,PTPRS,RAP2A,BCL2L1,TRIM27,RPN1,CLIP1,SORT1,S100A8,S100A9,S100A11,S100A12,SCN8A,GOLPH3,NOD2,RBSN,WIPF3,ARRDC5,VPS33A,SLC2A5,SLC9A3,SLC18A2,SLPI,SNX1,SNTB2,SORL1,STX3,BSG,VAMP1,TFR2,TGFB3,TLR4,TNFRSF1B,TRAF3,TRPM2,TYRP1,UBE2D3,EZR,WNT3,XRCC5,LDLRAD4,YWHAE,YWHAZ,MAP6D1,KIAA0319L,SYNDIG1,WLS,SLC66A2,RUBCNL,RAB11FIP1,DUSP16,LMAN2L,CAMK2G,SBF2,CAPG,SYN3,EPX,DYSF,PICALM,TRAPPC9,SPATA16,MYCBPAP,ANKRD27,ANTXR1,RAB11FIP4,KCNAB2,CST7,ABCC11,STON2,SSH2,MARCO,CREG1,ANKRD13A,AP1M1,MVB12B,SEC16B,PIP4P1,USP10,DGKI,DNER,CD9,CPNE6,GRAP2,SH3BP5,STX8,SLC4A8,RPH3AL,LITAF,SEC22B,CD44,RAPGEF2,TMEM63A,RAB11FIP3,LAPTM4A,PHACTR2,TM9SF4,TBC1D5,CDA,FCHSD2,FIG4,MVP,DOP1B,CDH1","Sputum_Eosinophilic"
"CC","cytoplasmic vesicle",2489,304,1.07221720396968e-09,1.21825318715035e-05,"ABCC4,NDRG1,OLFM4,STAMBP,TGOLN2,EHD1,AP3M2,RCBTB2,RAB31,ADAM30,CHI3L1,CHIT1,NISCH,CHRM2,OSBPL6,OSBPL9,RFFL,AP3S1,BORCS5,ANTXR2,TPP1,SPPL3,HGSNAT,SIRPA,VTI1A,CSF3R,TOM1L2,NFAM1,CTSB,CTSG,CTSS,FGD5,CXADR,DAB2IP,ABCA13,VPS13B,CLVS1,CLEC12A,AP1B1,CNST,AP1G1,DEFA4,CLEC4C,DNASE1L1,DYNC1H1,DOCK2,DSC1,AHCY,ANO6,ELANE,MCEMP1,SPRED2,EPS15,FASN,MARCHF8,FCN1,RAB11FIP2,AAK1,LMTK2,FNDC3A,DENND3,EPN2,TRAK1,KIF1B,TBC1D2B,FSTL4,NFASC,FLT3,RHOBTB2,CLEC16A,MGRN1,BICD2,FKBP15,NEDD4L,COTL1,TMED3,GRIP1,FPR2,HEBP2,CLEC5A,DAPK2,BACE1,PLD3,GABARAPL1,FTL,ACKR1,GAA,ARHGAP30,PRDX5,PARM1,MYRIP,SEC31B,GAPVD1,MYOF,CHIC2,GDI2,RGL4,RPS6KC1,SND1,DISC1,AMPD3,CRCP,GM2A,GNS,ANG,TMEM150B,RUFY4,GRB2,GSN,ZDHHC1,SNX10,GUSB,DSE,ANXA2,HCK,ANXA6,HLA-DMB,HLA-DQA1,AOAH,MR1,RAB37,RD3,APP,INPP4A,IRAK2,ITGA5,ITGAL,ITPR1,ITPR2,JAK1,ARG1,LCN2,LRP2,LTA4H,ARSB,MPO,TARM1,NUDT1,MYH9,MYH11,MYO1C,MYO1E,MYO5A,SEPTIN2,NGF,NOTCH1,NPC1,OPRM1,P4HB,PALM,PLAC8,PDE4B,SNX9,ANKFY1,CHMP3,CAB39,PGM1,ATP6V1B2,PI4KB,PLAU,PML,YIPF1,RIN2,TOLLIP,HEATR5B,NDFIP2,CMTM6,MARCHF1,EPN3,APPL2,UQCC1,VPS53,SLC29A3,GIMAP5,PI4K2A,PPT1,PRG2,STAB2,AMBRA1,SCYL2,PRKAR1B,TMEM30A,PRKCI,PRKCZ,MAPK1,DNAJC3,KLK10,PRTN3,AZU1,PSAP,TMEM9B,RETN,PSMB7,VPS35L,CD177,ERGIC1,SNX14,PTAFR,BIRC6,KIDINS220,TBC1D14,MIB1,ELAPOR1,SORCS2,WDFY1,PTPN1,WDFY4,DENND1A,ZFYVE28,PTPRS,RAP2A,BCL2L1,TRIM27,RPN1,CLIP1,SORT1,S100A8,S100A9,S100A11,S100A12,SCN8A,GOLPH3,NOD2,RBSN,WIPF3,ARRDC5,VPS33A,SLC2A5,SLC9A3,SLC18A2,SLPI,SNX1,SNTB2,SORL1,STX3,BSG,VAMP1,TFR2,TGFB3,TLR4,TNFRSF1B,TRAF3,TRPM2,TYRP1,UBE2D3,EZR,WNT3,XRCC5,LDLRAD4,YWHAE,YWHAZ,MAP6D1,KIAA0319L,SYNDIG1,WLS,SLC66A2,RUBCNL,RAB11FIP1,DUSP16,LMAN2L,CAMK2G,SBF2,CAPG,SYN3,EPX,DYSF,PICALM,TRAPPC9,SPATA16,MYCBPAP,ANKRD27,ANTXR1,RAB11FIP4,KCNAB2,CST7,ABCC11,STON2,SSH2,MARCO,CREG1,ANKRD13A,AP1M1,MVB12B,SEC16B,PIP4P1,USP10,DGKI,DNER,CD9,CPNE6,GRAP2,SH3BP5,STX8,SLC4A8,RPH3AL,LITAF,SEC22B,CD44,RAPGEF2,TMEM63A,RAB11FIP3,LAPTM4A,PHACTR2,TM9SF4,TBC1D5,CDA,FCHSD2,FIG4,MVP,DOP1B,CDH1","Sputum_Eosinophilic"
"BP","defense response to fungus",56,13,9.55044951941203e-07,0.00664313391618379,"CTSG,DEFA4,CLEC4C,ELANE,COTL1,IL17RA,ARG1,MPO,S100A8,S100A9,S100A12,SPI1,BCL10","Sputum_Eosinophilic"
"CC","primary lysosome",153,30,1.69486088416459e-06,0.00664313391618379,"NFAM1,CTSG,ABCA13,DEFA4,DYNC1H1,ELANE,HEBP2,FTL,GAA,GDI2,GM2A,GNS,GUSB,ANXA2,RAB37,ARG1,ARSB,MPO,PLAC8,TOLLIP,CMTM6,TMEM30A,MAPK1,DNAJC3,PRTN3,AZU1,PSAP,RETN,STX3,CREG1","Sputum_Eosinophilic"
"CC","azurophil granule",153,30,1.69486088416459e-06,0.00664313391618379,"NFAM1,CTSG,ABCA13,DEFA4,DYNC1H1,ELANE,HEBP2,FTL,GAA,GDI2,GM2A,GNS,GUSB,ANXA2,RAB37,ARG1,ARSB,MPO,PLAC8,TOLLIP,CMTM6,TMEM30A,MAPK1,DNAJC3,PRTN3,AZU1,PSAP,RETN,STX3,CREG1","Sputum_Eosinophilic"
"BP","immune response",1703,180,1.75971066554636e-06,0.00664313391618379,"MICA,TNIP1,BTN2A2,ADARB1,VAV3,TRIM38,SEMA3C,RIPK3,CHIT1,PTGDR2,LYST,ERMAP,CLNK,CLC,PIK3AP1,SPPL3,IL31RA,CREBBP,NEK7,SIRPA,PIK3R6,NFAM1,CTSG,CTSS,DAB2IP,DAPK1,ZFPM1,AP1G1,DEFA4,CLEC4C,DOCK2,DUSP3,ELANE,ETS1,F12,MARCHF8,FCN1,RAB11FIP2,ZBTB1,FCHO1,MORC3,FPR2,CLEC5A,IL17RA,PANX1,IL27,ABL1,STAP1,GFI1,FOXP1,CRCP,ANG,GRB2,RGCC,SETD2,GSN,ZDHHC1,IL19,HCK,HK1,HLA-DMB,HLA-DQA1,MR1,HLX,IRF8,IGF1R,APP,IL1RN,IL2RA,IL4,IL5RA,IL16,IL18,INPP5D,IRAK2,IRF5,ITGAL,JAK1,ARG1,CCL4L1,LCN2,SMAD7,MEF2C,MAP3K1,TARM1,MYO1C,NFATC2,NKG7,NOTCH1,P2RX7,PDE4B,PDE4D,ERAP1,PIK3CD,PIK3R1,PLA2G4A,PML,ACP5,TREM2,TOLLIP,RBM47,SAMD9,LAX1,LIME1,MARCHF1,APPL2,LGR4,PRG2,OTUB1,POLR3E,PRKCE,PRKCH,PRKCZ,PRKDC,MAPK1,CTNNBL1,PRTN3,AZU1,SLAMF8,SPHK2,CD177,PELI1,ZNFX1,PTAFR,WDFY1,PTPN1,PTPRS,NLRC4,BCL2,TRIM27,RNASE4,S100A8,S100A9,S100A12,CCL18,CCL20,VSIR,NOD2,SEMA4A,ST6GAL1,SKP2,SLC18A2,SLPI,SPI1,TCF12,TGFB3,TLR4,TNFRSF1B,TRAF2,TRAF3,VAV2,EZR,NSD2,XRCC5,YWHAZ,TRIM26,RHBDF2,BTNL8,ATAT1,NR4A3,CCDC92,AKAP1,TRIM7,EPX,DYSF,PRAM1,ZDHHC18,CARD11,GPR65,CST7,TSLP,MARCO,TRIM4,BCL10,KLHL6,CCRL2,CD7,MFHAS1,CD86,STX8,LITAF,PHF14,CD81,HDAC4","Sputum_Eosinophilic"
"CC","endosome",1043,144,2.12005335440061e-06,0.00664313391618379,"NDRG1,STAMBP,TGOLN2,EHD1,AP3M2,RAB31,ADAM30,NISCH,OSBPL6,OSBPL9,RFFL,AP3S1,ANTXR2,TPP1,VTI1A,TOM1L2,CTSB,CTSS,FGD5,VPS13B,CLVS1,AP1B1,AP1G1,EPS15,MARCHF8,RAB11FIP2,LMTK2,EPN2,TRAK1,TBC1D2B,FLT3,RHOBTB2,CLEC16A,MGRN1,FKBP15,NEDD4L,BACE1,PLD3,ACKR1,PARM1,GAPVD1,RPS6KC1,TMEM150B,GRB2,ZDHHC1,SNX10,ANXA2,ANXA6,HLA-DMB,HLA-DQA1,MR1,RAB37,RD3,APP,INPP4A,IRAK2,JAK1,LRP2,MYO5A,NGF,NPC1,OPRM1,ANKFY1,CHMP3,PI4KB,PML,YIPF1,TOLLIP,NDFIP2,CMTM6,MARCHF1,EPN3,APPL2,VPS53,SLC29A3,GIMAP5,PI4K2A,SCYL2,PRKAR1B,TMEM30A,PRKCI,PRKCZ,MAPK1,PSAP,TMEM9B,VPS35L,SNX14,BIRC6,KIDINS220,TBC1D14,ELAPOR1,SORCS2,WDFY1,PTPN1,WDFY4,ZFYVE28,RAP2A,TRIM27,CLIP1,SORT1,GOLPH3,RBSN,WIPF3,ARRDC5,VPS33A,SLC9A3,SNX1,SORL1,BSG,TLR4,TRAF3,TYRP1,UBE2D3,EZR,LDLRAD4,SYNDIG1,WLS,SLC66A2,RAB11FIP1,SBF2,DYSF,PICALM,TRAPPC9,MYCBPAP,ANKRD27,ANTXR1,RAB11FIP4,CST7,CREG1,ANKRD13A,AP1M1,MVB12B,PIP4P1,USP10,DNER,CPNE6,GRAP2,STX8,LITAF,RAPGEF2,RAB11FIP3,LAPTM4A,TM9SF4,TBC1D5,FCHSD2,FIG4,DOP1B,CDH1","Sputum_Eosinophilic"
"CC","azurophil granule lumen",90,21,2.33871991416433e-06,0.00664313391618379,"CTSG,DYNC1H1,ELANE,HEBP2,FTL,GDI2,GM2A,GNS,GUSB,ANXA2,ARG1,ARSB,MPO,PLAC8,TOLLIP,MAPK1,DNAJC3,PRTN3,AZU1,RETN,CREG1","Sputum_Eosinophilic"
"BP","response to fungus",67,14,3.38061638456412e-06,0.00786269118820867,"CTSG,DEFA4,CLEC4C,ELANE,COTL1,IL17RA,ARG1,MPO,S100A8,S100A9,S100A12,SPI1,TLR4,BCL10","Sputum_Eosinophilic"
"CC","specific granule",160,32,3.46008237467377e-06,0.00786269118820867,"OLFM4,CHI3L1,CHIT1,HGSNAT,CLEC12A,DEFA4,DNASE1L1,DOCK2,ANO6,ELANE,MCEMP1,FPR2,CLEC5A,RAB37,ITGAL,ARG1,LCN2,TARM1,PLAU,TOLLIP,CMTM6,TMEM30A,RETN,CD177,SLC2A5,SLPI,STX3,VAMP1,TNFRSF1B,TRPM2,KCNAB2,AP1M1,TMEM63A","Sputum_Eosinophilic"
