"ONTOLOGY","TERM","N","DE","P.DE","FDR","SigGenesInSet","comp_id"
"CC","lytic vacuole",749,144,1.22502069770637e-09,1.05445666932815e-05,"ABCB6,GPC6,RAMP2,RAMP3,CPQ,PLAAT3,CHIT1,PADI2,CLNK,BORCS5,CLCN6,CLCN7,TPP1,DRAM2,SLC31A2,CSF3,CSF3R,NFAM1,CTSB,CTSG,CTSS,CTSZ,SLC38A9,ARSK,ABCA13,VPS13B,AP1G1,DEFA4,DYNC1H1,RAB12,SLC36A1,TPCN2,MARCHF8,DAGLB,ZNRF2,ARSG,FNBP1,TAB2,FMOD,SZT2,VPS39,PLD3,FTL,GCA,GALC,GALNS,IL4I1,GDI2,GLB1,GM2A,GNAI3,GNAQ,GNB1,GNS,ANK3,GYG1,ANXA2,HCK,HEXA,HEXB,ANXA6,HLA-DQA1,HLA-DRB1,HLA-DRB5,HPS1,RAB37,KCNQ1,ARG1,LAMP1,LRP2,ARRB1,ARSB,MAN2B1,MITF,MPO,MYO5A,NAGA,NCF2,NPC1,PLAC8,PCYOX1,ANKFY1,ATP6V1H,WWOX,ATP6V1B2,ATP6V1C1,TM6SF1,ACP5,CMTM6,MARCHF1,CPPED1,SLC29A3,DRAM1,LAPTM4B,PI4K2A,PPT1,PIP4P2,TMEM165,MAPK1,DNAJC3,LRRC8A,AZU1,PSAP,PSEN2,RETN,SPHK2,RPTOR,ELAPOR1,FNIP2,MEAK7,RAB27A,RAB5C,RHEB,SLC17A9,CHID1,SRC,STXBP2,TRPM2,LAPTM5,RAB7A,AHNAK,FYCO1,PLBD1,LPCAT1,CUBN,DNAJC5,SLC7A5,TMEM163,CAPN1,ANKRD27,SLC49A4,ZNRF1,CST7,RNASET2,CPNE1,AP1M1,BCL10,HPS4,TM4SF5,SPAG9,PIP4P1,SYNGR1,CD63,DEPDC5,TMEM63A,LAPTM4A,PLEKHM1","Sputum_Neutrophilic"
"CC","lysosome",749,144,1.22502069770637e-09,1.05445666932815e-05,"ABCB6,GPC6,RAMP2,RAMP3,CPQ,PLAAT3,CHIT1,PADI2,CLNK,BORCS5,CLCN6,CLCN7,TPP1,DRAM2,SLC31A2,CSF3,CSF3R,NFAM1,CTSB,CTSG,CTSS,CTSZ,SLC38A9,ARSK,ABCA13,VPS13B,AP1G1,DEFA4,DYNC1H1,RAB12,SLC36A1,TPCN2,MARCHF8,DAGLB,ZNRF2,ARSG,FNBP1,TAB2,FMOD,SZT2,VPS39,PLD3,FTL,GCA,GALC,GALNS,IL4I1,GDI2,GLB1,GM2A,GNAI3,GNAQ,GNB1,GNS,ANK3,GYG1,ANXA2,HCK,HEXA,HEXB,ANXA6,HLA-DQA1,HLA-DRB1,HLA-DRB5,HPS1,RAB37,KCNQ1,ARG1,LAMP1,LRP2,ARRB1,ARSB,MAN2B1,MITF,MPO,MYO5A,NAGA,NCF2,NPC1,PLAC8,PCYOX1,ANKFY1,ATP6V1H,WWOX,ATP6V1B2,ATP6V1C1,TM6SF1,ACP5,CMTM6,MARCHF1,CPPED1,SLC29A3,DRAM1,LAPTM4B,PI4K2A,PPT1,PIP4P2,TMEM165,MAPK1,DNAJC3,LRRC8A,AZU1,PSAP,PSEN2,RETN,SPHK2,RPTOR,ELAPOR1,FNIP2,MEAK7,RAB27A,RAB5C,RHEB,SLC17A9,CHID1,SRC,STXBP2,TRPM2,LAPTM5,RAB7A,AHNAK,FYCO1,PLBD1,LPCAT1,CUBN,DNAJC5,SLC7A5,TMEM163,CAPN1,ANKRD27,SLC49A4,ZNRF1,CST7,RNASET2,CPNE1,AP1M1,BCL10,HPS4,TM4SF5,SPAG9,PIP4P1,SYNGR1,CD63,DEPDC5,TMEM63A,LAPTM4A,PLEKHM1","Sputum_Neutrophilic"
"CC","vacuole",838,156,1.3920832635031e-09,1.05445666932815e-05,"ABCB6,GPC6,OPTN,RAMP2,RAMP3,CPQ,PLAAT3,CHIT1,PADI2,CLNK,BORCS5,CLCN6,CLCN7,TPP1,DRAM2,SLC31A2,VTI1A,CSF3,CSF3R,NFAM1,CTSB,CTSG,CTSS,CTSZ,SLC38A9,ARSK,ABCA13,VPS13B,AP1G1,DEFA4,DYNC1H1,RAB12,SLC36A1,TPCN2,MARCHF8,DAGLB,ZNRF2,ARSG,WDFY3,FNBP1,TAB2,FMOD,SZT2,VPS39,PLD3,GABARAPL1,FTL,GCA,GALC,GALNS,IL4I1,GDI2,GLB1,GM2A,GNAI3,GNAQ,GNB1,GNS,RUFY4,SLC36A3,ANK3,GYG1,ANXA2,HCK,HEXA,HEXB,ANXA6,HLA-DQA1,HLA-DRB1,HLA-DRB5,HPS1,RAB37,KCNQ1,ARG1,LAMP1,LRP2,ARRB1,ARSB,MAN2B1,MITF,MPO,MYO5A,NAGA,NCF2,NPC1,PLAC8,PCYOX1,ANKFY1,TMEM138,ATP6V1H,WWOX,ATP6V1B2,ATP6V1C1,TM6SF1,ACP5,CMTM6,MARCHF1,CPPED1,SLC29A3,DRAM1,LAPTM4B,PI4K2A,PPT1,PIP4P2,TMEM165,MAPK1,DNAJC3,LRRC8A,AZU1,PSAP,PSEN2,RETN,SPHK2,RPTOR,ELAPOR1,FNIP2,MEAK7,RAB27A,RAB5C,RHEB,SLC17A9,CHID1,SRC,STXBP2,TRPM2,LAPTM5,RAB7A,AHNAK,FYCO1,PLBD1,LPCAT1,RUBCNL,CUBN,DNAJC5,SLC7A5,TMEM163,VMP1,SBF2,CAPN1,ANKRD27,SLC49A4,ZNRF1,CST7,ABCC11,RNASET2,CPNE1,AP1M1,BCL10,HPS4,TM4SF5,SPAG9,PIP4P1,SYNGR1,CD63,DEPDC5,TMEM63A,LAPTM4A,TBC1D5,PLEKHM1","Sputum_Neutrophilic"
"CC","intracellular vesicle",2494,389,2.74014991885403e-09,1.55667916890098e-05,"PDCD6,ABCC5,ABCB6,OPTN,TNK2,ADAM10,NOD1,NDRG1,GPNMB,BAIAP2,OLFM4,STAMBP,GNA13,TRAF3IP2,IQGAP2,AP3M2,TMED10,LILRB3,RAB31,ABHD2,ADAM30,CHI3L1,CHIT1,PADI2,CHRM2,VPS26B,GALNT15,AP3S1,BORCS5,CLCN6,CLU,TPP1,SPPL3,OSCAR,SLC31A2,CPE,SIRPA,VTI1A,CSF3,CSF3R,PHETA1,TOM1L2,TMEM190,CTLA4,NFAM1,CTSB,CTSG,CTSS,CTSZ,DAB2IP,SLC38A9,ABCA13,VPS13B,CLEC12A,CNST,AP1G1,DEFA4,CLEC4C,DNASE1L1,DYNC1H1,DOCK2,AHCY,ANO6,MCEMP1,SPRED2,RAB12,EPS15,TPCN2,MARCHF8,ADGRG3,ZNRF2,RAB11FIP2,AAK1,LMTK2,INPP5F,DENND3,EPN2,TRAK1,CEP131,TNIK,KIF21B,FNBP1,AVL9,KIF1B,TBC1D2B,TAB2,RFTN1,CYFIP1,FLT1,FLT3,RHOBTB2,MGRN1,NEDD4L,VPS39,UBR4,COTL1,TSPAN15,FPR2,CDC42EP4,CORO1C,LY96,PLD3,SH3BP4,GABARAPL1,ALOX5,FTL,ACKR1,FYN,GCA,PRDX5,ARMC8,GALNS,MYRIP,IL4I1,HEATR5A,GGA1,GAPVD1,MYOF,CHIC2,GDI2,RGL4,SND1,DISC1,AMPD3,GLB1,CRCP,BIN1,GM2A,GNS,RNF149,RUFY4,GPER1,GRB2,RAPGEF1,DBNL,CD274,GSN,ZDHHC1,GYG1,ANXA2,HCK,HEXA,HEXB,ANXA6,HLA-DQA1,HLA-DRB1,HLA-DRB5,AOAH,APBB2,HPS1,RAB37,APP,TICAM2,IL7R,INPP4A,AQP7,IRAK2,ITGAL,ITPR1,ITPR2,JAK1,ATP9B,KCNQ1,ARG1,SLC9A4,LAIR1,LAMP1,LCN2,LGALS3,LGALS3BP,LRP2,ARRB1,ARSB,MAN1A1,MAN2B1,MPO,TARM1,MYO1B,MSR1,NUDT1,MYH9,MYH11,MYO1C,MYO1E,MYO5A,NCF2,SEPTIN2,NEO1,NFKB1,NGF,NGFR,NOTCH1,NPC1,OLR1,P4HB,ITSN2,PALM,PRKN,PLAC8,PDE4B,ANKFY1,ATP6V1H,CAB39,ATP6V1B2,SERPINA1,SERPINB6,ATP6V1C1,PI4KA,PI4KB,YIPF1,RIN2,HEATR5B,CCDC93,LEPROT,PCSK4,PXK,CMTM6,CLN6,MARCHF1,EPN3,PLEKHB2,VPS37C,APPL2,UQCC1,VPS53,CPPED1,SLC29A3,LAPTM4B,PI4K2A,PPT1,PIP4P2,STAB2,RAB20,SCYL2,TMEM165,PRKCZ,MAPK1,DNAJC3,KLK10,AZU1,PSAP,PSEN2,RETN,PSMB7,VPS35L,CD177,ERGIC1,PTAFR,BIRC6,MIB1,ELAPOR1,SORCS2,WDFY1,PTPN1,WDFY4,DENND1A,ZFYVE28,PTPRJ,PTPRN2,RAB27A,RAB5C,RAP2A,TMEM35A,BCL2L1,TRIM27,ROCK1,CLIP1,S100A9,S100A12,S100P,SCN8A,SLC17A9,SELL,GOLPH3,RBSN,MMP25,WIPF3,TMEM168,ITSN1,ARRDC5,SH3GL1,SLA,SLC2A5,SLC6A9,SLC9A3,SLC34A1,SLPI,CHID1,SNTB2,SORL1,SRC,STK10,STXBP2,BSG,TGFA,TGFB3,TIMP2,TLR4,TRAPPC10,TNFRSF1B,TRAF3,TRPM2,TYRP1,UBE2D3,CLRN1,VCL,EZR,FMNL1,XRCC5,LDLRAD4,YWHAE,YWHAZ,LAPTM5,RAB7A,FYCO1,SH3TC2,MCTP1,ZDHHC11,LPCAT1,RIN3,ATP8B4,KIAA0319L,SYNDIG1,WLS,RUBCNL,RAB11FIP1,RUFY1,PHAF1,CUBN,FER1L4,DNAJC5,DUSP16,DCSTAMP,SNX27,TMEM163,CAMK2D,CAMK2G,SBF2,CAPG,CAPN1,DYSF,PICALM,AXIN1,TRAPPC9,ITCH,MYCBPAP,ANKRD27,HPS3,RAB11FIP4,CRACR2A,ZNRF1,CST7,ABCC11,STON2,SSH2,RNASET2,MARCO,NRP1,CPNE1,AP1M1,HPS4,MVB12B,PKD2L1,SPAG9,PIP4P1,USP10,SYNGR1,RAB11B,MS4A3,CPNE6,TM9SF2,GRAP2,SH3BP5,STX8,SLC4A8,RPH3AL,CYTIP,CD44,ABCG1,SEC24C,CD58,CD59,CD63,TMEM63A,LAPTM4A,PHACTR2,TBC1D5,CDA,RNF144A,MTSS1,PLEKHM1,FCHSD2,RABGAP1L,SEC16A,IQSEC1,MVP,DOP1B,CDH1","Sputum_Neutrophilic"
"CC","cytoplasmic vesicle",2489,387,3.97405452066505e-09,1.63235489204465e-05,"PDCD6,ABCC5,ABCB6,OPTN,TNK2,ADAM10,NOD1,NDRG1,GPNMB,BAIAP2,OLFM4,STAMBP,GNA13,TRAF3IP2,IQGAP2,AP3M2,TMED10,LILRB3,RAB31,ABHD2,ADAM30,CHI3L1,CHIT1,PADI2,CHRM2,VPS26B,GALNT15,AP3S1,BORCS5,CLCN6,CLU,TPP1,SPPL3,OSCAR,SLC31A2,CPE,SIRPA,VTI1A,CSF3,CSF3R,PHETA1,TOM1L2,TMEM190,CTLA4,NFAM1,CTSB,CTSG,CTSS,CTSZ,DAB2IP,SLC38A9,ABCA13,VPS13B,CLEC12A,CNST,AP1G1,DEFA4,CLEC4C,DNASE1L1,DYNC1H1,DOCK2,AHCY,ANO6,MCEMP1,SPRED2,RAB12,EPS15,TPCN2,MARCHF8,ADGRG3,ZNRF2,RAB11FIP2,AAK1,LMTK2,INPP5F,DENND3,EPN2,TRAK1,CEP131,TNIK,KIF21B,FNBP1,AVL9,KIF1B,TBC1D2B,TAB2,RFTN1,CYFIP1,FLT1,FLT3,RHOBTB2,MGRN1,NEDD4L,VPS39,UBR4,COTL1,TSPAN15,FPR2,CDC42EP4,CORO1C,LY96,PLD3,SH3BP4,GABARAPL1,ALOX5,FTL,ACKR1,FYN,GCA,PRDX5,ARMC8,GALNS,MYRIP,IL4I1,HEATR5A,GGA1,GAPVD1,MYOF,CHIC2,GDI2,RGL4,SND1,DISC1,AMPD3,GLB1,CRCP,BIN1,GM2A,GNS,RNF149,RUFY4,GPER1,GRB2,RAPGEF1,DBNL,CD274,GSN,ZDHHC1,GYG1,ANXA2,HCK,HEXA,HEXB,ANXA6,HLA-DQA1,HLA-DRB1,HLA-DRB5,AOAH,APBB2,HPS1,RAB37,APP,TICAM2,IL7R,INPP4A,AQP7,IRAK2,ITGAL,ITPR1,ITPR2,JAK1,ATP9B,KCNQ1,ARG1,SLC9A4,LAIR1,LAMP1,LCN2,LGALS3,LGALS3BP,LRP2,ARRB1,ARSB,MAN1A1,MAN2B1,MPO,TARM1,MYO1B,MSR1,NUDT1,MYH9,MYH11,MYO1C,MYO1E,MYO5A,NCF2,SEPTIN2,NFKB1,NGF,NGFR,NOTCH1,NPC1,OLR1,P4HB,PALM,PRKN,PLAC8,PDE4B,ANKFY1,ATP6V1H,CAB39,ATP6V1B2,SERPINA1,SERPINB6,ATP6V1C1,PI4KA,PI4KB,YIPF1,RIN2,HEATR5B,CCDC93,LEPROT,PCSK4,PXK,CMTM6,CLN6,MARCHF1,EPN3,PLEKHB2,VPS37C,APPL2,UQCC1,VPS53,CPPED1,SLC29A3,LAPTM4B,PI4K2A,PPT1,PIP4P2,STAB2,RAB20,SCYL2,TMEM165,PRKCZ,MAPK1,DNAJC3,KLK10,AZU1,PSAP,PSEN2,RETN,PSMB7,VPS35L,CD177,ERGIC1,PTAFR,BIRC6,MIB1,ELAPOR1,SORCS2,WDFY1,PTPN1,WDFY4,DENND1A,ZFYVE28,PTPRJ,PTPRN2,RAB27A,RAB5C,RAP2A,TMEM35A,BCL2L1,TRIM27,ROCK1,CLIP1,S100A9,S100A12,S100P,SCN8A,SLC17A9,SELL,GOLPH3,RBSN,MMP25,WIPF3,TMEM168,ITSN1,ARRDC5,SH3GL1,SLA,SLC2A5,SLC6A9,SLC9A3,SLC34A1,SLPI,CHID1,SNTB2,SORL1,SRC,STK10,STXBP2,BSG,TGFA,TGFB3,TIMP2,TLR4,TRAPPC10,TNFRSF1B,TRAF3,TRPM2,TYRP1,UBE2D3,CLRN1,VCL,EZR,FMNL1,XRCC5,LDLRAD4,YWHAE,YWHAZ,LAPTM5,RAB7A,FYCO1,SH3TC2,MCTP1,ZDHHC11,LPCAT1,RIN3,ATP8B4,KIAA0319L,SYNDIG1,WLS,RUBCNL,RAB11FIP1,RUFY1,PHAF1,CUBN,FER1L4,DNAJC5,DUSP16,DCSTAMP,SNX27,TMEM163,CAMK2D,CAMK2G,SBF2,CAPG,CAPN1,DYSF,PICALM,AXIN1,TRAPPC9,ITCH,MYCBPAP,ANKRD27,HPS3,RAB11FIP4,CRACR2A,ZNRF1,CST7,ABCC11,STON2,SSH2,RNASET2,MARCO,NRP1,CPNE1,AP1M1,HPS4,MVB12B,PKD2L1,SPAG9,PIP4P1,USP10,SYNGR1,RAB11B,MS4A3,CPNE6,TM9SF2,GRAP2,SH3BP5,STX8,SLC4A8,RPH3AL,CYTIP,CD44,ABCG1,SEC24C,CD58,CD59,CD63,TMEM63A,LAPTM4A,PHACTR2,TBC1D5,CDA,RNF144A,MTSS1,PLEKHM1,FCHSD2,RABGAP1L,SEC16A,IQSEC1,MVP,DOP1B,CDH1","Sputum_Neutrophilic"
"CC","specific granule",160,45,4.31003756040657e-09,1.63235489204465e-05,"ADAM10,OLFM4,CHI3L1,CHIT1,OSCAR,CTSZ,CLEC12A,DEFA4,DNASE1L1,DOCK2,ANO6,MCEMP1,ADGRG3,CYFIP1,UBR4,FPR2,ARMC8,RAB37,ITGAL,ARG1,LAIR1,LCN2,TARM1,NFKB1,OLR1,CMTM6,RETN,CD177,PTPRJ,RAB27A,MMP25,SLC2A5,SLPI,STK10,STXBP2,TIMP2,TNFRSF1B,TRPM2,VCL,ATP8B4,DNAJC5,CRACR2A,AP1M1,MS4A3,CD59,TMEM63A","Sputum_Neutrophilic"
"CC","primary lysosome",153,38,2.52535698504481e-07,0.000717327651601977,"PADI2,NFAM1,CTSG,ABCA13,DEFA4,DYNC1H1,FTL,GCA,GALNS,GDI2,GLB1,GM2A,GNS,ANXA2,HEXA,HEXB,RAB37,ARG1,LAMP1,ARSB,MAN2B1,MPO,PLAC8,CMTM6,CPPED1,MAPK1,DNAJC3,AZU1,PSAP,RETN,RAB5C,STXBP2,LPCAT1,DNAJC5,RNASET2,CPNE1,SYNGR1,CD63","Sputum_Neutrophilic"
"CC","azurophil granule",153,38,2.52535698504481e-07,0.000717327651601977,"PADI2,NFAM1,CTSG,ABCA13,DEFA4,DYNC1H1,FTL,GCA,GALNS,GDI2,GLB1,GM2A,GNS,ANXA2,HEXA,HEXB,RAB37,ARG1,LAMP1,ARSB,MAN2B1,MPO,PLAC8,CMTM6,CPPED1,MAPK1,DNAJC3,AZU1,PSAP,RETN,RAB5C,STXBP2,LPCAT1,DNAJC5,RNASET2,CPNE1,SYNGR1,CD63","Sputum_Neutrophilic"
"BP","immune response",1703,234,2.98113365945334e-07,0.000752703125304641,"TRIM10,RASGRP1,OPTN,TNIP1,NOD1,ADARB1,VAV3,TRIM38,CXCR6,TRAF3IP2,LILRB1,LILRB3,RIPK3,HHLA2,CHIT1,VPS26B,LYST,NLRP3,SLAMF6,CLNK,CLU,SPPL3,CCR6,CCR7,IL31RA,CREBBP,NEK7,SIRPA,CSF3,CTLA4,NFAM1,CTSG,CTSS,DAB2IP,DAPK1,ZFPM1,AP1G1,DEFA4,CLEC4C,DOCK2,DUSP3,ELF1,AKT1,ETS1,EXT1,F12,PTK2B,FCER2,MARCHF8,RAB11FIP2,TRIM35,RAP1GAP2,FCHO1,GRAMD4,RFTN1,FPR2,CDC42EP4,FPR3,LY96,ALOX5,FYB1,FYN,SERINC5,GCSAM,IL4I1,GFI1,FOXP1,CRCP,GPER1,TREML4,GRB2,RGCC,DBNL,SETD2,TBK1,CD274,GSN,ZDHHC1,IL19,HCK,HK1,HLA-DQA1,HLA-DRB1,HLA-DRB5,IGF1R,APP,RBPJ,TICAM2,IKBKB,IL2RA,IL5RA,IL7R,IL16,INPP5D,IRAK2,ITGAL,JAK1,ARG1,CCL4L1,LAIR1,LAMP1,LCK,LCN2,LFNG,LGALS1,LGALS3,MIR140,MIR21,SMAD7,MBP,MEF2C,MAP3K1,MAP3K5,MOG,EIF2AK4,TARM1,MYB,MYO1C,NCF2,NEDD4,NFATC2,NFKB1,NOTCH1,P2RX7,PDE4B,PDE4D,PIK3CD,PLA2G4A,PLEC,TRIM34,ACP5,RBM47,SHLD2,LAX1,MARCHF1,APPL2,PSPC1,LGR4,RAB20,PRKCB,PRKCE,PAG1,PRKCH,PRKCZ,PRKDC,MAPK1,CRTAM,CTNNBL1,AZU1,SLAMF8,SPHK2,CD177,PELI1,PTAFR,WDFY1,PTPN1,PTPRJ,NLRC4,RAB27A,RARA,BCL2,TRIM27,RGS1,BCL6,BACH2,RORC,S100A9,S100A12,S100A13,CCL18,SAMSN1,VSIR,SEMA4A,ST6GAL1,SKP2,BMP6,SLPI,CHID1,SRC,BRAF,SRPK1,STAT3,STAT5B,STXBP2,ADAM17,TCF12,TGFB3,TLR4,C1QB,TNFRSF1B,TRAF2,TRAF3,CCR2,UBA7,VAV2,EZR,NSD2,XRCC5,YWHAZ,TRIM26,LAPTM5,LILRA6,NLRX1,ZDHHC11,ATAT1,CCDC92,SLC7A5,AKAP1,TRIM7,DYSF,ITCH,ZDHHC18,RNF135,CRACR2A,GPR65,ZNRF1,CST7,RNASET2,OASL,MARCO,TNFSF12,TNFSF10,TNFRSF11A,BCL10,KLHL6,TRIM15,PSTPIP1,CD6,MAPKAPK2,CD86,AIM2,LY86,STX8,CD38,CD58,CD59,PHF14,HDAC4,TESPA1,TNFSF15","Sputum_Neutrophilic"
"BP","immune system process",2488,342,3.45214190497822e-07,0.000784464726487251,"TRIM10,RASGRP1,OPTN,ADAM10,CDK6,TNIP1,IKZF1,NOD1,NDRG1,ADARB1,VAV3,GPNMB,MERTK,TRIM38,CXCR6,TRAF3IP2,LILRB1,LILRB3,RIPK3,HHLA2,CHIT1,PADI2,VPS26B,LYST,NLRP3,SLAMF6,CLNK,CLU,JAML,SPPL3,CCR6,CCR7,KLF6,IL31RA,PPARGC1B,CREB1,CREBBP,NEK7,SIRPA,CSF3,CSF3R,CTLA4,NFAM1,CTSG,CTSS,DAB2IP,CYP19A1,DAPK1,ZFPM1,AP1G1,DEFA4,IDO2,CLEC4C,DLG1,DOCK2,DUSP3,ANO6,ELF1,EPHB3,AKT1,ETS1,EXT1,F12,PTK2B,FCER2,MARCHF8,ADGRG3,FECH,RAB11FIP2,ACIN1,TRIM35,RAP1GAP2,LRCH1,FCHO1,GRAMD4,RFTN1,RCOR1,FLT1,FLT3,PLCB1,KIF13B,SCRIB,KAT6B,FPR2,CDC42EP4,FPR3,LY96,PLD3,BRD1,ALOX5,FYB1,FYN,SERINC5,GCSAM,HECTD1,IL4I1,ZBTB20,GFI1,GGT1,FOXP1,CRCP,STK39,CCDC88B,VSTM1,GPER1,TREML4,GRB2,RGCC,DBNL,SETD2,TBK1,CD274,GSN,ZDHHC1,IL19,HCK,HELLS,HK1,HLA-DQA1,HLA-DRB1,HLA-DRB5,HOXB6,CD300E,IGF1R,APP,RBPJ,TICAM2,IKBKB,IL2RA,IL5RA,IL7R,IL16,TNFRSF9,INHBA,INPP5D,IRAK2,IRF2,ITGA9,ITGAL,ITPKB,JAK1,JARID2,KCNQ1,ARG1,CCL4L1,LAIR1,LAMP1,LCK,LCN2,LEPR,LFNG,LGALS1,LGALS3,RHOH,MYO18A,LYL1,MIR140,MIR145,MIR185,MIR21,SMAD7,MBP,MEF2C,MAP3K1,MAP3K5,MITF,MOG,MPO,EIF2AK4,TARM1,MYB,MYH9,MYO1C,NCF2,NEDD4,NEDD9,NFATC2,NFKB1,NOTCH1,OLR1,P2RX7,PDE4B,PDE4D,TMEM14C,PIK3CD,PLA2G4A,PLEC,TRIM34,ACP5,RBM47,SHLD2,LAX1,MARCHF1,PPP2R1A,PBRM1,APPL2,PSPC1,FBXW7,PPP3CA,LGR4,SIRPG,CHD7,RAB20,PRKCB,PRKCE,PAG1,PRKCH,PRKCZ,PRKDC,MAPK1,CRTAM,CTNNBL1,LRRC8A,AZU1,SLAMF8,SPHK2,CAMK1D,CD177,PELI1,ZMIZ1,PTAFR,ARID1B,RPTOR,PREX1,WDFY1,ZBTB2,PTPN1,WDFY4,PTPRJ,PTPRO,NLRC4,RAB27A,RARA,BCL2,TRIM27,RGS1,BCL6,BACH2,ROCK1,RORC,S100A9,S100A12,S100A13,CCL18,BID,SELL,GOLPH3,SAMSN1,VSIR,SEMA4A,CRTC3,ST6GAL1,MARCHF7,SKP2,BMP6,SLPI,SMARCA2,SMARCC1,CHID1,SMARCD1,SRC,BRAF,SRPK1,STAT3,STAT5B,STK10,STXBP2,BSG,ADAM17,TCF3,TCF12,TGFB3,TLR4,C1QB,TNFRSF1B,TRAF2,TRAF3,TRPM2,CCR2,UBA7,VAV2,EZR,NSD2,XRCC5,YWHAZ,ZNF3,ZBTB17,TRIM26,CACNA1C,LAPTM5,LILRA6,NLRX1,ZDHHC11,RIN3,KAT6A,ATAT1,CCDC92,PDGFD,SLC7A5,DCSTAMP,SNX27,AKAP1,DOCK8,TRIM7,DYSF,RASSF5,ITCH,MAD1L1,ZDHHC18,RNF135,NCK2,L3MBTL3,CRACR2A,GPR65,ADTRP,ZNRF1,UBASH3B,CST7,LMO4,RUNX2,RUNX1,RNASET2,OASL,RUNX3,MARCO,TNFSF12,TNFSF10,TNFRSF11A,CFLAR,BCL10,SKAP2,KLHL6,TRIM15,PSTPIP1,CD6,MAPKAPK2,SFXN1,CD86,AIM2,LY86,CHST3,STX8,CD38,CD44,CD58,CD59,PHF14,HDAC4,TOX,TESPA1,TNFSF15","Sputum_Neutrophilic"
