ONTOLOGY,TERM,N,DE,P.DE,FDR,SigGenesInSet
BP,post-translational protein modification,1064,23,5.859089858803737e-5,1,"CHP1,PARK7,ZNRF2,UBR4,AUTS2,FBXW8,KANSL1,FZR1,ANAPC11,NDFIP2,PRKCB,SH3RF1,EP400,SMURF2,SMYD3,UBE2G1,TRIM26,RNF103,AXIN1,ZNRF1,BTRC,RPS6KA4,BABAM2,RNF144A"
BP,regulation of dopamine biosynthetic process,3,2,1.801226964430137e-4,1,"PARK7,ALDH2"
BP,proteasome-mediated ubiquitin-dependent protein catabolic process,456,13,1.9752040798254534e-4,1,"PARK7,ZNRF2,RYBP,FBXW8,FZR1,ANAPC11,SH3RF1,SMURF2,UBE2G1,RNF103,AXIN1,ZNRF1,BTRC,RNF144A"
BP,proteasomal protein catabolic process,529,14,2.0957228518362565e-4,1,"PARK7,ZNRF2,RYBP,FBXW8,UBAC2,FZR1,ANAPC11,SH3RF1,SMURF2,UBE2G1,RNF103,AXIN1,ZNRF1,BTRC,RNF144A"
BP,regulation of proteasomal protein catabolic process,196,8,2.9663707733662716e-4,1,"PARK7,RYBP,FBXW8,FZR1,SH3RF1,AXIN1,BTRC,RNF144A"
BP,regulation of proteasomal ubiquitin-dependent protein catabolic process,143,7,3.349624926499107e-4,1,"PARK7,RYBP,FBXW8,FZR1,SH3RF1,AXIN1,RNF144A"
BP,protein succinylation,4,2,3.832794227951855e-4,1,"DLST,OGDH"
BP,histone succinylation,4,2,3.832794227951855e-4,1,"DLST,OGDH"
BP,ubiquitin-dependent protein catabolic process,635,15,4.7788937883173416e-4,1,"PARK7,ZNRF2,UBR4,RYBP,FBXW8,FZR1,ANAPC11,NDFIP2,SH3RF1,SMURF2,UBE2G1,RNF103,AXIN1,ZNRF1,BTRC,RNF144A"
BP,modification-dependent protein catabolic process,645,15,5.344554591660352e-4,1,"PARK7,ZNRF2,UBR4,RYBP,FBXW8,FZR1,ANAPC11,NDFIP2,SH3RF1,SMURF2,UBE2G1,RNF103,AXIN1,ZNRF1,BTRC,RNF144A"
BP,modification-dependent macromolecule catabolic process,656,15,6.494935302139734e-4,1,"PARK7,ZNRF2,UBR4,RYBP,FBXW8,FZR1,ANAPC11,NDFIP2,SH3RF1,SMURF2,UBE2G1,RNF103,AXIN1,ZNRF1,BTRC,RNF144A"
