Description,N,DE,P.DE,FDR,SigGenesInSet
Influenza A,168,5,0.0055341055189052,1,"JAK1,PML,PRKCA,SLC25A31,CASP9"
Progesterone-mediated oocyte maturation,98,4,0.009979111089016104,1,"RPS6KA2,STK10,MAD1L1,CDC27"
Arrhythmogenic right ventricular cardiomyopathy,86,4,0.017050050184529823,1,"DMD,CACNG7,CACNA1D,CACNA1S"
Hypertrophic cardiomyopathy,99,4,0.017062758848685664,1,"DMD,CACNG7,CACNA1D,CACNA1S"
Pathways in cancer,530,10,0.022545964924751777,1,"BCL2L11,APC2,RASGRP3,GLI2,JAK1,PML,PRKCA,BAD,ZBTB16,CASP9,LPAR2"
Apoptosis - multiple species,32,2,0.02454584616936269,1,"BCL2L11,CASP9"
Dilated cardiomyopathy,104,4,0.02497514785428717,1,"DMD,CACNG7,CACNA1D,CACNA1S"
MAPK signaling pathway,299,7,0.026689569398673,1,"RASGRP3,PPM1A,PRKCA,CACNG7,RPS6KA2,CACNA1D,CACNA1S"
Cardiac muscle contraction,83,3,0.02785296832691668,1,"CACNG7,CACNA1D,CACNA1S"
GnRH secretion,64,3,0.03403262760015654,1,"PRKCA,CACNA1D,CACNA1S"
Thyroid hormone signaling pathway,121,4,0.03853121866439372,1,"NCOA2,MED12L,PRKCA,BAD,CASP9"
Herpes simplex virus 1 infection,176,4,0.040814909673659576,1,"JAK1,PML,BAD,SRSF5,CASP9"
Mucin type O-glycan biosynthesis,36,2,0.04711307006914495,1,"ST6GALNAC1,GALNT16"
Colorectal cancer,86,3,0.047322249248318564,1,"BCL2L11,APC2,BAD,CASP9"
Human T-cell leukemia virus 1 infection,220,5,0.04872049221549133,1,"JAK1,SLC25A31,MAD1L1,CD3D,CD3G,CDC27"
EGFR tyrosine kinase inhibitor resistance,78,3,0.061793700275393715,1,"BCL2L11,JAK1,PRKCA,BAD"
Insulin secretion,86,3,0.06360765542102298,1,"PRKCA,CACNA1D,CACNA1S"
GnRH signaling pathway,93,3,0.06757507414968984,1,"PRKCA,CACNA1D,CACNA1S"
Pathways of neurodegeneration - multiple diseases,464,7,0.06893965208293903,1,"APC2,DNAH10,PRKCA,BAD,CACNA1D,CACNA1S,SLC25A31,CASP9"
GABAergic synapse,89,3,0.06921518684133646,1,"PRKCA,CACNA1D,CACNA1S"
Adrenergic signaling in cardiomyocytes,152,4,0.06995650284468974,1,"PRKCA,CACNG7,CACNA1D,CACNA1S"
Measles,135,3,0.07014747552372434,1,"JAK1,BAD,CASP9,CD3D,CD3G"
Pathogenic Escherichia coli infection,198,4,0.07520404563275504,1,"NCKAP1L,MYO10,CASP9,LPAR2"
Epstein-Barr virus infection,201,4,0.07742342732147763,1,"BCL2L11,JAK1,CASP9,CD3D,CD3G"
Oxytocin signaling pathway,154,4,0.07825240590463493,1,"PRKCA,CACNG7,CACNA1D,CACNA1S"
Oocyte meiosis,127,3,0.07841817581178394,1,"RPS6KA2,MAD1L1,CDC27"
Serotonergic synapse,113,3,0.07982544039982709,1,"PRKCA,CACNA1D,CACNA1S"
Chemical carcinogenesis - receptor activation,216,4,0.09181394722107826,1,"PRKCA,BAD,RPS6KA2,CACNA1D,CACNA1S"
Aldosterone synthesis and secretion,98,3,0.09252463171587616,1,"PRKCA,CACNA1D,CACNA1S"
Apoptosis,136,3,0.09258143461491719,1,"BCL2L11,CTSS,BAD,CASP9"
Transcriptional misregulation in cancer,193,4,0.09296751791959418,1,"AFF1,PML,TFE3,ZBTB16"
Prion disease,259,4,0.09667250606452099,1,"BAD,CACNA1D,CACNA1S,SLC25A31,CASP9"
Wnt signaling pathway,177,4,0.10606836720795264,1,"APC2,PRKCA,LGR5,CELSR1"
Basal cell carcinoma,63,2,0.10765554565345109,1,"APC2,GLI2"
VEGF signaling pathway,59,2,0.11121568678906057,1,"PRKCA,BAD,CASP9"
Ubiquitin mediated proteolysis,142,3,0.11243588597941422,1,"PML,FBXW7,CDC27"
Selenocompound metabolism,17,1,0.11541251975246955,1,SCLY
Renin secretion,69,2,0.12338978156961758,1,"CACNA1D,CACNA1S"
Vascular smooth muscle contraction,134,3,0.12684350441957803,1,"PRKCA,CACNA1D,CACNA1S"
Hedgehog signaling pathway,56,2,0.12910843153592158,1,"GPR161,GLI2"
Retrograde endocannabinoid signaling,141,3,0.1336452786988499,1,"PRKCA,CACNA1D,CACNA1S"
"Growth hormone synthesis, secretion and action",121,3,0.13398202046409374,1,"PRKCA,CACNA1D,CACNA1S"
Endometrial cancer,58,2,0.13450729346571194,1,"APC2,BAD,CASP9"
Cholinergic synapse,114,3,0.13476723843528193,1,"PRKCA,CACNA1D,CACNA1S"
Tuberculosis,178,3,0.13865870343156902,1,"CTSS,JAK1,BAD,CASP9"
Acute myeloid leukemia,67,2,0.14229869148874458,1,"PML,BAD,ZBTB16"
Amphetamine addiction,69,2,0.14253846008761312,1,"PRKCA,CACNA1D"
Hepatitis B,162,3,0.14558283250884904,1,"JAK1,PRKCA,BAD,CASP9"
Alzheimer disease,372,5,0.14721509414533596,1,"APC2,BAD,CACNA1D,CACNA1S,SLC25A31,CASP9"
Viral myocarditis,67,2,0.1479448488681845,1,"DMD,CASP9"
Long-term potentiation,67,2,0.15931649258652283,1,"PRKCA,RPS6KA2"
Cortisol synthesis and secretion,65,2,0.16045831898136464,1,"CACNA1D,CACNA1S"
Pancreatic cancer,76,2,0.1650297379141325,1,"JAK1,BAD,CASP9"
Mannose type O-glycan biosynthesis,23,1,0.16962335179835744,1,FKRP
B cell receptor signaling pathway,82,2,0.17246513338575964,1,"LILRB1,RASGRP3"
Autophagy - animal,166,3,0.17390043387082063,1,"ATG4A,BAD,UVRAG,MTMR3"
