p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
0.0017662812665525873,0.9871465465976887,1,3.1757285133404687,0.1533550767389906,0.24865955168289455,0.05805060179508664,0.048289731346613206,183,chr19,35577342,cg14048271,HPN-AS1,0.1533550767389906,0.0017662812665525873,2.7529401372333666,chr19,35577342,HPN-AS1;HPN-AS1,19,35577342,1
7.050351337038331e-4,0.9871465465976887,1,-3.448906346370887,-0.14613100138845622,-0.06250921081983477,-0.22975279195707768,0.04237024340838441,183,chr1,43472312,cg05712748,NA,-0.14613100138845622,7.050351337038331e-4,3.1517892404646077,chr1,43472312,,1,43472312,1
0.0026023440554757836,0.9871465465976887,1,-3.0550149666943156,-0.14105904834336302,-0.04993225018523653,-0.23218584650148952,0.04617294837543667,183,chr12,125440391,cg06354054,DHX37,-0.14105904834336302,0.0026023440554757836,2.584635285977093,chr12,125440391,DHX37,12,125440391,1
0.004586229824392797,0.9871465465976887,1,2.8717368280726943,0.13481562263935107,0.2274674710331765,0.042163774245525656,0.04694567459018511,183,chr14,101507727,cg27056740,MIR300,0.13481562263935107,0.004586229824392797,2.3385441857672906,chr14,101507727,MIR300,14,101507727,1
0.014981801782246004,0.9871465465976887,1,2.457064037683317,0.12949629495023016,0.2335121087298803,0.02548048117058002,0.05270367111486759,183,chr22,17591088,cg14112997,IL17RA,0.12949629495023016,0.014981801782246004,1.8244359531898684,chr22,17591088,IL17RA,22,17591088,1
0.008821994345672362,0.9871465465976887,1,-2.6485558562452844,-0.12937258342877092,-0.03296934613882714,-0.22577582071871471,0.048846462166810975,183,chr13,103307218,cg13372276,TPP2,-0.12937258342877092,0.008821994345672362,2.0544332249121884,chr13,103307218,TPP2,13,103307218,1
0.0076566271936713256,0.9871465465976887,1,-2.698056246564808,-0.12565431960423265,-0.03373962946105795,-0.21756900974740734,0.04657216459598164,183,chr15,58750131,cg01104393,LOC101928694,-0.12565431960423265,0.0076566271936713256,2.1159624984817436,chr15,58750131,LOC101928694;LIPC,15,58750131,1
0.005104753045209986,0.9871465465976887,1,-2.83609883566778,-0.12420607961336472,-0.037772998182294015,-0.21063916104443542,0.04379469363031543,183,chr6,164392967,cg03071582,NA,-0.12420607961336472,0.005104753045209986,2.292025263116112,chr6,164392967,,6,164392967,1
0.00386390125628781,0.9871465465976887,1,2.9280771000246344,0.1238969956647318,0.20740666636822233,0.040387324961241255,0.042313433503403795,183,chr6,31380198,cg11268327,MICA,0.1238969956647318,0.00386390125628781,2.4129739807030455,chr6,31380198,MICA,6,31380198,1
0.015682019885588695,0.9871465465976887,1,-2.4400308657342418,-0.1230985471571275,-0.023531389155025992,-0.222665705159229,0.05044958606295552,183,chr10,3200291,cg06728147,PITRM1,-0.1230985471571275,0.015682019885588695,1.8045979997722206,chr10,3200291,PITRM1;PITRM1;PITRM1,10,3200291,1
0.00442038073924036,0.9871465465976887,1,-2.88391491572682,-0.12051560884934233,-0.038041171818042147,-0.2029900458806425,0.04178889196492447,183,chr8,94592572,cg05321907,LINC00535,-0.12051560884934233,0.00442038073924036,2.354540322092134,chr8,94592572,LINC00535,8,94592572,1
0.007446601015790741,0.9871465465976887,1,2.707694703425868,0.11948540432660494,0.20657648226029057,0.032394326392919295,0.04412809323570635,183,chr5,66595360,cg12145624,MAST4,0.11948540432660494,0.007446601015790741,2.1280419147590734,chr5,65891188,MAST4;MAST4,5,66595360,1
0.00587230768908572,0.9871465465976887,1,-2.788980798782872,-0.11621483723483933,-0.03397645512480396,-0.1984532193448747,0.041669285527371216,183,chr22,36777738,cg01234346,MYH9,-0.11621483723483933,0.00587230768908572,2.231191196932042,chr22,36777738,MYH9,22,36777738,1
0.00666855477270692,0.9871465465976887,1,-2.7456865650996782,-0.11230621161695764,-0.031580603980686864,-0.19303181925322843,0.040902779306450275,183,chr3,126023617,cg10811640,NA,-0.11230621161695764,0.00666855477270692,2.1759682773648654,chr3,126023617,,3,126023617,1
0.02445012375578072,0.9871465465976887,1,2.2696088896075812,0.11190031918878154,0.20920613660447185,0.014594501773091226,0.049303789609375946,183,chr4,152996165,cg08896901,NA,0.11190031918878154,0.02445012375578072,1.611718938327001,chr4,152996165,,4,152996165,1
0.03408689581333206,0.9871465465976887,1,-2.135771148637772,-0.11111174944283125,-0.008436971120386202,-0.2137865277652763,0.05202418316854783,183,chr6,170703742,cg04922606,FAM120B,-0.11111174944283125,0.03408689581333206,1.467412546806423,chr6,170703742,FAM120B,6,170703742,1
0.016186439439365097,0.9871465465976887,1,2.4281739675283025,0.10927313536396613,0.1980893193187286,0.020456951409203644,0.04500218552099787,183,chr6,29706048,cg27230769,LOC285830,0.10927313536396613,0.016186439439365097,1.7908486732910036,chr6,29706048,LOC285830;LOC285830,6,29706048,1
0.022016546251951808,0.9871465465976887,1,-2.3106641704794115,-0.10710302423283379,-0.01562360312709829,-0.19858244533856928,0.04635161855243217,183,chr19,37466940,cg05900567,NA,-0.10710302423283379,0.022016546251951808,1.6572508080419042,chr19,37466940,,19,37466940,1
0.021001167233724746,0.9871465465976887,1,2.328981323460684,0.10474068336272765,0.193498763753418,0.015982602972037283,0.044972745082855016,183,chr6,32797488,cg24080129,TAP2,0.10474068336272765,0.021001167233724746,1.6777565667385461,chr6,32797488,TAP2;TAP2,6,32797488,1
0.013133189703463442,0.9871465465976887,1,-2.505691828871556,-0.10461238670009593,-0.022214901409725207,-0.18700987199046665,0.04174990136245459,183,chr3,148953024,cg01407424,NA,-0.10461238670009593,0.013133189703463442,1.8816297824880748,chr3,148953024,,3,148953024,1
