probeID,gene,chromosome,position,beta,p,fdr
cg01695620,,8,57210291,0.038434241376857,1.91622527841162e-07,0.165590990678996
cg03146160,LOC101928708,16,87249324,0.370665823242865,0.00129791592731437,0.999999740384304
cg11738485,HOOK2,19,12766186,-0.370247958463471,0.00194635365202413,0.999999740384304
cg09916840,,16,87248612,0.369617749010643,0.00179733415343362,0.999999740384304
cg04456492,,7,20010777,0.350822988266762,0.00144310632683773,0.999999740384304
cg10171723,,20,46486091,-0.344751405792835,0.00290080607372707,0.999999740384304
cg13910001,BPIFB6,20,31622082,0.333142431522649,0.00264180136272562,0.999999740384304
cg00258945,MAN2A1,5,109180462,-0.324076819680968,0.00344390978192546,0.999999740384304
cg11290949,,6,55778951,-0.315833814182063,0.00012895676911688,0.999999740384304
cg24090628,TNS1,2,218675198,-0.311131340969963,0.0103113896486113,0.999999740384304
cg06378142,PRR12,19,49616376,-0.308856719837467,0.0191350023914755,0.999999740384304
cg12156950,,6,24539138,-0.307591062463589,0.00928892482853406,0.999999740384304
cg04305804,SMYD3,1,246464301,-0.30477800888142,0.0228517948133608,0.999999740384304
cg07227024,ALS2CR12,2,202163482,0.304313238278187,0.00485420339349591,0.999999740384304
cg06032337,,6,29648468,-0.304101845516489,0.0389917502688469,0.999999740384304
cg06417478,HOOK2,19,12766032,-0.304061420212261,0.00194388086389423,0.999999740384304
cg02822944,DNAJC5B,8,66949849,-0.301955966011762,0.0349510716083462,0.999999740384304
cg25664050,HLA-DRB6,6,32522905,0.296458397325825,0.00780334052518859,0.999999740384304
cg16241932,ZDHHC14,6,157876915,0.287212904510261,0.00127857726780736,0.999999740384304
cg21463262,ATP11A,13,113539522,0.286692458794454,0.0158401907004015,0.999999740384304
