probeID,gene,chromosome,position,beta,p,fdr
cg22446445,VIL1,2,219303984,-0.0335596084116063,6.62021553779492e-09,0.00572087249741655
cg26983017,HCK,20,30680224,0.19915213875428,0.00066163670486072,0.453593285154785
cg02355809,GIMAP1,7,150412715,-0.183835374507761,1.58657169600099e-05,0.453593285154785
cg11014960,,3,122748132,0.168405414129396,4.97983272599824e-05,0.453593285154785
cg08996597,,6,130747460,0.167889840146942,0.000894572721794135,0.453593285154785
cg26465155,,11,35611044,0.162504575281197,0.000858580106879924,0.453593285154785
cg14710850,,1,227689829,0.15461438666199,0.000336508365795796,0.453593285154785
cg09864671,DIDO1,20,61565484,-0.152151922218232,0.000632157726252741,0.453593285154785
cg24686902,,17,6558231,-0.151523043233587,0.000964373107712533,0.453593285154785
cg20622565,,13,112906400,0.146127085643954,0.0012049625331841,0.453593285154785
cg01088139,SNX6,14,35096197,-0.140247138100952,0.000212050919151574,0.453593285154785
cg03075631,,2,74697095,0.134750094159528,0.00123137032920098,0.453593285154785
cg23175573,,10,3503185,-0.134394604668101,0.0010981986473088,0.453593285154785
cg26647036,,1,66490928,-0.133507499598075,0.000439860669647218,0.453593285154785
cg10610309,,13,100083372,0.132899650128284,5.97701543028853e-05,0.453593285154785
cg21964148,,12,92341588,0.129607401626766,0.00114766287669704,0.453593285154785
cg17416644,BRSK2,11,1453611,-0.110450832179239,0.000511085277014494,0.453593285154785
cg22849321,,6,113128231,-0.101822263139751,0.00104532359437079,0.453593285154785
cg10590925,BRSK2,11,1442390,-0.100825852523236,0.000533288011516544,0.453593285154785
cg27219926,,5,149026436,-0.0981869672468722,0.000755190039343995,0.453593285154785
