probeID,best_comparison,min_fdr,min_p,n_comparisons_pass,beta_best,gene,chromosome,position
cg26916605,asthma_GLOBAL_vs_CONTROLS,0.01142306750384497,1.3218817411572236e-8,2,-0.01613764496920853,NA,16,77250184
cg22748852,asthma_GLOBAL_vs_CONTROLS,0.01412437648172289,5.210666659947943e-8,2,-0.09510004328599418,PLCB1,20,8275246
cg19561453,asthma_GLOBAL_vs_CONTROLS,0.01412437648172289,5.5902205240409294e-8,2,-0.0377866190051525,HSF2,6,122402561
cg00841299,asthma_GLOBAL_vs_CONTROLS,0.01412437648172289,7.498116164920585e-8,2,-0.03339403637243298,RNF150,4,141054108
cg11545402,asthma_GLOBAL_vs_CONTROLS,0.01412437648172289,8.441278855692357e-8,2,-0.0860991251553792,GPHN,14,66638946
cg15253906,asthma_GLOBAL_vs_CONTROLS,0.01412437648172289,1.1755525152457021e-7,2,0.00674780211163737,NA,13,23466880
cg22147968,asthma_GLOBAL_vs_CONTROLS,0.01412437648172289,1.254834754454763e-7,2,0.01272187064843285,CUX2,12,111320082
cg19628908,asthma_GLOBAL_vs_CONTROLS,0.01412437648172289,1.5817587675183306e-7,2,-0.1037891593480865,NFXL1,4,47865430
cg24799218,asthma_GLOBAL_vs_CONTROLS,0.01412437648172289,1.6830253026003965e-7,2,-0.06826725564307351,SRI,7,88227833
cg14694605,asthma_GLOBAL_vs_CONTROLS,0.01412437648172289,1.9320587313527215e-7,2,-0.02655713585945368,NA,13,110063901
cg17844690,asthma_GLOBAL_vs_CONTROLS,0.01412437648172289,2.006889357380408e-7,2,-0.07448002869379616,NPAS2,2,100934059
cg11299190,asthma_GLOBAL_vs_CONTROLS,0.01412437648172289,2.401907623761008e-7,2,-0.01747200509777851,ARID1B,6,156833365
cg19333010,asthma_GLOBAL_vs_CONTROLS,0.01412437648172289,2.7253257083931904e-7,2,-0.02539032996113112,OXCT1,5,41853889
cg09086900,asthma_GLOBAL_vs_CONTROLS,0.01412437648172289,2.775915708730758e-7,2,-0.01568150392867016,NA,4,78916381
cg04570442,asthma_GLOBAL_vs_CONTROLS,0.01412437648172289,3.11460529288202e-7,2,-0.06567783876285027,ADCY9,16,3974421
cg11607524,asthma_GLOBAL_vs_CONTROLS,0.01412437648172289,3.317525291700455e-7,2,-0.0713872753235139,ALG13,23,111688603
cg21057254,asthma_GLOBAL_vs_CONTROLS,0.01412437648172289,3.601067579765657e-7,2,-0.05736173913588609,GLIS3,9,4295758
cg23720494,asthma_GLOBAL_vs_CONTROLS,0.01412437648172289,3.660705346068596e-7,2,-0.037978435376846,RHOBTB1,10,62735291
cg26204015,asthma_GLOBAL_vs_CONTROLS,0.01412437648172289,3.989052704818703e-7,2,-0.03607925709675529,WDHD1,14,54991854
cg06047130,asthma_GLOBAL_vs_CONTROLS,0.01412437648172289,4.11316146684575e-7,2,-0.08308247151857029,NA,6,29012832
cg20789304,asthma_GLOBAL_vs_CONTROLS,0.01412437648172289,5.050463129297267e-7,2,-0.08972440816477613,NA,10,107935977
cg18184895,asthma_GLOBAL_vs_CONTROLS,0.01412437648172289,5.313755698869985e-7,2,-0.10022035100628486,MALRD1,10,19432237
cg05882529,asthma_GLOBAL_vs_CONTROLS,0.01412437648172289,5.910772703062917e-7,2,-0.05909399226232312,NA,15,87582120
cg15286746,asthma_GLOBAL_vs_CONTROLS,0.01412437648172289,6.076049541052355e-7,2,-0.05164559449394167,CNBD1,8,88081893
cg00426200,asthma_GLOBAL_vs_CONTROLS,0.01412437648172289,6.618908936829944e-7,2,-0.05533194807818956,NA,2,6210214
