p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,gene,bonf
2.7977286637046586e-8,0.01706160070070118,0.02417662820197708,-5.914809043801055,-0.050634045230100615,-0.033697013495693484,-0.06757107696450775,0.008560554509053343,137,chr20,19213673,cg01635668,-0.050634045230100615,2.7977286637046586e-8,7.553194407631875,chr20,19194317,SLC24A3,20,19213673,SLC24A3,0.02417662820197708
8.853900632811816e-8,0.01706160070070118,0.07651107085744964,-5.671054738688749,-0.024310613626282316,-0.01582921479440126,-0.03279201245816337,0.004286788745033939,137,chr18,25329109,cg19833642,-0.024310613626282316,8.853900632811816e-8,7.052865356409991,chr18,22909073,ZNF521;ZNF521,18,25329109,ZNF521,0.07651115939645596
9.705857276414544e-8,0.01706160070070118,0.08387316565413629,-5.651373472073834,-0.08968066325699298,-0.05828423769069014,-0.12107708882329582,0.015868826171221644,137,chr17,82101532,cg02741985,-0.08968066325699298,9.705857276414544e-8,7.012966099227341,chr17,80059408,CCDC57,17,82101532,CCDC57,0.08387335977128181
1.710167328250891e-7,0.01706160070070118,0.14778393865406794,-5.529176190887467,-0.02127277485351204,-0.013660768910623296,-0.028884780796400784,0.00384736787526708,137,chr14,92519603,cg24112090,-0.02127277485351204,1.710167328250891e-7,6.766961394765278,chr14,92985947,RIN3,14,92519603,RIN3,0.1477844517042664
1.952878425209912e-7,0.01706160070070118,0.16875759853882952,-5.500328413709627,-0.09583438058982209,-0.061362250234376435,-0.13030651094526774,0.017423392456158416,137,chr16,48394014,cg04973399,-0.09583438058982209,1.952878425209912e-7,6.709324792505247,chr16,48427925,MIR5095,16,48394014,MIR5095,0.16875837969019958
2.031475427918919e-7,0.01706160070070118,0.175549339660985,-5.491735024891237,-0.07448169725220298,-0.047648316420122974,-0.10131507808428299,0.013562507461597362,137,chr20,45836974,cg20337696,-0.07448169725220298,2.031475427918919e-7,6.692188426393814,chr20,44465613,SNX21;SNX21;SNX21;SNX21,20,45836974,SNX21,0.17555035539869895
2.0367225176630995e-7,0.01706160070070118,0.17600256167484968,-5.4911729671193,-0.0667727958213308,-0.042714224091668855,-0.09083136755099275,0.012160024137130791,137,chr10,99661385,cg13859771,-0.0667727958213308,2.0367225176630995e-7,6.691068135092336,chr10,101421142,ENTPD7,10,99661385,ENTPD7,0.17600378370836028
2.1749701868449827e-7,0.01706160070070118,0.18794896121111576,-5.476852592727,-0.0856956771165958,-0.05473836350991586,-0.11665299072327574,0.01564688398413271,137,chr17,43395380,cg10433549,-0.0856956771165958,2.1749701868449827e-7,6.662546691710471,chr17,41472748,,17,43395380,NA,0.18795048369024656
2.2219014281213214e-7,0.01706160070070118,0.19200427877024712,-5.472192897528459,-0.09058672762597307,-0.057834670893107114,-0.12333878435883902,0.016554008479285696,137,chr1,229142381,cg17278724,-0.09058672762597307,2.2219014281213214e-7,6.653275211899452,chr1,229142381,,1,229142381,NA,0.19200605629138962
2.292762209898173e-7,0.01706160070070118,0.19812744143480368,-5.465336469289531,-0.08739729592838402,-0.05575875143252387,-0.11903584042424417,0.015991201350453225,137,chr1,207537034,cg10549984,-0.08739729592838402,2.292762209898173e-7,6.6396409850799945,chr1,207537034,,1,207537034,NA,0.1981295049207926
