probeID,gene,chromosome,position,beta_delta,p_value,FDR,comparison
cg01635668,SLC24A3,20,19213673,-0.050819349654784705,6.374967197301327e-10,5.508940653482337e-4,C1_severe_atopic_vs_rest
cg10549984,NA,1,207537034,-0.08534686556313624,4.6053093509862366e-9,0.0018367693175855295,C1_severe_atopic_vs_rest
cg02741985,CCDC57,17,82101532,-0.09220725110733115,7.816080131479425e-9,0.0018367693175855295,C1_severe_atopic_vs_rest
cg07410082,NA,10,134140238,-0.051150677488354016,8.9595520858255e-9,0.0018367693175855295,C1_severe_atopic_vs_rest
cg10433549,NA,17,43395380,-0.08608935668219402,1.2292905763549468e-8,0.0018367693175855295,C1_severe_atopic_vs_rest
cg22864884,NA,3,194575080,-0.06109566427376987,1.394961926994985e-8,0.0018367693175855295,C1_severe_atopic_vs_rest
cg19448292,C20orf118,20,36875661,-0.10118332531977538,1.4918575508182254e-8,0.0018367693175855295,C1_severe_atopic_vs_rest
cg03181212,AKAP13,15,85477232,-0.11443876777731617,2.1845750008418527e-8,0.0018367693175855295,C1_severe_atopic_vs_rest
cg02564259,SLC12A4,16,67944526,-0.027300422376888393,2.366986916792064e-8,0.0018367693175855295,C1_severe_atopic_vs_rest
cg20337696,SNX21,20,45836974,-0.07536959828003198,2.4030780160821594e-8,0.0018367693175855295,C1_severe_atopic_vs_rest
cg24600621,SLC16A12,10,89502991,-0.03695479796645285,2.5194794587171384e-8,0.0018367693175855295,C1_severe_atopic_vs_rest
cg13859771,ENTPD7,10,99661385,-0.06241940242685024,2.5506197765007028e-8,0.0018367693175855295,C1_severe_atopic_vs_rest
cg04973399,MIR5095,16,48394014,-0.09434863147844907,3.0499371717872456e-8,0.0018535468744145039,C1_severe_atopic_vs_rest
cg04871139,AAK1,2,69560341,-0.028980595767887182,3.209481514816574e-8,0.0018535468744145039,C1_severe_atopic_vs_rest
cg24112090,RIN3,14,92519603,-0.021130046323690168,3.217397300037211e-8,0.0018535468744145039,C1_severe_atopic_vs_rest
cg21294295,NA,10,131923210,-0.021091154408607485,3.580681129507397e-8,0.0018546337944322115,C1_severe_atopic_vs_rest
cg18367488,NA,11,47916382,-0.09228519349960526,3.648521846312639e-8,0.0018546337944322115,C1_severe_atopic_vs_rest
cg17278724,NA,1,229142381,-0.09189407692736146,3.927144488199922e-8,0.0018853609798705217,C1_severe_atopic_vs_rest
cg00728848,C6orf114,6,13483600,-0.039241598587500134,5.212652015374332e-8,0.0023488581492378596,C1_severe_atopic_vs_rest
cg19528703,FAM69A,1,92852007,-0.04213377620535594,5.900482254322468e-8,0.0023488581492378596,C1_severe_atopic_vs_rest
cg15756055,MAP4K3,2,39418814,-0.039839797614407355,6.13057871424869e-8,0.0023488581492378596,C1_severe_atopic_vs_rest
cg01602526,NA,10,134140240,-0.07583305890481422,6.171256069326635e-8,0.0023488581492378596,C1_severe_atopic_vs_rest
cg07337598,ANXA9,1,150981467,-0.06725354535414156,6.50830193263214e-8,0.0023488581492378596,C1_severe_atopic_vs_rest
cg23339014,PRKCH,14,61533773,-0.12221522860109524,6.52345832465916e-8,0.0023488581492378596,C1_severe_atopic_vs_rest
cg06845438,ZNF662,3,42905280,-0.03626884847928699,6.810369696519245e-8,0.0023540778375945996,C1_severe_atopic_vs_rest
