probeID,best_comparison,min_fdr,min_p,n_comparisons_pass,beta_best,gene,chromosome,position
cg06893139,phenotype_signature_C2_vs_rest,7.354243679267388e-7,8.51035891749066e-13,1,-0.15572115400659078,ADAMTS12,5,33852528
cg02401524,phenotype_signature_C2_vs_rest,0.00128023421311432,2.962983857271237e-9,1,-0.2315591754041889,NA,10,134833335
cg11960711,phenotype_signature_C2_vs_rest,0.00130229614952771,4.521066257537021e-9,1,0.06434062882429366,ITGB1BP3,19,3933116
cg23414262,phenotype_signature_C2_vs_rest,0.00764750758116551,3.9826061796234606e-8,1,-0.1327537232622834,CHSY3,5,129338100
cg13866190,phenotype_signature_C2_vs_rest,0.00764750758116551,4.8134896053981423e-8,1,-0.1881962440148952,FLJ14107,8,22642263
cg15094703,phenotype_signature_C2_vs_rest,0.00764750758116551,5.3098350159454716e-8,1,-0.2015438351101704,STK10,5,171560211
cg00251121,phenotype_signature_C2_vs_rest,0.01044903457462945,8.464163945973184e-8,1,-0.15291679165854016,UVRAG,11,75631360
cg18920697,phenotype_signature_C2_vs_rest,0.01157543050343431,1.3737004761074265e-7,1,-0.2300749957920283,NA,14,66480528
cg25015398,phenotype_signature_C2_vs_rest,0.01157543050343431,1.391857876113489e-7,1,-0.10768335918381591,COBL,7,51147950
cg16561902,phenotype_signature_C2_vs_rest,0.01157543050343431,1.433702780124273e-7,1,-0.11047089009070468,LGR5,12,71886932
cg01024679,phenotype_signature_C2_vs_rest,0.01157543050343431,1.4734645703276444e-7,1,0.15883385499971814,NA,4,158394288
cg19726630,phenotype_signature_C2_vs_rest,0.01330390577295992,1.847439678152907e-7,1,0.2872185653818823,CMTM8,3,32400704
cg11247812,phenotype_signature_C2_vs_rest,0.02144071137020524,3.225465517787013e-7,1,-0.199683607071326,CSMD2,1,34334019
cg08928871,phenotype_signature_C2_vs_rest,0.0232864455430624,4.0492155093125355e-7,1,-0.16778390084913175,SOLH,16,594329
cg11398095,phenotype_signature_C2_vs_rest,0.0232864455430624,4.2916859305577675e-7,1,-0.2066815430061803,GLI2,2,121717644
cg01686178,phenotype_signature_C2_vs_rest,0.0232864455430624,4.430988657705178e-7,1,-0.19295592632460404,ST6GALNAC1,17,74641236
cg27325096,phenotype_signature_C2_vs_rest,0.0232864455430624,4.581017856026034e-7,1,-0.19013184948454223,NA,6,10482947
cg04059207,phenotype_signature_C2_vs_rest,0.02464161247069795,5.13276627806871e-7,1,-0.03207336401162238,NA,14,52369353
cg11606607,phenotype_signature_C2_vs_rest,0.02741889843201229,6.028558288451957e-7,1,-0.298391903622024,RNF213,17,78264297
cg23441066,phenotype_signature_C2_vs_rest,0.04377843636333065,1.0323768116233674e-6,1,-0.10293598358079424,CORIN,4,47625753
cg26125734,phenotype_signature_C2_vs_rest,0.04377843636333065,1.0867876224877782e-6,1,0.09326172661554596,NA,16,69398439
cg05075169,phenotype_signature_C2_vs_rest,0.04377843636333065,1.114532628511274e-6,1,0.1573596463555041,NA,21,37531869
