p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
0.001452537099537256,0.1597338035778881,1,-3.2925418795630454,-0.2798207414158502,-0.11082227843053094,-0.4488192044011695,0.08498623606056768,92,chrX,111621927,cg26287822,ZCCHC16,-0.2798207414158502,0.001452537099537256,2.8378727663947414,chrX,111621927,ZCCHC16,23,111621927,1
0.001112442236124812,0.1540598212960818,1,3.3766327661785054,0.26496334045372677,0.42100340433619343,0.10892327657126014,0.0784696941603153,92,chr19,3571445,cg11431762,HMG20B,0.26496334045372677,0.001112442236124812,2.953722530624378,chr19,3571445,HMG20B,19,3571445,1
0.0015451746618844375,0.16130054371351532,1,3.2728556195915592,0.2598549592684063,0.4177390324753482,0.10197088606146437,0.07939701272274127,92,chr20,60500578,cg00704664,CDH4,0.2598549592684063,0.0015451746618844375,2.8110224221257125,chr20,60500578,CDH4,20,60500578,1
0.001267643937808458,0.15684046228436815,1,3.335631326838642,0.25757816144445317,0.4111335829818268,0.10402273990707955,0.07722021296897157,92,chr10,81173663,cg23187802,ZCCHC24,0.25757816144445317,0.001267643937808458,2.897002716139155,chr10,81173663,ZCCHC24,10,81173663,1
0.0021832335003674954,0.17122533624004949,1,3.1613444841293177,0.24625353459985158,0.40115117779862736,0.0913558914010758,0.07789519169331321,92,chr7,158541253,cg13211008,ESYT2,0.24625353459985158,0.0021832335003674954,2.6608998133068655,chr7,158541253,ESYT2,7,158541253,1
2.1243312789394228e-4,0.12850356992935172,1,3.8721155788766093,0.24585655435706832,0.3721170931226226,0.11959601559151406,0.06349411564527654,92,chr17,925669,cg24439623,ABR,0.24585655435706832,2.1243312789394228e-4,3.672777756236205,chr17,925669,ABR;ABR;ABR,17,925669,1
7.041043924792866e-4,0.14691890138916436,1,3.517810310777515,0.24449693337516673,0.38270556219871765,0.10628830455161578,0.06950259160538062,92,chr7,64894861,cg18319941,NA,0.24449693337516673,7.041043924792866e-4,3.152362946374025,chr7,64894861,,7,64894861,1
9.551107971797663e-4,0.15169286998795983,1,-3.4241072622641884,-0.22823547336422342,-0.09568846071053597,-0.36078248601791085,0.06665546838427687,92,chr1,214362645,cg06068545,PTPN14,-0.22823547336422342,9.551107971797663e-4,3.0199462453663197,chr1,214535988,PTPN14,1,214362645,1
0.006732089541363428,0.21345006664168617,1,2.7785183049820983,0.2206683615589441,0.37859702781136134,0.06273969530652684,0.07941943774970589,92,chr8,1327546,cg11651932,NA,0.2206683615589441,0.006732089541363428,2.17185011624621,chr8,1327546,,8,1327546,1
0.0017051831032100428,0.16345843611884706,1,3.2413216205069477,0.21773850723023674,0.3513203021076453,0.0841567123528282,0.06717584143846303,92,chr18,14457820,cg24883219,NA,0.21773850723023674,0.0017051831032100428,2.7682289794608645,chr18,14457820,,18,14457820,1
0.007529991763259858,0.2186281058888884,1,-2.738537889924038,-0.2151720677919918,-0.05892880529947017,-0.37141533028451346,0.07857187902481796,92,chr6,31237034,cg11574174,HLA-C,-0.2151720677919918,0.007529991763259858,2.1232054988554414,chr6,31237034,HLA-C,6,31237034,1
0.0033242045831144347,0.18417760075062542,1,3.0221673367821875,0.2121490896581939,0.3517398987729242,0.07255828054346361,0.07019766479379556,92,chr3,197080596,cg02356645,NA,0.2121490896581939,0.0033242045831144347,2.478312256072167,chr3,197080596,,3,197080596,1
0.00479377298377268,0.1980122705565761,1,2.8974575869305945,0.21118097779852138,0.35611550844361495,0.06624644715342781,0.07288492461497419,92,chr21,45393541,cg00762003,AGPAT3,0.21118097779852138,0.00479377298377268,2.319322536474512,chr21,45393541,AGPAT3;AGPAT3,21,45393541,1
0.014065322050674359,0.25532723722001277,1,-2.507873337988803,-0.20954823561783914,-0.0433935589591074,-0.3757029122765709,0.0835561479296586,92,chr14,51761868,cg16918438,NA,-0.20954823561783914,0.014065322050674359,1.8518503194369582,chr14,51761868,,14,51761868,1
0.010052068275944324,0.23512621870977973,1,2.6335727653602654,0.20834447925596772,0.36565973262404255,0.05102922588789288,0.07911096362946583,92,chr18,47360873,cg11148883,SNHG22,0.20834447925596772,0.010052068275944324,1.9977445702420993,chr18,47360873,SNHG22;MYO5B,18,47360873,1
6.681734688321084e-4,0.14580364274292573,1,3.533749775966426,0.20682973349145198,0.32321857298779766,0.09044089399510628,0.058529818635754204,92,chr17,80741193,cg16787259,TBCD,0.20682973349145198,6.681734688321084e-4,3.175110772889102,chr17,80741193,TBCD,17,80741193,1
0.02396540815271334,0.2965576230197001,1,-2.299273338870966,-0.20652117600422412,-0.027910199271029335,-0.3851321527374189,0.08982019341190386,92,chr6,31087240,cg06792428,CDSN,-0.20652117600422412,0.02396540815271334,1.6204151701789018,chr6,31087240,CDSN;PSORS1C1,6,31087240,1
8.410895968964132e-4,0.14971651078642007,1,3.463370958206362,0.2051810427063325,0.32298839113715777,0.08737369427550723,0.059243160834435496,92,chr8,16043912,cg02754572,MSR1,0.2051810427063325,8.410895968964132e-4,3.0751577386074174,chr8,16043912,MSR1;MSR1;MSR1,8,16043912,1
1.0515086449403022e-4,0.1251933847087337,1,-4.0711976566093,-0.20329772564031898,-0.10399881326112256,-0.3025966380195154,0.049935606862584914,92,chr8,1245703,cg00154902,NA,-0.20329772564031898,1.0515086449403022e-4,3.9781871524266035,chr8,1245703,,8,1245703,1
0.008610173295774702,0.2259989192348951,1,-2.690171586823437,-0.19972490123693934,-0.05209089904187872,-0.34735890343199993,0.074242439484232,92,chrX,47229908,cg14629010,ZNF157,-0.19972490123693934,0.008610173295774702,2.064988107473024,chrX,47229908,ZNF157,23,47229908,1
