p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
1.961947208688503e-4,0.704432491058326,1,4.645991768450905,0.5622395484826314,0.8163094667703303,0.30816963019493243,0.12101604490575685,26,chr14,70924237,cg02092632,ADAM21,0.5622395484826314,1.961947208688503e-4,3.7073126826256564,chr14,70924237,ADAM21,14,70924237,1
0.013609531567440224,0.8921911910858418,1,2.731863030684442,0.43790078211443,0.7744333448308065,0.10136821939805346,0.16029382776365556,26,chr15,65272560,cg25879395,SPG21,0.43790078211443,0.013609531567440224,1.8661568227156162,chr15,65272560,SPG21;SPG21;SPG21,15,65272560,1
0.012892818679854945,0.889335081422767,1,2.7571584983975264,0.4341059169582201,0.7646613240265789,0.1035505098898612,0.15744684870692943,26,chr2,202163482,cg07227024,ALS2CR12,0.4341059169582201,0.012892818679854945,1.8896521250605136,chr2,202163482,ALS2CR12;ALS2CR12,2,202163482,1
0.012064459813916899,0.8868527128271202,1,2.7881296563183264,0.41569723906895095,0.7287189544338661,0.10267552370403576,0.1490953758649343,26,chr6,31087240,cg06792428,CDSN,0.41569723906895095,0.012064459813916899,1.9184921188515167,chr6,31087240,CDSN;PSORS1C1,6,31087240,1
0.001191849868564796,0.8080945906328983,1,-3.8361967469155216,-0.40212633746935567,-0.18205071519371988,-0.6222019597449915,0.10482422148777529,26,chr2,218675198,cg24090628,TNS1,-0.40212633746935567,0.001191849868564796,2.9237784470792025,chr2,218675198,TNS1;TNS1;TNS1,2,218675198,1
0.004083400954856564,0.8620057664166877,1,3.2840113517641965,0.39409378915880205,0.6460384931692209,0.1421490851483832,0.12000378407556106,26,chr13,114309225,cg06955954,ATP4B,0.39409378915880205,0.004083400954856564,2.3889779740000345,chr13,114309225,ATP4B,13,114309225,1
0.001732531087166779,0.821066466130262,1,-3.6690034946080385,-0.38613454466704,-0.16518107588338993,-0.6070880134506901,0.1052423485653537,26,chr14,75985840,cg13438944,C14orf179,-0.38613454466704,0.001732531087166779,2.7613189640097406,chr14,76452183,C14orf179;C14orf179,14,75985840,1
6.896595444738366e-5,0.6756030635461625,1,-5.1241224370336145,-0.38556026453575526,-0.22758719237899938,-0.5435333366925111,0.07524415532095646,26,chr6,41312735,cg17770035,NCR2,-0.38556026453575526,6.896595444738366e-5,4.161365249039452,chr6,41312735,NCR2,6,41312735,1
0.026091741963768726,0.9096420778410452,1,-2.42219698812647,-0.3661835577492823,-0.048788855907729745,-0.6835782595908348,0.15117827309021606,26,chr10,81173663,cg23187802,ZCCHC24,-0.3661835577492823,0.026091741963768726,1.583496925116034,chr10,81173663,ZCCHC24,10,81173663,1
1.7477543252440603e-4,0.704432491058326,1,4.698423487217223,0.3652089606656139,0.528401221362296,0.20201669996893196,0.0777301070580846,26,chr2,238522931,cg07167608,LINC01107,0.3652089606656139,1.7477543252440603e-4,3.7575196144300778,chr2,239431572,LINC01107,2,238522931,1
0.0034936930851439366,0.8620057664166877,1,3.3543610407947595,0.36069046372267305,0.5864443044894742,0.13493662295587192,0.1075288137848195,26,chr12,53070144,cg12087615,KRT1,0.36069046372267305,0.0034936930851439366,2.4567152496916513,chr12,53070144,KRT1,12,53070144,1
0.016226355545318275,0.8964146384355548,1,-2.6492096885861396,-0.36047171370519665,-0.07480137519476782,-0.6461420522156255,0.13606764132648833,26,chr11,72327160,cg20090066,PDE2A,-0.36047171370519665,0.016226355545318275,1.7897790121694515,chr11,72327160,PDE2A;PDE2A;PDE2A;MIR139;PDE2A,11,72327160,1
0.042861393883183885,0.9225728538242601,1,-2.1774231990483788,-0.359989011882974,-0.012887350886048421,-0.7070906728798996,0.16532799505410967,26,chr19,39265241,cg22336867,LGALS7,-0.359989011882974,0.042861393883183885,1.3679337094973687,chr19,39265241,LGALS7,19,39265241,1
0.006745368340172973,0.8714409907150954,1,-3.0561270508824436,-0.358083643969637,-0.11209029091661654,-0.6040769970226574,0.11716909605123971,26,chr17,76503526,cg15132295,DNAH17,-0.358083643969637,0.006745368340172973,2.170994330093357,chr17,76503526,DNAH17,17,76503526,1
2.860458932238194e-4,0.7105301231999978,1,-4.4756034638019315,-0.3507464738923336,-0.1862138569796551,-0.5152790908050121,0.07836853213854246,26,chr5,106211364,cg15411755,LOC102467213,-0.3507464738923336,2.860458932238194e-4,3.5435642830426475,chr5,106211364,LOC102467213,5,106211364,1
0.039909268719842905,0.921093198209438,1,-2.213186127216731,-0.3501792658044959,-0.017992151915358967,-0.6823663796936328,0.15822404699638887,26,chr1,1687481,cg27433479,NADK,-0.3501792658044959,0.039909268719842905,1.3989262299670826,chr1,1687481,NADK,1,1687481,1
0.05375389907881737,0.927553845691913,1,-2.0624652607444798,-0.3498661929738162,0.006277805243569412,-0.7060101911912018,0.16963495077125632,26,chr3,111730545,cg08522473,TAGLN3,-0.3498661929738162,0.05375389907881737,1.2695900283984172,chr3,111730545,TAGLN3;TAGLN3;TAGLN3,3,111730545,1
