p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
0.0011253526900573223,0.6951667933975284,1,-3.373019695279342,-0.29382589558708067,-0.12060304923412404,-0.4670487419400373,0.08711063739067407,92,chr19,2340235,cg23803868,SPPL2B,-0.29382589558708067,0.0011253526900573223,2.948711346582884,chr19,2340235,SPPL2B;SPPL2B,19,2340235,1
0.0019902210960768114,0.6951667933975284,1,-3.1914479589885074,-0.2916706041499423,-0.10993547949287946,-0.4734057288070051,0.09139130823940614,92,chrX,24295207,cg02006792,NA,-0.2916706041499423,0.0019902210960768114,2.701098674609189,chrX,24295207,,23,24295207,1
5.965445393830723e-4,0.6951667933975284,1,-3.5681000888105463,-0.28685984855807184,-0.12698994404276692,-0.44672975307337676,0.08039568437490183,92,chr17,6655046,cg08103988,NA,-0.28685984855807184,5.965445393830723e-4,3.2243571253613283,chr17,6558365,,17,6655046,1
1.1848926775487635e-4,0.6951667933975284,1,4.037789642377305,0.2859432604206247,0.42676514570045954,0.1451213751407898,0.07081677990839354,92,chr16,83967808,cg06052372,NA,0.2859432604206247,1.1848926775487635e-4,3.9263209843873272,chr16,83967808,,16,83967808,1
0.0010217623711839593,0.6951667933975284,1,3.40315377205173,0.27143641264674295,0.43004274144840027,0.11283008384508561,0.07976025499520593,92,chr1,16345207,cg02890259,HSPB7,0.27143641264674295,0.0010217623711839593,2.990650095280766,chr1,16345207,HSPB7;HSPB7,1,16345207,1
9.528361788544134e-4,0.6951667933975284,1,-3.4248427291573784,-0.26429580837941063,-0.11083989755247481,-0.41775171920634646,0.07717020292036472,92,chr17,6655121,cg21358336,NA,-0.26429580837941063,9.528361788544134e-4,3.020981761203559,chr17,6558440,,17,6655121,1
9.119058655400827e-4,0.6951667933975284,1,-3.438433237182855,-0.26243096838285496,-0.11066008364380445,-0.4142018531219055,0.07632283376770388,92,chr17,6558231,cg24686902,NA,-0.26243096838285496,9.119058655400827e-4,3.040049990823469,chr17,6558231,,17,6558231,1
0.003866576424539711,0.6951667933975284,1,-2.9710973236951084,-0.25714478915153033,-0.08503925759449749,-0.42925032070856317,0.08654875998195956,92,chr18,42526328,cg17237138,SETBP1,-0.25714478915153033,0.003866576424539711,2.412673401384584,chr18,42526328,SETBP1,18,42526328,1
0.01282285252345588,0.6951667933975284,1,-2.5428914786049712,-0.24178032053026843,-0.052708371294237694,-0.4308522697662992,0.09508086466313102,92,chr2,99696416,cg26495595,TSGA10,-0.24178032053026843,0.01282285252345588,1.8920153525556676,chr2,99696416,TSGA10;TSGA10,2,99696416,1
0.0025006021717450073,0.6951667933975284,1,3.116855860321919,0.2362002975044529,0.38689490117495096,0.08550569383395482,0.07578159147855408,92,chr1,117746638,cg11091790,VTCN1,0.2362002975044529,0.0025006021717450073,2.6019553959779236,chr1,117746638,VTCN1;VTCN1;VTCN1;VTCN1;VTCN1,1,117746638,1
0.00347320418885296,0.6951667933975284,1,3.0074083511624816,0.23505850350849444,0.3904823112523891,0.07963469576459983,0.07815982269838251,92,chr6,130747460,cg08996597,NA,0.23505850350849444,0.00347320418885296,2.459269683868802,chr6,130747460,,6,130747460,1
0.004591768826111184,0.6951667933975284,1,-2.9123036607158705,-0.23277326993700756,-0.07383428670443595,-0.39171225316957914,0.07992754089379189,92,chr10,72138124,cg19377607,LRRC20,-0.23277326993700756,0.004591768826111184,2.338019984737152,chr10,72138124,LRRC20;LRRC20;LRRC20,10,72138124,1
0.011828932167412468,0.6951667933975284,1,-2.5731799223201475,-0.22848016929146503,-0.05191203143004097,-0.4050483071528891,0.08879292400410631,92,chr1,161024782,cg00439656,ARHGAP30,-0.22848016929146503,0.011828932167412468,1.9270544586461138,chr1,161024782,ARHGAP30;ARHGAP30;ARHGAP30;ARHGAP30,1,161024782,1
0.01247352041344107,0.6951667933975284,1,-2.553287793200118,-0.22145442791212466,-0.048982436305666066,-0.39392641951858326,0.08673304611485597,92,chr20,42574362,cg26365090,TOX2,-0.22145442791212466,0.01247352041344107,1.9040109578798956,chr20,42574362,TOX2;TOX2;TOX2;TOX2,20,42574362,1
0.006440201609318757,0.6951667933975284,1,-2.794232398859858,-0.22024991014354872,-0.06350725652749459,-0.3769925637596029,0.07882304644145498,92,chr18,45821540,cg11438323,NA,-0.22024991014354872,0.006440201609318757,2.1911005369190493,chr18,45821540,,18,45821540,1
