probeID,gene,chromosome,position,beta,p,fdr
cg11431762,HMG20B,19,3571445,0.25158372570334,0.00036808168458037,0.0977976867934677
cg18319941,,7,64894861,0.211002784245616,0.000207885768228929,0.0977976867934677
cg24439623,ABR,17,925669,0.197961791364639,1.81994572327547e-06,0.0977976867934677
cg00154902,,8,1245703,-0.178529714821629,4.63912334442782e-05,0.0977976867934677
cg16744531,B3GNT3,19,17794817,-0.169400522637665,5.10046816511161e-05,0.0977976867934677
cg19628908,NFXL1,4,47865430,-0.113878384073342,2.09197450590983e-06,0.0977976867934677
cg00868390,,10,130894401,-0.11313033253095,4.33301874259362e-05,0.0977976867934677
cg04374785,HSD17B4,5,119502354,-0.102049290847342,8.1256929356175e-05,0.0977976867934677
cg01967537,,14,82016917,-0.101855444398696,0.000435909151224173,0.0977976867934677
cg08511556,CCPG1,15,55365288,-0.101049454320147,7.43515261002314e-05,0.0977976867934677
cg03186232,FRMD3,9,83268071,-0.100938392180024,4.46530734823581e-05,0.0977976867934677
cg13676759,IPO11,5,62549028,-0.100233554402759,6.1567757356523e-05,0.0977976867934677
cg09258020,NRXN1,2,50834039,-0.0987475189193391,0.000220496728818327,0.0977976867934677
cg26296470,,3,28042601,-0.0985925278303825,8.51688624977306e-06,0.0977976867934677
cg10629596,MAPRE2,18,35075955,-0.0985072264518265,0.00016246326073102,0.0977976867934677
cg18184895,MALRD1,10,19432237,-0.098219031216998,4.21521028628506e-05,0.0977976867934677
cg25788103,EGF,4,109928297,-0.0965417214836041,0.000160331728728239,0.0977976867934677
cg22477694,HEXB,5,74715431,-0.0957085666292792,2.36925702470312e-05,0.0977976867934677
cg06576098,LRRC40,1,70156605,-0.0953083202526886,0.000253775127212354,0.0977976867934677
cg23255628,TJP2,9,69245741,-0.0952990533171518,6.33830289170871e-05,0.0977976867934677
