probeID,gene,chromosome,position,beta_delta,p_value,FDR,comparison
cg26916605,NA,16,77250184,-0.016137644969208532,1.3218817411572237e-8,0.011423067503844971,A1_asthma_vs_nonasthmatic
cg22748852,PLCB1,20,8275246,-0.09510004328599418,5.210666659947943e-8,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg19561453,HSF2,6,122402561,-0.0377866190051525,5.590220524040929e-8,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg00841299,RNF150,4,141054108,-0.03339403637243298,7.498116164920584e-8,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg11545402,GPHN,14,66638946,-0.0860991251553792,8.441278855692356e-8,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg22147968,CUX2,12,111320082,0.01272187064843285,1.254834754454763e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg19628908,NFXL1,4,47865430,-0.1037891593480865,1.5817587675183306e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg24799218,SRI,7,88227833,-0.06826725564307351,1.6830253026003965e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg14694605,NA,13,110063901,-0.02655713585945368,1.9320587313527212e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg17844690,NPAS2,2,100934059,-0.07448002869379616,2.006889357380408e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg11299190,ARID1B,6,156833365,-0.017472005097778513,2.401907623761008e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg19333010,OXCT1,5,41853889,-0.025390329961131126,2.7253257083931904e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg09086900,NA,4,78916381,-0.015681503928670164,2.775915708730758e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg04570442,ADCY9,16,3974421,-0.06567783876285027,3.11460529288202e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg11607524,ALG13,23,111688603,-0.0713872753235139,3.317525291700455e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg21057254,GLIS3,9,4295758,-0.057361739135886096,3.601067579765657e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg23720494,RHOBTB1,10,62735291,-0.037978435376846004,3.660705346068596e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg26204015,WDHD1,14,54991854,-0.03607925709675529,3.989052704818703e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg06047130,NA,6,29012832,-0.08308247151857029,4.1131614668457494e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg20789304,NA,10,107935977,-0.08972440816477613,5.050463129297267e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg18184895,MALRD1,10,19432237,-0.10022035100628486,5.313755698869985e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg05882529,NA,15,87582120,-0.05909399226232312,5.910772703062917e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg15286746,CNBD1,8,88081893,-0.05164559449394167,6.076049541052355e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg00426200,NA,2,6210214,-0.055331948078189565,6.618908936829944e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg05285359,NA,7,1305432,-0.020267195392887724,6.796817665678449e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg13485900,NA,1,186735772,-0.04892514966399196,6.891409626451608e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg27428961,N4BP2L2,13,32528484,-0.09186250592083656,7.451644786321645e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg24199724,NA,3,194470841,-0.06654205494302491,7.54809838394524e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg16445007,DNAH7,2,195777937,-0.024344710871214748,7.620807386740491e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg18241068,NA,18,39946415,-0.07936890197065975,7.841507361530572e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg27008678,MS4A4A,11,60046908,-0.029423539688865755,7.88678172666711e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg21928892,PTPRG,3,61880295,-0.036593608369282105,8.045313115244379e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg17510217,IMMP2L,7,111384718,-0.05180724592822665,8.052947989133869e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg21124196,PRRX1,1,170663844,0.02459294640382585,8.055808919301189e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg17606016,ITGB6,2,160157922,-0.021544265647730633,8.070403946612055e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg08023757,IPO11,5,62417472,-0.06512962904407646,8.07856137414379e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg26081762,TRRAP,7,98978322,-0.017030921661736125,8.082529839878913e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg00231729,AKAP6,14,32418920,-0.0838276923970324,8.14192279344951e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg24808442,RAB4A,1,229303991,-0.06747789210724807,8.244356744899833e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg05854177,NA,7,121531579,-0.05820274244696296,8.527335310266209e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg01654824,ART3,4,76022793,-0.016842371221817948,8.613064828771723e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg12331338,NA,15,50816603,-0.027732348944100482,8.757770773977469e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg22973728,FLJ45244,14,95160568,-0.01791267564448607,9.100002664054246e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg17604152,CASK,23,41735500,-0.03943398082084525,9.286428388672074e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg07674325,NA,5,159213398,-0.0389441254875967,9.333133130371959e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg12121966,KLHL18,3,47298943,-0.022115485617591298,9.462718913772571e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg23320011,TNKS,8,9627718,-0.02419169367839464,9.495431173082353e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg06529843,GZMK,5,55031271,-0.051679992328697605,9.534912150879456e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg19582233,CDK15,2,201840738,-0.07299367959362117,9.66798099837753e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg21814185,NA,4,189047077,-0.03597076730540029,9.975643219309447e-7,0.014124376481722895,A1_asthma_vs_nonasthmatic
cg00897805,NA,14,28902797,-0.07083546297390761,1.0010734286956148e-6,0.014124376481722895,A1_asthma_vs_nonasthmatic
