p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,gene,bonf
8.51035891749066e-13,7.354243679267388e-7,7.354243679267388e-7,-7.940789954310345,-0.15572115400659078,-0.11692228490959214,-0.19452002310358943,0.019610284984564248,137,chr5,33852528,cg06893139,-0.15572115400659078,8.51035891749066e-13,12.070052123511342,chr5,33852528,ADAMTS12,5,33852528,ADAMTS12,7.354243679267388e-7
2.962983857271237e-9,0.0012802342131143269,0.0025604654632447967,-6.375564314145641,-0.2315591754041889,-0.15970061287845116,-0.30341773792992666,0.03631979288334088,137,chr10,134833335,cg02401524,-0.2315591754041889,2.962983857271237e-9,8.528270714607402,chr10,134833335,,10,134833335,NA,0.0025604684262286537
4.52106625753702e-9,0.0013022961495277104,0.003906879406450616,6.2901350464034325,0.06434062882429366,0.08457829805547243,0.04410295959311488,0.010228815176405837,137,chr19,3933116,cg11960711,0.06434062882429366,4.52106625753702e-9,8.344759128207498,chr19,3933114,ITGB1BP3;ITGB1BP3,19,3933116,ITGB1BP3,0.0039068884485831306
3.9826061796234606e-8,0.007647507581165518,0.03441565147515434,-5.840650666816595,-0.1327537232622834,-0.08778395591676541,-0.1777234906078014,0.022729269534389033,137,chr5,129338100,cg23414262,-0.1327537232622834,3.9826061796234606e-8,7.399832636717077,chr5,129338100,CHSY3,5,129338100,CHSY3,0.034415770953339725
4.813489605398142e-8,0.007647507581165518,0.04159567415525593,-5.8006636932053794,-0.18819624401489518,-0.12400608868454781,-0.25238639934524254,0.032443915725598654,137,chr8,22642263,cg13866190,-0.18819624401489518,4.813489605398142e-8,7.317539961695101,chr8,22499776,FLJ14107;BIN3,8,22642263,FLJ14107,0.041595866694840146
5.309835015945471e-8,0.007647507581165518,0.045884779995242306,-5.779895649043679,-0.20154383511017038,-0.13255406740456527,-0.2705336028157755,0.03486980515703897,137,chr5,171560211,cg15094703,-0.20154383511017038,5.309835015945471e-8,7.274918972850288,chr5,171560211,STK10,5,171560211,STK10,0.045885045486993105
8.464163945973183e-8,0.010449034574629455,0.07314273417256942,-5.6806647955212295,-0.15291679165854016,-0.09965801625942375,-0.20617556705765658,0.02691881974431996,137,chr11,75631360,cg00251121,-0.15291679165854016,8.464163945973183e-8,7.072415933193823,chr11,75631360,UVRAG,11,75631360,UVRAG,0.07314324202240619
1.3737004761074265e-7,0.011575430503434311,0.11870763979258521,-5.576595414719055,-0.2300749957920283,-0.1484476928006446,-0.31170229878341205,0.041257250828123655,137,chr14,66480528,cg18920697,-0.2300749957920283,1.3737004761074265e-7,6.862107951231572,chr14,66480528,,14,66480528,NA,0.11870860138291849
1.391857876113489e-7,0.011575430503434311,0.12027656324962148,-5.573758469065963,-0.10768335918381593,-0.06945940501811956,-0.1459073133495123,0.019319703173621958,137,chr7,51147950,cg25015398,-0.10768335918381593,1.391857876113489e-7,6.856405108670054,chr7,51147950,COBL;COBL;COBL,7,51147950,COBL,0.12027767673592236
1.433702780124273e-7,0.011575430503434311,0.12389242215249295,-5.567356048266627,-0.11047089009070468,-0.07121236146038451,-0.14972941872102485,0.019842612747050608,137,chr12,71886932,cg16561902,-0.11047089009070468,1.433702780124273e-7,6.843540872608843,chr12,71886932,LGR5;LGR5;LGR5;LGR5,12,71886932,LGR5,0.12389371248499507
1.4734645703276442e-7,0.011575430503434311,0.1273282620732071,5.561439540800658,0.15883385499971814,0.21533939352364367,0.10232831647579259,0.02855984567205265,137,chr4,158394288,cg01024679,0.15883385499971814,1.4734645703276442e-7,6.8316603023632165,chr4,159315440,,4,158394288,NA,0.12732973553777743
1.8474396781529067e-7,0.013303905772959923,0.1596448370918731,5.512385085900218,0.2872185653818823,0.39030656717825823,0.18413056358550633,0.05210422728204177,137,chr3,32400704,cg19726630,0.2872185653818823,1.8474396781529067e-7,6.733429733107979,chr3,32400704,CMTM8,3,32400704,CMTM8,0.15964686927551905
3.2254655177870123e-7,0.021440711370205246,0.2787253772540469,-5.390455904775542,-0.19968360707132599,-0.12639236574424373,-0.27297484839840824,0.037043918102441245,137,chr1,34334019,cg11247812,-0.19968360707132599,3.2254655177870123e-7,6.491407596620613,chr1,34334019,CSMD2,1,34334019,CSMD2,0.2787292478126682
4.0492155093125355e-7,0.023286445543062403,0.34990850410018254,-5.340237089655566,-0.16778390084913175,-0.10562191066670185,-0.22994589103156166,0.03141881119363437,137,chr16,594329,cg08928871,-0.16778390084913175,4.0492155093125355e-7,6.392629108384829,chr16,594329,SOLH,16,594329,SOLH,0.34991376808034463
4.2916859305577675e-7,0.023286445543062403,0.3708608896660328,-5.3273526422268755,-0.2066815430061803,-0.12992323173376097,-0.28343985427859963,0.03879629468639526,137,chr2,121717644,cg11398095,-0.2066815430061803,4.2916859305577675e-7,6.3673720676046095,chr2,121717644,GLI2,2,121717644,GLI2,0.3708668980263356
4.4309886577051776e-7,0.023286445543062403,0.3828981245703379,-5.320268026749168,-0.19295592632460404,-0.12119967012451897,-0.2647121825246891,0.03626808374210904,137,chr17,74641236,cg01686178,-0.19295592632460404,4.4309886577051776e-7,6.353499361659283,chr17,74641236,ST6GALNAC1;ST6GALNAC1;ST6GALNAC1,17,74641236,ST6GALNAC1,0.3829047710533245
4.5810178560260335e-7,0.023286445543062403,0.39586224460349123,-5.31287696423994,-0.19013184948454226,-0.11932744472069913,-0.2609362542483854,0.035786985236866395,137,chr6,10482947,cg27325096,-0.19013184948454226,4.5810178560260335e-7,6.339038015414822,chr6,10482947,,6,10482947,NA,0.3958695742320609
5.13276627806871e-7,0.024641612470697957,0.4435402987698905,-5.2875891859277475,-0.032073364011622384,-0.020072238727537953,-0.044074489295706815,0.0060657821331849306,137,chr14,52369353,cg04059207,-0.032073364011622384,5.13276627806871e-7,6.289648511008287,chr14,52836071,,14,52369353,NA,0.4435490244725632
6.028558288451957e-7,0.02741889843201229,0.5209482188033143,-5.25169825438133,-0.298391903622024,-0.18597737801271996,-0.41080642923132804,0.056818173697067376,137,chr17,78264297,cg11606607,-0.298391903622024,6.028558288451957e-7,6.21978653565953,chr17,78264297,RNF213;RNF213,17,78264297,RNF213,0.5209590702082335
1.0323768116233674e-6,0.043778436363330654,0.8921108713585354,-5.130608835947713,-0.10293598358079424,-0.06324119658010469,-0.1426307705814838,0.020063112755658006,137,chr4,47625753,cg23441066,-0.10293598358079424,1.0323768116233674e-6,5.986161758774734,chr4,47625753,CORIN;CORIN;CORIN;CORIN,4,47625753,CORIN,0.8921304865179562
1.0867876224877782e-6,0.043778436363330654,0.9391279617956088,5.118958539736619,0.09326172661554596,0.12930772023494086,0.05721573299615106,0.01821888688716445,137,chr16,69398439,cg26125734,0.09326172661554596,1.0867876224877782e-6,5.963855316440997,chr16,69432342,,16,69398439,NA,0.9391496975480585
1.114532628511274e-6,0.043778436363330654,0.9631021948080757,5.11323471272482,0.1573596463555041,0.21824779992269236,0.09647149278831582,0.030774970287183987,137,chr21,37531869,cg05075169,0.1573596463555041,1.114532628511274e-6,5.952907212805122,chr21,38904171,,21,37531869,NA,0.9631255999932745
