p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
8.360255499719172e-4,0.21002849385161862,1,3.471678242323773,0.2783689458550568,0.4379318782611495,0.11880601344896408,0.08018281834457393,88,chr7,158541253,cg13211008,ESYT2,0.2783689458550568,8.360255499719172e-4,3.0777804497831633,chr7,158541253,ESYT2,7,158541253,1
0.0015298469585016204,0.2716852258288311,1,-3.281558871601018,-0.26068415664765265,-0.10260117117658227,-0.418767142118723,0.07943912233409642,88,chr16,66600478,cg05477582,CMTM1,-0.26068415664765265,0.0015298469585016204,2.81535201258281,chr16,66600478,CMTM1;CMTM1;CMTM1;CMTM1;CMTM1;CMTM1;CMTM1;CMTM1,16,66600478,1
0.010701946245234436,0.6039804835809721,1,2.613412379052969,0.24886508556778927,0.4383639970601778,0.05936617407540071,0.09522610651211937,88,chr7,624424,cg10117599,PRKAR1B,0.24886508556778927,0.010701946245234436,1.9705372347724062,chr7,624424,PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B,7,624424,1
0.022668946935858574,0.7581330712416713,1,2.3237984697053333,0.239145556582058,0.44393829176630506,0.03435282139781093,0.10291148724802396,88,chr20,49227989,cg14866535,FAM65C,0.239145556582058,0.022668946935858574,1.6445686541376285,chr20,49227989,FAM65C;FAM65C;FAM65C,20,49227989,1
0.006211240532005628,0.4863147529413543,1,-2.8106438000045335,-0.23330152989836023,-0.06811962553180034,-0.3984834342649201,0.0830064378481485,88,chr2,103238167,cg13946163,SLC9A2,-0.23330152989836023,0.006211240532005628,2.206821652254999,chr2,103238167,SLC9A2,2,103238167,1
0.009805855655956658,0.5864111356677779,1,2.6457646582376464,0.23112774793049545,0.4049684905619558,0.05728700529903513,0.08735763674628963,88,chr19,35577342,cg14048271,HPN-AS1,0.23112774793049545,0.009805855655956658,2.0085145039394128,chr19,35577342,HPN-AS1;HPN-AS1,19,35577342,1
0.014186084633026943,0.6587326966891671,1,-2.5072788849786396,-0.2293903546859016,-0.04732672300238838,-0.4114539863694148,0.09148976448539584,88,chr13,103307218,cg13372276,TPP2,-0.2293903546859016,0.014186084633026943,1.848137453514208,chr13,103307218,TPP2,13,103307218,1
0.005692971831155575,0.46941868279708493,1,2.8413820012100905,0.22928940716669685,0.3898744375455904,0.06870437678780328,0.08069643823640991,88,chr1,39340282,cg24051749,MYCBP,0.22928940716669685,0.005692971831155575,2.2446609650737432,chr1,39340282,MYCBP;GJA9,1,39340282,1
2.498179620310147e-6,0.04337699989615305,1,-5.070834810390666,-0.22582260304138824,-0.13720119661508873,-0.31444400946768775,0.044533614579330076,88,chr6,33083457,cg17763566,HLA-DPB2,-0.22582260304138824,2.498179620310147e-6,5.6023763388581775,chr6,33083457,HLA-DPB2,6,33083457,1
0.0035695850747193866,0.3872957220552515,1,-3.002505300993407,-0.2190635181274072,-0.07387343057591106,-0.36425360567890336,0.0729602435855577,88,chr4,189026860,cg25569462,TRIML2,-0.2190635181274072,0.0035695850747193866,2.4473822629445277,chr4,189026860,TRIML2,4,189026860,1
0.015627330836747555,0.6788305904319164,1,-2.4701488106688605,-0.2164994169687764,-0.042084226930567126,-0.39091460700698566,0.08764630536981828,88,chr7,105306555,cg11957130,ATXN7L1,-0.2164994169687764,0.015627330836747555,1.806115193565118,chr7,105306555,ATXN7L1;ATXN7L1,7,105306555,1
0.012989116499475147,0.6422481547894059,1,-2.5407898677444227,-0.21613002314915514,-0.04685337810635393,-0.38540666819195635,0.08506410777724953,88,chr17,39151857,cg13183651,KRTAP3-3,-0.21613002314915514,0.012989116499475147,1.8864203879917711,chr17,39151857,KRTAP3-3,17,39151857,1
0.011493037917006267,0.6187856876852883,1,-2.586829969487756,-0.21481226482025959,-0.049562107316148074,-0.3800624223243711,0.08304073609553732,88,chr20,170641,cg08657228,DEFB128,-0.21481226482025959,0.011493037917006267,1.9395651605016948,chr20,170641,DEFB128,20,170641,1
0.00865277141104842,0.5583978810171953,1,-2.6915979711499536,-0.21347749364477353,-0.05564638944849187,-0.3713085978410552,0.0793125481342103,88,chr1,47856610,cg15199699,LINC01389,-0.21347749364477353,0.00865277141104842,2.0628447693268726,chr1,47856610,LINC01389,1,47856610,1
4.4284338743282573e-4,0.16541072442872318,1,-3.664894401464687,-0.20456967443698068,-0.09349105324064898,-0.31564829563331237,0.055818709088923196,88,chr7,39649706,cg23485066,LOC646999,-0.20456967443698068,4.4284338743282573e-4,3.35374983585211,chr7,39649706,LOC646999,7,39649706,1
0.011940266417992597,0.6267437670980325,1,2.5725258943820344,0.20431919637231796,0.3623712374502708,0.046267155294365175,0.0794235723024273,88,chr1,246785611,cg04246708,CNST,0.20431919637231796,0.011940266417992597,1.9229859828738833,chr1,246785611,CNST;CNST,1,246785611,1
0.009942072260530462,0.5886560800381421,1,2.640678113026265,0.20347182992253146,0.35680620125657514,0.05013745858848778,0.07705287097235378,88,chr7,22481962,cg18673341,MGC87042,0.20347182992253146,0.009942072260530462,2.002523084665578,chr7,22481962,MGC87042;MGC87042,7,22481962,1
0.0011659610522143126,0.24064188564439998,1,-3.3678502066216867,-0.19930548728202516,-0.08154023120126219,-0.3170707433627881,0.05917884557043581,88,chr5,153676502,cg16463459,GALNT10,-0.19930548728202516,0.0011659610522143126,2.9333159565160396,chr5,153676502,GALNT10,5,153676502,1
0.030443843070540808,0.8158470603897408,1,-2.2032833631793225,-0.19745338133108367,-0.019114962412644848,-0.3757918002495225,0.08961778799353334,88,chr12,125440391,cg06354054,DHX37,-0.19745338133108367,0.030443843070540808,1.5165005253909332,chr12,125440391,DHX37,12,125440391,1
0.005102493230002195,0.44891531401139945,1,-2.879707288056404,-0.1957257430228613,-0.06047168727996993,-0.3309797987657527,0.06796723536264762,88,chr6,25341389,cg19938535,LRRC16A,-0.1957257430228613,0.005102493230002195,2.2922175628342614,chr6,25341389,LRRC16A,6,25341389,1
