probeID,gene,chromosome,position,beta,p,fdr
cg03484420,,6,138023549,-0.317250156646254,0.000671042104047068,0.998919442270136
cg04456492,,7,20010777,-0.30886728053268,0.00100330751005847,0.998919442270136
cg07227024,ALS2CR12,2,202163482,-0.284734484204424,0.00343425850154688,0.998919442270136
cg03374522,,9,6704980,-0.28433231780948,0.000282999995987413,0.998919442270136
cg00258945,MAN2A1,5,109180462,0.272739383186759,0.00859098230072092,0.998919442270136
cg11738485,HOOK2,19,12766186,0.269627300381251,0.00315187751850323,0.998919442270136
cg25664050,HLA-DRB6,6,32522905,-0.26661309825559,0.00195299139277017,0.998919442270136
cg02627872,,1,229260510,0.261250204212268,0.0160639686308614,0.998919442270136
cg02092632,ADAM21,14,70924237,-0.250824047215691,0.00359282884654257,0.998919442270136
cg06032337,,6,29648468,0.250601200705704,0.0256868973224172,0.998919442270136
cg04665049,HEATR4,14,74019826,-0.246282105358818,0.00903757060656398,0.998919442270136
cg13910001,BPIFB6,20,31622082,-0.243050467048283,0.0240848418794538,0.998919442270136
cg26065642,,8,7880083,-0.239816751432839,0.00243572931224551,0.998919442270136
cg11290949,,6,55778951,0.235095537856421,0.00304619920648517,0.998919442270136
cg12087615,KRT1,12,53070144,-0.230312216568112,0.00675977576496001,0.998919442270136
cg06318935,,4,8253470,0.230166473718066,0.00743530607915765,0.998919442270136
cg23549329,,6,88825341,0.229329973676505,0.0349268499631724,0.998919442270136
cg10829391,,14,100603380,-0.229042975359793,0.0136814527575127,0.998919442270136
cg14549203,TMC7,16,18994569,-0.226951588006449,0.0265393419780117,0.998919442270136
cg19697575,,2,172374119,0.226759178332456,0.040277783046406,0.998919442270136
