p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
1.095561625757501e-4,0.9999693514317873,1,-5.288057332751837,-0.5464431227154867,-0.3250906955919305,-0.7677955498390429,0.10333532492756176,22,chr1,146549940,cg03526459,NA,-0.5464431227154867,1.095561625757501e-4,3.960363188186638,chr1,146549940,,1,146549940,1
1.485142355025364e-4,0.9999693514317873,1,-5.123085995454293,-0.5202763713172853,-0.30273696669050415,-0.7378157759440664,0.10155526801207825,22,chr1,146550009,cg07796782,NA,-0.5202763713172853,1.485142355025364e-4,3.8282319160175495,chr1,146550009,,1,146550009,1
0.0039016186636244895,0.9999693514317873,1,-3.4415396854195364,-0.5158607962051508,-0.19477934206276643,-0.8369422503475352,0.1498924444749692,22,chr3,61237223,cg17573813,FHIT,-0.5158607962051508,0.0039016186636244895,2.408755179938086,chr3,61237223,FHIT;FHIT,3,61237223,1
2.3034088150848278e-5,0.9999693514317873,1,6.167305076652661,0.4877748231278613,0.6571927749261638,0.3183568713295588,0.079090432055066065,22,chr10,132291878,cg02583163,NA,0.4877748231278613,2.3034088150848278e-5,4.637628975462235,chr10,132291878,,10,132291878,1
3.8904098919016416e-5,0.9999693514317873,1,-5.865037429627052,-0.48358612643680615,-0.3069666781370364,-0.6602055747365759,0.08245235128321365,22,chr1,147078918,cg02487331,NA,-0.48358612643680615,3.8904098919016416e-5,4.410004639185089,chr1,146550467,,1,147078918,1
0.011636972261582605,0.9999693514317873,1,2.8944756333227897,0.470823388199378,0.8192598615274593,0.12238691487129666,0.16266275755753518,22,chr1,153617767,cg08477332,S100A14,0.470823388199378,0.011636972261582605,1.9341600008831656,chr1,153590243,S100A14,1,153617767,1
7.706753343254436e-4,0.9999693514317873,1,4.259563931231614,0.46107917113745833,0.6929498544368231,0.22920848783809356,0.10824562762323456,22,chr5,96736205,cg16089727,NA,0.46107917113745833,7.706753343254436e-4,3.113128540505069,chr5,96736205,,5,96736205,1
2.3360691681927217e-4,0.9999693514317873,1,-4.8809096721761644,-0.44920114057954125,-0.2520607744651612,-0.6463415066939213,0.09203225848251846,22,chr1,147084075,cg24853868,NA,-0.44920114057954125,2.3360691681927217e-4,3.631514302433053,chr1,146555624,,1,147084075,1
0.014680415983210356,0.9999693514317873,1,-2.777204055910681,-0.43762662113322487,-0.10008182208526772,-0.775171420181182,0.157578129774739,22,chr10,44538622,cg07130381,NA,-0.43762662113322487,0.014680415983210356,1.8332616381084208,chr10,44538622,,10,44538622,1
0.00790202390975686,0.9999693514317873,1,-3.0887837987180746,-0.42243261270441557,-0.1294745820033969,-0.7153906434054342,0.1367634124731346,22,chr9,131960393,cg18261043,NA,-0.42243261270441557,0.00790202390975686,2.1022616605746234,chr9,131960393,,9,131960393,1
0.0013370224494041248,0.9999693514317873,1,-3.979284899493946,-0.41633961404210545,-0.19222086981628209,-0.6404583582679289,0.10462674187893717,22,chr5,33624154,cg01113595,ADAMTS12,-0.41633961404210545,0.0013370224494041248,2.8738613006134965,chr5,33624154,ADAMTS12,5,33624154,1
0.004024300464482482,0.9999693514317873,1,-3.4260691723082384,-0.41432079466320326,-0.15527527648902384,-0.6733663128373827,0.12093182414763207,22,chr16,58704495,cg05876883,SLC38A7,-0.41432079466320326,0.004024300464482482,2.395309601213742,chr16,58704495,SLC38A7,16,58704495,1
0.01617020289125776,0.9999693514317873,1,-2.7282226713172695,-0.4129395248474529,-0.08871779459550039,-0.7371612550994053,0.15135843902655977,22,chr19,3571445,cg11431762,HMG20B,-0.4129395248474529,0.01617020289125776,1.7912845308665815,chr19,3571445,HMG20B,19,3571445,1
0.01525374212769919,0.9999693514317873,1,-2.75780477799517,-0.39589878071778717,-0.08839098973173981,-0.7034065717038345,0.1435557672090162,22,chr20,11188606,cg22723460,NA,-0.39589878071778717,0.01525374212769919,1.816623599855258,chr20,11188606,,20,11188606,1
0.00849520977295929,0.9999693514317873,1,3.052523646517188,0.3933981671147303,0.6694615300912866,0.11733480413817399,0.12887637006959224,22,chr1,3300807,cg14767338,PRDM16,0.3933981671147303,0.00849520977295929,2.070825892590833,chr1,3300807,PRDM16;PRDM16,1,3300807,1
