probeID,best_comparison,min_fdr,min_p,n_comparisons_pass,beta_best,gene,chromosome,position
cg23414262,phenotype_signature_C2_vs_rest,2.2138576196046984e-4,3.653105203202946e-10,1,-0.16488833340875403,CHSY3,5,129338100
cg06893139,phenotype_signature_C2_vs_rest,2.2138576196046984e-4,5.123769011943961e-10,1,-0.12014020637002969,ADAMTS12,5,33852528
cg22864884,phenotype_signature_C1_vs_rest,4.673682275795395e-4,5.408403007567413e-10,1,-0.07224629333059152,NA,3,194575080
cg00728848,phenotype_signature_C1_vs_rest,8.150067349498876e-4,3.4499209365044e-9,1,-0.04594364178219956,C6orf114,6,13483600
cg10549984,phenotype_signature_C1_vs_rest,8.150067349498876e-4,3.57053516595318e-9,1,-0.09591862163736052,NA,1,207537034
cg10447853,phenotype_signature_C1_vs_rest,8.150067349498876e-4,4.878436496596319e-9,1,-0.02473876682095802,ADIPOR1,1,202956243
cg01635668,phenotype_signature_C1_vs_rest,8.150067349498876e-4,5.040407106813007e-9,1,-0.05358770420256318,SLC24A3,20,19213673
cg02741985,phenotype_signature_C1_vs_rest,8.150067349498876e-4,7.741089492084868e-9,1,-0.10254961310079098,CCDC57,17,82101532
cg23339014,phenotype_signature_C1_vs_rest,8.150067349498876e-4,8.736758549935297e-9,1,-0.14147294999640295,PRKCH,14,61533773
cg18943946,phenotype_signature_C1_vs_rest,8.150067349498876e-4,8.772439788062494e-9,1,-0.06653208982765092,ZZEF1,17,4008771
cg15756055,phenotype_signature_C1_vs_rest,8.150067349498876e-4,8.893773487540948e-9,1,-0.04813385945837073,MAP4K3,2,39418814
cg11996592,phenotype_signature_C1_vs_rest,8.150067349498876e-4,9.882204313633316e-9,1,-0.06222898203257698,ZC3H3,8,143494924
cg22080845,phenotype_signature_C1_vs_rest,8.150067349498876e-4,1.037441802420033e-8,1,-0.05148793776209017,NA,10,43415676
cg07410082,phenotype_signature_C1_vs_rest,8.230838609854507e-4,1.1429709509236116e-8,1,-0.05452571179966955,NA,10,134140238
cg06894541,phenotype_signature_C1_vs_rest,8.332895975496701e-4,1.2863840909745351e-8,1,-0.12048372383722036,NA,2,102182371
cg19448292,phenotype_signature_C1_vs_rest,8.332895975496701e-4,1.4515836459288202e-8,1,-0.11257163521879802,C20orf118,20,36875661
cg13698578,phenotype_signature_C1_vs_rest,8.332895975496701e-4,1.6217558659689917e-8,1,-0.06198232941738307,PRKCH,14,61516085
cg18367488,phenotype_signature_C1_vs_rest,8.332895975496701e-4,1.6633763846226862e-8,1,-0.10429078400171594,NA,11,47916382
cg03181212,phenotype_signature_C1_vs_rest,8.332895975496701e-4,1.7651854874167626e-8,1,-0.12487370510305731,AKAP13,15,85477232
cg06845438,phenotype_signature_C1_vs_rest,8.332895975496701e-4,1.7681361578861443e-8,1,-0.0358159686996056,ZNF662,3,42905280
cg26529864,phenotype_signature_C1_vs_rest,8.332895975496701e-4,1.8321432286731655e-8,1,-0.05222028028834514,BOLA3,2,74148776
cg02865193,phenotype_signature_C1_vs_rest,9.738733151465294e-4,2.2539398511987e-8,1,-0.09512081813286136,AKAP1,17,57106584
cg04973399,phenotype_signature_C1_vs_rest,9.973792646597382e-4,2.4237593106137005e-8,1,-0.10190349165966686,MIR5095,16,48394014
cg17248139,phenotype_signature_C1_vs_rest,0.00104621971687669,2.675223736491045e-8,1,-0.04860864714548316,FLJ34503,6,113920710
cg24112090,phenotype_signature_C1_vs_rest,0.00104621971687669,2.7845857543770192e-8,1,-0.02183973695215357,RIN3,14,92519603
cg24600621,phenotype_signature_C1_vs_rest,0.00110313781469063,3.0637327174588664e-8,1,-0.04372625148029697,SLC16A12,10,89502991
cg21294295,phenotype_signature_C1_vs_rest,0.00112986742174805,3.4671320557139974e-8,1,-0.02210035288411451,NA,10,131923210
cg14611258,phenotype_signature_C1_vs_rest,0.00112986742174805,3.5393876409797795e-8,1,-0.0753284650417623,C17orf39,17,18043154
cg02597924,phenotype_signature_C1_vs_rest,0.00112986742174805,3.8274052202818174e-8,1,0.09781149672951464,PTPRK,6,128456021
cg17278724,phenotype_signature_C1_vs_rest,0.00112986742174805,3.8788090144682755e-8,1,-0.10155352471113294,NA,1,229142381
cg16660617,phenotype_signature_C1_vs_rest,0.00112986742174805,3.9073460753489814e-8,1,-0.06792847488299675,ZNRF1,16,75003686
cg08086385,phenotype_signature_C1_vs_rest,0.00112986742174805,3.9998555327006135e-8,1,-0.11715117747423462,RYBP,3,72381060
cg01278651,phenotype_signature_C1_vs_rest,0.00112986742174805,4.1729218838143514e-8,1,-0.02190333509412243,NPRL3,16,120123
cg05180182,phenotype_signature_C1_vs_rest,0.00112986742174805,4.1839580879217553e-8,1,-0.0858897690058299,NA,10,3624563
cg11048673,phenotype_signature_C1_vs_rest,0.0011432769295558,4.7988042561316796e-8,1,-0.06553616287009324,NA,10,88032840
cg06353481,phenotype_signature_C1_vs_rest,0.0011432769295558,4.8102354307959775e-8,1,-0.06287618888517142,NA,14,60195594
cg06136459,phenotype_signature_C1_vs_rest,0.0011432769295558,4.93781606241768e-8,1,-0.0718435180604758,HMGXB3,5,150045590
cg08005568,phenotype_signature_C1_vs_rest,0.0011432769295558,4.9955439548499656e-8,1,-0.03470633653714092,GLT8D1,3,52703807
cg01627992,phenotype_signature_C1_vs_rest,0.0011432769295558,5.262256496339792e-8,1,-0.07771473354485657,URI1,19,29941253
cg10433549,phenotype_signature_C1_vs_rest,0.0011432769295558,5.331307585961572e-8,1,-0.09287588988606206,NA,17,43395380
cg14080050,phenotype_signature_C1_vs_rest,0.0011432769295558,5.4831836228995144e-8,1,0.08879254771819638,B4GALT1,9,33159027
cg13107734,phenotype_signature_C1_vs_rest,0.0011432769295558,5.5884725498403076e-8,1,-0.053115348778649193,SPIDR,8,47440672
cg17519037,phenotype_signature_C1_vs_rest,0.0011432769295558,5.7146957573767656e-8,1,-0.06826159108950736,MRPL45,17,36452075
cg08256839,phenotype_signature_C1_vs_rest,0.0011432769295558,5.8670411776052914e-8,1,-0.10758633970589132,ZNF507,19,32373856
cg23757056,phenotype_signature_C1_vs_rest,0.0011432769295558,5.8754738488616324e-8,1,-0.01015328572588429,TADA2B,4,7056100
cg16730961,phenotype_signature_C1_vs_rest,0.0011432769295558,6.043730386074624e-8,1,-0.03209453180286591,SERINC5,5,80204430
cg12337605,phenotype_signature_C1_vs_rest,0.0011432769295558,6.05805841878564e-8,1,-0.03781196149385672,TRIO,5,14477064
cg18597415,phenotype_signature_C1_vs_rest,0.0011432769295558,6.255079880662439e-8,1,-0.06420100970891011,CLC,19,39738726
cg02633149,phenotype_signature_C1_vs_rest,0.0011432769295558,6.316508815172595e-8,1,-0.07890689904662657,METRNL,17,83084906
cg12401522,phenotype_signature_C1_vs_rest,0.0011432769295558,6.350421293786112e-8,1,-0.02993505965835933,SLMAP,3,57805695
cg09700170,phenotype_signature_C1_vs_rest,0.00115997911429822,6.676569044629269e-8,1,-0.04817119656607533,WDR7,18,56660775
cg09227119,phenotype_signature_C1_vs_rest,0.00115997911429822,6.711661341397261e-8,1,-0.10721216997836854,C20orf118,20,36876000
cg12734151,phenotype_signature_C1_vs_rest,0.00116864221907823,6.959768858039336e-8,1,-0.10647630804920488,NA,18,35442016
cg09458420,phenotype_signature_C1_vs_rest,0.00116864221907823,7.067127542173626e-8,1,-0.10819873943443128,CAB39,2,230796602
cg01602526,phenotype_signature_C1_vs_rest,0.00116864221907823,7.167493405228075e-8,1,-0.08319829940551504,NA,10,134140240
cg20620049,phenotype_signature_C1_vs_rest,0.00117182379616821,7.32261048902084e-8,1,-0.04211424685965224,NA,12,64534989
cg14617280,phenotype_signature_C1_vs_rest,0.00118289273249344,7.528663971979411e-8,1,-0.12195610195224618,CREG1,1,167542869
cg19528703,phenotype_signature_C1_vs_rest,0.00119736618453772,7.824814570123713e-8,1,-0.04747733539782289,FAM69A,1,92852007
cg19744478,phenotype_signature_C1_vs_rest,0.00119736618453772,8.006886428033844e-8,1,-0.047069244730628,HK1,10,69358201
cg16760840,phenotype_signature_C1_vs_rest,0.00119736618453772,8.036461028058475e-8,1,-0.08418946942726539,CHP1,15,41233637
cg02856510,phenotype_signature_C1_vs_rest,0.00128081455163952,8.867053533275927e-8,1,-0.10299709870310828,NA,2,191178885
cg17964352,phenotype_signature_C1_vs_rest,0.00128081455163952,8.99975922079162e-8,1,-0.05499034314458976,NA,6,111276708
cg10393540,phenotype_signature_C1_vs_rest,0.00128081455163952,9.041197341441212e-8,1,-0.01619137329839137,MRC2,17,62657233
cg11522179,phenotype_signature_C1_vs_rest,0.00129866397637543,9.320918762733118e-8,1,-0.08891527086956556,NA,17,21273151
cg19466875,phenotype_signature_C1_vs_rest,0.00129866397637543,9.512525008098013e-8,1,-0.03757050669375811,AUTS2,7,69603082
cg03724728,phenotype_signature_C1_vs_rest,0.00129866397637543,9.618041095551245e-8,1,-0.05740966504237511,THRA,17,40074946
cg04968217,phenotype_signature_C1_vs_rest,0.00131537579231785,9.894026340349881e-8,1,-0.07218151701652419,NA,15,58307339
cg13264822,phenotype_signature_C1_vs_rest,0.00135321975192965,1.039373064911431e-7,1,-0.08461405330693114,CREB3L2,7,137880544
cg06795981,phenotype_signature_C1_vs_rest,0.00135321975192965,1.0935387390325624e-7,1,-0.0866982606786902,CLC,19,40228577
cg09800745,phenotype_signature_C1_vs_rest,0.00135321975192965,1.0981209170274527e-7,1,-0.07980170337314108,NA,12,104414797
cg00336912,phenotype_signature_C1_vs_rest,0.00135321975192965,1.1151738793563399e-7,1,-0.08260225870490635,NA,14,55116323
cg08559734,phenotype_signature_C1_vs_rest,0.00135321975192965,1.1249421820622217e-7,1,-0.07920466100793447,CD9,12,6222892
cg18536308,phenotype_signature_C1_vs_rest,0.00135321975192965,1.1350975408978305e-7,1,-0.07650234786163428,NA,17,45334716
cg11740027,phenotype_signature_C1_vs_rest,0.00135321975192965,1.1544550282567174e-7,1,-0.03349045575707854,SELO,22,50651198
cg17287013,phenotype_signature_C1_vs_rest,0.00135321975192965,1.1587311602868749e-7,1,-0.09089674101905222,BTRC,10,101380115
cg15134174,phenotype_signature_C1_vs_rest,0.00135321975192965,1.1588037942722412e-7,1,-0.07226638895204829,SH3RF1,4,169100923
cg24823912,phenotype_signature_C1_vs_rest,0.00138460371849775,1.210055907007599e-7,1,0.1682189475129699,ALDH2,12,111777978
cg01963353,phenotype_signature_C1_vs_rest,0.00138460371849775,1.217724226823864e-7,1,-0.08919213184412093,FKBP1A,20,1378231
cg26057482,phenotype_signature_C1_vs_rest,0.00143094340500864,1.275037750137311e-7,1,-0.10181948761123912,HMGXB3,5,150050361
cg10704177,phenotype_signature_C1_vs_rest,0.00147843770634804,1.3344659399636596e-7,1,-0.13514477749364123,INADL,1,62209607
cg19436514,phenotype_signature_C1_vs_rest,0.00150501542782929,1.3777682790473332e-7,1,-0.02711800061882116,IFT172,2,27454645
cg07345250,phenotype_signature_C1_vs_rest,0.00150501542782929,1.3932876881190273e-7,1,-0.04729364188304382,ACOT7,1,6343219
cg22034357,phenotype_signature_C1_vs_rest,0.00151457829042752,1.439053022229302e-7,1,-0.0979417504729419,ACSF2,17,50443623
cg07066120,phenotype_signature_C1_vs_rest,0.00151457829042752,1.4461199377621972e-7,1,-0.1404769276285252,NA,10,122544160
cg08653021,phenotype_signature_C1_vs_rest,0.00151457829042752,1.4547209068020986e-7,1,-0.02621063639799926,F5,1,169556712
cg21575634,phenotype_signature_C1_vs_rest,0.00154932124213232,1.506019593070613e-7,1,-0.07174442841630224,STX2,12,130825872
cg05664105,phenotype_signature_C1_vs_rest,0.00156338812469525,1.5377849105145428e-7,1,-0.02955631753418145,GRK5,10,119246705
cg22259880,phenotype_signature_C1_vs_rest,0.00161349751781917,1.62251276819907e-7,1,-0.05164310139426482,NA,12,110098725
cg15634144,phenotype_signature_C1_vs_rest,0.00161349751781917,1.6346735469395612e-7,1,-0.1011346076788258,RREB1,6,7119709
cg07337598,phenotype_signature_C1_vs_rest,0.00161349751781917,1.643088039697734e-7,1,-0.07296998687096697,ANXA9,1,150981467
cg00251121,phenotype_signature_C2_vs_rest,0.00161351702452718,5.601504218680937e-9,1,-0.14704223000223024,UVRAG,11,75631360
cg21500092,phenotype_signature_C1_vs_rest,0.00166435447672887,1.7171154439672785e-7,1,-0.08809719605530275,UBE2G1,17,4341911
cg06824199,phenotype_signature_C1_vs_rest,0.00166435447672887,1.733397630342795e-7,1,-0.05958219556994797,KIAA0494,1,46692137
cg03437605,phenotype_signature_C1_vs_rest,0.00168533738144594,1.8117645206135105e-7,1,-0.05641891483140943,RHOBTB2,8,22989696
cg02564259,phenotype_signature_C1_vs_rest,0.00168533738144594,1.81309623984082e-7,1,-0.02797453671571398,SLC12A4,16,67944526
cg22250781,phenotype_signature_C1_vs_rest,0.00168533738144594,1.828500652537017e-7,1,-0.06192104840429914,NHLRC4,16,615887
cg18543521,phenotype_signature_C1_vs_rest,0.00168533738144594,1.842737298179904e-7,1,-0.07471868497272273,MON2,12,62485160
cg03055346,phenotype_signature_C1_vs_rest,0.00168533738144594,1.8527649214185137e-7,1,0.0177699918106007,NTRK1,1,156860288
cg09083139,phenotype_signature_C1_vs_rest,0.00172567803834573,1.933214794049217e-7,1,-0.03300490745082083,SMURF2,17,64641631
cg16588712,phenotype_signature_C1_vs_rest,0.00172567803834573,1.953731751742104e-7,1,-0.0400772128000142,DLG5,10,79619316
cg04871139,phenotype_signature_C1_vs_rest,0.00172567803834573,1.968368246102317e-7,1,-0.02820218898496161,AAK1,2,69560341
