probeID,best_comparison,min_fdr,min_p,n_comparisons_pass,beta_best,gene,chromosome,position
cg26916605,asthma_GLOBAL_vs_CONTROLS,0.01456379824750175,3.3362364178221835e-8,2,-0.01711138380659822,NA,16,77250184
cg19561453,asthma_GLOBAL_vs_CONTROLS,0.01456379824750175,8.069041451630112e-8,2,-0.04223826232150581,HSF2,6,122402561
cg04515042,asthma_GLOBAL_vs_CONTROLS,0.01456379824750175,1.1200991120514185e-7,2,-0.05623353390594005,DMTF1,7,87161710
cg02711652,asthma_GLOBAL_vs_CONTROLS,0.01456379824750175,1.4460014476398224e-7,2,0.05542682172362176,AXIN2,17,65559599
cg12121966,asthma_GLOBAL_vs_CONTROLS,0.01456379824750175,1.5943948548358979e-7,2,-0.02468148288755055,KLHL18,3,47298943
cg25268811,asthma_GLOBAL_vs_CONTROLS,0.01456379824750175,1.596010467241014e-7,2,-0.02892414985154055,SIM1,6,100425999
cg09980522,asthma_GLOBAL_vs_CONTROLS,0.01456379824750175,1.7305381189900486e-7,2,0.02149697658185436,GRIA4,11,105611075
cg17940762,asthma_GLOBAL_vs_CONTROLS,0.01456379824750175,2.421342132847281e-7,2,-0.03741815761114352,MARCH3,5,127026400
cg10572565,asthma_GLOBAL_vs_CONTROLS,0.01456379824750175,2.649135272294332e-7,2,-0.07231085709307877,LOC101928851,4,57426463
cg02390084,asthma_GLOBAL_vs_CONTROLS,0.01456379824750175,3.0930252634347117e-7,2,-0.03619554531682068,CCDC91,12,28505872
cg01891497,asthma_GLOBAL_vs_CONTROLS,0.01456379824750175,3.155294666886412e-7,2,0.05621329487635862,NA,11,122440676
cg22748852,asthma_GLOBAL_vs_CONTROLS,0.01456379824750175,3.219512631048207e-7,2,-0.09782101871551677,PLCB1,20,8275246
cg24599037,asthma_GLOBAL_vs_CONTROLS,0.01456379824750175,4.028656330899195e-7,2,-0.04961714491562651,KIAA2018,3,113686842
cg27641534,asthma_GLOBAL_vs_CONTROLS,0.01456379824750175,4.157198938642324e-7,2,0.00814759336507801,EXO1,1,241848574
cg11545402,asthma_GLOBAL_vs_CONTROLS,0.01456379824750175,4.192559503860046e-7,2,-0.09038707292331674,GPHN,14,66638946
cg21124196,asthma_GLOBAL_vs_CONTROLS,0.01456379824750175,4.309051084133383e-7,2,0.02849609297872861,PRRX1,1,170663844
cg08956865,asthma_GLOBAL_vs_CONTROLS,0.01456379824750175,4.420909259449856e-7,2,-0.05235783632898912,NA,8,92607188
cg18088712,asthma_GLOBAL_vs_CONTROLS,0.01456379824750175,4.438738457750129e-7,2,-0.05034215652719938,CROCCL2,1,16810147
cg06961771,asthma_GLOBAL_vs_CONTROLS,0.01456379824750175,4.628798648991945e-7,2,-0.09915783679855068,CDYL2,16,80695333
cg11797485,asthma_GLOBAL_vs_CONTROLS,0.01456379824750175,4.826408970828633e-7,2,-0.01479285218531141,ANP32A,15,68814746
cg17984537,asthma_GLOBAL_vs_CONTROLS,0.01456379824750175,4.948973729616842e-7,2,0.02020258887700009,PON2,7,95435162
cg25093891,asthma_GLOBAL_vs_CONTROLS,0.01456379824750175,5.132871897884651e-7,2,-0.02632166615410259,NA,2,104053105
cg08425543,asthma_GLOBAL_vs_CONTROLS,0.01456379824750175,5.167415038101565e-7,2,-0.05735748183615698,NRXN1,2,50161637
cg23320011,asthma_GLOBAL_vs_CONTROLS,0.01456379824750175,5.395298149873466e-7,2,-0.02836397401201144,TNKS,8,9627718
cg06216640,asthma_GLOBAL_vs_CONTROLS,0.01456379824750175,5.566796293684801e-7,2,-0.0194498011258519,SHROOM3,4,76718988
cg02762966,asthma_GLOBAL_vs_CONTROLS,0.01456379824750175,5.867979344874691e-7,2,-0.03565316478546333,NUP98,11,3700938
