probeID,best_comparison,min_fdr,min_p,n_comparisons_pass,beta_best,gene,chromosome,position
cg24199724,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,1.599550418623636e-8,1,-0.08003540718132876,NA,3,194470841
cg15286746,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,2.6001906521597155e-8,1,-0.06697283024291237,CNBD1,8,88081893
cg22748852,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,3.9004102489035474e-8,1,-0.10764384974860962,PLCB1,20,8275246
cg19561453,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,5.6413308333134964e-8,1,-0.04359741102825003,HSF2,6,122402561
cg26916605,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,5.9560521374305854e-8,1,-0.01784247347599898,NA,16,77250184
cg02751109,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,6.126582824884524e-8,1,-0.10417664933717671,NA,9,12300873
cg05138383,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,6.642250611141999e-8,1,-0.08662313984206509,A1CF,10,50886642
cg11507524,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,7.359438035011876e-8,1,0.04948588234859238,NA,5,28468512
cg20569424,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,8.586468072788598e-8,1,-0.05141978252285392,LOC101927543,8,120761157
cg00841299,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,9.229905137739804e-8,1,-0.03930018962903375,RNF150,4,141054108
cg02147208,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,1.0039318838760533e-7,1,-0.09960140699209968,NA,6,21662417
cg14888192,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,1.0141781842808969e-7,1,-0.01982205225649443,NA,2,187577468
cg07878774,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,1.1071314755392558e-7,1,-0.0887822618026586,NA,3,77813107
cg14187777,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,1.1351806896996652e-7,1,-0.09539725789721942,PJA2,5,109384643
cg21017065,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,1.179161532806364e-7,1,-0.10018401716171552,TDRD3,13,60427511
cg11363742,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,1.2461789525728557e-7,1,-0.10244757634614968,NA,12,85958356
cg05285359,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,1.548116777743947e-7,1,-0.02406824585631994,NA,7,1305432
cg15253906,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,1.5810621633114188e-7,1,0.00773868544850622,NA,13,23466880
cg15476410,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,1.7586223308546125e-7,1,-0.08576464793791412,COL3A1,2,188977655
cg09086900,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,1.7868134117306752e-7,1,-0.01849928251457756,NA,4,78916381
cg19318707,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,1.83155500627884e-7,1,-0.0974526512041112,NA,2,161990748
cg23720494,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,1.8755745116643267e-7,1,-0.04305929329483198,RHOBTB1,10,62735291
cg00229192,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,1.9555604414421433e-7,1,-0.06149032805054127,LOC100130992,10,22256595
cg04792443,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,2.0278837312235066e-7,1,-0.0134954562198367,NA,5,3854059
cg17604152,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,2.048287200873925e-7,1,-0.04709139146761741,CASK,23,41735500
cg18184895,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,2.04947768335122e-7,1,-0.11632168391661483,MALRD1,10,19432237
cg19628908,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,2.129928969603954e-7,1,-0.11730709557356078,NFXL1,4,47865430
cg17844690,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,2.1846896495279274e-7,1,-0.08550995569475232,NPAS2,2,100934059
cg03503046,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,2.2415095277019358e-7,1,-0.09064309654471536,ZFPM2,8,105582963
cg24808442,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,2.2746737113995698e-7,1,-0.07961036910439842,RAB4A,1,229303991
cg08320225,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,2.294094288926775e-7,1,0.02807866016079444,NA,16,54655340
cg23608903,asthma_GLOBAL_vs_CONTROLS,0.00625185960075211,2.3150962703791426e-7,1,-0.03408008036616419,TM2D1,1,61683989
cg11637980,asthma_GLOBAL_vs_CONTROLS,0.00681522336065109,2.628545397081021e-7,1,0.0273718644686519,PGR,11,101129986
cg21928892,asthma_GLOBAL_vs_CONTROLS,0.00681522336065109,2.681444864585595e-7,1,-0.04209857396903953,PTPRG,3,61880295
cg06529843,asthma_GLOBAL_vs_CONTROLS,0.00689838568250775,2.793993404953889e-7,1,-0.05803529802989458,GZMK,5,55031271
cg17248730,asthma_GLOBAL_vs_CONTROLS,0.00694923233251569,2.964851428514059e-7,1,0.03212601818164953,NA,3,27772201
cg01501737,asthma_GLOBAL_vs_CONTROLS,0.00694923233251569,2.975420947970735e-7,1,-0.08476731191966094,RBFOX2,22,35824412
cg17510217,asthma_GLOBAL_vs_CONTROLS,0.0071591013029729,3.148124977006019e-7,1,-0.06153764896593988,IMMP2L,7,111384718
cg00897805,asthma_GLOBAL_vs_CONTROLS,0.00738484694412595,3.357618470081505e-7,1,-0.08290971032770063,NA,14,28902797
cg21535012,asthma_GLOBAL_vs_CONTROLS,0.00738484694412595,3.533806116877818e-7,1,-0.02150522842711013,ANXA13,8,123736072
cg16341721,asthma_GLOBAL_vs_CONTROLS,0.00738484694412595,3.541440710626649e-7,1,-0.04582237462893849,SIL1,5,139011849
cg17404760,asthma_GLOBAL_vs_CONTROLS,0.00738484694412595,3.589224715713092e-7,1,-0.04424492412759619,IMMP2L,7,111018488
cg13255761,asthma_GLOBAL_vs_CONTROLS,0.00744057973162325,3.7024149508396673e-7,1,-0.04129173594083097,DNA2,10,68419440
cg10904619,asthma_GLOBAL_vs_CONTROLS,0.00777671256923556,3.95966627452537e-7,1,-0.0863413485078292,LINC01473,2,186082291
cg20401473,asthma_GLOBAL_vs_CONTROLS,0.00788427676304825,4.105671853298627e-7,1,-0.09927439159948238,SLC35A1,6,87477194
cg17203716,asthma_GLOBAL_vs_CONTROLS,0.00799617844062691,4.2564758082934273e-7,1,-0.02109568043567421,NA,21,25283474
cg24576298,asthma_GLOBAL_vs_CONTROLS,0.00800473025016167,4.744269794417715e-7,1,-0.08413954003379699,PNPLA8,7,108497551
cg19463851,asthma_GLOBAL_vs_CONTROLS,0.00800473025016167,4.887001366842967e-7,1,-0.09227669245615998,TTC39B,9,15299263
cg16472714,asthma_GLOBAL_vs_CONTROLS,0.00800473025016167,5.165752548699601e-7,1,-0.04559097555909866,LOC100996338,16,54272160
cg11776985,asthma_GLOBAL_vs_CONTROLS,0.00800473025016167,5.234799751345185e-7,1,-0.09364052293569362,NOL11,17,67724318
cg16758887,asthma_GLOBAL_vs_CONTROLS,0.00800473025016167,5.341165277812114e-7,1,0.04122224208513647,LOC93622,4,6674794
cg12782788,asthma_GLOBAL_vs_CONTROLS,0.00800473025016167,5.356744175828866e-7,1,0.03537105738634016,NA,3,187113069
cg19994744,asthma_GLOBAL_vs_CONTROLS,0.00800473025016167,5.418761233522911e-7,1,-0.02626813482422663,ACADSB,10,123033598
cg19748181,asthma_GLOBAL_vs_CONTROLS,0.00800473025016167,5.458270948307815e-7,1,-0.04471579411960378,NA,20,59531056
cg03109553,asthma_GLOBAL_vs_CONTROLS,0.00800473025016167,5.467127995995957e-7,1,-0.09820522657515024,ATRNL1,10,115707093
cg26777482,asthma_GLOBAL_vs_CONTROLS,0.00800473025016167,5.545322748027389e-7,1,-0.02414973838892577,LOC100996385,5,175486954
cg19582233,asthma_GLOBAL_vs_CONTROLS,0.00800473025016167,5.573670974025381e-7,1,-0.08493454750217727,CDK15,2,201840738
