probeID,gene,chromosome,position,beta,p,fdr
cg18032891,C8orf48,8,13424389,0.148237308158458,2.07037320952771e-07,0.178911714975979
cg12147622,,10,72261674,-0.0933493255039932,9.09279902270803e-06,0.604427727774707
cg14898318,OPA3,19,46045657,-0.0871423246978308,8.56318603528046e-06,0.604427727774707
cg22524346,TPST1,7,65767274,-0.0761354971648915,5.98256715087402e-06,0.604427727774707
cg05180182,,10,3624563,-0.0593772660109758,4.68720739698522e-06,0.604427727774707
cg04968217,,15,58307339,-0.0561974999601115,1.92109049988975e-06,0.604427727774707
cg18208380,SLCO4A1-AS1,20,62667599,-0.0436810938847364,7.04895530451968e-06,0.604427727774707
cg13892721,SEC31A,4,83813288,-0.0320933314125557,8.18130710229338e-06,0.604427727774707
cg13408940,BCL11A,2,60506053,-0.0276524579502161,3.68297933221402e-06,0.604427727774707
cg08181476,NCAN,19,19211867,0.0232743228375477,8.11180197536377e-06,0.604427727774707
cg16812352,ADCY9,16,3999854,-0.0197436831734623,3.67916429081929e-06,0.604427727774707
cg07161642,LINC01307,1,101814534,-0.0189988188689976,5.34976970278205e-06,0.604427727774707
cg19876836,TNIK,3,171445826,-0.0130143525859233,2.65871185118004e-06,0.604427727774707
cg00471162,,19,43444963,0.095136232068595,1.2621390482422e-05,0.620857759064309
cg06710259,,5,56480014,-0.085216041082179,1.00619355999171e-05,0.620857759064309
cg26613203,CCL20,2,227813719,0.0679883137866681,1.24852445752615e-05,0.620857759064309
cg15710961,DST,6,56707793,-0.0485990191420922,1.29322615270896e-05,0.620857759064309
cg18025812,,6,87932516,-0.0200795677932633,1.21438990285466e-05,0.620857759064309
cg15901933,FCER2,19,7702680,0.0543767249822373,1.4026613314789e-05,0.637953997326396
cg03792851,,4,778075,-0.110917684766195,1.50706782616268e-05,0.651167838057065
