p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
2.0534838417844855e-5,0.9999816913585833,1,-4.856647043454673,-0.3507084894010155,-0.20454733925757498,-0.49686963954445607,0.07221206035008597,46,chr11,133800774,cg25790212,IGSF9B,-0.3507084894010155,2.0534838417844855e-5,4.6875087101229385,chr11,133800774,IGSF9B,11,133800774,1
0.006557613961355685,0.9999816913585833,1,-2.8757690047103197,-0.29336391023814623,-0.08688537885737718,-0.4998424416189153,0.10201233470339081,46,chr7,985839,cg25361454,ADAP1,-0.29336391023814623,0.006557613961355685,2.183254153294549,chr7,985839,ADAP1,7,985839,1
2.1715634716314971e-4,0.9999816913585833,1,-4.086058417746794,-0.26782250078944914,-0.13515495202706485,-0.4004900495518334,0.0655454409624267,46,chr3,66380744,cg08268333,SLC25A26,-0.26782250078944914,2.1715634716314971e-4,3.663227472322261,chr3,66380744,SLC25A26;SLC25A26;SLC25A26,3,66380744,1
0.0028304084484654162,0.9999816913585833,1,-3.1914270451270674,-0.2668577482528309,-0.09761225557121661,-0.43610324093444514,0.08361706048091908,46,chr10,3200291,cg06728147,PITRM1,-0.2668577482528309,0.0028304084484654162,2.548150888110004,chr10,3200291,PITRM1;PITRM1;PITRM1,10,3200291,1
0.0034181465029375045,0.9999816913585833,1,3.1218429310926212,0.263925034363902,0.4350414811156524,0.09280858761215166,0.08454141998474289,46,chr1,94472813,cg05377703,ABCA4,0.263925034363902,0.0034181465029375045,2.4662093272051537,chr1,94472813,ABCA4,1,94472813,1
0.004097406709279482,0.9999816913585833,1,3.054325310225287,0.24573857745351624,0.4085857656539226,0.08289138925310993,0.0804559280672662,46,chr21,34688341,cg12080266,CLIC6,0.24573857745351624,0.004097406709279482,2.3874909257638977,chr21,36060640,CLIC6,21,34688341,1
0.008120875252342074,0.9999816913585833,1,2.7927992402736415,0.2456326520566783,0.4236525693738159,0.06761273473954074,0.08795213365662867,46,chr21,46349496,cg02464073,ITGB2,0.2456326520566783,0.008120875252342074,2.090397160810851,chr21,46349496,ITGB2,21,46349496,1
0.017864887622250098,0.9999816913585833,1,2.475230631416805,0.2450815290289929,0.4454904850521454,0.04467257300584043,0.0990136134864774,46,chr13,100989375,cg20536971,PCCA,0.2450815290289929,0.017864887622250098,1.74799971135016,chr13,100989375,PCCA;PCCA,13,100989375,1
0.011037793550265377,0.9999816913585833,1,-2.6715060835403373,-0.23609873915826926,-0.05721959196461038,-0.4149778863519281,0.08837664290301228,46,chr6,170703742,cg04922606,FAM120B,-0.23609873915826926,0.011037793550265377,1.957117733193298,chr6,170703742,FAM120B,6,170703742,1
0.018597380055692662,0.9999816913585833,1,-2.458483538375622,-0.23464797119552577,-0.04146372203534146,-0.4278322203557101,0.09544419050719502,46,chr21,46075092,cg08514194,KRTAP12-4,-0.23464797119552577,0.018597380055692662,1.730548233604594,chr21,46075092,KRTAP12-4;C21orf29,21,46075092,1
0.004812280795079614,0.9999816913585833,1,2.9938364083981135,0.23107137664412286,0.3872926960874872,0.07485005720075855,0.0771823657418076,46,chr14,93810231,cg12196570,KIAA1409,0.23107137664412286,0.004812280795079614,2.317649039645629,chr14,93810231,KIAA1409,14,93810231,1
0.013766664341520603,0.9999816913585833,1,2.5824202083039576,0.23068855963547819,0.41149810794351604,0.049879011327440353,0.08933037268438443,46,chr7,29112881,cg17264718,CPVL,0.23068855963547819,0.013766664341520603,1.8611712764142196,chr7,29112881,CPVL;CPVL,7,29112881,1
0.028333282064074934,0.9999816913585833,1,2.2791381617222926,0.22945014721813806,0.43321998658222477,0.025680307854051343,0.10067408420942232,46,chr7,148977647,cg07878625,ZNF783,0.22945014721813806,0.028333282064074934,1.5477031148633518,chr7,148977647,ZNF783,7,148977647,1
0.03217708338021293,0.9999816913585833,1,2.223426609536761,0.2291865181488703,0.43782215086677545,0.0205508854309652,0.10307806750438239,46,chr1,245496589,cg02215080,KIF26B,0.2291865181488703,0.03217708338021293,1.4924533241053832,chr1,245496589,KIF26B,1,245496589,1
0.018848067596067917,0.9999816913585833,1,-2.4528896723159352,-0.22878327496353937,-0.039997845068247634,-0.41756870485883113,0.09327091941625322,46,chr1,217113226,cg06523151,ESRRG,-0.22878327496353937,0.018848067596067917,1.7247331693512558,chr1,217113226,ESRRG;ESRRG;ESRRG,1,217113226,1
