p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
0.0024921527238696913,0.7415130277713031,1,3.4295967375386995,0.5506475430997295,0.8843588141664283,0.21693627203303073,0.16055751892711148,29,chr12,124861863,cg11231155,NCOR2,0.5506475430997295,0.0024921527238696913,2.603425346803601,chr12,124861863,NCOR2;NCOR2;NCOR2,12,124861863,1
0.003753443144758727,0.7415130277713031,1,-3.2551632866422695,-0.4954863001615076,-0.17911352862778174,-0.8118590716952334,0.1522154978199592,29,chr1,227189106,cg08332381,CDC42BPA,-0.4954863001615076,0.003753443144758727,2.425570158218952,chr1,227189106,CDC42BPA;CDC42BPA,1,227189106,1
9.032665457142998e-4,0.7415130277713031,1,3.8563027115276975,0.4865568459203121,0.7487991164822657,0.22431457535835853,0.1261718496491059,29,chr17,70420028,cg02617100,LINC00673,0.4865568459203121,9.032665457142998e-4,3.044184074435715,chr17,70420028,LINC00673,17,70420028,1
3.7668658850646875e-4,0.7415130277713031,1,4.220868850343297,0.4529503576115251,0.6759935515633478,0.22990716365970235,0.10731211361250542,29,chr10,1251771,cg20205188,ADARB2,0.4529503576115251,3.7668658850646875e-4,3.424019842077915,chr10,1251771,ADARB2,10,1251771,1
0.006546550955707573,0.7415130277713031,1,-3.0150020014276917,-0.41582066146073265,-0.12916621227955233,-0.7024751106419129,0.13791720909764885,29,chr11,111540623,cg23577102,LAYN,-0.41582066146073265,0.006546550955707573,2.183987447400372,chr11,111411348,LAYN;LAYN;LAYN;LAYN;LAYN;LAYN,11,111540623,1
0.01418300662540057,0.7415130277713031,1,2.672477420255175,0.41048676521796273,0.7297326748052533,0.09124085563067214,0.15359784225184153,29,chr14,101507727,cg27056740,MIR300,0.41048676521796273,0.01418300662540057,1.8482316942299546,chr14,101507727,MIR300,14,101507727,1
0.035236090458639166,0.7415130277713031,1,2.2494161806670547,0.4071358907866255,0.7833281031675022,0.030943678405748742,0.18099624884261797,29,chr7,2834869,cg05554406,GNA12,0.4071358907866255,0.035236090458639166,1.4530122837568458,chr7,2834869,GNA12;GNA12;GNA12,7,2834869,1
0.005548976470195323,0.7415130277713031,1,3.0868341302001165,0.395893482885888,0.662459808591157,0.129327157180619,0.12825226953811822,29,chr17,78935070,cg17906851,RPTOR,0.395893482885888,0.005548976470195323,2.2557871167583694,chr17,78935070,RPTOR;RPTOR,17,78935070,1
0.013034587525185604,0.7415130277713031,1,-2.710508045877385,-0.3958883815225765,-0.09231598281442743,-0.6994607802307256,0.14605689222163087,29,chr11,118022607,cg22251955,SCN4B,-0.3958883815225765,0.013034587525185604,1.8849027073702305,chr11,118022607,SCN4B;SCN4B,11,118022607,1
0.02065606269886907,0.7415130277713031,1,2.500871919518284,0.37887636674819075,0.6937572482569441,0.06399548523943738,0.15149770917543418,29,chr1,205311965,cg12284872,KLHDC8A,0.37887636674819075,0.02065606269886907,1.684952456829614,chr1,205311965,KLHDC8A;KLHDC8A;KLHDC8A;KLHDC8A,1,205311965,1
0.022058961220714744,0.7415130277713031,1,-2.470459711181526,-0.37827843811371126,-0.06002431545673742,-0.6965325607706851,0.1531206667332353,29,chr7,157982161,cg06012903,PTPRN2,-0.37827843811371126,0.022058961220714744,1.656414942790369,chr7,157982161,PTPRN2;PTPRN2;PTPRN2,7,157982161,1
0.04684797613847633,0.7415130277713031,1,-2.110696524276295,-0.37566333952132364,-0.005738710748084741,-0.7455879682945625,0.1779807448397297,29,chr2,9554254,cg08439705,ITGB1BP1,-0.37566333952132364,0.04684797613847633,1.329309166160989,chr2,9554254,ITGB1BP1;ITGB1BP1,2,9554254,1
0.014219636820624614,0.7415130277713031,1,2.6713129406806932,0.37052117697164166,0.6588104570616108,0.08223189688167254,0.13870377046772622,29,chr12,8995965,cg24309769,A2ML1,0.37052117697164166,0.014219636820624614,1.8471114956465393,chr12,8995965,A2ML1,12,8995965,1
0.003183466267633775,0.7415130277713031,1,-3.3255234645189895,-0.3574845520441473,-0.13405660779732023,-0.5809124962909744,0.10749722738638219,29,chr2,179860405,cg18301369,CCDC141,-0.3574845520441473,0.003183466267633775,2.4970997476088805,chr2,179860405,CCDC141,2,179860405,1
0.011815558383314391,0.7415130277713031,1,-2.754519799167933,-0.3547561459740244,-0.08707100992157557,-0.6224412820264732,0.12879055945838067,29,chr2,206225741,cg22444562,GPR1-AS,-0.3547561459740244,0.011815558383314391,1.927545749523614,chr2,207090465,GPR1-AS,2,206225741,1
