p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,gene,bonf
5.408403007567413e-10,4.673682275795395e-4,4.673682275795395e-4,-6.686397350997385,-0.07224629333059152,-0.05087910232343216,-0.09361348433775088,0.01080496559478548,144,chr3,194575080,cg22864884,-0.07224629333059152,5.408403007567413e-10,9.266930954373823,chr3,194295809,,3,194575080,NA,4.673682275795395e-4
3.4499209365044e-9,8.150067349498876e-4,0.002981252627201214,-6.3211229482036915,-0.04594364178219956,-0.03157038370708642,-0.06031689985731271,0.00726827213434531,144,chr6,13483600,cg00728848,-0.04594364178219956,3.4499209365044e-9,8.462190857747975,chr6,13483832,C6orf114;GFOD1,6,13483600,C6orf114,0.0029812560771221505
3.5705351659531803e-9,8.150067349498876e-4,0.003085477963658441,-6.314251918524007,-0.09591862163736053,-0.06587826610070988,-0.1259589771740112,0.015190813238851906,144,chr1,207537034,cg10549984,-0.09591862163736053,3.5705351659531803e-9,8.447266685231922,chr1,207537034,,1,207537034,NA,0.0030854851047287728
4.878436496596319e-9,8.150067349498876e-4,0.004215696020097213,-6.251672580824944,-0.024738766820958023,-0.01691337906557281,-0.032564154576343235,0.003957143708523136,144,chr1,202956243,cg10447853,-0.024738766820958023,4.878436496596319e-9,8.311719343919352,chr1,202925371,ADIPOR1;ADIPOR1;ADIPOR1;ADIPOR1,1,202956243,ADIPOR1,0.004215710655406702
5.040407106813007e-9,8.150067349498876e-4,0.004355657720538246,-6.245105340930601,-0.05358770420256318,-0.036618970776677334,-0.07055643762844903,0.008580752649814859,144,chr20,19213673,cg01635668,-0.05358770420256318,5.040407106813007e-9,8.29753438476437,chr20,19194317,SLC24A3,20,19213673,SLC24A3,0.0043556778821666736
7.741089492084868e-9,8.150067349498876e-4,0.006689439261316662,-6.158505284380687,-0.10254961310079098,-0.06962029391527572,-0.13547893228630625,0.016651704977972363,144,chr17,82101532,cg02741985,-0.10254961310079098,7.741089492084868e-9,8.111197911784506,chr17,80059408,CCDC57,17,82101532,CCDC57,0.006689477966764123
8.736758549935297e-9,8.150067349498876e-4,0.007549834953892387,-6.133969791943132,-0.14147294999640297,-0.09586339650209078,-0.18708250349071517,0.023063848501866664,144,chr14,61533773,cg23339014,-0.14147294999640297,8.736758549935297e-9,8.058649666334675,chr14,62000491,PRKCH,14,61533773,PRKCH,0.007549887374443687
8.772439788062494e-9,8.150067349498876e-4,0.007580659980655264,-6.133142438308791,-0.06653208982765092,-0.04507987397677242,-0.08798430567852943,0.010847960975450145,144,chr17,4008771,cg18943946,-0.06653208982765092,8.772439788062494e-9,8.05687960399622,chr17,3912065,ZZEF1,17,4008771,ZZEF1,0.00758072138773378
8.893773487540948e-9,8.150067349498876e-4,0.007685500996617585,-6.130353567606807,-0.04813385945837073,-0.03260680034545567,-0.0636609185712858,0.007851726483234707,144,chr2,39418814,cg15756055,-0.04813385945837073,8.893773487540948e-9,8.050913935643072,chr2,39645955,MAP4K3,2,39418814,MAP4K3,0.007685572146805486
9.882204313633317e-9,8.150067349498876e-4,0.008539637682196035,-6.108935690845849,-0.062228982032576985,-0.042084728102681976,-0.082373235962472,0.010186550519074248,144,chr8,143494924,cg11996592,-0.062228982032576985,9.882204313633317e-9,8.005146171356715,chr8,144577094,ZC3H3,8,143494924,ZC3H3,0.008539726622034859
