p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
6.139729887089691e-4,0.4629450997435872,1,3.542199524891081,0.31899259423435794,0.49774590271138186,0.14023928575733402,0.09005494806060273,104,chr15,81412880,cg08049519,NA,0.31899259423435794,6.139729887089691e-4,3.2118507349055507,chr15,81412880,,15,81412880,1
0.003292589684931239,0.4629450997435872,1,3.0143694050043734,0.2834612923021567,0.4701180846173171,0.09680449998699639,0.094036680385477,104,chr3,194762035,cg10423996,NA,0.2834612923021567,0.003292589684931239,2.4824623867108166,chr3,194762035,,3,194762035,1
0.0024145525756821833,0.4629450997435872,1,3.1163124845812953,0.2625083903540473,0.4297131739456004,0.0953036067624943,0.08423686381031129,104,chr1,224910304,cg09403466,CNIH3,0.2625083903540473,0.0024145525756821833,2.6171633336142,chr1,224910304,CNIH3,1,224910304,1
0.0020169976612234002,0.4629450997435872,1,-3.1744215560720037,-0.2611281857429327,-0.09784718238179166,-0.42440918910407366,0.08226008459508131,104,chr11,126382235,cg13799572,KIRREL3,-0.2611281857429327,0.0020169976612234002,2.695294605365995,chr11,126382235,KIRREL3;KIRREL3;KIRREL3,11,126382235,1
0.004652500852827113,0.4629450997435872,1,2.8978998257378286,0.25370495436697565,0.4274818713921485,0.07992803734180282,0.08754786901661804,104,chr8,122622067,cg04926069,NA,0.25370495436697565,0.004652500852827113,2.3323135385887968,chr8,122622067,,8,122622067,1
0.005154630619721639,0.4629450997435872,1,-2.862756202813342,-0.2486632891088541,-0.07624877675763797,-0.42107780146007023,0.08686149692540461,104,chr5,109180462,cg00258945,MAN2A1,-0.2486632891088541,0.005154630619721639,2.2878024507615145,chr5,109180462,MAN2A1,5,109180462,1
0.0059833852229599915,0.4629450997435872,1,-2.811100002794501,-0.24637628562604386,-0.07240838741722858,-0.42034418383485916,0.08764408430191825,104,chr6,88825341,cg23549329,NA,-0.24637628562604386,0.0059833852229599915,2.223053035463128,chr6,88825341,,6,88825341,1
0.012089984868939967,0.46580149415709654,1,-2.557972562107742,-0.24409279466856568,-0.0546816247019172,-0.4335039646352141,0.09542432091899994,104,chr12,131606752,cg00143986,GPR133,-0.24409279466856568,0.012089984868939967,1.9175742426743803,chr12,131606752,GPR133,12,131606752,1
0.0038755314075004472,0.4629450997435872,1,2.959844171568559,0.24339570437635813,0.4066221677000696,0.08016924105264667,0.08223260761980299,104,chr11,120233535,cg10738003,ARHGEF12,0.24339570437635813,0.0038755314075004472,2.411668739216576,chr11,120233535,ARHGEF12,11,120233535,1
0.007789981548073932,0.4629450997435872,1,2.718049632575649,0.2383139512250186,0.412349750890569,0.0642781515594682,0.08767829268783077,104,chr2,101124858,cg13821051,NA,0.2383139512250186,0.007789981548073932,2.1084635710282265,chr2,101124858,,2,101124858,1
0.0020158380548282793,0.4629450997435872,1,3.1746061567626005,0.23790632504661086,0.38665826659171304,0.08915438350150867,0.0749404219921324,104,chr10,34151366,cg14877834,NA,0.23790632504661086,0.0020158380548282793,2.695544360480222,chr10,34151366,,10,34151366,1
0.006371998470186965,0.4629450997435872,1,2.789101748537676,0.23740003050918487,0.406351868659969,0.06844819235840074,0.0851170204291233,104,chr12,10411382,cg04531182,KLRC4-KLRK1,0.23740003050918487,0.006371998470186965,2.195724337137924,chr12,10563981,KLRC4-KLRK1,12,10411382,1
0.001673450951503687,0.4629450997435872,1,-3.233985563498276,-0.23726177318726602,-0.09163668426142493,-0.3828868621131071,0.07336513058846637,104,chr16,967350,cg08568145,LMF1,-0.23726177318726602,0.001673450951503687,2.7763870121998178,chr16,967350,LMF1,16,967350,1
0.01634639838860326,0.47107369558545054,1,2.444025238600592,0.23614008120437882,0.42792326783742607,0.04435689457133157,0.09661933006043288,104,chr8,144917532,cg02658043,NRBP2,0.23614008120437882,0.01634639838860326,1.786577920817704,chr8,144917532,NRBP2,8,144917532,1
0.015556373218684636,0.46990595492961806,1,2.4629864778288897,0.2348548663692127,0.42412585241455836,0.04558388032386704,0.09535369701917167,104,chr20,11188606,cg22723460,NA,0.2348548663692127,0.015556373218684636,1.808091646080574,chr20,11188606,,20,11188606,1
0.0053095791443744595,0.4629450997435872,1,2.8525456205661905,0.23243960027679303,0.3941820549213998,0.07069714563218629,0.08148497208982657,104,chr1,43472312,cg05712748,NA,0.23243960027679303,0.0053095791443744595,2.274939901238561,chr1,43472312,,1,43472312,1
0.01993262593176619,0.4777638737475859,1,2.3670681947135734,0.232189889816085,0.42689575946618713,0.037484020165982845,0.09809176192500066,104,chr8,143561205,cg25614253,BAI1,0.232189889816085,0.01993262593176619,1.7004354834092754,chr8,143561205,BAI1,8,143561205,1
0.0014248036717698267,0.4629450997435872,1,3.2847140976423135,0.23010223264507979,0.369151839983535,0.09105262530662456,0.07005243860043754,104,chr5,5887642,cg26690407,NA,0.23010223264507979,0.0014248036717698267,2.846244974351017,chr5,5887642,,5,5887642,1
0.0034029321860357706,0.4629450997435872,1,3.003397824147992,0.22735586320796144,0.37761462490110786,0.07709710151481503,0.07569954981653423,104,chr5,197386,cg18678716,NA,0.22735586320796144,0.0034029321860357706,2.468146705480715,chr5,197386,,5,197386,1
0.007326377976602541,0.4629450997435872,1,2.7398809005426887,0.2255115300067359,0.38888576808791875,0.062137291925553034,0.08230705574175462,104,chr22,36777738,cg01234346,MYH9,0.2255115300067359,0.007326377976602541,2.1351106793217234,chr22,36777738,MYH9,22,36777738,1
