p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,gene,bonf
2.7400348466119223e-12,2.367806592769386e-6,2.367806592769386e-6,-7.519451299429469,-0.025631832910323754,-0.018904359260808072,-0.032359306559839436,0.0034087371391405305,183,chr5,80204430,cg16730961,-0.025631832910323754,2.7400348466119223e-12,11.562243913969745,chr5,79500249,SERINC5;SERINC5;SERINC5;SERINC5;SERINC5,5,80204430,SERINC5,2.367806592769386e-6
4.878699996172843e-11,2.107969179546377e-5,4.2159334803927584e-5,-7.012809399294495,-0.04353020370192758,-0.031279609419722534,-0.05578079798413263,0.006207241809011211,183,chr17,46170867,cg21214508,-0.04353020370192758,4.878699996172843e-11,10.311695886952815,chr17,44248233,KIAA1267,17,46170867,KIAA1267,4.215938359092754e-5
2.1416999111748345e-10,6.169180872138519e-5,1.8507499782417333e-4,-6.745047403020324,-0.0454735707360213,-0.03216802952004208,-0.058779111952000515,0.006741771854065689,183,chr1,28416620,cg10711145,-0.0454735707360213,2.1416999111748345e-10,9.669241381333734,chr1,28743131,PHACTR4,1,28416620,PHACTR4,1.8507542616415557e-4
3.1636239243377017e-10,6.834629853660684e-5,2.7338424505925007e-4,-6.673471536337667,-0.023476610779750974,-0.016533692071079846,-0.030419529488422102,0.0035179007885054532,183,chr2,69560341,cg04871139,-0.023476610779750974,3.1636239243377017e-10,9.499815148844498,chr2,69787473,AAK1,2,69560341,AAK1,2.7338519414642735e-4
9.944648061436207e-10,1.7187375023172441e-4,8.593647732993975e-4,-6.460807992584462,-0.04579361720563749,-0.031804941314810015,-0.05978229309646496,0.007087908704019397,183,chr21,40114467,cg03124794,-0.04579361720563749,9.944648061436207e-10,9.002410581838769,chr21,40114467,LINC00114;LINC00114;LINC00114,21,40114467,LINC00114,8.593687511586222e-4
2.4069036912320943e-9,3.2689269499514337e-4,0.0020799186040671405,-6.293914020281809,-0.05599598193934771,-0.03843719326693851,-0.07355477061175691,0.008896845708235542,183,chr1,6585403,cg23642826,-0.05599598193934771,2.4069036912320943e-9,8.618541287042486,chr1,6645463,ZBTB48,1,6585403,ZBTB48,0.002079930638585597
2.8184872663574526e-9,3.2689269499514337e-4,0.002435584497273727,-6.2638361432477625,-0.04145916243025245,-0.028396291713233986,-0.054522033147270915,0.0066188133728472855,183,chr11,19114404,cg02195201,-0.04145916243025245,2.8184872663574526e-9,8.549983922938235,chr11,19135951,,11,19114404,NA,0.0024356014081973252
3.026251816765045e-9,3.2689269499514337e-4,0.00261512037619843,-6.250256549480165,-0.03905365391719844,-0.026721971760664435,-0.051385336073732454,0.006248328145897715,183,chr6,14724711,cg27661078,-0.03905365391719844,3.026251816765045e-9,8.519094936827932,chr6,14724942,,6,14724711,NA,0.002615141559961147
4.574231465148255e-9,4.392034743411994e-4,0.003952794675219073,-6.171033539204835,-0.06983747630636504,-0.04750231346299964,-0.09217263914973044,0.011316982133168556,183,chr9,34222186,cg06319505,-0.06983747630636504,4.574231465148255e-9,8.339681863014526,chr9,34222184,UBAP1;UBAP1;UBAP1;UBAP1;UBAP1;UBAP1,9,34222186,UBAP1,0.003952831269070795
5.444332597098717e-9,4.515614694864454e-4,0.004704681903454676,-6.1374574969895574,-0.017303040552931116,-0.011738972654764143,-0.02286710845109809,0.002819252200348159,183,chr5,78492534,cg25178252,-0.017303040552931116,5.444332597098717e-9,8.264055351383385,chr5,77788357,LHFPL2,5,78492534,LHFPL2,0.00470473090244805
6.335075648874551e-9,4.515614694864454e-4,0.005474404941369752,-6.1081511650478815,-0.02453384395417857,-0.016606744349991064,-0.032460943558366075,0.0040165744578435384,183,chr14,24140043,cg04134416,-0.02453384395417857,6.335075648874551e-9,8.198248194720142,chr14,24609252,EMC9,14,24140043,EMC9,0.00547446829212624
7.588220074897173e-9,4.515614694864454e-4,0.006557292083741719,-6.073131233952073,-0.0431892296720088,-0.02915394307975821,-0.05722451626425939,0.007111525835397357,183,chr11,65777766,cg07602847,-0.0431892296720088,7.588220074897173e-9,8.119860082115549,chr11,65545237,DKFZp761E198;DKFZp761E198,11,65777766,DKFZp761E198,0.006557375554162542
7.742164770458315e-9,4.515614694864454e-4,0.0066903142647438485,-6.069226920706498,-0.02266308215125059,-0.015293479194629065,-0.030032685107872114,0.0037340970188362074,183,chr3,126886500,cg09367993,-0.02266308215125059,7.742164770458315e-9,8.111137590167754,chr3,126605343,CHCHD6,3,126886500,CHCHD6,0.006690407170721094
8.052359273989011e-9,4.515614694864454e-4,0.006958357690665591,-6.061585893935464,-0.06800569239492911,-0.04586365927230488,-0.09014772551755335,0.011219125421115932,183,chr1,11786594,cg07453055,-0.06800569239492911,8.052359273989011e-9,8.094076856333055,chr1,11786594,,1,11786594,NA,0.006958462371336152
