p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
2.890311394720474e-4,0.9999989906432948,1,-3.761186795597276,-0.2900657255592281,-0.1370062101461287,-0.4431252409723275,0.07712079758941238,105,chr16,66600478,cg05477582,CMTM1,-0.2900657255592281,2.890311394720474e-4,3.539055364951587,chr16,66600478,CMTM1;CMTM1;CMTM1;CMTM1;CMTM1;CMTM1;CMTM1;CMTM1,16,66600478,1
0.001328665978420343,0.9999989906432948,1,-3.3055456206734672,-0.2878480815327157,-0.11502211055412756,-0.4606740525113038,0.0870803536131714,105,chr13,103307218,cg13372276,TPP2,-0.2878480815327157,0.001328665978420343,2.87658418531881,chr13,103307218,TPP2,13,103307218,1
0.008574870882087231,0.9999989906432948,1,2.683063930820274,0.2517602937838059,0.4379883187153736,0.0655322688522382,0.09383313267039337,105,chr19,35577342,cg14048271,HPN-AS1,0.2517602937838059,0.008574870882087231,2.0667724107160037,chr19,35577342,HPN-AS1;HPN-AS1,19,35577342,1
2.138579744403758e-7,0.09240289816429982,0.1848055824706252,-5.583417207977833,-0.23947389474491426,-0.15435089527833085,-0.3245968942114977,0.042890202509449485,105,chr19,49168736,cg23453683,SEC1,-0.23947389474491426,2.138579744403758e-7,6.669874550920937,chr19,49168736,SEC1;NTN5,19,49168736,0.18480579632859964
0.004250552136767018,0.9999989906432948,1,-2.927899960453036,-0.2327047883024004,-0.0749662153350176,-0.3904433612697832,0.07947839456454443,105,chr17,39151857,cg13183651,KRTAP3-3,-0.2327047883024004,0.004250552136767018,2.3715546524493543,chr17,39151857,KRTAP3-3,17,39151857,1
0.006483038119270045,0.9999989906432948,1,2.7823950069116936,0.22946661347709976,0.39314432435094937,0.06578890260325013,0.08247089752069214,105,chr1,246785611,cg04246708,CNST,0.22946661347709976,0.006483038119270045,2.1882214248046292,chr1,246785611,CNST;CNST,1,246785611,1
0.009200004881387976,0.9999989906432948,1,-2.6576694894264135,-0.22139704440638477,-0.05606399734065487,-0.3867300914721147,0.0833049577034379,105,chr15,81584389,cg02968327,IL16,-0.22139704440638477,0.009200004881387976,2.036211942224086,chr15,81584389,IL16;IL16,15,81584389,1
0.006305978057766674,0.9999989906432948,1,-2.792098283494318,-0.21840552889033557,-0.06315905379970391,-0.3736520039809672,0.07822272238103327,105,chr4,140952109,cg27341708,MAML3,-0.21840552889033557,0.006305978057766674,2.200247544753264,chr4,140952109,MAML3,4,140952109,1
2.6188523249453865e-4,0.9999989906432948,1,-3.789402422602965,-0.21490871966829106,-0.10235181796230132,-0.3274656213742808,0.05671308974375671,105,chr4,189026860,cg25569462,TRIML2,-0.21490871966829106,2.6188523249453865e-4,3.581888990413846,chr4,189026860,TRIML2,4,189026860,1
0.0031292562492540007,0.9999989906432948,1,-3.0304347041659656,-0.21350788400213505,-0.07367870517366723,-0.35333706283060284,0.07045454030361514,105,chr4,155312410,cg22007216,DCHS2,-0.21350788400213505,0.0031292562492540007,2.5045588717913887,chr4,155312410,DCHS2;DCHS2,4,155312410,1
