probeID,best_comparison,min_fdr,min_p,n_comparisons_pass,beta_best,gene,chromosome,position
cg19726630,severity_INDEPENDENT,0.03205520463519005,3.7094405423108496e-8,1,0.22037410929774293,CMTM8,3,32400704
cg05180182,severity_ATOPIC_C1_vs_C3,0.06934312997891288,1.379272946879293e-7,1,-0.08175608184869526,NA,10,3624563
cg06894541,severity_ATOPIC_C1_vs_C3,0.06934312997891288,2.2693130886317707e-7,1,-0.06675081444849297,NA,2,102182371
cg03181212,severity_ATOPIC_C1_vs_C3,0.06934312997891288,2.891661922904108e-7,1,-0.10511234644181457,AKAP13,15,85477232
cg19876836,severity_ATOPIC_C1_vs_C3,0.06934312997891288,3.209765410664461e-7,1,-0.01681170448722315,TNIK,3,171445826
cg26057482,severity_ATOPIC_C1_vs_C3,0.08837066671649063,9.345742963255778e-7,1,-0.08615587831958996,HMGXB3,5,150050361
cg17084751,severity_ATOPIC_C1_vs_C3,0.08837066671649063,1.2602922167002133e-6,1,-0.06639368793798658,ZNF215,11,6932327
cg21500092,severity_ATOPIC_C1_vs_C3,0.08837066671649063,1.4783566589805342e-6,1,-0.07697115364334554,UBE2G1,17,4341911
cg04968217,severity_ATOPIC_C1_vs_C3,0.08837066671649063,1.4895187253967254e-6,1,-0.06699576897183539,NA,15,58307339
cg26559621,severity_ATOPIC_C1_vs_C3,0.08837066671649063,1.5248954369950386e-6,1,-0.03094492531837843,TKT,3,53241887
cg17278724,severity_ATOPIC_C1_vs_C3,0.08837066671649063,1.546672464768593e-6,1,-0.09013757970308378,NA,1,229142381
cg03181373,severity_ATOPIC_C1_vs_C3,0.08837066671649063,1.6496316619648923e-6,1,-0.03619128723176727,PDPR,16,70151549
cg10549984,severity_ATOPIC_C1_vs_C3,0.08837066671649063,1.7162978540169526e-6,1,-0.0891965766564122,NA,1,207537034
cg15993159,severity_ATOPIC_C1_vs_C3,0.08837066671649063,1.729247538180453e-6,1,-0.0393499090052768,PITPNC1,17,67467925
cg24112090,severity_ATOPIC_C1_vs_C3,0.08837066671649063,1.8308230063168877e-6,1,-0.02123358155523451,RIN3,14,92519603
cg02633149,severity_ATOPIC_C1_vs_C3,0.08837066671649063,1.8406765013989991e-6,1,-0.07054668712434217,METRNL,17,83084906
cg01627992,severity_ATOPIC_C1_vs_C3,0.08837066671649063,1.8725033440998412e-6,1,-0.07199394143386531,URI1,19,29941253
cg10433549,severity_ATOPIC_C1_vs_C3,0.08837066671649063,1.9124179906343797e-06,1,-0.08190718421895493,NA,17,43395380
cg23339014,severity_ATOPIC_C1_vs_C3,0.08837066671649063,1.941973201502327e-6,1,-0.11645645332232955,PRKCH,14,61533773
cg21686287,severity_ATOPIC_C1_vs_C3,0.08837066671649063,2.2516097440238355e-6,1,-0.04671121153950046,EXOC6B,2,72794219
cg02741985,severity_ATOPIC_C1_vs_C3,0.08837066671649063,2.2751959545130036e-6,1,-0.08263662601754224,CCDC57,17,82101532
cg19466875,severity_ATOPIC_C1_vs_C3,0.08837066671649063,2.336981267144059e-6,1,-0.03351829498427854,AUTS2,7,69603082
cg14898318,severity_ATOPIC_C1_vs_C3,0.08837066671649063,2.3409401627298062e-6,1,-0.10884733438746982,OPA3,19,46045657
cg24440787,severity_ATOPIC_C1_vs_C3,0.08837066671649063,2.4060856110517733e-6,1,-0.01944051386947939,CTNND1,11,57583546
cg22864884,severity_ATOPIC_C1_vs_C3,0.08837066671649063,2.524356150758242e-6,1,-0.05576333039007607,NA,3,194575080
cg19528703,severity_ATOPIC_C1_vs_C3,0.08837066671649063,2.574126973683963e-6,1,-0.0394716865039198,FAM69A,1,92852007
cg18367488,severity_ATOPIC_C1_vs_C3,0.08837066671649063,2.6776397276667308e-6,1,-0.0840769774893405,NA,11,47916382
cg19448292,severity_ATOPIC_C1_vs_C3,0.08837066671649063,2.766375892086111e-6,1,-0.09716347921161313,C20orf118,20,36875661
cg01963353,severity_ATOPIC_C1_vs_C3,0.08837066671649063,2.907554917640284e-6,1,-0.08003457476307153,FKBP1A,20,1378231
cg12842511,severity_ATOPIC_C1_vs_C3,0.08837066671649063,2.965623333369857e-6,1,-0.05981678587390723,PTPRE,10,128052933
cg10393540,severity_ATOPIC_C1_vs_C3,0.09188639899905034,3.1988770107244853e-6,1,-0.01337360989249281,MRC2,17,62657233
cg18537383,severity_ATOPIC_C1_vs_C3,0.09188639899905034,3.3454344163947725e-6,1,-0.06485677347804494,MCPH1,8,6576254
cg06592918,severity_ATOPIC_C1_vs_C3,0.09188639899905034,3.538578928245456e-6,1,-0.11210134475205026,PQLC1,18,79943051
cg18492526,severity_ATOPIC_C1_vs_C3,0.09188639899905034,3.5773058642633605e-6,1,-0.08958865025901729,BIN3,8,22651289
cg21294295,severity_ATOPIC_C1_vs_C3,0.09188639899905034,3.6493267070713417e-6,1,-0.02075553038661723,NA,10,131923210
cg17624978,severity_ATOPIC_C1_vs_C3,0.09188639899905034,3.738680165722299e-6,1,-0.02406533847317395,SMYD3,1,246011807
cg17248139,severity_ATOPIC_C1_vs_C3,0.09188639899905034,4.018072039408379e-6,1,-0.04531129450088762,FLJ34503,6,113920710
cg24093028,severity_ATOPIC_C1_vs_C3,0.09188639899905034,4.119092541928095e-6,1,-0.05816448235219001,CARD14,17,78161110
cg01635668,severity_ATOPIC_C1_vs_C3,0.09188639899905034,4.198810406462451e-6,1,-0.04890887475108724,SLC24A3,20,19213673
cg08420885,severity_ATOPIC_C1_vs_C3,0.09188639899905034,4.214678168732377e-6,1,-0.04735873817702567,EP400,12,131959319
cg07410082,severity_ATOPIC_C1_vs_C3,0.09188639899905034,4.25325169641685e-6,1,-0.05253840313383861,NA,10,134140238
cg13290417,severity_ATOPIC_C1_vs_C3,0.09305861955131473,4.561850841848885e-6,1,-0.08374515834560374,OGDH,7,44670945
cg13859771,severity_ATOPIC_C1_vs_C3,0.09305861955131473,4.650361158942065e-6,1,-0.06046075144117464,ENTPD7,10,99661385
cg13698578,severity_ATOPIC_C1_vs_C3,0.09305861955131473,4.736274313906807e-6,1,-0.05611450855991445,PRKCH,14,61516085
cg15756055,severity_ATOPIC_C1_vs_C3,0.09305861955131473,4.738262782771837e-6,1,-0.03877729769439157,MAP4K3,2,39418814
cg11659652,severity_ATOPIC_C1_vs_C3,0.09433616981157608,4.912477945455109e-6,1,-0.10976838593181598,PTPRE,10,127999576
cg20337696,severity_ATOPIC_C1_vs_C3,0.09865387787147956,5.302822461381883e-6,1,-0.07043664124450731,SNX21,20,45836974
cg18783495,severity_ATOPIC_C1_vs_C3,0.09865387787147956,5.365644307899003e-6,1,-0.08702575711596154,IL1RN,2,113119227
