p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
8.326993522188223e-5,0.23248530461905914,1,4.136040041683773,0.29953424679736995,0.443545720672764,0.1555227729219759,0.07242053843256077,92,chr17,76503526,cg15132295,DNAH17,0.29953424679736995,8.326993522188223e-5,4.079511773191949,chr17,76503526,DNAH17,17,76503526,1
0.0049671860514064,0.2383192979349963,1,2.885178229135727,0.24616954624486087,0.4158364070165077,0.07650268547321407,0.08532212802624761,92,chr19,3571445,cg11431762,HMG20B,0.24616954624486087,0.0049671860514064,2.3038895727235436,chr19,3571445,HMG20B,19,3571445,1
0.004050825646687337,0.23617992918175534,1,2.9552696474978495,0.243528446202442,0.40739409818055367,0.07966279422433031,0.082404814196441,92,chr20,11188606,cg22723460,NA,0.243528446202442,0.004050825646687337,2.392456449067987,chr20,11188606,,20,11188606,1
0.007900557405494675,0.24891444882556985,1,-2.7212834433869437,-0.23766413948289972,-0.06399397183311137,-0.41133430713268804,0.08733531233596892,92,chr12,133209653,cg01608425,POLE,-0.23766413948289972,0.007900557405494675,2.1023422669892184,chr12,133209653,POLE,12,133209653,1
0.008775103891168624,0.2520113309713278,1,-2.6832906520749824,-0.23565637157038655,-0.06101512823629329,-0.4102976149044798,0.08782364720279334,92,chrX,111621927,cg26287822,ZCCHC16,-0.23565637157038655,0.008775103891168624,2.056747733085026,chrX,111621927,ZCCHC16,23,111621927,1
0.008184461775395571,0.24975735206102068,1,2.708547082653519,0.22953577000927547,0.39805494738333186,0.06101659263521908,0.08474498061314964,92,chr12,52798363,cg19393008,KRT82,0.22953577000927547,0.008184461775395571,2.0870098752821433,chr12,52798363,KRT82,12,52798363,1
6.991585995103136e-4,0.23248530461905914,1,3.5199832409196845,0.2276271395824845,0.35622057269078,0.09903370647418902,0.06466710890447626,92,chr16,1306346,cg10516012,TPSD1,0.2276271395824845,6.991585995103136e-4,3.1554242962440036,chr16,1306346,TPSD1,16,1306346,1
0.01063346863264857,0.2590903345264921,1,2.6128278535379406,0.22729915240678877,0.4002896966095748,0.05430860820400277,0.08699354306829314,92,chr8,1327546,cg11651932,NA,0.22729915240678877,0.01063346863264857,1.9733250457027147,chr8,1327546,,8,1327546,1
0.012624957887643624,0.2666298736222047,1,2.5487611512377386,0.22596715426414996,0.4022668339340365,0.04966747459426338,0.08865764222528853,92,chr11,64237120,cg09872687,NA,0.22596715426414996,0.012624957887643624,1.89877006185837,chr11,64237120,,11,64237120,1
0.0018834813152348348,0.23248530461905914,1,3.2093127884287536,0.22425479846986765,0.3632068757436562,0.08530272119607912,0.06987626736740125,92,chr10,65670534,cg23513018,NA,0.22425479846986765,0.0018834813152348348,2.7250386837859892,chr10,65670534,,10,65670534,1
0.00439168272713685,0.23676244605809804,1,-2.927634406464576,-0.21851652713335787,-0.07009298460453436,-0.3669400696621814,0.07463928100135951,92,chr6,32797488,cg24080129,TAP2,-0.21851652713335787,0.00439168272713685,2.357369042608705,chr6,32797488,TAP2;TAP2,6,32797488,1
0.011695358567396187,0.26290104604050324,1,-2.5774364465072717,-0.21796440049886392,-0.0498004320092412,-0.3861283689884867,0.08456635304984192,92,chr15,101936156,cg21566433,PCSK6,-0.21796440049886392,0.011695358567396187,1.9319864586385507,chr15,101936156,PCSK6;PCSK6;PCSK6;PCSK6;PCSK6;PCSK6;PCSK6;PCSK6,15,101936156,1
0.0034001469131438532,0.23343183040486595,1,3.014587790422394,0.21747838208175746,0.36093596305777376,0.07402080110574114,0.07214199658497426,92,chr11,120233535,cg10738003,ARHGEF12,0.21747838208175746,0.0034001469131438532,2.468502317607961,chr11,120233535,ARHGEF12,11,120233535,1
0.00994927258428532,0.25638889128078385,1,-2.637366763815733,-0.21145914703760668,-0.05202134710398232,-0.37089694697123105,0.08017813447063704,92,chr6,31237034,cg11574174,HLA-C,-0.21145914703760668,0.00994927258428532,2.0022086704280664,chr6,31237034,HLA-C,6,31237034,1
0.016868762888518973,0.28236172681912225,1,-2.438085961941479,-0.21002501608773322,-0.03872501783503851,-0.3813250143404279,0.08614340075215708,92,chr13,113096192,cg14871336,NA,-0.21002501608773322,0.016868762888518973,1.7729167662781096,chr13,113096192,,13,113096192,1
2.2555725910831107e-4,0.23248530461905914,1,3.8548985750021023,0.20977768549604725,0.3179912441618985,0.101564126830196,0.054418470788413116,92,chr13,71906377,cg13530263,NA,0.20977768549604725,2.2555725910831107e-4,3.6467431914438917,chr13,72480515,,13,71906377,1
0.010605307416199581,0.2589949541580156,1,2.6138092557347212,0.20745095070866953,0.3652763452704358,0.04962555614690328,0.07936728751477189,92,chr22,47459539,cg05961492,TBC1D22A,0.20745095070866953,0.010605307416199581,1.9744767380645254,chr22,47459539,TBC1D22A;TBC1D22A;TBC1D22A;TBC1D22A;TBC1D22A,22,47459539,1
0.010157990646533903,0.2573754744966741,1,-2.6297230156908724,-0.20191150524098211,-0.049230009859242474,-0.35459300062272175,0.07678052176454658,92,chr1,4725584,cg00345083,AJAP1,-0.20191150524098211,0.010157990646533903,1.993192191405096,chr1,4725584,AJAP1;AJAP1,1,4725584,1
0.013043461707123729,0.26831066128045367,1,2.5364685646139495,0.19907094717053025,0.35513890380077523,0.04300299054028528,0.07848350653650969,92,chr5,14006305,cg11789991,NA,0.19907094717053025,0.013043461707123729,1.8846071324703164,chr5,14006305,,5,14006305,1
0.017334183695573584,0.2841312192256236,1,2.427518577965584,0.19871780918036241,0.3615010063364006,0.035934612024324214,0.081860468951344,92,chr3,197080596,cg02356645,NA,0.19871780918036241,0.017334183695573584,1.7610966053981407,chr3,197080596,,3,197080596,1
