p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
1.7523159643428638e-4,0.2646029703634494,1,3.88849843232951,0.310079136891124,0.46815639813672316,0.1520018756455248,0.07974264161021216,115,chr20,30680224,cg26983017,HCK,0.310079136891124,1.7523159643428638e-4,3.7563875824153907,chr20,30680224,HCK;HCK;HCK;HCK;HCK;HCK,20,30680224,1
1.9203509661268113e-5,0.2646029703634494,1,4.473846163152468,0.2727153915158044,0.39355446523654025,0.1518763177950685,0.060957704304172404,115,chr10,34344580,cg19848924,NA,0.2727153915158044,1.9203509661268113e-5,4.71661939175329,chr10,34344580,,10,34344580,1
1.1469974141201215e-4,0.2646029703634494,1,4.004856452784214,0.23776040552042707,0.355448183540632,0.12007262750022213,0.05936802188131707,115,chr3,53839610,cg12727358,CACNA1D,0.23776040552042707,1.1469974141201215e-4,3.9404375612047726,chr3,53839610,CACNA1D;CACNA1D;CACNA1D,3,53839610,1
2.8471911286896256e-4,0.2646029703634494,1,3.7523693392062403,0.23276184661930632,0.35572783361182325,0.1097958596267894,0.062030633335401826,115,chr7,139351108,cg11627968,HIPK2,0.23276184661930632,2.8471911286896256e-4,3.545583378181769,chr7,139351108,HIPK2;HIPK2,7,139351108,1
6.019086437308932e-4,0.27735363613109776,1,3.5357384906679075,0.23186823645901009,0.36186720521534305,0.10186926770267712,0.06557844622021515,115,chr14,37445440,cg00814218,SLC25A21,0.23186823645901009,6.019086437308932e-4,3.220469419928781,chr14,37445440,SLC25A21;SLC25A21,14,37445440,1
6.273174757579655e-5,0.2646029703634494,1,4.166895947764997,0.231821588702288,0.34210749252356903,0.12153568488100695,0.05563411988404232,115,chr1,182002021,cg20960322,NA,0.231821588702288,6.273174757579655e-5,4.202512613754656,chr1,182002021,,1,182002021,1
2.9093628932936705e-4,0.2646029703634494,1,3.7462359506465917,0.22621254054245468,0.34591424505669155,0.10651083602821781,0.06038395432711891,115,chr3,122748132,cg11014960,NA,0.22621254054245468,2.9093628932936705e-4,3.5362021045606276,chr3,122748132,,3,122748132,1
2.044737179239352e-4,0.2646029703634494,1,3.845559533423712,0.22333446871595986,0.3384608891081662,0.1082080483237535,0.0580759358358248,115,chr1,227689829,cg14710850,NA,0.22333446871595986,2.044737179239352e-4,3.6893625062098785,chr1,227689829,,1,227689829,1
0.0037591384233966194,0.3161356610237806,1,-2.96250854543821,-0.222211063305701,-0.07352000572142117,-0.37090212088998087,0.07500773749593755,115,chr1,11783294,cg18285337,NA,-0.222211063305701,0.0037591384233966194,2.4249116818918104,chr1,11783294,,1,11783294,1
1.1908430017279356e-4,0.2646029703634494,1,3.994645116068643,0.22053051314847305,0.3299687959772703,0.1110922303196758,0.055206534433153764,115,chr2,74697095,cg03075631,NA,0.22053051314847305,1.1908430017279356e-4,3.924145491227225,chr2,74697095,,2,74697095,1
1.4427272669583583e-4,0.2646029703634494,1,3.9421508150585556,0.2112324898540908,0.31745248269133436,0.10501249701684721,0.053583056499819176,115,chr17,5561734,cg11261447,NLRP1,0.2112324898540908,1.4427272669583583e-4,3.840815760139954,chr17,5465054,NLRP1;NLRP1;NLRP1;NLRP1;NLRP1,17,5561734,1
0.0020086509767875994,0.2969808296435983,1,-3.1666354767375924,-0.2110150704430674,-0.07891769624858763,-0.34311244463754714,0.06663699437248281,115,chr16,20750043,cg26846609,THUMPD1,-0.2110150704430674,0.0020086509767875994,2.6970955197094963,chr16,20750043,THUMPD1,16,20750043,1
3.40603727864514e-4,0.2658979135734335,1,-3.701279862527586,-0.20475300925705114,-0.09509075892498121,-0.3144152595891211,0.05531951564376608,115,chr10,3503185,cg23175573,NA,-0.20475300925705114,3.40603727864514e-4,3.467750603049496,chr10,3503185,,10,3503185,1
0.005895225399354101,0.3326384959696413,1,-2.8097099165860544,-0.2028985550419426,-0.059746939186457376,-0.34605017089742784,0.07221334624055248,115,chr12,133209653,cg01608425,POLE,-0.2028985550419426,0.005895225399354101,2.22949958534,chr12,133209653,POLE,12,133209653,1
0.001636357998397523,0.29156815285635695,1,-3.2314436495564114,-0.2026714940797177,-0.07834179951484331,-0.3270011886445921,0.0627185605132056,115,chr17,113262,cg16767880,RPH3AL,-0.2026714940797177,0.001636357998397523,2.786121676386013,chr17,113262,RPH3AL,17,113262,1
0.004388561057834263,0.32141375161835684,1,2.9105691790105723,0.19990405618690715,0.3360555669942935,0.06375254537952077,0.06868211813294303,115,chr16,601869,cg26722972,SOLH,0.19990405618690715,0.004388561057834263,2.357677854947579,chr16,601869,SOLH,16,601869,1
0.007582781572606587,0.3425984554530717,1,-2.721640246429332,-0.19936318812357276,-0.05415435474721153,-0.344572021499934,0.0732511170001723,115,chr8,80783997,cg06002687,NA,-0.19936318812357276,0.007582781572606587,2.1201714539933825,chr8,80783997,,8,80783997,1
4.657159455309962e-4,0.27047924240743415,1,-3.6109497274020828,-0.19740940274032523,-0.08903538427719693,-0.30578342120345353,0.05466966245535423,115,chr14,35096197,cg01088139,SNX6,-0.19740940274032523,4.657159455309962e-4,3.3318788921132882,chr14,35096197,SNX6;SNX6,14,35096197,1
0.002932142872835375,0.30704991851727853,1,3.044566881947494,0.19533093516887914,0.32251253831979454,0.06814933201796375,0.06415721603196753,115,chr13,112906400,cg20622565,NA,0.19533093516887914,0.002932142872835375,2.53281487189848,chr13,112906400,,13,112906400,1
0.0022646279283604163,0.2996451927037989,1,3.1282859968038865,0.1936218712144301,0.31631683788423204,0.07092690454462817,0.06189391616119821,115,chr10,16285821,cg22710156,NA,0.1936218712144301,0.0022646279283604163,2.645003141083152,chr10,16285821,,10,16285821,1
