p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
0.009612721782640835,0.9999986109431052,1,-2.991051236460305,-0.4088492201097906,-0.11601647406159249,-0.7016819661579887,0.13669081128601274,22,chr6,149356915,cg15365500,UST,-0.4088492201097906,0.009612721782640835,2.017153627126433,chr6,149356915,UST,6,149356915,1
0.020349983879094126,0.9999986109431052,1,2.611517243580264,0.3960062560826261,0.7208611906681435,0.07115132149710868,0.15163838456594705,22,chr16,18994569,cg14549203,TMC7,0.3960062560826261,0.020349983879094126,1.691435930479215,chr16,18994569,TMC7;TMC7;TMC7,16,18994569,1
0.03944206882417951,0.9999986109431052,1,-2.268350138606509,-0.38421223917400854,-0.021350295999752245,-0.7470741823482648,0.16937960001626448,22,chr1,224910304,cg09403466,CNIH3,-0.38421223917400854,0.03944206882417951,1.4040403134224804,chr1,224910304,CNIH3,1,224910304,1
0.025927861157372525,0.9999986109431052,1,-2.487100285975798,-0.37982527725289905,-0.05265722758313468,-0.7069933269226634,0.15271811892534,22,chr10,12438782,cg07240846,CAMK1D,-0.37982527725289905,0.025927861157372525,1.586233307598664,chr10,12438782,CAMK1D;CAMK1D,10,12438782,1
0.018400357527036497,0.9999986109431052,1,-2.662920414023731,-0.37066707759261247,-0.07246810282314048,-0.6688660523620844,0.1391957024477973,22,chr2,119980249,cg00030117,STEAP3,-0.37066707759261247,0.018400357527036497,1.7351737383757586,chr2,119980249,STEAP3;STEAP3;STEAP3,2,119980249,1
0.025839826489995135,0.9999986109431052,1,-2.4888555972677406,-0.36918954452180647,-0.05140701873046305,-0.6869720703131499,0.1483370690236516,22,chr22,36777738,cg01234346,MYH9,-0.36918954452180647,0.025839826489995135,1.5877104068801526,chr22,36777738,MYH9,22,36777738,1
0.003391287043866372,0.9999986109431052,1,3.512372396908829,0.3669296293154159,0.5907308988012853,0.1431283598295465,0.10446774654029953,22,chrX,153674819,cg00571700,PNCK,0.3669296293154159,0.003391287043866372,2.4696354492984973,chrX,152940274,PNCK,23,153674819,1
0.019082519333592167,0.9999986109431052,1,2.6443600502216262,0.3642271502631467,0.6593019000047589,0.06915240052153454,0.13773735170164156,22,chr17,80849463,cg14195178,TBCD,0.3642271502631467,0.019082519333592167,1.719364288937554,chr17,80849463,TBCD,17,80849463,1
0.03519785495558064,0.9999986109431052,1,2.3281938171132612,0.36184610578501664,0.6948007603314279,0.028891451238605315,0.15541923663111148,22,chr20,31622082,cg13910001,BPIFB6,0.36184610578501664,0.03519785495558064,1.4534838026963182,chr20,31622082,BPIFB6;BPIFB6,20,31622082,1
0.0045638260101111584,0.9999986109431052,1,-3.3638959361383716,-0.3601870433234046,-0.13080160067707938,-0.5895724859697299,0.107074371550532,22,chr9,79792074,cg10975354,VPS13A,-0.3601870433234046,0.0045638260101111584,2.3406709208465,chr9,79792074,VPS13A;VPS13A;LOC100286938;VPS13A;VPS13A,9,79792074,1
0.024418132439309546,0.9999986109431052,1,-2.5180246588583826,-0.3558969008557945,-0.053104796427182965,-0.6586890052844061,0.14133972024608785,22,chr1,65761642,cg01081395,DNAJC6,-0.3558969008557945,0.024418132439309546,1.6122875550642768,chr1,65761642,DNAJC6;DNAJC6,1,65761642,1
0.010171612493668445,0.9999986109431052,1,-2.9626609187893225,-0.3520744300495523,-0.09748940451420396,-0.6066594555849006,0.1188372343985372,22,chr3,61237223,cg17573813,FHIT,-0.3520744300495523,0.010171612493668445,1.9926101934301816,chr3,61237223,FHIT;FHIT,3,61237223,1
0.016108993696647308,0.9999986109431052,1,2.7305521267922113,0.34703899975321617,0.6193142276344752,0.07476377187195721,0.12709480853636348,22,chr17,80860250,cg04497611,TBCD,0.34703899975321617,0.016108993696647308,1.7929315884226975,chr17,80860250,TBCD,17,80860250,1
0.03222476428162723,0.9999986109431052,1,-2.3743215524639387,-0.3465498141401676,-0.03386524141265568,-0.6592343868676795,0.14595740571892526,22,chr17,1645410,cg00443543,SERPINF2,-0.3465498141401676,0.03222476428162723,1.491810250749206,chr17,1645410,SERPINF2;SERPINF2;SERPINF2,17,1645410,1
0.027824062745452606,0.9999986109431052,1,-2.4506133025701473,-0.34651429940418627,-0.043595174568372363,-0.6494334242400002,0.14139901184767503,22,chr9,101553013,cg02080302,ANKS6,-0.34651429940418627,0.027824062745452606,1.5555794559720015,chr9,101553013,ANKS6,9,101553013,1
0.06199875724893588,0.9999986109431052,1,2.0261279137757744,0.3454957078981484,0.7108011277352131,-0.019809711938916286,0.1705201855959344,22,chr2,99696416,cg26495595,TSGA10,0.3454957078981484,0.06199875724893588,1.2076170157491457,chr2,99696416,TSGA10;TSGA10,2,99696416,1
0.025343503228430195,0.9999986109431052,1,-2.4988601094095504,-0.34151857106296196,-0.04873095779219727,-0.6343061843337267,0.136669743847189,22,chr2,177518584,cg15609861,LINC01117,-0.34151857106296196,0.025343503228430195,1.5961333528457295,chr2,177518584,LINC01117,2,177518584,1
0.033282404586644866,0.9999986109431052,1,2.357467022220718,0.34137999515801615,0.6516021146004942,0.031157875715538075,0.14480796207975732,22,chr14,74003529,cg25484147,ACOT1,0.34137999515801615,0.033282404586644866,1.4777853043468792,chr14,74003529,ACOT1;HEATR4;HEATR4,14,74003529,1
0.057783967955657364,0.9999986109431052,1,2.064368736491083,0.3411806802339285,0.695241178649967,-0.012879818182110092,0.16527119123778797,22,chr21,46349496,cg02464073,ITGB2,0.3411806802339285,0.057783967955657364,1.2381926389875308,chr21,46349496,ITGB2,21,46349496,1
0.007079240257184696,0.9999986109431052,1,-3.144392123961439,-0.3411188356608607,-0.10871177403857926,-0.5735258972831422,0.1084848270231337,22,chr5,404713,cg08238319,AHRR,-0.3411188356608607,0.007079240257184696,2.1500133482165755,chr5,404713,AHRR;LOC100310782,5,404713,1
