p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
1.3121837449052125e-4,0.30068590958956876,1,3.9429661985033713,0.27071729443548154,0.4065575039293533,0.13487708494160977,0.06865828434903588,137,chr1,43472312,cg05712748,NA,0.27071729443548154,1.3121837449052125e-4,3.882005346506851,chr1,43472312,,1,43472312,1
0.001132131901910765,0.30068590958956876,1,-3.3300282761007884,-0.24263244262367054,-0.09847524045530767,-0.38678964479203337,0.07286197668801023,137,chr5,109180462,cg00258945,MAN2A1,-0.24263244262367054,0.001132131901910765,2.9461029716152005,chr5,109180462,MAN2A1,5,109180462,1
0.0015616115998825226,0.30068590958956876,1,3.231669249331711,0.2423700723916638,0.3907542118907532,0.09398593289257437,0.07499841527464,137,chr15,81412880,cg08049519,NA,0.2423700723916638,0.0015616115998825226,2.8064269736615923,chr15,81412880,,15,81412880,1
0.003299098131974321,0.30615851715243286,1,2.9941382671046566,0.2359557969200678,0.39187305734514644,0.08003853649498918,0.07880591204234465,137,chr8,143561205,cg25614253,BAI1,0.2359557969200678,0.003299098131974321,2.4816047661336196,chr8,143561205,BAI1,8,143561205,1
5.60018930173786e-4,0.30068590958956876,1,3.538408984761882,0.23585377672931326,0.36773112366948835,0.10397642978913821,0.06665531817972849,137,chr20,61160996,cg04990378,C20orf166,0.23585377672931326,5.60018930173786e-4,3.251797292402613,chr20,61160996,C20orf166;MIR133A2,20,61160996,1
0.001594392816496798,0.30068590958956876,1,-3.2252422560714726,-0.23146728118605445,-0.08947567724618691,-0.37345888512592196,0.07176740933191006,137,chr6,88825341,cg23549329,NA,-0.23146728118605445,0.001594392816496798,2.797404671007788,chr6,88825341,,6,88825341,1
1.1964142563220414e-4,0.30068590958956876,1,3.967737030017012,0.22939979182113643,0.34378912662282957,0.1150104570194433,0.05781627917517328,137,chr5,5887642,cg26690407,NA,0.22939979182113643,1.1964142563220414e-4,3.922118420611376,chr5,5887642,,5,5887642,1
6.014348032607993e-4,0.30068590958956876,1,-3.517687571926897,-0.22761776153214075,-0.09959585829434806,-0.3556396647699335,0.06470664516901872,137,chr19,12766186,cg11738485,HOOK2,-0.22761776153214075,6.014348032607993e-4,3.220811444165693,chr19,12877000,HOOK2;HOOK2,19,12766186,1
0.002268985192877443,0.30290646474812394,1,3.114642882030586,0.21974636257525623,0.35933460277242674,0.08015812237808573,0.07055266715906543,137,chr12,10411382,cg04531182,KLRC4-KLRK1,0.21974636257525623,0.002268985192877443,2.644168338259005,chr12,10563981,KLRC4-KLRK1,12,10411382,1
0.002481923887947593,0.30492783502999843,1,-3.086074100818508,-0.21677907909766383,-0.07780096539067977,-0.3557571928046479,0.07024428837926099,137,chr7,55585346,cg14358839,VOPP1,-0.21677907909766383,0.002481923887947593,2.6052115409481686,chr7,55585346,VOPP1;VOPP1;VOPP1;VOPP1,7,55585346,1
