p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
0.0018197180669353892,0.9999934084477076,1,3.6465939087905177,0.42381534131935367,0.6678080401017465,0.17982264253696076,0.11622224791680257,26,chr14,74019826,cg04665049,HEATR4,0.42381534131935367,0.0018197180669353892,2.739995893036268,chr14,74019826,HEATR4;HEATR4,14,74019826,1
7.291233772058531e-4,0.9999934084477076,1,-4.055207485526661,-0.3912757396756045,-0.18871400810169894,-0.59383747124951,0.09648723057256549,26,chr14,75985840,cg13438944,C14orf179,-0.3912757396756045,7.291233772058531e-4,3.1371989771606974,chr14,76452183,C14orf179;C14orf179,14,75985840,1
0.010682948632201495,0.9999934084477076,1,2.8443995017316066,0.3824613926387514,0.6647442909246909,0.1001784943528119,0.13446120785983737,26,chr14,70924237,cg02092632,ADAM21,0.3824613926387514,0.010682948632201495,1.9713088598589223,chr14,70924237,ADAM21,14,70924237,1
0.001012059272009251,0.9999934084477076,1,3.9087165356470557,0.3722493962705138,0.5721837327061732,0.1723150598348544,0.09523571046292079,26,chr14,73536495,cg26251192,ACOT1,0.3722493962705138,0.001012059272009251,2.9947940519697878,chr14,74003199,ACOT1;HEATR4;HEATR4,14,73536495,1
0.007503666718163107,0.9999934084477076,1,-3.0071202039602904,-0.37197065127707224,-0.1122864993474415,-0.631654803206703,0.12369663533476234,26,chr19,3571445,cg11431762,HMG20B,-0.37197065127707224,0.007503666718163107,2.1247264637650614,chr19,3571445,HMG20B,19,3571445,1
0.00890699878703043,0.9999934084477076,1,-2.9283862740070754,-0.36679419604458136,-0.10383906350547306,-0.6297493285836897,0.12525471769223814,26,chr9,101553013,cg02080302,ANKS6,-0.36679419604458136,0.00890699878703043,2.0502686068272173,chr9,101553013,ANKS6,9,101553013,1
0.010267566916102575,0.9999934084477076,1,2.8627661405799127,0.35986463149092485,0.6237655202043892,0.09596374277746045,0.1257052144042848,26,chr2,174523008,cg04049787,NA,0.35986463149092485,0.010267566916102575,1.9885324580677457,chr2,174523008,,2,174523008,1
0.007893493662026766,0.9999934084477076,1,-2.9839048644796686,-0.35339852988062453,-0.1047606318088406,-0.6020364279524084,0.11843491864887251,26,chr1,146549940,cg03526459,NA,-0.35339852988062453,0.007893493662026766,2.1027307354069937,chr1,146549940,,1,146549940,1
0.023749460598580407,0.9999934084477076,1,-2.4674788383984176,-0.35060413455332334,-0.05230557504525907,-0.6489026940613876,0.14209002691220332,26,chr16,58704495,cg05876883,SLC38A7,-0.35060413455332334,0.023749460598580407,1.624346249690496,chr16,58704495,SLC38A7,16,58704495,1
0.016438128842335392,0.9999934084477076,1,-2.6428918331318982,-0.35039491028236164,-0.07206110328546583,-0.6287287172792575,0.13258011769143582,26,chr1,65761642,cg01081395,DNAJC6,-0.35039491028236164,0.016438128842335392,1.7841476198676183,chr1,65761642,DNAJC6;DNAJC6,1,65761642,1
0.004509300887276351,0.9999934084477076,1,-3.2388312295840427,-0.3501303524647675,-0.12318097153926297,-0.577079733390272,0.10810392010136757,26,chr1,146550009,cg07796782,NA,-0.3501303524647675,0.004509300887276351,2.3458907850252024,chr1,146550009,,1,146550009,1
0.004826174299706643,0.9999934084477076,1,-3.208089002553087,-0.34928765831622505,-0.12071494076009961,-0.5778603758723505,0.10887717206045475,26,chr17,76503526,cg15132295,DNAH17,-0.34928765831622505,0.004826174299706643,2.3163969973808487,chr17,76503526,DNAH17,17,76503526,1
0.02144198418657282,0.9999934084477076,1,-2.5165632753408564,-0.33997985508349027,-0.05636244326959966,-0.6235972668973808,0.1350968832831917,26,chr10,81173663,cg23187802,ZCCHC24,-0.33997985508349027,0.02144198418657282,1.668735028615104,chr10,81173663,ZCCHC24,10,81173663,1
0.012541595168137723,0.9999934084477076,1,-2.7698285709754074,-0.3397983903121453,-0.08225169235106183,-0.5973450882732287,0.12267849132355647,26,chr2,218675198,cg24090628,TNS1,-0.3397983903121453,0.012541595168137723,1.9016472219852785,chr2,218675198,TNS1;TNS1;TNS1,2,218675198,1
0.01365571245374398,0.9999934084477076,1,2.7300634600177185,0.33942798837017296,0.6004411862827491,0.0784147904575968,0.12432970637538587,26,chr16,18994569,cg14549203,TMC7,0.33942798837017296,0.01365571245374398,1.8646856366697624,chr16,18994569,TMC7;TMC7;TMC7,16,18994569,1
0.004418046890758356,0.9999934084477076,1,3.2480777974409296,0.33221662266419044,0.5469415654234498,0.11749167990493106,0.10228099306178401,26,chr14,74003529,cg25484147,ACOT1,0.33221662266419044,0.004418046890758356,2.3547696790735615,chr14,74003529,ACOT1;HEATR4;HEATR4,14,74003529,1
0.0022886442166530838,0.9999934084477076,1,3.543965080153612,0.33100017260389225,0.5270770337032981,0.13492331150448644,0.09339826017403793,26,chr10,132291878,cg02583163,NA,0.33100017260389225,0.0022886442166530838,2.640421715736909,chr10,132291878,,10,132291878,1
0.005481215561770506,0.9999934084477076,1,-3.1503558367604882,-0.32397222319651353,-0.10808063305765753,-0.5398638133353695,0.10283670797317114,26,chr1,147078918,cg02487331,NA,-0.32397222319651353,0.005481215561770506,2.2611231179339017,chr1,146550467,,1,147078918,1
0.04797195091108611,0.9999934084477076,1,-2.1204166251987937,-0.31874031576722833,-0.003164758706950932,-0.6343158728275058,0.15031966453165577,26,chr10,100172110,cg21934405,PYROXD2,-0.31874031576722833,0.04797195091108611,1.319012619397541,chr10,100172110,PYROXD2,10,100172110,1
0.015861601010152552,0.9999934084477076,1,-2.659733146535042,-0.3182386361496369,-0.06704860571756471,-0.569428666581709,0.11965058846757659,26,chr11,72327160,cg20090066,PDE2A,-0.3182386361496369,0.015861601010152552,1.7996529787597413,chr11,72327160,PDE2A;PDE2A;PDE2A;MIR139;PDE2A,11,72327160,1
