p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
2.1381965134587808e-4,0.29952720975739544,1,3.9183081141068654,0.3253198826001114,0.4910764415790091,0.15956332362121375,0.0830256001126814,74,chr19,3571445,cg11431762,HMG20B,0.3253198826001114,2.1381965134587808e-4,3.6699523829491327,chr19,3571445,HMG20B,19,3571445,1
0.0019204573658806556,0.29952720975739544,1,-3.231431868619271,-0.2930834855037033,-0.11200992426677311,-0.4741570467406334,0.09069771464156917,74,chrX,111621927,cg26287822,ZCCHC16,-0.2930834855037033,0.0019204573658806556,2.716595329721557,chrX,111621927,ZCCHC16,23,111621927,1
0.0016686719813939854,0.29952720975739544,1,3.2778125855988964,0.2729491766856685,0.43919715368650064,0.10670119968483632,0.08327174588470175,74,chr10,81173663,cg23187802,ZCCHC24,0.2729491766856685,0.0016686719813939854,2.7776290262154935,chr10,81173663,ZCCHC24,10,81173663,1
0.00901315227199674,0.32302759551824256,1,-2.6908651454046635,-0.2610066594067816,-0.0673562792379146,-0.45465703957564857,0.09699730209539369,74,chr6,31087240,cg06792428,CDSN,-0.2610066594067816,0.00901315227199674,2.0451232917173554,chr6,31087240,CDSN;PSORS1C1,6,31087240,1
0.0024044674764029323,0.2995553549499938,1,3.156416995048464,0.25538721374570356,0.4169210383819907,0.09385338910941643,0.08091047987206212,74,chr20,60500578,cg00704664,CDH4,0.25538721374570356,0.0024044674764029323,2.618981092956681,chr20,60500578,CDH4,20,60500578,1
5.575645705670926e-5,0.29952720975739544,1,4.308316428245744,0.24913393765557118,0.3645812955937997,0.13368657971734263,0.057826285929748505,74,chr17,925669,cg24439623,ABR,0.24913393765557118,5.575645705670926e-5,4.25370483049122,chr17,925669,ABR;ABR;ABR,17,925669,1
0.005858793859924841,0.31370906339059684,1,2.847770237741246,0.22890035940523398,0.38937271464213025,0.06842800416833772,0.0803788017627398,74,chr7,158541253,cg13211008,ESYT2,0.22890035940523398,0.005858793859924841,2.23219178225739,chr7,158541253,ESYT2,7,158541253,1
0.0025749309561857274,0.2995553549499938,1,3.1333444169915894,0.22537225999168162,0.36897113041137064,0.08177338957199262,0.07192706258830868,74,chr5,166334599,cg02079756,CTB-7E3.1,0.22537225999168162,0.0025749309561857274,2.589234411574074,chr5,166334599,CTB-7E3.1,5,166334599,1
0.00805841358389295,0.3199208221490195,1,-2.7321929127406266,-0.22392640199107638,-0.060300278853600286,-0.3875525251285525,0.0819584887095175,74,chr12,1459744,cg23764766,ERC1,-0.22392640199107638,0.00805841358389295,2.0937504469757915,chr12,1459744,ERC1;ERC1;ERC1;ERC1;ERC1,12,1459744,1
3.943624264384622e-4,0.29952720975739544,1,3.7339402009824547,0.22110912113417494,0.3393310385906148,0.10288720367773507,0.05921603165363973,74,chr11,72327160,cg20090066,PDE2A,0.22110912113417494,3.943624264384622e-4,3.4041044699168785,chr11,72327160,PDE2A;PDE2A;PDE2A;MIR139;PDE2A,11,72327160,1
0.015338640793547098,0.34293606916360014,1,-2.4888274303028766,-0.21756802497979583,-0.04304248766357144,-0.3920935622960202,0.08741788294792258,74,chr19,33906883,cg27522357,PEPD,-0.21756802497979583,0.015338640793547098,1.8142131229173835,chr19,33906883,PEPD;PEPD;PEPD,19,33906883,1
8.630329387788774e-5,0.29952720975739544,1,-4.183555478600366,-0.21701378913648756,-0.11345177305646194,-0.3205758052165132,0.05187305158173518,74,chr19,17794817,cg16744531,B3GNT3,-0.21701378913648756,8.630329387788774e-5,4.063972628552558,chr19,17905626,B3GNT3,19,17794817,1
1.7647803275656338e-5,0.29952720975739544,1,4.629068194117682,0.21538460233636228,0.30827691451934436,0.12249229015338017,0.046528716645405865,74,chr17,42980188,cg19026811,CCDC103,0.21538460233636228,1.7647803275656338e-5,4.7533093460628315,chr17,42980188,CCDC103,17,42980188,1
0.004516821876572291,0.308525137248797,1,-2.9399654999232467,-0.2135689931259683,-0.06854005566784777,-0.35859793058408884,0.07264336711826855,74,chr1,214362645,cg06068545,PTPN14,-0.2135689931259683,0.004516821876572291,2.3451670357496663,chr1,214535988,PTPN14,1,214362645,1
0.008296572675533593,0.3203117185625598,1,-2.7214805077706385,-0.21087606954853225,-0.05617946933128859,-0.3655726697657759,0.07748579089448487,74,chr17,113262,cg16767880,RPH3AL,-0.21087606954853225,0.008296572675533593,2.0811012781667135,chr17,113262,RPH3AL,17,113262,1
0.005152690032253392,0.3119890272387776,1,2.893512939901413,0.20914315723787313,0.3534466789154589,0.06483963556028735,0.07228001449511368,74,chr16,1306346,cg10516012,TPSD1,0.20914315723787313,0.005152690032253392,2.287965982384819,chr16,1306346,TPSD1,16,1306346,1
0.03706582266768262,0.40029133899651415,1,-2.12798342821275,-0.20824570757094474,-0.012871821068404177,-0.4036195940734853,0.09786058707508172,74,chr20,57463991,cg09885502,GNAS,-0.20824570757094474,0.03706582266768262,1.431026356365925,chr20,57463991,GNAS;GNAS;GNAS;GNAS,20,57463991,1
0.002213676830041754,0.2995553549499938,1,-3.184131829996705,-0.20814982793416084,-0.07763985034713405,-0.33865980552118763,0.06537098306459763,74,chr10,128824401,cg02788935,DOCK1,-0.20814982793416084,0.002213676830041754,2.65488578055479,chr10,128824401,DOCK1;DOCK1,10,128824401,1
3.671946133857553e-4,0.29952720975739544,1,3.7556876374714627,0.20577548955141675,0.315161775821504,0.0963892032813295,0.05479036315436399,74,chr6,5442953,cg26296371,FARS2,0.20577548955141675,3.671946133857553e-4,3.435103698369492,chr6,5442953,FARS2,6,5442953,1
0.01819010998932207,0.3515233949734191,1,-2.4218072790963747,-0.204815036296824,-0.03597285445593931,-0.3736572181377087,0.08457115397441725,74,chr6,31237034,cg11574174,HLA-C,-0.204815036296824,0.01819010998932207,1.7401646748996156,chr6,31237034,HLA-C,6,31237034,1
