probeID,best_comparison,min_fdr,min_p,n_comparisons_pass,beta_best,gene,chromosome,position
cg23414262,phenotype_signature_C2_vs_rest,5.994355111850042e-8,6.936690665357532e-14,1,-0.14872896112511855,CHSY3,5,129338100
cg26869002,phenotype_signature_C2_vs_rest,5.739097666990064e-4,1.3282611547482536e-9,1,-0.26988739715730287,NFKB1,4,103469818
cg09838346,phenotype_signature_C2_vs_rest,0.00131700863972214,4.572142307333023e-9,1,-0.20044184138741647,ADAMTS19,5,128825816
cg17603188,phenotype_signature_C1_vs_rest,0.00338630803430508,6.391101838083086e-9,1,-0.0598108385876757,PLD5,1,242188827
cg08467103,phenotype_signature_C1_vs_rest,0.00338630803430508,7.837297221565389e-9,1,0.13820728987883976,SPRED2,2,65366799
cg15183704,phenotype_signature_C1_vs_rest,0.00370488623736198,1.2861925578007071e-8,1,-0.01832658477737839,NA,15,91207655
cg10743424,phenotype_signature_C2_vs_rest,0.00447247440718901,2.0702257969380456e-8,1,-0.2160123781732222,NA,19,37175471
cg01635668,phenotype_signature_C1_vs_rest,0.00988526468983544,4.575706445086255e-8,1,-0.05215847446182221,SLC24A3,20,19213673
cg17179455,phenotype_signature_C1_vs_rest,0.01294123610434764,8.053445308319208e-8,1,-0.14140999147938108,ETS1,11,128476906
cg26150263,phenotype_signature_C1_vs_rest,0.01294123610434764,8.98538875407172e-8,1,-0.07018242163519134,NA,2,161067945
cg19833642,phenotype_signature_C1_vs_rest,0.01523265480526065,1.233910048658391e-7,1,-0.02971501135330576,ZNF521,18,25329109
cg16464506,phenotype_signature_C2_vs_rest,0.01525624673783254,8.827293542011443e-8,1,-0.24409399711983695,CNBD1,8,88034230
cg18537383,phenotype_signature_C1_vs_rest,0.01682853999480095,1.5579240684324937e-7,1,-0.0728730131812532,MCPH1,8,6576254
cg16534315,phenotype_signature_C2_vs_rest,0.02011255535183699,1.396459559325465e-7,1,-0.3918489658799809,NA,5,56268061
cg02176951,phenotype_signature_C1_vs_rest,0.02437889708454334,2.539021766551371e-7,1,-0.02487142747230128,HMCN1,1,186121752
cg01749347,phenotype_signature_C1_vs_rest,0.02725175528390805,3.3196057882389634e-7,1,0.03821456747560357,TFR2,7,100633362
cg15756055,phenotype_signature_C1_vs_rest,0.02725175528390805,3.46894190053357e-7,1,-0.04213707695224043,MAP4K3,2,39418814
cg10115985,phenotype_signature_C2_vs_rest,0.02766069237259965,2.2406341315902477e-7,1,-0.1971696827941759,NA,19,42416162
cg13859771,phenotype_signature_C1_vs_rest,0.02867669982686872,4.049603997197825e-7,1,-0.06866181677797052,ENTPD7,10,99661385
cg05271710,phenotype_signature_C1_vs_rest,0.02867669982686872,4.5253447994380523e-7,1,-0.06243798026777083,NA,6,139611579
cg18645861,phenotype_signature_C1_vs_rest,0.02867669982686872,4.645870142939693e-7,1,-0.08048068663111793,NA,1,160539778
cg04229315,phenotype_signature_C1_vs_rest,0.0314462688107353,5.80156744607934e-7,1,-0.09309154961814056,CREB3L2,7,137963122
cg01278651,phenotype_signature_C1_vs_rest,0.0314462688107353,6.026261589251437e-7,1,-0.0446053046124393,NPRL3,16,120123
cg10549984,phenotype_signature_C1_vs_rest,0.0314462688107353,6.186256234811701e-7,1,-0.08861217044680227,NA,1,207537034
cg17278724,phenotype_signature_C1_vs_rest,0.03146390275507536,6.987727079532359e-7,1,-0.10189377941180729,NA,1,229142381
cg09967994,phenotype_signature_C1_vs_rest,0.03146390275507536,7.740202310482352e-7,1,-0.08608085691178004,NA,21,14452392
cg06894541,phenotype_signature_C1_vs_rest,0.03146390275507536,7.838672887105364e-7,1,-0.02805268581964944,NA,2,102182371
cg00805874,phenotype_signature_C1_vs_rest,0.03146390275507536,8.000261090030769e-7,1,-0.02908243647999944,ZBTB12,6,31867847
cg25580656,phenotype_signature_C1_vs_rest,0.03146390275507536,8.254947519476147e-7,1,-0.10578300761135728,ZFYVE21,14,103730823
cg24112090,phenotype_signature_C1_vs_rest,0.03146390275507536,9.3258811412736e-7,1,-0.02298861715449435,RIN3,14,92519603
cg12380988,phenotype_signature_C1_vs_rest,0.03146390275507536,9.387908608476336e-7,1,-0.1035041805694253,ANAPC11,17,79851485
cg10433549,phenotype_signature_C1_vs_rest,0.03146390275507536,9.714531143592444e-7,1,-0.08556605375961124,NA,17,43395380
