p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,gene,bonf
6.391101838083086e-9,0.003386308034305087,0.005522883435583175,-6.241136711599246,-0.0598108385876757,-0.040841532198991115,-0.07878014497636028,0.009583324537101768,131,chr1,242188827,cg17603188,-0.0598108385876757,6.391101838083086e-9,8.194424262194026,chr1,242352129,PLD5;PLD5;PLD5,1,242188827,PLD5,0.005522883435583175
7.837297221565389e-9,0.003386308034305087,0.006772608231312953,6.199064858923983,0.13820728987883976,0.1823379095978536,0.09407667015982593,0.022294861083745687,131,chr2,65366799,cg08467103,0.13820728987883976,7.837297221565389e-9,8.105833682741064,chr2,65593933,SPRED2;SPRED2,2,65366799,SPRED2,0.006772616068610174
1.286192557800707e-8,0.0037048862373619887,0.01111463298823481,-6.096317453994697,-0.018326584777378394,-0.012376142840461783,-0.024277026714295005,0.003006172975026037,131,chr15,91207655,cg15183704,-0.018326584777378394,1.286192557800707e-8,7.890694007671488,chr15,91207655,,15,91207655,NA,0.011114658712085966
4.575706445086255e-8,0.009885264689835443,0.039540921488148424,-5.829079344206518,-0.052158474461822216,-0.0344467776536422,-0.06987017127000222,0.008947978125166914,131,chr20,19213673,cg01635668,-0.052158474461822216,4.575706445086255e-8,7.339541845528108,chr20,19194317,SLC24A3,20,19213673,SLC24A3,0.039541058759341774
8.053445308319208e-8,0.01294123610434764,0.06959368656293427,-5.708000054574693,-0.14140999147938108,-0.09237214574739892,-0.1904478372113632,0.024773999671924955,131,chr11,128476906,cg17179455,-0.14140999147938108,8.053445308319208e-8,7.094018286304459,chr11,128346801,ETS1;ETS1;ETS1,11,128476906,ETS1,0.0695940087007466
8.985388754071719e-8,0.01294123610434764,0.07764696735664814,-5.684392418383637,-0.07018242163519134,-0.04574363985770627,-0.09462120341267641,0.012346512427294348,131,chr2,161067945,cg26150263,-0.07018242163519134,8.985388754071719e-8,7.046463128338446,chr2,161924456,,2,161067945,NA,0.07764741662608583
1.233910048658391e-7,0.015232654805260655,0.1066278432907954,-5.615714424877965,-0.029715011353305763,-0.019241166379346156,-0.04018885632726537,0.005291403569538082,131,chr18,25329109,cg19833642,-0.029715011353305763,1.233910048658391e-7,6.908716498969866,chr18,22909073,ZNF521;ZNF521,18,25329109,ZNF521,0.10662858363682459
1.5579240684324937e-7,0.016828539994800953,0.13462722941155972,-5.56493756117549,-0.0728730131812532,-0.04695261391514316,-0.09879341244736323,0.013095027999893698,131,chr8,6576254,cg18537383,-0.0728730131812532,1.5579240684324937e-7,6.807453713200284,chr8,6433775,MCPH1,8,6576254,MCPH1,0.13462831995840763
2.539021766551371e-7,0.02437889708454334,0.21940804254347682,-5.457744855512003,-0.024871427472301286,-0.015851090982843402,-0.03389176396175917,0.004557088711683288,131,chr1,186121752,cg02176951,-0.024871427472301286,2.539021766551371e-7,6.595333575986211,chr1,186090884,HMCN1;MIR548F1,1,186121752,HMCN1,0.21941007376089006
3.3196057882389634e-7,0.02725175528390805,0.2868614104666183,5.398417157670001,0.03821456747560357,0.05222649114459792,0.02420264380660922,0.007078846698852979,131,chr7,100633362,cg01749347,0.03821456747560357,3.3196057882389634e-7,6.478913486825354,chr7,100230985,TFR2,7,100633362,TFR2,0.2868643981118277
3.46894190053357e-7,0.02725175528390805,0.299765839181088,-5.388643725614826,-0.042137076952240435,-0.02665888636135306,-0.05761526754312781,0.007819607140094002,131,chr2,39418814,cg15756055,-0.042137076952240435,3.46894190053357e-7,6.459802973864764,chr2,39645955,MAP4K3,2,39418814,MAP4K3,0.2997693081229886
4.049603997197825e-7,0.028676699826868723,0.34994288477425256,-5.354189303250434,-0.06866181677797052,-0.04327800586123748,-0.09404562769470357,0.012823942690313011,131,chr10,99661385,cg13859771,-0.06866181677797052,4.049603997197825e-7,6.392587443511359,chr10,101421142,ENTPD7,10,99661385,ENTPD7,0.3499473393386495
4.5253447994380523e-7,0.028676699826868723,0.39105314549863984,-5.3293850143708825,-0.06243798026777083,-0.03924764617939343,-0.08562831435614823,0.011715794617841368,131,chr6,139611579,cg05271710,-0.06243798026777083,4.5253447994380523e-7,6.344348325013822,chr6,139932716,,6,139611579,NA,0.3910585759123992
4.6458701429396927e-7,0.028676699826868723,0.4014677579449763,-5.323505738955145,-0.08048068663111793,-0.050556028200998186,-0.11040534506123767,0.015117986262735583,131,chr1,160539778,cg18645861,-0.08048068663111793,4.6458701429396927e-7,6.332932933363352,chr1,160509568,,1,160539778,NA,0.40147379757616214
5.80156744607934e-7,0.0314462688107353,0.5013354889720109,-5.273668348043258,-0.09309154961814055,-0.0581507611499909,-0.1280323380862902,0.01765214334205928,131,chr7,137963122,cg04229315,-0.09309154961814055,5.80156744607934e-7,6.236454654503327,chr7,137647868,CREB3L2;CREB3L2,7,137963122,CREB3L2,0.5013436111664354
6.026261589251437e-7,0.0314462688107353,0.5207515610950969,-5.265116791679133,-0.044605304612439306,-0.027836050112882767,-0.061374559111995845,0.008471854733200314,131,chr16,120123,cg01278651,-0.044605304612439306,6.026261589251437e-7,6.219952020305766,chr16,170122,NPRL3;NPRL3;NPRL3;NPRL3;NPRL3,16,120123,NPRL3,0.5207606004874807
6.186256234811701e-7,0.0314462688107353,0.5345766717725243,-5.259215162683804,-0.08861217044680227,-0.05526126025438098,-0.12196308063922355,0.016848934243181454,131,chr1,207537034,cg10549984,-0.08861217044680227,6.186256234811701e-7,6.20857209547734,chr1,207537034,,1,207537034,NA,0.5345865697825001
6.987727079532359e-7,0.031463902755075365,0.6038339539871695,-5.231727061897738,-0.10189377941180727,-0.06334258412727821,-0.14044497469633632,0.019476126756285083,131,chr1,229142381,cg17278724,-0.10189377941180727,6.987727079532359e-7,6.155664065647857,chr1,229142381,,1,229142381,NA,0.6038458331232047
7.740202310482352e-7,0.031463902755075365,0.6688571983366357,-5.20858652555478,-0.08608085691178004,-0.053367737866378856,-0.11879397595718122,0.016526721115113153,131,chr21,14452392,cg09967994,-0.08608085691178004,7.740202310482352e-7,6.111247687743742,chr21,15824713,,21,14452392,NA,0.6688711307007945
7.838672887105364e-7,0.031463902755075365,0.677365591795302,-5.20572205211238,-0.02805268581964944,-0.01738601906609221,-0.03871935257320667,0.005388817447190867,131,chr2,102182371,cg06894541,-0.02805268581964944,7.838672887105364e-7,6.1057574585647805,chr2,102182371,,2,102182371,NA,0.6773804852737875
8.000261090030769e-7,0.031463902755075365,0.6913281616250468,-5.201096668565722,-0.02908243647999944,-0.01801438633655244,-0.04015048662344644,0.005591596990643773,131,chr6,31867847,cg00805874,-0.02908243647999944,8.000261090030769e-7,6.096895839494385,chr6,31867847,ZBTB12,6,31867847,ZBTB12,0.6913441621472268
8.254947519476147e-7,0.031463902755075365,0.7133356054952442,-5.193988122147096,-0.10578300761135728,-0.06546953461853651,-0.14609648060417807,0.020366432329773716,131,chr14,103730823,cg25580656,-0.10578300761135728,8.254947519476147e-7,6.083285683403534,chr14,104197160,ZFYVE21,14,103730823,ZFYVE21,0.7133529408850352
9.325881141273599e-7,0.031463902755075365,0.8058773670608755,-5.16626531825845,-0.022988617154494358,-0.014180736988688419,-0.03179649732030029,0.004449755430339345,131,chr14,92519603,cg24112090,-0.022988617154494358,9.325881141273599e-7,6.030310123946715,chr14,92985947,RIN3,14,92519603,RIN3,0.8058978839993863
9.387908608476337e-7,0.031463902755075365,0.8112364077934049,-5.164756241327562,-0.1035041805694253,-0.0638359053365958,-0.1431724558022548,0.020040477368748057,131,chr17,79851485,cg12380988,-0.1035041805694253,9.387908608476337e-7,6.027431146920443,chr17,79851485,ANAPC11;ANAPC11;ANAPC11;ANAPC11;ANAPC11;ANAPC11;ANAPC11;ANAPC11;ANAPC11;ANAPC11;ANAPC11;ANAPC11;ANAPC11;ANAPC11;ANAPC11;ANAPC11;ANAPC11;ANAPC11;ANAPC11;ANAPC11;ANAPC11;ANAPC11,17,79851485,ANAPC11,0.8112579999832044
9.714531143592444e-7,0.031463902755075365,0.8394598368050251,-5.156966655015423,-0.08556605375961124,-0.052723082866985994,-0.11840902465223649,0.01659232248019167,131,chr17,43395380,cg10433549,-0.08556605375961124,9.714531143592444e-7,6.012578155091401,chr17,41472748,,17,43395380,NA,0.8394831516797697
1.0205470411940426e-6,0.031463902755075365,0.8818822530658845,-5.145725591961349,-0.04186627063408983,-0.02576156061431652,-0.05797098065386315,0.00813612577777045,131,chr17,67467925,cg15993159,-0.04186627063408983,1.0205470411940426e-6,5.991166972074669,chr17,65464041,PITPNC1;PITPNC1,17,67467925,PITPNC1,0.8819077667419143
1.0519251248114708e-6,0.031463902755075365,0.908995850402837,-5.138813681900176,-0.09625401163611068,-0.05917815256316859,-0.13332987070905278,0.0187307844950936,131,chr17,82101532,cg02741985,-0.09625401163611068,1.0519251248114708e-6,5.978015171815817,chr17,80059408,CCDC57,17,82101532,CCDC57,0.9090232004560821
1.0688889380249963e-6,0.031463902755075365,0.9236536535708499,-5.135160109938294,-0.09637160125530586,-0.05922403709253875,-0.13351916541807296,0.018767010023464273,131,chr11,47916382,cg18367488,-0.09637160125530586,1.0688889380249963e-6,5.971067417437285,chr11,47937934,,11,47916382,NA,0.9236825135721766
1.0769489292280022e-6,0.031463902755075365,0.9306174165202181,-5.133443942246503,-0.10394678792558448,-0.06386588418620179,-0.14402769166496718,0.020248937963486396,131,chr20,36875661,cg19448292,-0.10394678792558448,1.0769489292280022e-6,5.967804891205601,chr20,35504064,C20orf118,20,36875661,C20orf118,0.9306475710902365
1.0923044587668153e-6,0.031463902755075365,0.9438854058229568,-5.130208720294358,-0.05649199970433571,-0.0346954792606325,-0.07828852014803891,0.011011637690463079,131,chr6,14724711,cg27661078,-0.05649199970433571,1.0923044587668153e-6,5.9616562935606465,chr6,14724942,,6,14724711,NA,0.9439170826522609
1.1823981921861079e-6,0.031930367580437796,1,-5.112075762202887,-0.05225785616871367,-0.032023491941141416,-0.07249222039628593,0.010222433821324041,131,chr5,59358367,cg08761605,-0.05225785616871367,1.1823981921861079e-6,5.927236242958212,chr5,58654193,PDE4D;PDE4D;PDE4D;PDE4D;PDE4D,5,59358367,PDE4D,1
1.3275839760869053e-6,0.0347375399459726,1,-5.0855099449929995,-0.036683071326899484,-0.022405102222237273,-0.050961040431561695,0.0072132532870211475,131,chr16,84577848,cg15188631,-0.036683071326899484,1.3275839760869053e-6,5.876937998157855,chr16,84611454,COTL1,16,84577848,COTL1,1
1.3744029329615111e-6,0.0347375399459726,1,-5.0775440944134145,-0.08979891068104207,-0.05479209399432062,-0.12480572736776352,0.01768550090581067,131,chr1,19179079,cg15004902,-0.08979891068104207,1.3744029329615111e-6,5.861885926731953,chr1,19505573,UBR4,1,19179079,UBR4,1
1.4069444936875004e-6,0.0347375399459726,1,-5.072161529956148,-0.06072576156954391,-0.03702757305916214,-0.08442395007992567,0.011972363500432315,131,chr9,133136079,cg11134013,-0.06072576156954391,1.4069444936875004e-6,5.851723035870681,chr9,136011466,RALGDS,9,133136079,RALGDS,1
1.5016256196017487e-6,0.03577198426770575,1,-5.057163354407671,-0.05164773102768125,-0.0314324622368085,-0.071862999818554,0.010212786775548122,131,chr2,72794219,cg21686287,-0.05164773102768125,1.5016256196017487e-6,5.8234383307191875,chr2,73021348,EXOC6B,2,72794219,EXOC6B,1
1.5511946793942817e-6,0.03577198426770575,1,-5.049674443779641,-0.09224820907393567,-0.05608809272080547,-0.12840832542706587,0.018268149778956567,131,chr16,337629,cg22158603,-0.09224820907393567,1.5511946793942817e-6,5.8093336935591005,chr16,387629,AXIN1;AXIN1,16,337629,AXIN1,1
1.6053843865518363e-6,0.03577198426770575,1,-5.041749323184722,-0.07491828029060589,-0.04550511207510259,-0.10433144850610919,0.014859580571785005,131,chr20,45836974,cg20337696,-0.07491828029060589,1.6053843865518363e-6,5.794420965146062,chr20,44465613,SNX21;SNX21;SNX21;SNX21,20,45836974,SNX21,1
1.6453430287514338e-6,0.03577198426770575,1,-5.036070452369601,-0.044932844178027564,-0.027272166348119024,-0.06259352200793611,0.008922203254103702,131,chr1,90896084,cg20805961,-0.044932844178027564,1.6453430287514338e-6,5.7837435445448575,chr1,91361641,,1,90896084,NA,1
1.655819081259119e-6,0.03577198426770575,1,-5.0346038082824895,-0.03284240651085633,-0.019930067260690056,-0.0457547457610226,0.006523334856424427,131,chr10,119246705,cg05664105,-0.03284240651085633,1.655819081259119e-6,5.780987117009571,chr10,121006217,GRK5,10,119246705,GRK5,1
1.7550003875361068e-6,0.03628564100295547,1,-5.021149294968675,-0.08854607423726785,-0.05363996590809288,-0.1234521825664428,0.01763462287926658,131,chr17,4341911,cg21500092,-0.08854607423726785,1.7550003875361068e-6,5.755722783298001,chr17,4245206,UBE2G1,17,4341911,UBE2G1,1
1.863627050604871e-6,0.03628564100295547,1,-5.007236942731223,-0.049497505250301554,-0.02993067743949202,-0.0690643330611111,0.009885193334450615,131,chr10,93078210,cg15767361,-0.049497505250301554,1.863627050604871e-6,5.729640994380091,chr10,94837967,,10,93078210,NA,1
1.8812859358659078e-6,0.03628564100295547,1,-5.005050101115718,-0.06274385887225072,-0.03792978610075011,-0.08755793164375132,0.012536110049780311,131,chr16,75003686,cg16660617,-0.06274385887225072,1.8812859358659078e-6,5.725545191195393,chr16,75037584,ZNRF1,16,75003686,ZNRF1,1
1.884290196256042e-6,0.03628564100295547,1,-5.004680047348401,-0.10625073611687012,-0.06422736533128576,-0.1482741069024545,0.021230275484476632,131,chr17,73261906,cg17641443,-0.10625073611687012,1.884290196256042e-6,5.724852211454346,chr17,71258045,CPSF4L,17,73261906,CPSF4L,1
1.914509614620964e-6,0.03628564100295547,1,-5.000989316213372,-0.03348597757681751,-0.02023211965077593,-0.046739835502859095,0.006695870648684425,131,chr1,8025379,cg22494062,-0.03348597757681751,1.914509614620964e-6,5.717942448294436,chr1,8025379,PARK7;PARK7;PARK7;PARK7,1,8025379,PARK7,1
2.0590689487354943e-6,0.03628564100295547,1,-4.984082835797488,-0.09544037243000754,-0.057536626768902616,-0.13334411809111246,0.019149034150179094,131,chr7,44670945,cg13290417,-0.09544037243000754,2.0590689487354943e-6,5.686329110616544,chr7,44670945,OGDH;OGDH;OGDH,7,44670945,OGDH,1
2.061166383719093e-6,0.03628564100295547,1,-4.9838461299297325,-0.03499286279101661,-0.02109493330477168,-0.04889079227726155,0.007021256651739765,131,chr14,100218096,cg01070907,-0.03499286279101661,2.061166383719093e-6,5.685886949213269,chr14,100684433,,14,100218096,NA,1
2.1497249438629172e-6,0.03628564100295547,1,4.974059702443391,0.03984858386254833,0.055706172730567535,0.023990994994529127,0.008011279768711589,131,chr8,1745850,cg16259209,0.03984858386254833,2.1497249438629172e-6,5.6676171042724635,chr8,1694016,,8,1745850,NA,1
2.190962398490973e-6,0.03628564100295547,1,-4.969635643169914,-0.09785595717626391,-0.05887989351312543,-0.1368320208394024,0.019690770954356295,131,chr11,73221034,cg14655553,-0.09785595717626391,2.190962398490973e-6,5.659365075779327,chr11,72932079,P2RY2;P2RY2;P2RY2,11,73221034,P2RY2,1
2.263802257231437e-6,0.03628564100295547,1,-4.96201533214817,-0.07060841370970924,-0.0424418667549314,-0.0987749606644871,0.01422978547693065,131,chr16,307298,cg00453636,-0.07060841370970924,2.263802257231437e-6,5.645161511381229,chr16,357298,AXIN1;AXIN1,16,307298,AXIN1,1
2.2736091796098778e-6,0.03628564100295547,1,-4.96100760948413,-0.06355831806598013,-0.038198989047074,-0.08891764708488625,0.012811574395587196,131,chr1,230870149,cg04895895,-0.06355831806598013,2.2736091796098778e-6,5.643284185965749,chr1,231005895,C1orf198,1,230870149,C1orf198,1
2.3270311328376916e-6,0.03628564100295547,1,-4.955591276108461,-0.05185123723567557,-0.031140340681555592,-0.07256213378979555,0.01046317873018645,131,chr6,113920710,cg17248139,-0.05185123723567557,2.3270311328376916e-6,5.633197806344053,chr6,114241874,FLJ34503,6,113920710,FLJ34503,1
2.329165259269177e-6,0.03628564100295547,1,-4.955377420239634,-0.06160155873520602,-0.036995037494645666,-0.08620807997576638,0.012431254677716773,131,chr1,242188893,cg10615993,-0.06160155873520602,2.329165259269177e-6,5.632799696247429,chr1,242352195,PLD5;PLD5;PLD5,1,242188893,PLD5,1
2.3302064794714175e-6,0.03628564100295547,1,4.955273151077876,0.08881684849421319,0.12429516593838699,0.05333853105003939,0.017923703857756795,131,chr2,65366787,cg25644567,0.08881684849421319,2.3302064794714175e-6,5.632605594458106,chr2,65593921,SPRED2;SPRED2;SPRED2,2,65366787,SPRED2,1
2.4238705990047366e-6,0.03628564100295547,1,-4.946073980203117,-0.014783383010004012,-0.008867106324283126,-0.020699659695724897,0.002988912634379341,131,chr12,49256218,cg17492104,-0.014783383010004012,2.4238705990047366e-6,5.615490569175004,chr12,49650001,TUBA1C;TUBA1C;TUBA1C;TUBA1C,12,49256218,TUBA1C,1
2.445427034295864e-6,0.03628564100295547,1,-4.944005764533609,-0.05929202128563508,-0.03555356119424387,-0.08303048137702629,0.011992708768863738,131,chr1,28416620,cg10711145,-0.05929202128563508,2.445427034295864e-6,5.611645290959823,chr1,28743131,PHACTR4,1,28416620,PHACTR4,1
2.465341789890438e-6,0.03628564100295547,1,-4.942110740045797,-0.059749932113366246,-0.03581896780020792,-0.08368089642652457,0.012089962215782433,131,chr16,66563464,cg14248318,-0.059749932113366246,2.465341789890438e-6,5.60812286252331,chr16,66597367,CKLF;CKLF;CKLF;CKLF;CKLF;CKLF-CMTM1;CKLF-CMTM1;CKLF-CMTM1,16,66563464,CKLF,1
2.4713078134638113e-6,0.03628564100295547,1,-4.9415459269216955,-0.15492260522944834,-0.09286611473737558,-0.2169790957215211,0.031351040245406844,131,chr2,106054920,cg27223827,-0.15492260522944834,2.4713078134638113e-6,5.607073157729006,chr2,106054920,FHL2;FHL2,2,106054920,FHL2,1
2.477403071652178e-6,0.03628564100295547,1,-4.940970245420328,-0.0483616379670765,-0.028987427262713177,-0.06773584867143982,0.009787882858007859,131,chr20,19213659,cg06460944,-0.0483616379670765,2.477403071652178e-6,5.606003328273597,chr20,19194303,SLC24A3,20,19213659,SLC24A3,1
2.5595271005508216e-6,0.03684325275864566,1,-4.933345213779678,-0.03170846484798605,-0.018986067208431406,-0.04443086248754069,0.006427376044842529,131,chr5,138171086,cg02091562,-0.03170846484798605,2.5595271005508216e-6,5.591840267732267,chr5,137506775,BRD8;BRD8;BRD8;BRD8;BRD8;BRD8,5,138171086,BRD8,1
2.643361796000664e-6,0.03684325275864566,1,-4.925802676800921,-0.03163005099763087,-0.01891968263096453,-0.0443404193642972,0.00642129883655289,131,chr5,80204430,cg16730961,-0.03163005099763087,2.643361796000664e-6,5.577843391066821,chr5,79500249,SERINC5;SERINC5;SERINC5;SERINC5;SERINC5,5,80204430,SERINC5,1
2.6433794876781297e-6,0.03684325275864566,1,-4.925801109754802,-0.07206405924874824,-0.04310548973799269,-0.1010226287595038,0.014629916564441937,131,chr19,39738726,cg18597415,-0.07206405924874824,2.6433794876781297e-6,5.57784048439994,chr19,40229366,CLC,19,39738726,CLC,1
2.7853123574660118e-6,0.03820528959252332,1,-4.913546103187215,-0.07921013698592455,-0.04730056458254817,-0.11111970938930094,0.016120768040528647,131,chr20,41262325,cg09994537,-0.07921013698592455,2.7853123574660118e-6,5.555126094020918,chr20,39890965,ZHX3,20,41262325,ZHX3,1
2.8446077930176658e-6,0.038408961149246905,1,-4.908605042704323,-0.026627593452824668,-0.01588994740519248,-0.03736523950045686,0.005424676302364427,131,chr3,14673711,cg14306023,-0.026627593452824668,2.8446077930176658e-6,5.54597760451327,chr3,14715218,C3orf20;C3orf20;C3orf20,3,14673711,C3orf20,1
2.925684427666459e-6,0.038562779978987875,1,-4.902008446532012,-0.12799175978674357,-0.07630929580626294,-0.1796742237672242,0.026110065125916498,131,chr14,61533773,cg23339014,-0.12799175978674357,2.925684427666459e-6,5.533772519876531,chr14,62000491,PRKCH,14,61533773,PRKCH,1
2.945249769268832e-6,0.038562779978987875,1,-4.900443160528154,-0.022497885438333438,-0.013410444521020646,-0.03158532635564623,0.004590989978120405,131,chr22,30223645,cg17859328,-0.022497885438333438,2.945249769268832e-6,5.5308778693605545,chr22,30223645,ASCC2;ASCC2,22,30223645,ASCC2,1
3.016488349674037e-6,0.0387482965274342,1,-4.8948279325937705,-0.018978286363622296,-0.011303702763380883,-0.026652869963863707,0.0038772121563761886,131,chr3,183450887,cg08810881,-0.018978286363622296,3.016488349674037e-6,5.520498347682915,chr3,183168675,LINC00888;LINC00888,3,183450887,LINC00888,1
3.091683663017512e-6,0.0387482965274342,1,-4.889038820004318,-0.016606170419931836,-0.009882889459941608,-0.023329451379922064,0.0033966125104151184,131,chr11,110130654,cg27660807,-0.016606170419931836,3.091683663017512e-6,5.5098049489174,chr11,110001379,ZC3H12C,11,110130654,ZC3H12C,1
3.093937710487229e-6,0.0387482965274342,1,-4.888867404327341,-0.045861511531019535,-0.02729307397885171,-0.06442994908318736,0.009380804946852435,131,chr13,99317019,cg17518643,-0.045861511531019535,3.093937710487229e-6,5.509488434096247,chr13,99969273,UBAC2;UBAC2;UBAC2;MIR548AN,13,99317019,UBAC2,1
3.289769977685593e-6,0.040017458354195644,1,-4.874419253938815,-0.08151362548821366,-0.04841251341483181,-0.1146147375615955,0.016722735825882414,131,chr3,150324995,cg15341243,-0.08151362548821366,3.289769977685593e-6,5.482834467069545,chr3,150042782,LINC01214;LINC01214,3,150324995,LINC01214,1
3.30369392225143e-6,0.040017458354195644,1,-4.873424006690538,-0.05976217872026924,-0.03548895385468709,-0.08403540358585139,0.012262872805285159,131,chr15,91534970,cg14622604,-0.05976217872026924,3.30369392225143e-6,5.481000195623671,chr15,92078200,,15,91534970,NA,1
3.4091670505266135e-6,0.040017458354195644,1,-4.866014674115584,-0.08240167075836768,-0.048882145523193754,-0.11592119599354161,0.016934118837885443,131,chr4,184823177,cg17718238,-0.08240167075836768,3.4091670505266135e-6,5.467351717649252,chr4,185744331,ACSL1;ACSL1,4,184823177,ACSL1,1
3.451357375513278e-6,0.040017458354195644,1,-4.863112992964689,-0.057597144735121814,-0.034153677145162514,-0.08104061232508111,0.01184367807584273,131,chr6,142693805,cg25602071,-0.057597144735121814,3.451357375513278e-6,5.462010068764848,chr6,143014942,,6,142693805,NA,1
