p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
0.0011253526900573223,0.6951667933975284,1,-3.373019695279342,-0.29382589558708067,-0.12060304923412404,-0.4670487419400373,0.08711063739067407,92,chr19,2340235,cg23803868,SPPL2B,-0.29382589558708067,0.0011253526900573223,2.948711346582884,chr19,2340235,SPPL2B;SPPL2B,19,2340235,1
0.0010217623711839593,0.6951667933975284,1,3.40315377205173,0.27143641264674295,0.43004274144840027,0.11283008384508561,0.07976025499520593,92,chr1,16345207,cg02890259,HSPB7,0.27143641264674295,0.0010217623711839593,2.990650095280766,chr1,16345207,HSPB7;HSPB7,1,16345207,1
0.003866576424539711,0.6951667933975284,1,-2.9710973236951084,-0.25714478915153033,-0.08503925759449749,-0.42925032070856317,0.08654875998195956,92,chr18,42526328,cg17237138,SETBP1,-0.25714478915153033,0.003866576424539711,2.412673401384584,chr18,42526328,SETBP1,18,42526328,1
0.01282285252345588,0.6951667933975284,1,-2.5428914786049712,-0.24178032053026843,-0.052708371294237694,-0.4308522697662992,0.09508086466313102,92,chr2,99696416,cg26495595,TSGA10,-0.24178032053026843,0.01282285252345588,1.8920153525556676,chr2,99696416,TSGA10;TSGA10,2,99696416,1
0.0025006021717450073,0.6951667933975284,1,3.116855860321919,0.2362002975044529,0.38689490117495096,0.08550569383395482,0.07578159147855408,92,chr1,117746638,cg11091790,VTCN1,0.2362002975044529,0.0025006021717450073,2.6019553959779236,chr1,117746638,VTCN1;VTCN1;VTCN1;VTCN1;VTCN1,1,117746638,1
0.004591768826111184,0.6951667933975284,1,-2.9123036607158705,-0.23277326993700756,-0.07383428670443595,-0.39171225316957914,0.07992754089379189,92,chr10,72138124,cg19377607,LRRC20,-0.23277326993700756,0.004591768826111184,2.338019984737152,chr10,72138124,LRRC20;LRRC20;LRRC20,10,72138124,1
0.011828932167412468,0.6951667933975284,1,-2.5731799223201475,-0.22848016929146503,-0.05191203143004097,-0.4050483071528891,0.08879292400410631,92,chr1,161024782,cg00439656,ARHGAP30,-0.22848016929146503,0.011828932167412468,1.9270544586461138,chr1,161024782,ARHGAP30;ARHGAP30;ARHGAP30;ARHGAP30,1,161024782,1
0.01247352041344107,0.6951667933975284,1,-2.553287793200118,-0.22145442791212466,-0.048982436305666066,-0.39392641951858326,0.08673304611485597,92,chr20,42574362,cg26365090,TOX2,-0.22145442791212466,0.01247352041344107,1.9040109578798956,chr20,42574362,TOX2;TOX2;TOX2;TOX2,20,42574362,1
0.019384272565356013,0.6951667933975284,1,-2.383779831850648,-0.2153854794304763,-0.03571188370175751,-0.39505907515919514,0.09035460261582201,92,chr16,56864618,cg11796481,NUP93,-0.2153854794304763,0.019384272565356013,1.7125504921434642,chr16,56864618,NUP93;NUP93;NUP93,16,56864618,1
0.015957154284476652,0.6951667933975284,1,-2.4595508996611586,-0.2092096940418062,-0.04006438074200852,-0.3783550073416039,0.08506011974406714,92,chr10,100167465,cg26690318,PYROXD2,-0.2092096940418062,0.015957154284476652,1.7970445558889465,chr10,100167465,PYROXD2,10,100167465,1
0.02802159326446156,0.6951667933975284,1,-2.2356325104043333,-0.2083647620495448,-0.023029593648288854,-0.39369993045080076,0.09320170514601268,92,chr10,100172110,cg21934405,PYROXD2,-0.2083647620495448,0.02802159326446156,1.5525071750355401,chr10,100172110,PYROXD2,10,100172110,1
0.02691293874077878,0.6951667933975284,1,2.252177121366452,0.20751708167606484,0.3907423169037055,0.024291846448424192,0.0921406579026782,92,chr19,35577342,cg14048271,HPN-AS1,0.20751708167606484,0.02691293874077878,1.5700388771444502,chr19,35577342,HPN-AS1;HPN-AS1,19,35577342,1
0.014304014453912259,0.6951667933975284,1,2.5014645203262775,0.20635614156523302,0.3703988875354819,0.04231339559498412,0.08249413089349636,92,chr17,63926873,cg13603318,CCDC46,0.20635614156523302,0.014304014453912259,1.8445420597022988,chr17,63926873,CCDC46,17,63926873,1
0.0053229007242278775,0.6951667933975284,1,-2.861132983687007,-0.20520233137571306,-0.06258305595753419,-0.34782160679389196,0.07172065491037698,92,chr7,150412715,cg02355809,GIMAP1,-0.20520233137571306,0.0053229007242278775,2.273851633643529,chr7,150412715,GIMAP1,7,150412715,1
1.4827118962656036e-4,0.6951667933975284,1,3.9746387954280045,0.2051520066462493,0.30779092840724354,0.10251308488525507,0.05161525794047852,92,chr4,88421505,cg16997920,SPARCL1,0.2051520066462493,1.4827118962656036e-4,3.8289432279449196,chr4,88421505,SPARCL1;SPARCL1;SPARCL1;SPARCL1,4,88421505,1
0.031792826025628995,0.6951667933975284,1,2.183347139471226,0.2033978236055837,0.3886475132798539,0.01814813393131351,0.09315871943975139,92,chr1,62499140,cg13462557,INADL,0.2033978236055837,0.031792826025628995,1.4976708664612273,chr1,62499140,INADL,1,62499140,1
0.017574483624025507,0.6951667933975284,1,2.422150858966478,0.20252494683742733,0.3687939591852536,0.03625593448960107,0.08361368000168408,92,chr3,140786844,cg27141807,SPSB4,0.20252494683742733,0.017574483624025507,1.7551174266228404,chr3,140786844,SPSB4,3,140786844,1
0.022973964517497468,0.6951667933975284,1,2.316266165364544,0.2018898959053027,0.37521445330066844,0.028565338509936977,0.08716178603486546,92,chr16,20750043,cg26846609,THUMPD1,0.2018898959053027,0.022973964517497468,1.6387640540211261,chr16,20750043,THUMPD1,16,20750043,1
1.703729925344246e-5,0.6951667933975284,1,4.562649396226425,0.20147705503816737,0.2892867513828119,0.11366735869352285,0.0441579086056449,92,chr1,233363393,cg00997387,PCNXL2,0.20147705503816737,1.703729925344246e-5,4.768599248318581,chr1,233363393,PCNXL2,1,233363393,1
0.004096562695755326,0.6951667933975284,1,2.951421544682373,0.2014262032934338,0.33713834447670343,0.0657140621101642,0.06824718199145319,92,chr22,50862757,cg15251456,PPP6R2,0.2014262032934338,0.004096562695755326,2.387580394103202,chr22,50862757,PPP6R2;PPP6R2;PPP6R2;PPP6R2,22,50862757,1
