p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,gene,bonf
1.0922590749486405e-10,9.438778641350176e-5,9.438778641350176e-5,-7.366808928373783,-0.028252021661683335,-0.02062589287436296,-0.03587815044900371,0.003835042002089763,92,chr15,91207655,cg15183704,-0.028252021661683335,1.0922590749486405e-10,9.96167433830185,chr15,91207655,,15,91207655,NA,9.438778641350176e-5
4.2169548192733665e-10,1.3080373330642272e-4,3.644085724029899e-4,-7.069233786853201,-0.2796250970791599,-0.20096801819225668,-0.3582821759660631,0.039555219916362704,92,chr3,13431720,cg17336044,-0.2796250970791599,4.2169548192733665e-10,9.375001052019375,chr3,13431720,NUP210,3,13431720,NUP210,3.644089940984718e-4
4.5409974161868295e-10,1.3080373330642272e-4,3.924102917197849e-4,-7.052850811476127,-0.09965833509440904,-0.07155984775645141,-0.12775682243236666,0.01413022021283207,92,chr2,102182371,cg06894541,-0.09965833509440904,4.5409974161868295e-10,9.34284874521115,chr2,102182371,,2,102182371,NA,3.924111999192681e-4
1.463484365947921e-9,2.928975793050956e-4,0.0012646685513495299,-6.792691813560356,-0.09020846646526728,-0.06380023004458135,-0.11661670288595322,0.013280223649361322,92,chr19,39738726,cg18597415,-0.09020846646526728,1.463484365947921e-9,8.834611912669079,chr19,40229366,CLC,19,39738726,CLC,0.0012646729418026277
1.938435277885755e-9,2.928975793050956e-4,0.0016750949685144195,-6.729847046049257,-0.0709380013223195,-0.049977205639694794,-0.09189879700494422,0.010540804395244541,92,chr2,64909978,cg24179559,-0.0709380013223195,1.938435277885755e-9,8.712548695005662,chr2,65137112,LOC400958,2,64909978,LOC400958,0.0016751027222555311
2.0336531950751413e-9,2.928975793050956e-4,0.0017573753075645982,6.719109737685291,0.1253220651951115,0.1624114661863127,0.08823266420391031,0.018651587797743646,92,chr6,128456021,cg02597924,0.1253220651951115,2.0336531950751413e-9,8.691723106628064,chr6,128456021,PTPRK;PTPRK;PTPRK;PTPRK;PTPRK;PTPRK,6,128456021,PTPRK,0.0017573854758305735
4.5977708890079465e-9,5.675961298968564e-4,0.003973145322652661,6.53573490421903,0.02310232867364583,0.030131357755385363,0.016073299591906294,0.0035347713780025753,92,chr1,156860288,cg03055346,0.02310232867364583,4.5977708890079465e-9,8.337452673805904,chr1,156830080,NTRK1;INSRR;NTRK1;NTRK1,1,156860288,NTRK1,0.003973172909277995
6.6872651204468475e-9,7.096060645260688e-4,0.005778766717508541,-6.451033348874463,-0.03948209333852526,-0.027311692160399803,-0.051652494516650715,0.006120274257365893,92,chr16,120123,cg01278651,-0.03948209333852526,6.6872651204468475e-9,8.174751458605892,chr16,170122,NPRL3;NPRL3;NPRL3;NPRL3;NPRL3,16,120123,NPRL3,0.005778813528364384
7.456821323088797e-9,7.096060645260688e-4,0.0064437674054192455,-6.42634524650032,-0.05542680506427946,-0.03827579103278196,-0.07257781909577696,0.008624934225944982,92,chr2,39418814,cg15756055,-0.05542680506427946,7.456821323088797e-9,8.127446263148622,chr2,39645955,MAP4K3,2,39418814,MAP4K3,0.006443827059989831
8.21158852292269e-9,7.096060645260688e-4,0.007095986740963982,-6.404468225994689,-0.015780211084955895,-0.010880575915431803,-0.020679846254479987,0.0024639377584709686,92,chr4,7056100,cg23757056,-0.015780211084955895,8.21158852292269e-9,8.085572820955289,chr4,7056100,TADA2B,4,7056100,TADA2B,0.007096060645260689
1.0782270991761647e-8,8.470473674611645e-4,0.009317413219362894,-6.34254741829693,-0.02912614102545581,-0.019994407377329965,-0.03825787467358165,0.004592183409056265,92,chr10,49118687,cg16491923,-0.02912614102545581,1.0782270991761647e-8,7.967289757208945,chr10,50326732,,10,49118687,NA,0.009317521042072811
1.2448774445873293e-8,8.964694445791916e-4,0.010757496398431394,-6.309797426215552,-0.030872820019907744,-0.021143222061604416,-0.04060241797821107,0.004892838538942515,92,chr1,186121752,cg02176951,-0.030872820019907744,1.2448774445873293e-8,7.904873401788576,chr1,186090884,HMCN1;MIR548F1,1,186121752,HMCN1,0.010757633334950297
1.4036923696916945e-8,9.330796681952439e-4,0.012129867243453808,-6.282395728108551,-0.0812285279810143,-0.05551762649401918,-0.10693942946800944,0.012929546545051832,92,chr2,161067945,cg26150263,-0.0812285279810143,1.4036923696916945e-8,7.852728060855984,chr2,161924456,,2,161067945,NA,0.012130035686538171
2.0559701753132556e-8,0.0012690505278123575,0.017766440113250213,-6.1950433952795265,-0.043918289984493444,-0.0298210179790563,-0.05801556198993059,0.00708926268667595,92,chr22,50651198,cg11740027,-0.043918289984493444,2.0559701753132556e-8,7.6869831896723,chr22,50651198,SELO,22,50651198,SELO,0.017766707389373006
3.145399840826749e-8,0.0018120690421667444,0.027180595276523452,-6.09724315526699,-0.1027176846065324,-0.06921761442653501,-0.13621775478652978,0.016846578361862055,92,chr17,18043154,cg14611258,-0.1027176846065324,3.145399840826749e-8,7.5023241395264435,chr17,17946468,C17orf39,17,18043154,C17orf39,0.02718103563250117
3.633601649865981e-8,0.001962490083084367,0.031399296289102395,-6.063935614929456,-0.02921353021555581,-0.019633575193748337,-0.038793485237363284,0.0048175858173084615,92,chr19,47682998,cg11747742,-0.02921353021555581,3.633601649865981e-8,7.4396626859294015,chr19,48186255,GLTSCR1,19,47682998,GLTSCR1,0.03139984132934987
4.6883843308814565e-8,0.0023832215860587484,0.04051401682150578,-6.004945533327789,-0.04975571207105862,-0.03327910124791956,-0.06623232289419767,0.008285789070843623,92,chr5,136135062,cg10619318,-0.04975571207105862,4.6883843308814565e-8,7.32897679418717,chr5,135470751,SMAD5;SMAD5;SMAD5OS;SMAD5,5,136135062,SMAD5,0.04051476696299872
5.807751161989437e-8,0.002762409103295039,0.05018681050365742,-5.95523127352671,-0.1083481551389918,-0.07216912676733357,-0.14452718351065003,0.018193777900892105,92,chr22,39218763,cg25670299,-0.1083481551389918,5.807751161989437e-8,7.235991999623733,chr22,39218763,NPTXR,22,39218763,NPTXR,0.05018779782135496
6.0736737243686e-8,0.002762409103295039,0.05248467970133536,-5.9448171377096966,-0.044185633598934286,-0.029405559986645263,-0.05896570721122331,0.007432631244223144,92,chr10,5305436,cg21611669,-0.044185633598934286,6.0736737243686e-8,7.216548541939034,chr10,5347399,,10,5305436,NA,0.052485772962605745
6.507578460729817e-8,0.0028117684709982964,0.05623413298005839,-5.928753085621689,-0.09257848784166604,-0.061527120461069194,-0.12362985522226289,0.015615170087987948,92,chr1,63651654,cg08209849,-0.09257848784166604,6.507578460729817e-8,7.186580586974918,chr1,64117325,PGM1;PGM1;PGM1;PGM1;PGM1;PGM1,1,63651654,PGM1,0.05623536941996593
8.404311278361975e-8,0.0033369065684538493,0.0726243431359349,-5.8690694264470755,-0.06126348288119332,-0.04050639391676941,-0.08202057184561723,0.010438363977282176,92,chr18,56660775,cg09700170,-0.06126348288119332,8.404311278361975e-8,7.075497870596,chr18,54328006,WDR7;WDR7,18,56660775,WDR7,0.07262602399819057
8.495258300158385e-8,0.0033369065684538493,0.07341016050174165,-5.866553012748685,-0.1328619378141614,-0.08782678991573561,-0.17789708571258717,0.022647359961707893,92,chr20,36876000,cg09227119,-0.1328619378141614,8.495258300158385e-8,7.07082341177692,chr20,35504403,C20orf118,20,36876000,C20orf118,0.07341194450598469
9.317453987501018e-8,0.003500737607916078,0.08051491514219254,-5.844938274495516,-0.11969370836493563,-0.07897205489886644,-0.16041536183100483,0.02047818176065624,92,chr11,47916382,cg18367488,-0.11969370836493563,9.317453987501018e-8,7.030702743250672,chr11,47937934,,11,47916382,NA,0.0805169649820698
9.926908356619977e-8,0.003574315712579111,0.08578129391297663,5.8300966079072705,0.10149561025373748,0.13611389280406827,0.06687732770340667,0.017408907103885814,92,chr9,33159027,cg14080050,0.10149561025373748,9.926908356619977e-8,7.003185987428227,chr9,33159025,B4GALT1,9,33159027,B4GALT1,0.08578357710189866
1.1117534932012288e-7,0.0037052987177061372,0.09606973225729915,-5.803527312722627,-0.09726272059144572,-0.06393632147976235,-0.1305891197031291,0.01675924232806213,92,chr7,137963122,cg04229315,-0.09726272059144572,1.1117534932012288e-7,6.9539914972955925,chr7,137647868,CREB3L2;CREB3L2,7,137963122,CREB3L2,0.09607240046568283
1.1769532623382249e-7,0.0037052987177061372,0.10170370917245433,-5.790142437084929,-0.06667474212395415,-0.04377629097760227,-0.08957319327030602,0.01151521622281918,92,chr10,93078210,cg15767361,-0.06667474212395415,1.1769532623382249e-7,6.929240782960833,chr10,94837967,,10,93078210,NA,0.10170665155561018
1.1790539572079874e-7,0.0037052987177061372,0.10188511798263093,-5.789723428204308,-0.05651802525014872,-0.037106343108068485,-0.07592970739222896,0.009761783261498189,92,chr1,242188827,cg17603188,-0.05651802525014872,1.1790539572079874e-7,6.9284663197721805,chr1,242352129,PLD5;PLD5;PLD5,1,242188827,PLD5,0.10188818352291967
1.2005800379536453e-7,0.0037052987177061372,0.10374512252966937,-5.785471657221835,-0.08778405710842888,-0.05761158539514491,-0.11795652882171284,0.015173189380134736,92,chr12,6222892,cg08559734,-0.08778405710842888,1.2005800379536453e-7,6.920608881935211,chr12,6332058,CD9,12,6222892,CD9,0.10374836409577186
1.274425049198849e-7,0.0037975757072940815,0.11012612712139061,-5.7714358230108465,-0.06342193931189748,-0.04157001652013458,-0.08527386210366036,0.010988936073590692,92,chr15,89691456,cg16093957,-0.06342193931189748,1.274425049198849e-7,6.8946857009373685,chr15,90234687,PEX11A;PEX11A;PEX11A;WDR93;WDR93;WDR93,15,89691456,PEX11A,0.11012969551152836
