p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
1.7523159643428638e-4,0.2646029703634494,1,3.88849843232951,0.310079136891124,0.46815639813672316,0.1520018756455248,0.07974264161021216,115,chr20,30680224,cg26983017,HCK,0.310079136891124,1.7523159643428638e-4,3.7563875824153907,chr20,30680224,HCK;HCK;HCK;HCK;HCK;HCK,20,30680224,1
1.1469974141201215e-4,0.2646029703634494,1,4.004856452784214,0.23776040552042707,0.355448183540632,0.12007262750022213,0.05936802188131707,115,chr3,53839610,cg12727358,CACNA1D,0.23776040552042707,1.1469974141201215e-4,3.9404375612047726,chr3,53839610,CACNA1D;CACNA1D;CACNA1D,3,53839610,1
2.8471911286896256e-4,0.2646029703634494,1,3.7523693392062403,0.23276184661930632,0.35572783361182325,0.1097958596267894,0.062030633335401826,115,chr7,139351108,cg11627968,HIPK2,0.23276184661930632,2.8471911286896256e-4,3.545583378181769,chr7,139351108,HIPK2;HIPK2,7,139351108,1
6.019086437308932e-4,0.27735363613109776,1,3.5357384906679075,0.23186823645901009,0.36186720521534305,0.10186926770267712,0.06557844622021515,115,chr14,37445440,cg00814218,SLC25A21,0.23186823645901009,6.019086437308932e-4,3.220469419928781,chr14,37445440,SLC25A21;SLC25A21,14,37445440,1
1.4427272669583583e-4,0.2646029703634494,1,3.9421508150585556,0.2112324898540908,0.31745248269133436,0.10501249701684721,0.053583056499819176,115,chr17,5561734,cg11261447,NLRP1,0.2112324898540908,1.4427272669583583e-4,3.840815760139954,chr17,5465054,NLRP1;NLRP1;NLRP1;NLRP1;NLRP1,17,5561734,1
0.0020086509767875994,0.2969808296435983,1,-3.1666354767375924,-0.2110150704430674,-0.07891769624858763,-0.34311244463754714,0.06663699437248281,115,chr16,20750043,cg26846609,THUMPD1,-0.2110150704430674,0.0020086509767875994,2.6970955197094963,chr16,20750043,THUMPD1,16,20750043,1
0.005895225399354101,0.3326384959696413,1,-2.8097099165860544,-0.2028985550419426,-0.059746939186457376,-0.34605017089742784,0.07221334624055248,115,chr12,133209653,cg01608425,POLE,-0.2028985550419426,0.005895225399354101,2.22949958534,chr12,133209653,POLE,12,133209653,1
0.001636357998397523,0.29156815285635695,1,-3.2314436495564114,-0.2026714940797177,-0.07834179951484331,-0.3270011886445921,0.0627185605132056,115,chr17,113262,cg16767880,RPH3AL,-0.2026714940797177,0.001636357998397523,2.786121676386013,chr17,113262,RPH3AL,17,113262,1
0.004388561057834263,0.32141375161835684,1,2.9105691790105723,0.19990405618690715,0.3360555669942935,0.06375254537952077,0.06868211813294303,115,chr16,601869,cg26722972,SOLH,0.19990405618690715,0.004388561057834263,2.357677854947579,chr16,601869,SOLH,16,601869,1
4.657159455309962e-4,0.27047924240743415,1,-3.6109497274020828,-0.19740940274032523,-0.08903538427719693,-0.30578342120345353,0.05466966245535423,115,chr14,35096197,cg01088139,SNX6,-0.19740940274032523,4.657159455309962e-4,3.3318788921132882,chr14,35096197,SNX6;SNX6,14,35096197,1
0.006027631785930365,0.3331242836509393,1,2.802017366928559,0.19190713783497773,0.327675659837084,0.05613861583287147,0.06848891805597102,115,chr2,80688129,cg23392381,CTNNA2,0.19190713783497773,0.006027631785930365,2.2198532855914586,chr2,80688129,CTNNA2;CTNNA2,2,80688129,1
0.00974196022229585,0.35576837638297454,1,2.6319556841137737,0.18555645738970525,0.3253143310941764,0.04579858368523412,0.07050136083586278,115,chr10,3200291,cg06728147,PITRM1,0.18555645738970525,0.00974196022229585,2.0113536480420855,chr10,3200291,PITRM1;PITRM1;PITRM1,10,3200291,1
1.5858349410203875e-5,0.24916407926411815,1,4.522262457624471,0.18393085159204223,0.26455731353766804,0.1033043896464164,0.04067230801298084,115,chr5,171560211,cg15094703,STK10,0.18393085159204223,1.5858349410203875e-5,4.799742017481511,chr5,171560211,STK10,5,171560211,1
0.009995585188788422,0.3573217491117374,1,-2.622635561460898,-0.18382558799717694,-0.04487934675789082,-0.3227718292364631,0.07009192992669548,115,chr15,92487249,cg10542624,SLCO3A1,-0.18382558799717694,0.009995585188788422,2.000191775150453,chr15,92487249,SLCO3A1;SLCO3A1,15,92487249,1
0.00880635629952422,0.35072866546162507,1,2.6683492225347516,0.18247347839132227,0.3180348230018957,0.04691213378074885,0.0683844066774681,115,chr22,36043200,cg14421879,APOL6,0.18247347839132227,0.00880635629952422,2.0552037472450015,chr22,36043200,APOL6,22,36043200,1
0.002019775346427367,0.29723993616585526,1,-3.164876742672364,-0.18124401057871417,-0.06772054319185666,-0.2947674779655717,0.05726732044094552,115,chr7,150412715,cg02355809,GIMAP1,-0.18124401057871417,0.002019775346427367,2.6946969331438266,chr7,150412715,GIMAP1,7,150412715,1
0.01508746205091483,0.38229159094851,1,2.4700239996382267,0.18003901614092427,0.3245311625883408,0.03554686969350776,0.07288958170742219,115,chr19,1987279,cg01688609,BTBD2,0.18003901614092427,0.01508746205091483,1.8213838092623829,chr19,1987279,BTBD2,19,1987279,1
0.010022795661008945,0.35755622543732163,1,2.62164836710798,0.17959792025356675,0.31539975799830555,0.04379608250882791,0.06850572430187755,115,chr1,166968814,cg16769658,MAEL,0.17959792025356675,0.010022795661008945,1.999011123697965,chr1,166968814,MAEL;MAEL;MAEL,1,166968814,1
0.019931246611280925,0.40285459508404875,1,2.362985061249568,0.17741429194332298,0.3262497508779742,0.028578833008671756,0.07508058127523864,115,chr14,103364736,cg05070493,TRAF3,0.17741429194332298,0.019931246611280925,1.7004655372518929,chr14,103364736,TRAF3;TRAF3;TRAF3;TRAF3,14,103364736,1
0.007609731157290036,0.34279439052858934,1,2.720384872396781,0.17452828323114705,0.30170694482843463,0.047349621633859446,0.06415573215468583,115,chr14,103348743,cg07415789,TRAF3,0.17452828323114705,0.007609731157290036,2.1186306860635735,chr14,103348743,TRAF3;TRAF3;TRAF3;TRAF3,14,103348743,1
