probeID,gene,chromosome,position,beta,p,fdr
cg24439623,ABR,17,925669,0.199460532379622,2.46286630351361e-06,0.0876717202380539
cg00154902,,8,1245703,-0.180754314077324,4.55201996942744e-05,0.0876717202380539
cg16744531,B3GNT3,19,17794817,-0.172177663828783,2.9418766097542e-05,0.0876717202380539
cg00868390,,10,130894401,-0.11603012986069,2.50283449018359e-05,0.0876717202380539
cg19628908,NFXL1,4,47865430,-0.113956452093967,2.70394964028631e-06,0.0876717202380539
cg08511556,CCPG1,15,55365288,-0.102372009074528,5.97625201791308e-05,0.0876717202380539
cg04374785,HSD17B4,5,119502354,-0.102105976186135,8.91145667653997e-05,0.0876717202380539
cg09258020,NRXN1,2,50834039,-0.100596714659425,0.00020921802859484,0.0876717202380539
cg03186232,FRMD3,9,83268071,-0.0995041699565679,7.60729153400612e-05,0.0876717202380539
cg13676759,IPO11,5,62549028,-0.0994140012053566,7.61004430791684e-05,0.0876717202380539
cg22477694,HEXB,5,74715431,-0.0976201570986106,1.56297094427085e-05,0.0876717202380539
cg03773282,CCDC158,4,76396901,-0.0964031172585548,9.06853400521005e-05,0.0876717202380539
cg16580742,IL16,15,81491460,-0.0959546355955153,0.000110283916619921,0.0876717202380539
cg25788103,EGF,4,109928297,-0.0957672699347925,0.000173036687661612,0.0876717202380539
cg24799341,LOC1720,2,82856144,-0.095524662626204,4.46955509051432e-05,0.0876717202380539
cg24379599,OCLM,1,186399888,-0.0953879250751538,5.35723377951612e-05,0.0876717202380539
cg18184895,MALRD1,10,19432237,-0.0953036882876,4.55167801351778e-05,0.0876717202380539
cg26296470,,3,28042601,-0.0952301970756374,1.26374412944672e-05,0.0876717202380539
cg11537619,PMP2,8,81447524,-0.0946492258039177,0.000134363853298844,0.0876717202380539
cg00409021,RTKN2,10,62199989,-0.0940361204127238,3.83027909780606e-05,0.0876717202380539
