probeID,gene,chromosome,position,beta,p,fdr
cg01635668,SLC24A3,20,19213673,-0.0508193496547847,6.37496719730133e-10,0.000550894065348234
cg03181212,AKAP13,15,85477232,-0.114438767777316,2.18457500084185e-08,0.00183676931758553
cg19448292,C20orf118,20,36875661,-0.101183325319775,1.49185755081823e-08,0.00183676931758553
cg02741985,CCDC57,17,82101532,-0.0922072511073311,7.81608013147943e-09,0.00183676931758553
cg10433549,,17,43395380,-0.086089356682194,1.22929057635495e-08,0.00183676931758553
cg10549984,,1,207537034,-0.0853468655631362,4.60530935098624e-09,0.00183676931758553
cg20337696,SNX21,20,45836974,-0.075369598280032,2.40307801608216e-08,0.00183676931758553
cg13859771,ENTPD7,10,99661385,-0.0624194024268503,2.5506197765007e-08,0.00183676931758553
cg22864884,,3,194575080,-0.0610956642737699,1.39496192699499e-08,0.00183676931758553
cg07410082,,10,134140238,-0.051150677488354,8.9595520858255e-09,0.00183676931758553
cg24600621,SLC16A12,10,89502991,-0.0369547979664529,2.51947945871714e-08,0.00183676931758553
cg02564259,SLC12A4,16,67944526,-0.0273004223768884,2.36698691679206e-08,0.00183676931758553
cg04973399,MIR5095,16,48394014,-0.0943486314784491,3.04993717178725e-08,0.0018535468744145
cg04871139,AAK1,2,69560341,-0.0289805957678872,3.20948151481657e-08,0.0018535468744145
cg24112090,RIN3,14,92519603,-0.0211300463236902,3.21739730003721e-08,0.0018535468744145
cg18367488,,11,47916382,-0.0922851934996053,3.64852184631264e-08,0.00185463379443221
cg21294295,,10,131923210,-0.0210911544086075,3.5806811295074e-08,0.00185463379443221
cg17278724,,1,229142381,-0.0918940769273614,3.92714448819992e-08,0.00188536097987052
cg23339014,PRKCH,14,61533773,-0.122215228601095,6.52345832465916e-08,0.00234885814923786
cg01602526,,10,134140240,-0.0758330589048142,6.17125606932664e-08,0.00234885814923786
