p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
0.0022470177616589486,0.5902020950678127,1,3.2138334387516636,0.39503724102544346,0.6416669520611141,0.1484075299897728,0.1229177704924516,60,chr1,225668030,cg15517438,NA,0.39503724102544346,0.0022470177616589486,2.6483934946658807,chr1,225668030,,1,225668030,1
0.0018680717181865892,0.5686149740804429,1,3.277165830095413,0.36708269559035883,0.5918308913461261,0.1423344998345916,0.11201224308495594,60,chr19,35577342,cg14048271,HPN-AS1,0.36708269559035883,0.0018680717181865892,2.7286064545434026,chr19,35577342,HPN-AS1;HPN-AS1,19,35577342,1
8.710079452548135e-4,0.49945803444448417,1,-3.532360676433062,-0.34755359896188487,-0.15013527141874566,-0.5449719265050241,0.09839131130653411,60,chr16,66600478,cg05477582,CMTM1,-0.34755359896188487,8.710079452548135e-4,3.059977883379725,chr16,66600478,CMTM1;CMTM1;CMTM1;CMTM1;CMTM1;CMTM1;CMTM1;CMTM1,16,66600478,1
0.002333119947235567,0.5952672774264866,1,-3.2008579640658876,-0.33750800164798694,-0.12594077638306408,-0.5490752269129098,0.10544297980009949,60,chr18,8625641,cg12117283,RAB12,-0.33750800164798694,0.002333119947235567,2.6320629332664915,chr18,8625641,RAB12,18,8625641,1
8.110657021508025e-4,0.4918484551894879,1,3.555726229454769,0.3316461641429685,0.5187907997871484,0.14450152849878867,0.0932710064671719,60,chr7,158541253,cg13211008,ESYT2,0.3316461641429685,8.110657021508025e-4,3.09094396338961,chr7,158541253,ESYT2,7,158541253,1
2.4382462896069485e-5,0.27968127659350933,1,-4.6327816821199965,-0.32830833067905574,-0.18611776305971495,-0.47049889829839653,0.0708663505440255,60,chr1,229997149,cg26546906,NA,-0.32830833067905574,2.4382462896069485e-5,4.61292242799783,chr1,229997149,,1,229997149,1
5.398103782636066e-4,0.45641420694080226,1,-3.68773228939049,-0.32815877031624496,-0.14961062247527113,-0.5067069181572188,0.0889866033009905,60,chr1,229889410,cg13117487,NA,-0.32815877031624496,5.398103782636066e-4,3.267758770058701,chr1,229889410,,1,229889410,1
0.004615963544083863,0.6984869154629976,1,-2.9601589119953777,-0.3238998784586494,-0.10435339836507465,-0.5434463585522242,0.10941976025209933,60,chr13,103307218,cg13372276,TPP2,-0.3238998784586494,0.004615963544083863,2.3357376298059065,chr13,103307218,TPP2,13,103307218,1
0.005827301802712424,0.7382541685074082,1,-2.8754353317555275,-0.3207532808678874,-0.09693362572462996,-0.5445729360111449,0.11154946777121894,60,chr7,120659,cg01156747,NA,-0.3207532808678874,0.005827301802712424,2.2345324887129383,chr7,120659,,7,120659,1
0.005436336321349864,0.7257776437342864,1,-2.9008309659123976,-0.3206563237026085,-0.09886318541528097,-0.542449461989936,0.11053947212734352,60,chr2,11286089,cg09167828,C2orf50,-0.3206563237026085,0.005436336321349864,2.2646936832882947,chr2,11286089,C2orf50,2,11286089,1
