p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
8.760500726641504e-4,0.19651025115949727,1,-3.433876348627174,-0.26896127034903555,-0.11351016450666496,-0.42441237619140615,0.0783258460825368,105,chr19,2340235,cg23803868,SPPL2B,-0.26896127034903555,8.760500726641504e-4,3.057471070018856,chr19,2340235,SPPL2B;SPPL2B,19,2340235,1
0.0013763271531778527,0.1968768121756366,1,-3.294532790099502,-0.2640121170216638,-0.10496758368082676,-0.4230566503625008,0.08013643628470003,105,chrX,24295207,cg02006792,NA,-0.2640121170216638,0.0013763271531778527,2.861278321963717,chrX,24295207,,23,24295207,1
0.0019232270774470668,0.19934755012954752,1,-3.188737599606544,-0.23010935405921276,-0.08688917525997944,-0.37332953285844606,0.072163151363601,105,chr1,229252042,cg08354527,NA,-0.23010935405921276,0.0019232270774470668,2.7159694351270933,chr1,229252042,,1,229252042,1
0.0031964717695382077,0.20660814634157817,1,-3.023394709168921,-0.22936801848977775,-0.07880208017378887,-0.37993395680576664,0.07586439765677405,105,chr20,42574362,cg26365090,TOX2,-0.22936801848977775,0.0031964717695382077,2.495329126796492,chr20,42574362,TOX2;TOX2;TOX2;TOX2,20,42574362,1
0.0010288827928957914,0.19651025115949727,1,3.3847133023646596,0.21415014546023672,0.33971994659934923,0.08858034432112422,0.0632698034751201,105,chr12,76023400,cg26941787,NA,0.21415014546023672,0.0010288827928957914,2.987634095886555,chr12,76023400,,12,76023400,1
6.425409017823435e-4,0.19651025115949727,1,-3.527363615576463,-0.2066384065648042,-0.09037326243098255,-0.32290355069862586,0.058581543919178324,105,chr7,150412715,cg02355809,GIMAP1,-0.2066384065648042,6.425409017823435e-4,3.192099221532881,chr7,150412715,GIMAP1,7,150412715,1
4.337178081574663e-6,0.19651025115949727,1,4.869321697750069,0.20149115215824964,0.28361631307628143,0.11936599124021785,0.041379716655679404,105,chr19,13889669,cg16496709,NA,0.20149115215824964,4.337178081574663e-6,5.362792745649849,chr19,13889669,,19,13889669,1
0.005065860880606132,0.2194744848335815,1,-2.868030073369238,-0.19957980929989344,-0.06147092292413017,-0.33768869567565674,0.0695877672807788,105,chr7,157982161,cg06012903,PTPRN2,-0.19957980929989344,0.005065860880606132,2.2953467410386983,chr7,157982161,PTPRN2;PTPRN2;PTPRN2,7,157982161,1
0.013725517961522663,0.2638723025826343,1,-2.50998404474873,-0.19860902396194063,-0.04156669137510438,-0.3556513565487769,0.07912760416842532,105,chr12,3384898,cg20089799,TSPAN9,-0.19860902396194063,0.013725517961522663,1.862471257545511,chr12,3384898,TSPAN9;TSPAN9,12,3384898,1
0.002419034387667174,0.20224477954652714,1,-3.114827631798859,-0.19414179691493935,-0.07044064401198617,-0.3178429498178925,0.06232826334689332,105,chr4,169186137,cg06500073,DDX60,-0.19414179691493935,0.002419034387667174,2.6163579579018865,chr4,169186137,DDX60,4,169186137,1
0.009969564921509825,0.24721969324876858,1,2.6284723485614383,0.19394293598294007,0.3403827855990909,0.04750308636678924,0.07378541991856409,105,chr3,195709661,cg01029331,SDHAP1,0.19394293598294007,0.009969564921509825,2.0013237941768516,chr3,195709661,SDHAP1,3,195709661,1
0.0013055802472051378,0.19668649203861496,1,3.3110109311031715,0.1907450125791666,0.30508056585877597,0.07640945929955723,0.05760929714466804,105,chr4,175187746,cg15988321,FBXO8,0.1907450125791666,0.0013055802472051378,2.884196429205031,chr4,175187746,FBXO8,4,175187746,1
0.024719706671890183,0.30435676573572,1,-2.2811910381319582,-0.19010428580118408,-0.02471058225630457,-0.3554979893460636,0.08333553947189726,105,chr18,42526328,cg17237138,SETBP1,-0.19010428580118408,0.024719706671890183,1.6069566869624814,chr18,42526328,SETBP1,18,42526328,1
0.0063470369449863066,0.22692139014892349,1,-2.789825062609904,-0.18990684763307844,-0.05480777301475365,-0.32500592225140323,0.0680712386515802,105,chr18,45821540,cg11438323,NA,-0.18990684763307844,0.0063470369449863066,2.197428973726852,chr18,45821540,,18,45821540,1
0.014002882586203079,0.2651429349707409,1,2.5024420398340017,0.187487497787995,0.33618271738798855,0.03879227818800143,0.07492181429322212,105,chr5,116197864,cg23943944,NA,0.187487497787995,0.014002882586203079,1.8537825527204974,chr5,116197864,,5,116197864,1
0.013311923793900568,0.26198632319316495,1,-2.521488237692429,-0.18506639437740757,-0.03940001083040737,-0.3307327779244078,0.0733957000516383,105,chr17,6655046,cg08103988,NA,-0.18506639437740757,0.013311923793900568,1.875759177229974,chr17,6558365,,17,6655046,1
0.006546877345827461,0.2280754100734784,1,2.7789546602092092,0.1805754563941566,0.3095387098966319,0.05161220289168128,0.06497963388167054,105,chr16,83967808,cg06052372,NA,0.1805754563941566,0.006546877345827461,2.1839657954044576,chr16,83967808,,16,83967808,1
0.014696707199376146,0.26857233556373844,1,2.484146380323839,0.17878847289287983,0.32162887118198813,0.03594807460377153,0.07197179454037349,105,chr14,74704714,cg07456585,VSX2,0.17878847289287983,0.014696707199376146,1.8327799581314128,chr14,74704714,VSX2,14,74704714,1
1.3642142996385484e-4,0.19651025115949727,1,-3.9727350703124364,-0.17803109544973228,-0.08909153457026826,-0.2669706563291963,0.04481323126229281,105,chr17,54968981,cg17328806,COX11,-0.17803109544973228,1.3642142996385484e-4,3.865117402523998,chr17,53046342,COX11;COX11;COX11;COX11;STXBP4;COX11,17,54968981,1
0.008455927387429738,0.23874298571249003,1,2.6880841236177213,0.1763836760228631,0.30661164118313156,0.046155710862594596,0.06561687354690357,105,chr1,19186260,cg20678988,TAS1R2,0.1763836760228631,0.008455927387429738,2.0728387550494927,chr1,19186260,TAS1R2,1,19186260,1
