p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
1.8980889598183047e-4,0.023738998790102887,1,-3.8370335904369237,-0.28123251770869356,-0.1362906173293451,-0.426174418088042,0.07329425481434725,144,chrX,111621927,cg26287822,ZCCHC16,-0.28123251770869356,1.8980889598183047e-4,3.721683436875629,chrX,111621927,ZCCHC16,23,111621927,1
2.01439227637266e-4,0.024033426955846846,1,3.8208095686834995,0.2538701358372121,0.3852655596731096,0.12247471200131452,0.06644406931923741,144,chr7,158541253,cg13211008,ESYT2,0.2538701358372121,2.01439227637266e-4,3.695855952414511,chr7,158541253,ESYT2,7,158541253,1
4.7797626961763943e-4,0.030528347210475402,1,3.579306813507642,0.24765132307388513,0.3844764131984195,0.11082623294935073,0.0691897442653686,144,chr20,60500578,cg00704664,CDH4,0.24765132307388513,4.7797626961763943e-4,3.320593664538387,chr20,60500578,CDH4,20,60500578,1
1.2172831531963725e-4,0.021786251480308244,1,3.9567408533318833,0.24611285828198304,0.3691172774592061,0.12310843910475999,0.06220090407860219,144,chr19,3571445,cg11431762,HMG20B,0.24611285828198304,1.2172831531963725e-4,3.9146083884360676,chr19,3571445,HMG20B,19,3571445,1
0.0032860706934629337,0.06271790050573237,1,-2.9925093278068777,-0.23011689865036364,-0.07804918478061196,-0.3821846125201153,0.07689763788272284,144,chr12,131606752,cg00143986,GPR133,-0.23011689865036364,0.0032860706934629337,2.48332309779365,chr12,131606752,GPR133,12,131606752,1
0.0036738193635202777,0.06586730742597928,1,-2.9560304843657237,-0.20176313760048922,-0.06678702003870807,-0.3367392551622704,0.06825475537806627,144,chr6,16588304,cg10194279,ATXN1,-0.20176313760048922,0.0036738193635202777,2.4348822011480564,chr6,16588304,ATXN1;ATXN1,6,16588304,1
0.0014670556066845157,0.04476708346437507,1,-3.2472750521563114,-0.19809753934745716,-0.07745956882386036,-0.318735509871054,0.06100423775802824,144,chr17,113262,cg16767880,RPH3AL,-0.19809753934745716,0.0014670556066845157,2.8335534245217096,chr17,113262,RPH3AL,17,113262,1
0.017114217221721885,0.13984625768436082,1,-2.4138435262981837,-0.18187775905462591,-0.032874935634951724,-0.3308805824743001,0.0753477833476429,144,chr8,109235928,cg08603678,EIF3E,-0.18187775905462591,0.017114217221721885,1.7666429600412172,chr8,109235928,EIF3E,8,109235928,1
4.1183087298820843e-4,0.029212526389761427,1,3.621748091495669,0.17843908447498025,0.27586977125583007,0.08100839769413044,0.04926877297015168,144,chr17,925669,cg24439623,ABR,0.17843908447498025,4.1183087298820843e-4,3.38528109952022,chr17,925669,ABR;ABR;ABR,17,925669,1
0.0026651451230358513,0.05720826887479946,1,-3.060146933275841,-0.16842642474604325,-0.05958556401009968,-0.2772672854819868,0.05503867246196093,144,chr2,122219913,cg00807008,CLASP1,-0.16842642474604325,0.0026651451230358513,2.5742791377001932,chr2,122219913,CLASP1;CLASP1;CLASP1;CLASP1,2,122219913,1
0.008403100443682539,0.09754353579998996,1,2.6743950785945336,0.16581392908186643,0.28842211406007123,0.04320574410366165,0.062000536274171625,144,chr10,81173663,cg23187802,ZCCHC24,0.16581392908186643,0.008403100443682539,2.07556044523026,chr10,81173663,ZCCHC24,10,81173663,1
0.005023642281330891,0.07620401847873634,1,2.851893637319469,0.16501862786785226,0.27944435077297447,0.050592904962730056,0.057862826898044964,144,chr5,166334599,cg02079756,CTB-7E3.1,0.16501862786785226,0.005023642281330891,2.298981292992025,chr5,166334599,CTB-7E3.1,5,166334599,1
0.016952442419709814,0.13913680478573062,1,-2.417454430710284,-0.16498828857469106,-0.03002400963640714,-0.29995256751297494,0.06824876882010762,144,chr7,55585346,cg14358839,VOPP1,-0.16498828857469106,0.016952442419709814,1.770767722063459,chr7,55585346,VOPP1;VOPP1;VOPP1;VOPP1,7,55585346,1
0.01624633622273962,0.13607404907779952,1,-2.4335822182635525,-0.16435054497895552,-0.030798930468254104,-0.2979021594896569,0.06753441233484417,144,chr6,31237034,cg11574174,HLA-C,-0.16435054497895552,0.01624633622273962,1.7892445631557468,chr6,31237034,HLA-C,6,31237034,1
