probeID,gene,chromosome,position,beta,p,fdr
cg01695620,,8,57210291,0.0416975415258266,4.950711331572e-08,0.042781670986006
cg25930738,ZXDA,23,57937045,0.082597599764335,9.00662386439902e-07,0.389154601283407
cg19512846,,8,108890063,0.0552557207613762,2.87565202819172e-06,0.828333483821977
cg04456492,,7,20010777,0.402429256030719,9.96195128380126e-05,0.999999507552847
cg03146160,LOC101928708,16,87249324,0.373045148093184,0.00141477164935687,0.999999507552847
cg09916840,,16,87248612,0.371529385465942,0.00325252110112018,0.999999507552847
cg11738485,HOOK2,19,12766186,-0.358971228675755,0.00536671467954995,0.999999507552847
cg11290949,,6,55778951,-0.344010819459367,7.65075460770058e-05,0.999999507552847
cg06032337,,6,29648468,-0.321429241196042,0.0355059300949051,0.999999507552847
cg10171723,,20,46486091,-0.312633920022425,0.00617483823247675,0.999999507552847
cg16241932,ZDHHC14,6,157876915,0.307086079682054,0.00190526051427622,0.999999507552847
cg00258945,MAN2A1,5,109180462,-0.303126501737308,0.00883146056693177,0.999999507552847
cg12156950,,6,24539138,-0.302118720152879,0.0113796206675268,0.999999507552847
cg06378142,PRR12,19,49616376,-0.300921762433456,0.022562419444316,0.999999507552847
cg20961245,,6,29649092,-0.300178356213445,0.015184052518197,0.999999507552847
cg01350803,,7,157260189,0.29937549744088,0.00852287961712958,0.999999507552847
cg06417478,HOOK2,19,12766032,-0.298136309922754,0.00503087237844024,0.999999507552847
cg13910001,BPIFB6,20,31622082,0.297492458597366,0.00968648561618856,0.999999507552847
cg02822944,DNAJC5B,8,66949849,-0.296576422209855,0.0284630476550315,0.999999507552847
cg06237602,FAM53B,10,126320902,0.293040204014828,0.00342534107837402,0.999999507552847
