probeID,gene,chromosome,position,beta,p,fdr
cg03181212,AKAP13,15,85477232,-0.105112346441815,2.89166192290411e-07,0.0693431299789129
cg05180182,,10,3624563,-0.0817560818486953,1.37927294687929e-07,0.0693431299789129
cg06894541,,2,102182371,-0.066750814448493,2.26931308863177e-07,0.0693431299789129
cg19876836,TNIK,3,171445826,-0.0168117044872232,3.20976541066446e-07,0.0693431299789129
cg23339014,PRKCH,14,61533773,-0.11645645332233,1.94197320150233e-06,0.0883706667164906
cg14898318,OPA3,19,46045657,-0.10884733438747,2.34094016272981e-06,0.0883706667164906
cg19448292,C20orf118,20,36875661,-0.0971634792116131,2.76637589208611e-06,0.0883706667164906
cg17278724,,1,229142381,-0.0901375797030838,1.54667246476859e-06,0.0883706667164906
cg10549984,,1,207537034,-0.0891965766564122,1.71629785401695e-06,0.0883706667164906
cg26057482,HMGXB3,5,150050361,-0.08615587831959,9.34574296325578e-07,0.0883706667164906
cg18367488,,11,47916382,-0.0840769774893405,2.67763972766673e-06,0.0883706667164906
cg02741985,CCDC57,17,82101532,-0.0826366260175422,2.275195954513e-06,0.0883706667164906
cg10433549,,17,43395380,-0.0819071842189549,1.91241799063438e-06,0.0883706667164906
cg01963353,FKBP1A,20,1378231,-0.0800345747630715,2.90755491764028e-06,0.0883706667164906
cg21500092,UBE2G1,17,4341911,-0.0769711536433456,1.47835665898053e-06,0.0883706667164906
cg01627992,URI1,19,29941253,-0.0719939414338653,1.87250334409984e-06,0.0883706667164906
cg02633149,METRNL,17,83084906,-0.0705466871243422,1.840676501399e-06,0.0883706667164906
cg04968217,,15,58307339,-0.0669957689718354,1.48951872539673e-06,0.0883706667164906
cg17084751,ZNF215,11,6932327,-0.0663936879379866,1.26029221670021e-06,0.0883706667164906
cg12842511,PTPRE,10,128052933,-0.0598167858739072,2.96562333336986e-06,0.0883706667164906
