p.value,fdr,p.holm,t.statistic,coefficient,coefficient.ci.high,coefficient.ci.low,coefficient.se,n,chromosome.x,position.x,probeID,gene,beta,p,log10p,chromosome.y,position.y,gene.symbol,chromosome,position,bonf
0.005320682622447602,0.9999803829575481,1,-3.2166947757394913,-0.6995707199605954,-0.23896672057403667,-1.160174719347154,0.21748122490103836,24,chr5,6740855,cg21543103,POLS,-0.6995707199605954,0.005320682622447602,2.274032645873347,chr5,6740855,POLS,5,6740855,1
0.0033364533526136606,0.9999803829575481,1,3.437081936237564,0.6845286100199941,1.1063296567421737,0.26272756329781444,0.19915981717017783,24,chr11,65552154,cg05767119,NA,0.6845286100199941,0.0033364533526136606,2.4767149426981496,chr11,65552154,,11,65552154,1
0.0018933338291407223,0.9999803829575481,1,-3.7039177882839542,-0.6375172238908635,-0.27298450206997416,-1.0020499457117529,0.1721197014435433,24,chr2,11728079,cg16908938,GREB1,-0.6375172238908635,0.0018933338291407223,2.722772805279919,chr2,11728079,GREB1;GREB1;GREB1,2,11728079,1
0.004753470599285928,0.9999803829575481,1,3.270023352730528,0.6303527968915601,1.0386146139829222,0.22209097980019793,0.1927670627688956,24,chr15,58750131,cg01104393,LOC101928694,0.6303527968915601,0.004753470599285928,2.322989187902619,chr15,58750131,LOC101928694;LIPC,15,58750131,1
0.006792853456158595,0.9999803829575481,1,3.100838339294865,0.6236388067399607,1.0495900998450713,0.19768751363485015,0.20111941949278692,24,chr15,81666528,cg27639199,TMC3,0.6236388067399607,0.006792853456158595,2.1679477544462475,chr15,81666528,TMC3,15,81666528,1
0.0010736128819187468,0.9999803829575481,1,3.9714719611580183,0.6157210426452996,0.9440721078995733,0.28736997739102593,0.15503597876736996,24,chr8,145737513,cg19787013,RECQL4,0.6157210426452996,0.0010736128819187468,2.969152286190858,chr8,145737513,RECQL4,8,145737513,1
0.0113734542153929,0.9999803829575481,1,-2.854487142885472,-0.6067234360130003,-0.1565616617835715,-1.056885210242429,0.21255076854180222,24,chr15,81584389,cg02968327,IL16,-0.6067234360130003,0.0113734542153929,1.9441076163274207,chr15,81584389,IL16;IL16,15,81584389,1
0.015630609151556736,0.9999803829575481,1,-2.7007038810714876,-0.6026291503084271,-0.13004505534446614,-1.0752132452723882,0.22313781030645155,24,chrX,42638571,cg01740135,PPP1R2P9,-0.6026291503084271,0.015630609151556736,1.806024096452684,chrX,42638571,PPP1R2P9,23,42638571,1
0.005611787230330648,0.9999803829575481,1,-3.19146734163862,-0.596712444040149,-0.2007257213352539,-0.9926991667450441,0.18697118916271732,24,chr3,131756545,cg12981577,NA,-0.596712444040149,0.005611787230330648,2.2508988035105784,chr3,131756545,,3,131756545,1
0.012260669639369328,0.9999803829575481,1,2.818303221533823,0.5964336678365375,1.0446424563033367,0.14822487936973833,0.2116286364360527,24,chr1,11783294,cg18285337,NA,0.5964336678365375,0.012260669639369328,1.9114858093656493,chr1,11783294,,1,11783294,1
0.023335762340849758,0.9999803829575481,1,-2.504105082778701,-0.5842497157547054,-0.09010757287813098,-1.0783918586312797,0.2333167724360784,24,chr1,101106533,cg24534774,NA,-0.5842497157547054,0.023335762340849758,1.6319780068629737,chr1,101106533,,1,101106533,1
0.03989469458735935,0.9999803829575481,1,-2.234421295833228,-0.5840869314584639,-0.03045852993270126,-1.1377153329842264,0.2614041195130369,24,chr14,51761868,cg16918438,NA,-0.5840869314584639,0.03989469458735935,1.399084855306582,chr14,51761868,,14,51761868,1
0.01045704231799763,0.9999803829575481,1,-2.8948583915189445,-0.5835280481385073,-0.1566140983349945,-1.0104419979420203,0.20157395258022542,24,chr1,65761642,cg01081395,DNAJC6,-0.5835280481385073,0.01045704231799763,1.980591134456428,chr1,65761642,DNAJC6;DNAJC6,1,65761642,1
